,Question,Answer
0,公司在经营活动中主要对哪些环节进行质量控制？,公司严格把关产品技术研发和质量管控，并对产品采购、研发和生产过程等环节建立了全流程质量控制机制。
1,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？,公司目前产品销售趋势良好，2017年，公司将继续做大做强电线电缆行业及信息安全行业。
2,公司有没有哪些项目创新模式？,2016年，公司已经建立了电线电缆、信息安全的双主业平台。一方面，公司将沿着能源行业产业链的思路，整合传统能源和新能源领域；另一方面， 公司将以天融信为依托，大力发展信息安全业务。公司已参与投资了多个产业投资基金，一方面重点投资于新能源汽车动力电池等相关领域，另一方面投资于大数据、云计算、人工智能、军工、量子通信等相关领域。谢谢！
3,如果公司进行定增，那大股东及高管们会考虑参与、进行增持吗？,公司目前暂时没有定增计划。在公司2016年重大资产重组中，公司大股东及部分管理层人员参与认购了部分配套融资的份额。谢谢！
4,公司如何进行投资者关系管理，如何规划进行投资者回报的？,公司积极开展投资者关系管理工作，通过网络业绩说明会、投资者接待日活动和现场调研等形式，使投资者更加直观的了解公司生产经营情况，明确三年股东分红回报规划，切实保护投资者利益。
5,目前公司享有的国家优惠政策有哪些？,您好！公司或子公司因被有关部门认定为高新技术企业、国家规划布局内重点软件企业等，享受相关企业所得税优惠政策；根据有关软件企业增值税税收优惠政策，销售自行开发生产的软件产品，在按17%税率缴纳增值税后，对实际税负超过3%的部分享受即征即退政策。
6,贵司目前有哪些销售渠道？是否存在大客户依赖？,您好！公司目前已建立电线电缆、信息安全的双主业平台。其中，电线电缆行业主要客户分布在南方电网、大型项目以及各经销商，分布较为均衡，不存在大客户依赖性；公司信息安全产品和服务的销售采用以直销团队为主，以渠道代理销售为辅的方式，不存在依赖于少数客户的情况。
7,虽然说公司的股价由二级市场决定，但股价是公司经营的一个表象，请问管理层对回报投资者持有怎样的态度？,公司对未来发展充满信心，将努力以良好的业绩及合理的分红回馈全体股东，谢谢！  
8,公司是否在考虑开拓新的领域？取得初步进展没有？,2016年，公司通过收购北京天融信科技有限公司100%股权，快速切入了具备广阔市场前景和较高技术壁垒的信息安全行业，建立了电线电缆、信息安全的双主业平台。公司将依托这两个双主业分别进行延伸、布局。谢谢！
9,公司在2017年有哪些经营目标？,公司2017年经营目标已在2016年年度报告中披露，请关注公司公告，谢谢！
10,能介绍一下公司现在各大区域的销售和占有率等基本情况吗?,截止2016年末，公司广东省内销售收入20.87亿元，占比72.69%，广东省外销售收入7.84亿元，占比27.31%。谢谢！
11,公司目前有哪些在建项目？建设进度如何？还需要多少资金？,公司募投项目都已建设完毕并投产，相关募集资金账户已按相关规定销户，不存在募投项目在建情况，谢谢！
12,公司的前三大客户是哪些公司？,公司已在2016年年度报告中披露了前五大客户情况，请关注公司年报，谢谢！
13,公司2016年度的业务经营情况符合公司预期吗？,公司已于2017年4月26日披露了2016年报，公司2016年营业收入287071.33万元，比上年同期增长25.83%，请关注公司公告，谢谢！
14,公司所处行业有没有周期性？,您好！公司目前已建立电线电缆、信息安全的双主业平台。其中电缆电缆行业具有一定的周期性，信息安全行业一直保持快速发展的态势，目前处于成长期，未显现明显的周期性特征。
15,近几年的固定资产，技术改造的投资效果如何，是否达到了预期的目标，不考虑市场因素，简单考虑毛利情况是否合理？,近几年的固定资产，技术改造的投资大致达到了预期的目标，毛利相对合理。谢谢！
16,截至4月30日，“国家队”即中金、证金、汇金合计持有贵司多大股份呢？,根据信息披露相关规则，公司已在各期定期报告中披露了相关股东情况，谢谢！
17,公司领导怎么看现在公司的股价，对我们小散有什么忠告？谢谢,公司二级市场股价受多方面因素影响，公司会努力经营，带来更好的回报。 公司提醒各位投资者，股市有风险，投资需谨慎。
18,请问公司以后每年会用什么形式回馈股东？,公司将努力以良好的业绩及合理的分红回馈全体股东，谢谢！
19,贵公司是否会考虑实施股票期权等规范股权激励方式，惠及更多员工？,目前暂时没有考虑，但未来不排除这种可能性。谢谢
20,2017年以来，有多少家投资机构到贵司调研呢？,2017年以来未有机构调研，谢谢！
21,公司现在负债总额是多少？每年负债的利息是多少？谢谢。,截止2016年底公司负债总额34.18亿，利息支出是6066万元，谢谢！
22,雄安新区的设立，对公司存在哪些机遇？,尊敬的投资者，您好！公司在天津设有生产基地，随着雄安新区建设的推进，公司将密切关注雄安新区的建设进展，积极寻求机会，开拓市场，谢谢！ 
23,公司2017年一季度经营业绩如何？,公司已于4月29日披露了2017年第一季度报告，请关注相关公告。谢谢！
24,现在行业间的并购都比较频繁，你们今年有没有兼并收购计划？,您好！公司将积极寻求一些符合国家产业政策，与公司战略发展相契合的领域进行收购兼并，积极寻求新的业绩增长点。
25,今年以来，原材料都迎来涨价潮，对公司会有什么影响？,为应对原材料波动带来的风险，公司已集中优势资源，依靠多年丰富的市场实战经验以及信息渠道广的优势，研究分析原材料价格的走势，及时调整铜材采购模式，包括套期保值、现货采购等。公司还将继续规范各个采购环节的管理体制，做好风险控制。谢谢！
26,公司每次投资项目的可行性报告是否有详细说明公告？,您好！公司的投资项目均按照信息披露的相关要求进行了披露，关键要素均在在投资公告里进行了分析说明，具体请详见相关公告。谢谢！ 
