,Question,Answer
0,在生态工业领域，公司处于怎样的地位？,感谢您的关注。公司属于国家技术创新示范企业、国家高新技术企业、国家知识产权优势企业。公司自主研发多项核心技术打破海外垄断，并列入国家重点新产品、国家环保实用技术、首台套重大技术装备等，现拥有专利119项。公司主要核心技术设备或系统包括上流式多级处理厌氧反应器（UMAR）、上流式多相废水处理氧化塔（UHOFe）、BSC型二氧化氯制备系统、厌氧-接触氧化除磷脱氮生物膜反应器（ACM生物反应器）及土壤修复相关治理技术及修复系统等，公司依托核心技术优势和较强的研发实力，始终深化和巩固在水处理领域的领先地位，未来将逐步巩固环保全产业链环境综合治理整体解决方案服务商的行业地位。
1,请介绍公司2018年的客户开拓情况以及产能供应情况。,感谢您的关注！公司将围绕2018年度经营目标及发展战略规划，继续稳步推进市场开拓、项目实施、资本运作、成本管控、强化经营管理等工作。公司将严格按照中国证监会、深圳证券交易所的相关规则履行信息披露义务。
2,请问公司判断并投资参股独角兽企业的标准什么吗？2018年具体经营目标及计划是什么？,感谢您的关注。公司目前尚未参股独角兽企业。在2018年流域治理PPP项目将出现高峰，这会为博世科业绩提供强有力的支撑。2018年公司会涉足环卫板块，该板块的体量较大且发展较快，这将是博世科一个潜在的爆发点。同时，公司将继续加强工程板块能力。形成工程板块与运营板块两翼齐飞的布局。另外，流域治理、农村污水治理、土壤修复等领域的体量都非常巨大，而博世科在以上各领域中所占的比例还较小，说明博世科在任何一个板块都有爆发的空间。
3,请介绍一下公司主导产品的增长情况？,感谢您的关注。公司主导产品为水污染治理、供水工程、二氧化氯制备及清洁化生产、土壤修复等，各板块的变动情况详见2017年年度报告的第四节“经营情况讨论与分析”中的“二、主营业务分析”相关内容和2018年1季度报告第三节“重要事项”中的“二、业务回顾和展望”相关内容。
4,公司的水务业务版图是怎么样的？2018年有什么新的业务规划吗？,感谢您的关注。公司水务板块包括工业废水治理、市政污水治理、水体修复（含流域治理、河道治理、黑臭水体治理、水生态修复）等。公司继续深化和巩固在水治理领域的领先地位，依靠持续创新技术优势和前期项目经验，不断扩大业务范围，快速在市政污水治理领域积累订单，顺势切入乡镇及农村的供水、安全饮用水、垃圾处置等城乡一体化环境综合治理，公司正逐渐成为综合环境服务的行业引领者。
5,公司及管理层是否鼓励员工长期持股？会不会任由员工和大小非减持？,感谢您的关注，中小股东根据公司经营发展情况、持续盈利能力等因素认为公司具备投资价值而持有公司股票，但公司股价波动受二级市场等诸多因素影响，是否减持由其个人根据投资意向判断，公司不予干涉。公司及公司管理层一如既往坚定好公司未来发展，并将勤勉尽责地继续服务于公司与广大股东。
6,贵公司有哪些未来新增的核心业务吗？,感谢您的关注！公司坚持内生式增长，外延式扩张的战略路径，不断扩容业务，形成了从最前端的环评、检测、设计、咨询到工程施工、设备制造、项目运营、投融资一体化的全产业链条。随着公司项目逐渐进入运营期，公司将形成工程板块与运营板块两翼齐飞的布局，其次，随着公司环境服务业务的不断深入扩展，轻资产业务板块成为公司新的利润增长点。
7,公司今年在市场开拓方面有什么计划？,感谢您的关注！流域治理PPP项目在2018年将出现高峰，这会为博世科业绩提供强有力的支撑。在2019~2020年，农村污水治理领域的后劲较足。同时，公司在2018年会涉足环卫板块，该板块的体量较大且发展较快，这将是博世科一个潜在的爆发点。之后经过几年的发展，在数量多、体量大的领域，博世科在这一块的资产将会从工程资产转为运营资产。同时，公司将继续加强工程板块能力。形成工程板块与运营板块两翼齐飞的布局。另外，流域治理、农村污水治理、土壤修复等领域的体量都非常巨大，而博世科在以上各领域中所占的比例还较小，说明博世科在任何一个板块都有爆发的空间。相信以核心技术为支撑的博世科，将会在以上领域中都有不错的发展。
8,目前公司有哪些新的研发投入产品？应用推广情况如何？,"感谢您的关注。公司重视持续的技术创新以及技术成果产业化，根据业务领域的不同，公司在黑臭水体治理、流域治理、垃圾处置、油泥处置、固废资源化利用、场地修复、工业废水及市政污水领域均实现了多项技术储备及产业化，并成功投入项目使用。具体内容详见公司2018年第一季度报告的“重要研发项目的进展及影响""。"
9,请问贵公司目前的订单结构是怎样的？近几年有什么变化？目前公司在手订单量是多少？,感谢您的关注。截至2018年第一季度报告披露日，公司在手合同（指未确认收入部分）累计达121.96亿元（含中标及预中标项目、参股PPP项目），其中，水污染治理合同额100.55亿元，供水工程合同额13.12亿元，土壤修复合同额2.27亿元，固体废弃物处置合同额2.10亿元，其他业务合同额2.60亿元，专业技术服务合同额1.32亿元。
10,公司如何规避各种风险，如产品质量、资金、管理等，减少各种负面事件？,感谢您的关注！公司已按照企业内部控制规范体系和相关规定的要求在所有重大方面保持了有效的内部控制。公司内部控制制度涵盖了财务管理、关联交易管理、对外担保管理、信息披露管理、子公司内控管理等环节，具有较为科学合理的决策、执行和监督机制，有效降低了公司内外部风险，对编制真实、公允的财务报表提供合理的保证，总体上保证了公司生产经营活动的正常运作。详细内容投资者可查阅公司2017年度内部控制评价报告以及审计机构出具的鉴证报告。
