,Question,Answer
0,今年公司在金融IT业务方面有哪些新的拓展？,您好，请您关注公司定期报告，谢谢。
1,去年王董事长在交流会上对2017年的业绩增长客观分析判断，请问2018年业绩增长有何预期？谢谢,您好，公司2018年第一季度归属于母公司的净利润预计比上年同期增长：0% - 30%。具体内容请您关于公司2018年第一季度报告，谢谢。
2,去年业绩前低后高是常态还是为了完成股权激励计划？今年有信心继续保持增长吗,公司自1995年成立至今，一直专注于IT服务，公司积累丰富的经验和技术，与公司客户保持良好的合作关系，为客户创造价值；同时，公司拥有一批高素质的管理团队和技术人员，本人对公司抱有信心，谢谢。
3,您好，公司为啥营收增长这么点而净利润却增长好多，感觉就是为了股权激励，持续性有待怀疑，估值这么低，大家都不看好持续性，能给我们一些信心吗？而且公司感觉市值管理做的太差！区块链这块究竟有没有产品问世！,您好，公司深耕软件行业多年，经历多次技术更新，面对当前区块链这样的新生事物，目前主要在探索阶段。谢谢！
4,公司是否与地方政府合作数据业务？,您好，请您关注公司定期报告及公告，谢谢。
5,请问马强总经理，2018年经营在哪些方面值得期待？行业解决方案或者外延并购等等，能给点持股信心么？,您好，2018年，公司将延续外延式并购策略，充分利用上市公司平台和资本市场，重点关注金融IT、大数据、云服务、企业服务等领域的投资机会，通过投资、并购等方式整合上述领域的优质资源，丰富公司产品类型，增强公司行业解决方案能力，谢谢。
6,请问马强总经理，公司综合毛利率始终处于下滑的趋势，尽管下降幅度不大，主要原因是什么？今年有能改善吗？另外，公司人均绩效低于行业平均的情况已经持续多年了，有何措施改善吗？,感谢您的提问，公司目前正积极投入全球化业务，同时重视国内市场的开发，因此在人员规模上有较大发展。公司通过持续投入和规模合理扩张，对后续发展创造有利条件，谢谢。
7,请问财务总监，汇兑风险始终对公司业绩产生较大影响，请问您对2018年的影响是如何判断的？,您好，由于汇率的波动汇兑风险是很难准确预知的，市场永远存在不确定性，感谢您的提问，谢谢。
8,去年博彦嘉铭创投基金跟投了云途腾B轮，出于什么考虑？亦或看中了云途腾哪方面的优势？,您好。博彦嘉铭创投基金运作机制请关注相关公告。谢谢。
9,去年博彦嘉铭创投基金跟投了云途腾B轮，出于什么考虑？亦或看中了云途腾哪方面的优势？,您好。博彦嘉铭创投基金运作机制请关注相关公告。谢谢。
10,本人持有三年还亏损 公司还是靠外包卖人头赚微利 搞得解决方案看起来用处不大 并购也不力 算是市场的奇葩 为啥管理层不引进新高层人员 壮士断腕去转型 救救被套的广大散户,您好！公司将踏踏实实、诚信经营、规范运作，切实提高企业的发展质量，积极提升公司治理和管理水平，不断提高公司的核心竞争力、盈利能力和风险管理能力，以良好的经营业绩回报广大投资者。感谢您对公司的关注。谢谢。
