,Question,Answer
0,请问公司拟进入的什么新的细分领域吗？这一领域与公司现有业务的相关性？,"您好。
有关公司的业务发展规划详见公司2016年年度报告。
谢谢。"
1,未来几年， 公司如何定位， 哪些市场更适合公司产品的长远发展？,"您好。
有关公司未来发展规划见前面回复，或查阅公司2016年年度报告。
公司目前产品主要应用于建筑施工、装修装饰、建材加工等领域，具有广阔的市场。
谢谢。"
2,要实现公司的发展目标，请问信心来自哪里。,"您好。
信心来自董事会、管理层、全体员工的共同努力，以及广大投资者、公司客户的大力支持！
谢谢。"
3,公司高级管理人员的考评及激励情况怎样，有没有股权激励制度？,"您好。
公司董事会下设薪酬与考核委员会，负责制定、审查公司董事及高级管理人员的薪酬政策与方案，制定公司董事及高级管理人员的考核标准并进行考核。公司能够按照《薪酬与考核委员会工作细则》、《董事、监事薪酬管理制度》、《高级管理人员薪酬管理制度》等规定，公开、透明地对董事和经理人员进行绩效评价。公司严格按照《公司法》、《公司章程》等有关规定，聘任经理人员，并与经理人员签订聘任合同，明确双方的权利和义务。公司建立了经理人员薪酬与公司绩效和个人业绩相联系的激励机制，经理人员能够按照《公司法》、《公司章程》以及《总经理工作细则》等相关规定履行职责。
谢谢。"
4,公司目前主要的研发方面是什么？,"您好。
请您查阅2016年年度报告“第四节 经营情况讨论与分析—二、主营业务分析、4研发投入”中的相关内容。
谢谢。"
5,请问开完股东会后，如果送股通过几日内会送股？,您好，根据《上市公司股东大会规则》第四十四条 对顶股东大会通过有关派现、送股或资本公积转增 股本提案的，公司应当在股东大会结束后 2 个月内实施具体方案。公司2016年度利润分配方案详见公司2016年年度报告，该事项还须经股东大会审议通过方可实施。谢谢！
6,公司的发展战略是什么， 是否公司未来发展的主打方向？  以前没怎么听到这方面的动向， 能否详细讲解一下主要是面对哪些品种和市场？ 谢谢！,"公司未来将围绕五金工具、轨道交通装备、涂附磨具三大产业，创新经营模式，夯实基础管理，将公司打造成为盈利能力突出、核心优势明显、扎实稳健的集团化跨国经营企业。
一是继续提高现有工具制造业务经营水平，拓宽产品线，延伸产业链，在优化产品结构同时，向五金工具流通领域延伸，提升五金工具板块的盈利能力；二是推进高速列车制动闸片的产业化，建设轨道交通制动装置材料工程实验室，开展投资并购合作，加快打造轨道交通装备业务板块，形成公司重要的收入和利润增长极；三是以与常州市金牛研磨材料公司的重组为起点，切入涂附磨具行业，并以金牛公司为主体，在内生增长的同时，开展外延并购合作，将金牛公司打造成涂附磨具行业的旗舰型企业。
谢谢。"
7,公司截止至今的产品有多少个种类？,"您好。
目前已经形成产销的产品有金刚石工具、合金工具、电动工具，金刚石工具中有金刚石圆锯片、金刚石薄壁工程钻头、磨盘等，合金工具主要是木工锯片等，电动工具有钻机等产品。
谢谢。"
8,公司未来五年的目标是多少？能够实现吗？,"您好。
公司未来将围绕五金工具、轨道交通装备、涂附磨具三大产业，创新经营模式，夯实基础管理，将公司打造成为盈利能力突出、核心优势明显、扎实稳健的集团化跨国经营企业。
一是继续提高现有工具制造业务经营水平，拓宽产品线，延伸产业链，在优化产品结构同时，向五金工具流通领域延伸，提升五金工具板块的盈利能力；二是推进高速列车制动闸片的产业化，建设轨道交通制动装置材料工程实验室，开展投资并购合作，加快打造轨道交通装备业务板块，形成公司重要的收入和利润增长极；三是以与常州市金牛研磨材料公司的重组为起点，切入涂附磨具行业，并以金牛公司为主体，在内生增长的同时，开展外延并购合作，将金牛公司打造成涂附磨具行业的旗舰型企业。
谢谢。"
9,请问老总公司今年净利润同比增长多少？而管理费用去用比去年同期的增长了多少呢？,您好！2017年预算净利润同比增长100.89%，管理费用同比增长9.15%。谢谢！
