,Question,Answer
0,公司正在做那些竞争对手没做的的事？,"感谢提问！
我们目前的战略是双轮驱动，大力推动传统医疗IT业务及基于互联网的医疗创新业务。在创新业务方面我们推出4+1战略，关注云医、云药、云险、云康和+1服务平台。我们相信，只要我们持之以恒的去落实我们的战略及规划，我们能取得更大的进步！"
1,请问公司今年是否有对外扩张的打算？今年公司在市场开拓方面有什么计划？能否详细谈谈？谢谢,您好！感谢您的关注。在传统的HIT方面，我们关注有大量客户数量的行业公司，我们希望外延并购这些公司的全部或部分股权，依托卫宁强大的研发力量及完整的产品线，提供医院用户更好的产品和服务，共同做大做强我们的医疗信息化市场；同时，自身的营销服务网络也将保持持续扩张。在医疗健康互联网创新领域，我们关注我们“4+1”战略中涉及的四个方面的创新业务领域中优秀的公司，我们希望和大家携手，共同建设我们的“4+1”生态圈。谢谢！
2,目前公司享有的国家优惠政策有哪些？,谢谢您的关注！公司享有的国家优惠政策比较多，比如税收方面有双软、高新技术企业在所得税、增值税等方面；社保局有关职工培训；工信委、卫计委、科委及其他地方政府扶持等等。谢谢！
3,在给用户提供增值服务方面，公司做了哪些工作以增强对原有客户的锁定、新客户的拓展？,"感谢提问！
首先，我们在产品研发方面持续投入，确保我们的产品能满足更多用户的高端需求。在这个方面我们已经推出了新的基于互联网应用的产品。并且在我们刚刚结束的用户大会上得到了大家的认可。
另外，我们在服务方面持续改进，公司专门成立了质量管控机构及服务总部，进一步加强用户的满意度。
第三，我们充分发挥我们在互联网创新领域的业务落地，帮助我们的用户在业务上对接创新业务。让我们的用户感受到与卫宁健康的合作不仅仅能得到信息化的支撑还能得到医院本身业务领域的拓展。
我们相信我们的双轮驱动战略能更好的帮助我们的客户，同时能给公司带来更好的回报。
"
4,我对贵公司是长期投资的，请问预计今年上半年会盈利多少？,谢谢您的关注！公司围绕发展战略，并始终坚持以为产业链上下游创造价值为使命，深耕大健康生态圈。一方面发挥自身在健康服务领域的研发实力，积极创新和提升“互联网+健康服务”在各环节的渗透，依托技术优势全方位推动双轮驱动的深度结合；另一方面持续丰富各产品和医疗机构的整合，不断拓展服务领域。我们对未来充满信心，2017年业绩仍会保持持续增长。谢谢！ 
5,公司未来发展前景如何?对目前这个行业的前途看好吗？,"您好！感谢您的关注。公司所处行业格局和发展趋势如下：2016年3月，全国人大审议通过的《国民经济和社会发展第十三个五年规划纲要》指出，优化医疗机构布局，推动功能整合和服务模式创新。 加强专业公共卫生机构、基层医疗卫生机构和医院之间的分工协作，健全上下联动、衔接互补的医疗服务体系，完善基层医疗服务模式，推进全科医生（家庭医生）能力提高及电子健康档案等工作，实施家庭签约医生模式。全面实施临床路径。提升健康信息服务和大数据应用能力，发展远程医疗和智慧医疗。
2016年4月，国务院办公厅印发的《深化医药卫生体制改革2016年重点工作任务》提出，全面深化公立医院改革、健全全民医保体系、大力发展社会办医、健全药品供应保障机制、完善分级诊疗体系、深化基层医疗卫生机构综合改革和统筹推进各项改革等改革任务，另外明确重点任务牵头部门和时间进度安排，做到可追踪、可考核、可追责。重点体现了深化改革和开拓创新并举的改革思路，改革主线更加清晰、配套措施更加完善，提升了分级诊疗的战略地位，强调药品的生产、流通、使用全流程的总和管制。
2016年6月，国务院办公厅印发的《国务院办公厅关于促进和规范健康医疗大数据应用发展的指导意见》中描绘了多个健康医疗大数据的应用目标。1、夯实健康医疗大数据应用基础加快建设和完善以居民电子健康档案、电子病历、电子处方等为核心的基础数据库。2、全面深化健康医疗大数据应用。3.、规范和推动“互联网+健康医疗”服务，包括发展智慧健康医疗便民惠民服务、建立远程医疗应用体系、推动健康医疗教育培训应用等。4、 加强健康医疗大数据保障体系建设，包括法规、网络可信体系等方面。
2016年10月，国务院印发的《“健康中国2030”规划纲要》指出，健全医疗保障体系，完善药品供应保障体系，促进医药产业发展；到2020年，建立覆盖城乡居民的中国特色基本医疗卫生制度；到2030年，促进全民健康的体系更加完善，健康生活方式得到普及，健康服务质量和健康保障水平不断提高，健康产业繁荣发展，基本实现健康公平，主要健康指标进入高收入国家行列。
2016年，国家相继出台的政策继续推动医疗信息化与互联网＋健康的市场发展。一方面从保障全体人民健康为出发点，大力推动政府健康医疗信息系统和公众健康医疗数据互联融合、开放共享，积极营造促进健康医疗大数据安全规范、创新应用的发展环境；另一方面整优化健康服务体系，强化早诊断、早治疗、早康复，坚持保基本、强基层、建机制，更好满足人民群众健康需求。针对全民医保体系，通过进一步深化医保支付方式改革，推进发展商业健康保险等措施，进一步巩固完善全民医保体系。健康服务优化：强化覆盖全民的公共卫生服务；提供优质高效的医疗服务；充分发挥中医药独特优势；增强老龄化、妇幼等重点人群健康服务。
政府支持促进基本公共卫生服务均等化，支持公立医院改革，支持巩固完善基层运行机制。在医药方面，整顿药品流通秩序，挤压药价中的虚高“水分”。在医保方面，积极推进医保经办管理整合，充分发挥医保控费作用。在医疗方面，推进公立医院体制机制综合改革，调整优化医院收入结构，降低药品、耗材、检查和化验收入所占比重，提高医务性收入所占比重。此外，还要统筹推进公共卫生等领域的改革。
上述政策及发展趋势表明，通过医疗卫生信息化和互联网+开展医疗卫生服务的供给侧改革已成为政府以及社会各界的基本公知，在公立医疗机构改革方面，通过信息化提升精细化运营能力，降低成本，提高效益和满意度；在完善基层运行机制方面，通过深化基层信息化发展并利用分级诊疗系统及医疗联合体相关信息系统，加大区域服务协同能力，推广远程医疗等，能极大地提升基层水平和能力；在医保方面，发挥医保控费功能需要利用风控软件、引擎以及知识库等服务，对每年数百亿的服务进行动态、智能化的管控离不开信息化的支撑；在双降双控方面，更需信息化的支持，保障政策的落地和执行。政府不断的加大对医疗卫生事业及医疗信息化产业的支持力度背景下，医疗信息化热潮加速升温，未来五年将是医疗信息化建设的黄金时期。我国医疗信息化步入发展快车道，医院、社区卫生、公共卫生等信息系统的推广普及为主推力量，医院应用需求面向信息化和服务化双向拓展，云计算、大数据、物联网以及移动技术也逐步为行业用户接受。
因此，公司面临着巨大的发展机遇，未来发展前景十分广阔。谢谢！
"
6,公司如何规避各种风险，如产品质量、资金、管理等，减少各种负面事件？,"您好！感谢您的关注。公司可能面对的风险及对策如下：
1、公司规模的迅速扩张带来人才上的瓶颈
高端人才比较紧缺仍然是公司目前存在的主要困难，特别是高端研发人员扩张速度跟不上公司业务规模的扩张，导致公司潜在的新用户的需求得不到很好的满足，这可能会使公司失去一些市场机会。
随着公司产品线扩充、市场扩大和客户增加，公司目前面临的最大问题是人才，特别是研发和销售类的高端人才较难招聘，这可能会导致公司目前的一些潜在项目流失。
应对措施：公司已在合肥、常州以及西安设立区域研发中心，未来还将根据发展需要在其他地区设立区域研发中心。公司报告期末员工数量为2,750名，预计在未来几年内公司的总人数将扩张到4,000名以上，因此一方面建立多层次培训体系和薪酬体系，满足研发技术类的人才需求，另一方面，开展营销服务体系的建设，构筑全国性的销售服务体系，实现客户的近距离本地化服务。
2、新技术、新需求带来的不确定性风险
基于云计算的软件服务模式、大数据处理系统、临床决策系统等快速发展，这些系统所涉及的技术，都是比较新型的技术，这些技术是否能产生良好的效果，具有不确定性风险。
应对措施：产品及研发部预研各种技术，进行概念验证和典型用户示范，并与各高等院校、专业研究机构、客户及政府部门合作，将新技术、新需求有效应用于各个示范应用点，然后争取得到行业权威机构的支持和认可，进一步扩大推广应用范围。
3、行业竞争进一步加剧的风险
医疗信息化行业处于快速发展阶段，国内外市场参与者不断增加，竞争也将越来越激烈，鉴于行业广阔的发展前景和国内资本市场的进一步开放，缺乏竞争力和核心优势的企业将会被市场淘汰。如果公司不能紧跟行业发展方向，提高公司的竞争力和核心优势，将无法适应激烈的行业竞争。
应对措施：公司需采取更加积极的经营管理措施，加大研发投入，密切跟踪行业发展趋势和前沿创新技术，并积极关注行业竞争所带来的整合机遇，从而维持并加强公司在用户数量、用户粘性及技术方面的核心竞争优势，促进公司持续健康发展。
4、公司规模扩张带来的管理风险
公司自上市以来，持续快速发展，借助资本市场带来的良好效应，公司资产、业务、机构和人员都得到进一步扩张，加上并购脚步的加快及涉及大健康新领域，未来公司在机制建立、战略规划、组织设计、运营管理、资金管理和内部控制等方面的管理水平将面临更大的挑战。公司若不能及时提高管理能力和水平，做好企业内部治理，储备经营和管理人才，公司将面临一定的管理风险。
应对措施：公司将完善自身的管理体系和提升管理能力，建立规范的法人治理结构以及经营管理制度，不断创新管理机制，改变管理思维，经营单位独立核算，做好绩效考核，形成公司特有的、且适合公司的经营管理经验，应对公司扩张带来的管理风险。
5、收款及经营业绩的季节性波动风险
由于公司客户以国内的公立医院、卫生管理部门等机构为主，其对信息产品的采购一般遵守较为严格的预算管理制度，通常在每年上半年制定投资计划，需要通过预算、审批、招标、合同签订等流程，许多项目还需要纳入财政预算、政府采购，周期相对较长。公司客户年度资本开支主要集中在下半年尤其是第四季度，对公司的项目验收和付款也集中在下半年。由于受上述因素的影响，导致公司营业收入、净利润、经营性现金流量呈不均衡的季节性分布：最近三年，公司上半年收款一般只占全年的20%-30%，而第四季度能达到全年的50%以上；公司的收入和利润存在一定的季节性，软件及技术服务收入、净利润在上、下半年分别占比平均约为35%、65%。投资者不宜以公司季度或者半年度业绩作为投资判断的主要依据。
应对措施：公司将加大市场工作力度，及时了解、掌握和引导客户的投资计划，在不违反相关规定的前提下尽早介入项目前期规划工作，同时合理调配人力资源，使得项目实施尽量能够均衡开展，减少因自身因素造成的项目实施时间集中问题；同时，加大收款考核力度，与客户保持及时有效沟通，减少因人为因素造成的收款时间集中问题。
谢谢！"
7,能介绍一下公司现在各大区域的销售和占有率等基本情况吗?,"您好！感谢您的关注。2016年度，公司各区域的营业收入及所占比重情况如下：
上海	243,857,786.59	25.55%
其他华东地区	225,987,104.84	23.65%
华东小计	469,844,891.43	49.22%
华北	370,178,291.19	38.74%
华中	53,069,953.58	5.55%
华南	61,380,199.37	6.42%
谢谢！"
8,请问老总公司今年净利润同比增长多少？,谢谢您的关注！公司围绕发展战略，并始终坚持以为产业链上下游创造价值为使命，深耕大健康生态圈。一方面发挥自身在健康服务领域的研发实力，积极创新和提升“互联网+健康服务”在各环节的渗透，依托技术优势全方位推动双轮驱动的深度结合；另一方面持续丰富各产品和医疗机构的整合，不断拓展服务领域。我们对未来充满信心，2017年业绩仍会保持持续良好的增长。谢谢！ 
9,公司今年有新投资的项目吗？如果有，当年能否为公司贡献利润？如有利润贡献，公司预计能实现多少利润？,公司目前的业务定位主要还是围绕传统医疗IT业务及互联网医疗创新业务在发展。特别在互联网医疗创新业务方面其实涉及的面是非常广的，我们通过4+1战略的布局，业务层面已经涉及除医院之外的药品、保险及个人健康等领域。并且在这些领域中都有我们投入的机构及同事们在努力工作，积极推动。公司坚持内生发展与外延并购的发展策略，在有适当的机会时会继续对外投资。谢谢！
