,Question,Answer
0,杨叔叔好，我来了，我回到2012年啦，哈哈，超喜欢，公司的主营业务是什么呢？,你好！公司主营业务与2012年未发生很大的变化，不过产品更丰富了，新建了平湖独山港生产基地，建立了丙烷脱氢制丙烯装置，确保了公司丙烯酸的原料供应。丙烯酸与酯产能已经成为国内最大。新建了年产30万吨聚丙烯装置。SAP已经打开的国内主流客户的市场。公司保持稳步发展。谢谢！
1,杨总，您好！请问2016年最后一季度利润为何有如此大的增长？2017年一季度的增长也很大，这种增长是否可持续？SAP项目预计2017年能给公司带来多少利润？一季度的利润增长中有SAP项目的盈利吗？,你好！感谢你的提问。2016年四季度主要受丙烯酸及酯行情的影响，产品价格上涨。2017年一季度保持了较好的市场行情，增长较为稳定。SAP作为公司发展的战略性产品，目前主要是打品牌和增加市场份额，抓住时机加快发展，目前还没有贡献可观的利润。谢谢！
2,请问董事长：公司预计2017年1月至3月归属上市公司股东的净利润区间（万元23000至33000，在这里面非经常性损益有多少？谢谢！另外，公司产品（甲基）丙烯酸及脂下半年的毛利率较上半年高了许多，未知今年情况怎样？谢谢！,你好！感谢你的提问。在一季度预测中未考虑非经常性损益。今年丙烯酸及酯行情继续保持稳定发展。谢谢！
3,公司产品（甲基）丙烯酸去年下半年毛利率较上半年有较大提高，未知今年市场情况怎样？谢谢！,你好！感谢你的提问。关于丙烯酸及酯的市场，今天应该仍保持较稳定的发展。谢谢！
4,您好，请问下米多财富经营情况，以及在公司战略版图中的位置？,你好！米多财富是国内首家独立理财平台，独立理财模式已在英美等发达市场发展了数十年。随着国内投资者阶层崛起，符合客户利益的独立理财被认为是未来财富管理行业最重要的发展方向。投资米多财富是公司推动“产业资本”优势，探索“实业金融”的重要尝试。2016年，米多平台完成资产配置规模超过100亿元。谢谢！
5,公司对未来国内SAP市场的前景如何判断？,感谢你的提问。SAP的市场潜力是巨大的：首先，二胎政策的开放，新增婴幼儿的数量会增加，婴儿纸尿裤的用量会明显上升；其次，人口老龄化进程，随着生活水平的提高，成人失禁用品的普及率在上升，越来越多的老年人用上成人失禁用品；最后，国内纸尿裤的市场覆盖率目前仍然较低，相比欧美、日本等发达国家的覆盖率，随着现在观念的改变，国内市场还有巨大空间，前景广阔。谢谢！
6,请问公司长投康城护理占比多少，康城2016年报亏损，2017年一季度及全年业绩预测如何？,谢谢您对公司的关注! 康程是我们的参股公司，投资比例23.56%。业绩情况请关注我们发布的公开信息。
7,请问公司对康城护理的投资比例是多少，康城护理2017年一季度的业绩预测如何,谢谢您对公司的关注! 康程是我们的参股公司，投资比例23.56%。业绩情况请关注我们发布的公开信息。
8,公司定增方案已获证监会审核通过，何时可以发行？,你好！感谢你的提问。公司再融资方案已获得证监会发审会通过，目前正在等待批文，公司将在收到批文后会及时披露，并择机启动发行工作。谢谢！
9,公司未来发展的思路是什么？,您好！公司将继续着力做好C3产业链的经营与管理，通过高研发投入、高开工率、高市场占有率，维持公司在行业内的创新与成本优势，形成C3产业生态圈，成为国内最好的C3产业生产商。同时，推进中国最好的专注于技术与服务的多元化化工企业的愿景，通过并购和投资，快速切入多领域，创立新的业务亮点和新的利润增长点，提升公司整体盈利水平，谢谢！
10,总裁好，能不能对公司2017年产能和价格做个预测,你好！感谢你的提问。公司上游大宗化工原料方面保持高负荷运行，下游精细化工会根据市场需要进行产能的调整。价格在下游精细化工方面会比较稳定，而上游化工原料则会根据市场灵活调整，保持公司良好的经营局面。谢谢！
11,请问已建成的募投项目资金是公司垫资的吗？还是哪的？,您好！在定增募集资金未到位之前，先用银行借款。
12,如若公司股价在走下坡路的情况下，是否会推出高股价股权激励计划？,你好！感谢你的提问。股权激励是企业可采取的一项有效的激励措施。公司实施股权激励主要激励员工为公司设立的目标去努力，比如利润目标、收入目标。当公司完成这些目标的同时，我们相信广大投资者会支持我们，通过与投资者的互动，成为你中有我，我中有你，共同推动上市公司的发展。谢谢！
13,公司是否具备长期投资的价值？你是怎么看的？ 如果有机会，你会增持吗？,谢谢您对公司的关注，作为卫星的高管我对公司的前景满怀信心，公司具备长期投资的价值。
14,公司对未来丙烯酸市场的格局如何判断？,投资者您好，丙烯酸行业经过前三年格局的调整，已经从底谷逐渐走出来，行业内这期间优胜劣汰，部分产能退出，目前维持在供需平衡的状态，行业集中度也越来越高，卫星的品牌影响力在此期间有一定的提升，公司产品的市场占有率有所提高。
15,公司如何组织原料的采购以保障价格的合理，以及货源的保障？,你好！感谢你的提问。公司依托稳定的生产需求，长期与国内外供应商合作，已经建立了良好的关系网络，并建立了一支专业化采购团队，与中东、美国等国家和地区的生产商保持了良好的合作与沟通。同时，公司拥有自己的专业物流中心，目前拥有港口仓储中心与专业化学品物流运输，进一步提升了公司在采购及成本控制方面的优势。谢谢！
16,您好，贵公司的米多财富是不是相当于理财投资啊？看年报里也没有说明！,您好，米多财富是国内首家独立理财平台，独立理财模式已在英美等发达市场发展了数十年。投资米多财富是公司推动“产业资本”优势，探索“实业金融”的重要尝试。
17,贵公司是否会考虑实施股票期权等规范股权激励方式，惠及更多员工？,你好！感谢你的提问，公司在企业文化中有两句话：一是个人与企业共同发展，企业与社会共同发展；二是让卫星员工的待遇在区域内高人一筹，让卫星员工的素养在区域内胜人一筹。所以，公司希望员工与企业共同成长，让员工的生活品质提高。所以，公司会持续考虑股权激励、员工持股计划等方式，激励更多的员工。谢谢！
18,相比较2015年，为何2016年的产品销量增加那么多,谢谢您对公司的关注，产品销量同比增加主要来源于丙烯产能的提升、聚丙烯项目的产出。
19,请问公司有无通过发行公司债券等形式进行募资的计划？有无设立并购基金收购标的的计划？,您好，目前没有发行公司债进行募资的计划，如果有合适的方案，我们会积极通过并购和投资，快速切入多领域，创立新的业务亮点和新的利润增长点，提升公司整体盈利水平。
20,去年公司有没有发生安全事故？,你好！感谢你的提问。在公司的企业文化中强调：安全比利润更重要，安全是企业的生命线，因此公司一直将安全和环保放在工作的首位。2016年公司根据安全环保控制要求，加强员工安全知识与操作技能培训，安排了安全消防演练，提高员工安全意识与安全防范技能；严格进行安全检查，加大事故隐患排查力度，全年未发生重大安全事故和重大环保事故。谢谢！
21,公司未来是否还会继续通过并购方式进行扩张？,投资者您好，公司会考虑运用上市公司收购兼并的途径来加快公司的发展。公司今年也会继续关注这方面的工作，围绕公司的产业战略规划推进相关工作的开展。
22,王总好，公司2016年度的分红计划？,"您好，董事会拟定如下分配预案：以2016年12月31日总股本803,520,000股为基数，向全体股东每10股派发现金红利1.16元（含税）。剩余未分配利润滚存至以后年度分配，不进行资本公积金转增股本。"
23,作为一家上市公司，为了更有利于与投资者交流，能不能在公司网站上设置交流互动功能？,您好！感谢您的提问和建议。我们现在公司网站在投资者交流中可以链接到互动易平台进行提问。同时，我们现在正在进行公司网站的重新设计和建设，我们会采纳您的建议，在新的网页中增加投资者直接提问的平台。谢谢！
24,公司提出来的一个愿景、六大板块、四大支撑具体指什么？,你好！感谢你的提问。公司的一个愿意、六大板块、四大支撑是公司2015年进行产业战略规划时确定的公司至2020年的发展战略。一个愿意是指卫星要成为中国最好的专注于技术和服务的多元化化工企业。六大板块是指PDH、丙烯酸、其他丙烯下游、纺织化学品、SAP、特殊化学品等六大板块，四大支撑是指人才、营销、采购与创新四大能力。谢谢！
25,公司2016年参股了湖南康程，请介绍一下康程的基本情况？,您好，康程护理是国内最早做渠道转型的公司，比较早转型做电商、婴童连锁，康程护理的销售渠道主要分四大板块：一、传统商超；二、电商，2016年8月期已经开始盈利，电商平台月销量排名第四，排名包含国外品牌尿不湿在内；三、OEM，增量非常快，为多个国外品牌做技术输出，也说明了康程护理生产的纸尿裤品质优秀；四、婴童连锁，每年订单量也非常大。另外康程护理开发了一款超薄型纸尿裤，设计了双层SAP，吸水速度非常快，婴儿穿戴后就算尿湿也不会有厚重感，我们有信心康程护理能用5年左右时间成为国内数一数二的纸尿裤品牌。
26,公司收购星源科技的目的是什么？,你好！感谢你的提问！公司致力于技术优化降低成本，同时将加大力度吸引高端人才，增强研发力量，不断推出新产品和新的应用服务。因此，公司需要有吸引人才的平台，从硬件设施和软件条件上创造优质的科研环境。而星源科技位于嘉兴市经济开发区（国家级），近高铁嘉兴南站，与上海、杭州均半小时车程，可以发挥三地同城效应，有利于吸引更多高端人才，加快布局和推进公司战略。谢谢！
27,装置的正常运行对公司至关重要，公司如何避免类似去年巴斯夫爆炸这样的事故？,你好！感谢你的提问！公司一直坚持把安全环保生产放在首位，安全是企业最大的福祉，是发展的根本，是效益的保障，卫星时刻把员工的生命健康放在心上，安全工作零容忍。谢谢！
28,沈总，公司预留的35万股限制性股票预计何时授予？,你好！感谢你的提问！根据公司2016年限制性股票激励计划，预留限制性股票的激励对象由公司董事会自股东大会审议通过该计划之日起12个月内，按计划规定的原则、方式和程序进行确定。2016年9月19日公司股东大会通过了限制性股票激励计划，公司将在有效期内择机进行预留限制性股票的授予。谢谢！
