,Question,Answer
0,去年的市场行情并不好，物价又涨，今年公司在市场开拓方面有什么计划？能否详细谈谈？,公司今年将针对经济作物，研发和推广各类经济作物肥料，以期完善公司产品结构，形成新的利润增长点，促进公司业绩增长。
1,请问：公司产品的技术含量如何？专利多吗？行业垄断地位如何？ 那些项目能给公司带来利润增长点？预计是否能保持3年的增长？,公司在复合肥行业具有一定的竞争优势，目前拥有专利160多项，公司主营业务为复合肥的研发生产销售，是公司主要利润来源。公司将继续做大做强主业，促进公司业绩不断增长。
2,"去年有机构投资者去公司做调研吗,都是哪些？我们这些中小投资者在哪里能看到机构投资者的调研情况？",您好，2016年，有多家机构来公司调研，调研记录可以登陆《巨潮资讯网》的《投资者关系信息》查看。感谢您的关注。
3,"公司采取了具体怎样的应对措施,在同业中不断做大做强?",公司对未来发展主要有以下方式：1、继续深更市场，提升市场占有率；2、加强品牌建设，保持品牌影响力；3、加强产品研发，提升产品科技含量；4、加强服务建设，做好农业服务。
4,一直指望公司会推出高送转方案，不知道今年是否有希望，什么时候能出预告？,投资者您好，公司2016年度利润分配预案已随2016年年报披露，详细内容请查看公司4月27日披露的公告。
5,希望公司在本专业领域专注于做强做大做实，提升公司的行业地位，给投资者以回报！,您好，感谢您对公司的关注！
6,做大、做好市值管理是每个公司成长的必然追求，公司是如何进行市值管理的？,公司从几个方面进行市值管理：1、努力提高信息披露质量2、加强与投资者沟通互动，积极回答投资者提出的问题；3、努力提升公司盈利能力，好的公司基本面是市值管理的基础；4、综合利用资本市场的工具，为公司培育、寻找有成长空间的、新的利润增长点。
7,2017年公司是否考虑对高管实行股权激励，如果有的话大概什么时候实行？,您好，公司如实施股权激励计划，会根据规定进行披露。请持续关注公司公告，谢谢。
8,请问今年预计主要产品的销售目标是多少？净利润是多少？,公司对于全年的业绩预期将于公司三季报中披露，请您关注公司三季报，谢谢！
9,请问开完股东会后，如果送股通过几日内会送股？,根据规定，在股东大会审议通过利润分配方案后的两个月内完成利润分配的实施。
10,公司2017年利润会有哪些新的增长点?,针对经济作物肥料的研发、推广和销售将成为公司2017年的重点工作，相信会给公司带来新的盈利增长。 
11,公司在税收方面有没有相关的优惠政策？具体税率是多少？,"投资者您好：
       公司属于国家高新技术企业，所得税率为15%，详细内容请看2016年度报告公布的数据。谢谢您。"
12,公司预计2017年业绩较去年同期是上升还是下降？若上升，则增幅是多少？,请您关注公司三季报对全年业绩的预告，三季报内会对相应内容进行披露。
13,自从微博出现后，对于舆情的关注和扩散在一定程度上都有所放大，关于舆情的监控，公司有些什么样的手段？而在应对负面舆情的时候，又有什么样的应急措施？,公司一直与主要媒体保持良好的沟通与合作，并积极建立自身的危机公关机制，将逐步做到完善的处理相应问题的出现。
14,请问公司上一季生产经营状况如何？与去年同期相比如何呢？,公司2017年1-3月实现营业收入13.54亿元，同比下降4.04%；归属于上市公司股东的净利润7959.56万元，同比下降47.42%。其它详细数据，请查阅公司一季报。
15,公司未来3年发展前景如何?,目前，复合肥行业受粮食价格下降、原料价格波动较大、运费增值税等优惠政策取消的影响，行业较为低迷，日益趋严的环保政策也对行业有一定的影响，公司去年的经营也受到一定影响。但目前的行情也促进了行业落后产能的淘汰，加快了行业整合速度。公司相信会逐渐从行业低潮中走出，经营再上一个台阶。
16,公司现阶段发展过程中有何不足？面临的最大挑战是什么？如果新客户在磨合期放弃与公司合作，公司有无应对措施？,公司在产品结构上需要进一步改善，除升级完善大田作物肥料之外，还需加大对经济作物肥的开发推广，保证和提高大田作物肥料市场占有率、对经济作物肥的研发及推广销售是目前公司面临的挑战。在新客户开发方面，公司前期会进行走访调研、意向客户储备，后期进行接触、谈判，综合衡量客户的综合实力，减少客户开发风险。
17,请问公司在财务结构上有什么不足，打算采取哪些举措。,"投资者您好：
      公司本身资产负债率等财务指标在合理范围之内，随着公司业务的升级，公司的盈利能力也将进一步提升，公司财务结构将进一步健全。谢谢您"
18,你如何看待同行业其他公司的经营情况？在同行业竞争中，公司排名第几？你认为公司业绩增长的主要优势或障碍在哪里？,"当前农资行业竞争压力比较大，行业内的企业经营情况也有好有差，以复合肥的市场占有率来讲公司应处于行业第三位。我公司发展的主要优势体现在：品牌影响力大；基地布局辐射全国；专营专卖，坚持“双品牌双渠道”运作；先进的信息化系统，大大提高工作效率等。公司尚有待改善的地方主要有：基地对周边市场的带动作用有待加强；产品价格高于竞品，市场占有率有待提高；固定费用较高，效率提升空间较大。

"
19,最近公司财务状况如何？,"投资者您好：
      公司生产经营一切正常，财务状况良好。谢谢您。"
20,"国家要求实行经济节约型政策,公司具体是怎么做的?","投资者您好：
第一、公司一直在学习标杆企业型，寻找差异不足、实现企业的降本增效。第二，公司在产品设备等方面积极相应国家号召，淘汰落后设备和工艺，进行设备和产品工艺的双重更新，提高企业的竞争力。"
21,新三板的扩容，带来了新的投资机会，你们公司在这方面有什么打算吗？,公司一直在关注新三板的相关企业情况，并积极寻找其中优质的企业。
22,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？公司有没有一个具体可行的持续增长计划？,"投资者您好：
    1、 公司的产品在营销上，通过渠道下沉、终端拉动、模式先导、一地一策、渠道精耕等方式，确保公司营销工作的持续推进。品牌上，公司将“史丹利”、“三安”作为战略品牌，“第四元素”、“劲素”作为高端子品牌，通过品牌与产品的分类与组合，形成清晰的品牌规划和产品序列。2、2017年销售目标会根据市场行情进行相应调整。3.年初公司战略委员会已制定持续的增长计划。"
23,"公司的持续良性发展是投资者投资信心的有力保证,愿公司的发展能为投资者带来良好的回报!请问公司领导对今年有信心吗？",从去年开始，各种利空因素持续影响复合肥行业，使行业经营压力不断增大，但从行业发展来看，这样的条件加速了行业落后产能的淘汰整合，这对行业规模性企业来说是一件好事，公司管理层对公司的发展抱有坚定的信心！
24,在企业文化方面，公司有什么特色吗？,公司经过多年的发展，形成了适应公司自身发展的企业文化，并确立了“创造美好农业”的企业使命。
25,"这几年社会道德严重滑坡,不讲诚信，为了个人利益突破道德底线的行为屡屡发生，你作为企业高管如何看待？","近几年，虽然关于道德方面的负面新闻频繁报出，但我们身边的美德却还是有的。道德在社会上并非孤立存在，它需要外部环境来促进和推动。我们的社会不缺少道德观念，
缺少的是如何为这些道德观念提供有力的后援。道德建设需要每个人的力量。"
26,股价升等于做免费广告，有助于公司产品销量升、业绩升，形成良性循环。建议公司配合将股价做上去。,感谢您的建议，谢谢。
27,近一年来，贵公司高管考虑增持吗？,暂时没有，请您关注我们公司公告。
28,希望公司在适当的时侯推出激励计划来聚集和挽留人才，保持公司的竞争力！,"投资者您好：
       公司一直注重人才的培养与人才的引进，公司已实施第一期股权激励计划。公司会在合适的时机考虑您的建议。谢谢。"
29,现在行业间的并购都比较频繁，你们今年有没有兼并收购计划？,公司正积极寻找机会和优质标的。
30,公司如何规避各种风险，如产品质量、资金、管理等，减少各种负面事件？,公司将在日常运营中做好内控管理，提升产品质量，做好资金管控，提升管理水平等，避免负面事件的出现
