,Question,Answer
0,公司目前有哪些在建项目？建设进度如何？还需要多少资金？,你好！公司目前在建项目及相关情况详见公司2016年年报经营情况讨论与分析。谢谢！
1,去年公司经营遇到的最大困难是什么?今年有望改善吗？,您好！公司认为，现阶段房地产行业的风险主要来自于一系列市场变化不确定性。企业规模偏小，利润率受到土地、建安成本上升、人工费上涨、建设标准提高等一系列因素影响而不断下降。我们将通过不断地项目拓展与内部资源的挖潜，努力克服公司遇到的困难！谢谢！
2,公司管理层怎么看待去年的业绩，满意么？能说下今年有什么目标吗？,您好！由于去年区域市场向好，公司业绩相比前年有了一定的提高！今年公司在业务上响应国家“重点发展普通商品住房”的产业政策，以发展普通商品住宅小区建设为主营业务，适当拓展小区配套商业的开发建设，适应市场需求，确保公司区域性房地产的领先企业地位，谢谢！
3,公司领导怎么看现在公司的股价，对我们小散有什么忠告？谢谢,您好!二级市场股票价格的波动是受多种内外部因素影响而形成的，公司对二级市场股价的高低不好评判。公司认为，踏踏实实地做好企业的生产经营，创造出更好的经济效益和社会效益，回报股东、回馈社会是我们努力的目标，从长远来看，二级市场的股价和公司的价值是会趋于一致的。谢谢！ 
4,公司的负债比率有多少？,你好！公司资产负债状况和财务数据详见公司2016年年报。谢谢！
5,请问公司里是否有专人负责回答全景网投资者关系互动平台里股民的问题？股民的问题是否会传到公司的高层？,您好！本公司董事会秘书和证券部员工负责回答投资者关系互动平台的问题，所有问题及回复均及时传递给公司管理层主要人员。谢谢！
6,公司截至目前为止都有哪些子公司和参股公司？,您好！本公司的全资和控股子公司情况详见公司2016年年度报告。谢谢！
7,能简单的介绍下新项目的情况吗？,你好！公司新项目的具体情况请详见公司2016年年报相关内容。谢谢！
8,请问公司如何看待市值管理的？近期管理层新出的增发新规对公司以后资本运作有何影响？,您好！影响股价的因素有很多。公司没有能力改变资本市场的偏好和波动。但是公司相信长期来看，公司的股票价格决定于公司的价值。未来公司将更努力提高经营效率，提升公司的价值。同时也将进一步加强与投资者的沟通，希望投资者能更充分认识公司的价值，从而也能使投资公司的股东获得更好的回报。谢谢！
9,公司目前面临的最大问题是什么？,您好！公司认为，现阶段房地产行业的风险主要来自于一系列市场变化不确定性。企业规模偏小，利润率受到土地、建安成本上升、人工费上涨、建设标准提高等一系列因素影响而不断下降。谢谢！
10,公司的前5名供应商是什么，与公司存不存在关联关系？,你好！公司的前5名供应商情况详见公司2016年年报，前5名供应商与公司不存在关联关系。谢谢！
11,公司的发展战略是什么， 和公司现有的主营业态一致吗？  能否详细讲解一下？ 谢谢！,您好！本公司的发展战略与现有的主营业态一致。本公司在业务上响应国家“重点发展普通商品住房”的产业政策，以发展普通商品住宅小区建设为主营业务，适当拓展小区配套商业的开发建设，适应市场需求，确保公司区域性房地产的领先企业地位，谢谢！
12,公司截止目前的股东总人数是多少？,您好！公司将根据相关规定在每次定期报告中披露该报告期末的普通股东总数！谢谢！
13,董事长，您好！请问合肥城建股权划转兴泰控股，是合肥城建谋求更大发展需要，还是兴泰控股对合肥城建更有兴趣？兴泰金融对合肥城建战略发展有何重要意义?,您好！本公司第一大股东无偿划转至兴泰控股是根据合肥市国资国企改革的整体部署，对合肥市国有资本营运机构进行的调整。谢谢！
14,我是公司的一名小股东，请问我想现场参加股东大会，不知道应该怎么做？需要什么样的程序？,您好！现场参加股东大会的程序详见2017年3月28日公司在巨潮资讯网发布的《关于召开2016年年度股东大会的通知》。谢谢！
15,您好！贵公司2017年一季度业绩预升还是预降？,您好！根据深交所关于业绩预告的相关规定，本公司2017年第一季度经营业绩与上年同期相比上升或者下降幅度小于50%，所以在2016年年度报告中无需预计2017年1-3月经营业绩，本公司将于4月21日披露2017年第一季度报告，请您关注。谢谢！
16,公司管理层怎么看待去年的业绩，满意么？能说下今年有什么目标吗？,您好！由于去年区域市场向好，公司业绩相比前年有了一定的提高！今年公司在业务上响应国家“重点发展普通商品住房”的产业政策，以发展普通商品住宅小区建设为主营业务，适当拓展小区配套商业的开发建设，适应市场需求，确保公司区域性房地产的领先企业地位，谢谢！
17,陈总您好，请问合肥城建今年对安徽省三四线城市地产开发有何计划？有无到省外发展业务的意愿？,您好！基于我们对市场的判断，公司将坚持以合肥为主、兼顾省内外投资价值较大的城市慎重选择房地产开发项目。实现公司稳健发展的经营策略！谢谢！
18,您好！请问贵公司与大股东兴泰控股就注入金融资产，打造地产金控双轮发展的进程有没有实质性运作？,您好！目前尚不了解兴泰控股对本公司未来发展战略的具体规划。谢谢！
19,您好！贵公司去年将股权划转给兴泰金控说是要注入金融资产，现在都过了一年了为什么还没有实质性的动作？是哪方面出了问题？,您好！本公司大股东现在已经变更为兴泰控股，目前尚不了解兴泰控股对本公司未来发展战略的具体规划。谢谢！
20,请问公司有无通过发行债券等形式进行募资的计划？有无设立并购基金收购标的的计划？,您好！公司已于2016年7月召开股东大会审议通过发行公司债事宜，目前正在进行中。公司目前没有设立并购基金进行标的资产的收购。谢谢！
21,您好！截至到2016年12月31日，“国家队”即中金、证金、汇金的持股比例有多大？,您好，公司2016年12月31日主要股东情况已经在2016年年度报告中披露。谢谢！
