,Question,Answer
0,截至4月30日，“国家队”即证金、中金、汇金合计持有贵司多少股份呢？,您好，感谢您对公司的关注！截至3月31日，根据中国证券登记结算有限公司提供的股东名册，中国国际金融股份有限公司、中央汇金投资有限责任公司、中国证券金融股份有限公司未持有本公司股份。
1,"同行业内有哪些主要竞争对手？公司采取了什么样的应对措施,在保持稳定增长的前提下不断做大做强?","我公司通信网络设计业务主要竞争对手有运营商所属的设计院以及少量非运营商所属的设计院，通信网络施工业务主要竞争对手有国内具有高等级施工资质的企业。
应对措施：
1、不断提升技术水平：公司是通信技术服务领域的高新技术企业。公司具有通信网络技术服务行业所需的多项高级资质，拥有10项专利及48项著作权，并参与编制3项国家标准和6项行业标准。公司有较强的研发能力，形成了自主创新的知识产权体系，始终跟踪国内外的先进技术，可以为客户提供所有专业的网络设计服务和网络工程服务。
2、增强人才队伍建设：公司的人才优势突出表现在拥有一支专业、团结、高效的管理团队和一支经验丰富、结构合理、专业过硬、服务意识强的技术队伍。通信网络设计服务人员及通信网络工程服务人员多长期工作在通信网络技术服务业的一线，专业涉及无线、传输、核心、数据等众多领域，具有丰富的专业理论知识及实践操作能力，为公司服务的研发、改进等提供了良好的专业背景。公司大多数一线生产员工都是吉林大学通信工程学院的优秀毕业生，具有较强的专业基础。近年来，公司一直和吉林大学通信工程学院保持着良好的合作关系，对提升企业实力起到了积极的作用。高素质人才的引入也保证了公司的人才竞争优势。
3、提高服务质量：公司业务在东北、华北地区通信网络技术服务行业具有较高的影响力，新近拓展了西北、西南、华南等多个地区的服务网点。公司提供的服务已覆盖全国近20个省、直辖市、自治区，境外业务也有所突破，是行业内服务区域最广的企业之一。在原有本地化服务基础上，随着募投项目57个网点的升级改造完成，公司能够为用户提供完善、及时的技术服务，随时随地满足客户技术服务需求，具有强大的服务优势。公司多次获得中国勘察设计管理协会、中国工程设计协会、中国通信企业协会通信工程建设分会、吉林省通信行业协会、吉林省信用评价认证中心、吉林省住房和城乡建设厅、吉林省发展和改革委员会、辽宁省通信管理局、各服务单位等颁发的获奖证书。
4、扩大品牌优势：公司自1985年由长春邮电学院校办企业发展至今，凭借原长春邮电学院在专业、市场及人脉方面的深厚积累，创造了通信网络技术服务行业的知名品牌。公司30年来一直将维护品牌形象、创造品牌价值视为长期发展目标，努力为客户提供高质量的通信网络技术服务，积累了良好的口碑和大量优质客户资源。公司获得中国工程设计协会颁发的2013-2014全国AAA级信用示范单位证书，成为2013-2014全国AAA级信用示范单位。
"
2,您对吉大通信在2017年的经营与发展有何建设性意见呢？,您好，感谢您对公司的关注！建议公司积极开拓新领域、新区域的业务，引进新的人才，能够保持稳定的发展态势。
3,2017年以来，有多少家机构到贵司进行了调研？,您好，感谢您对公司的关注！目前为止没有机构到我公司进行调研。
4,请问公司的销售模式是什么样的？,您好，感谢您对公司的关注！公司根据客户的招标政策，参加通信运营商的集团公司、省级分公司、市级分公司或者通信运营商直属的通信设计院的招标项目进行投标，中标后进入项目实施阶段。
5,请问公司筹资活动现金流为什么同比减少了100%？,您好，感谢您对公司的关注！公司2016年筹资活动产生的现金流净额同比上年减少100%，主要由于 2016 年度公司没有发生长期借款情况。
6,请介绍一下公司主营业务情况？,"您好，感谢您对公司的关注！本公司系2010年5月由长春电信工程设计院有限公司整体变更设立的股份公司。其前身为1985年4月成立的长春邮电学院电信工程设计室，2008年2月，改制为长春电信工程设计院有限公司。作为国内较早从事通信网络技术服务的企业，本公司自设立以来依托高校股东背景，始终专注于通信网络技术服务的主业。
本公司是一家专业为通信运营商提供通信网络技术服务的高新技术企业，是国内领先的通信网络技术服务商。公司主营业务为通信网络技术服务，包括通信网络设计服务及通信网络工程服务。公司经过多年的通信技术研究水平提高、专业人才培养以及从业经验积累和市场的开发拓展，目前已发展成为服务能力强、技术水平高、业务链条完整的专业化通信技术服务商。截至目前，公司具有从事通信网络技术服务业务所必需的多项高等级资质、10项专利和48项软件著作权，并获得多项省局级荣誉证书。
公司主要客户为中国移动、中国联通和中国电信。公司在黑龙江、辽宁、内蒙、新疆及海南等多个省份从事了多年通信网络的设计服务和工程服务，具有强大的通信网络技术研发能力和优秀的人员队伍。目前，公司的服务范围已覆盖东北、华北、西北、西南、华南等大部分地区。
除此之外，公司在吉林开展智慧城市的网络设计服务和网络工程服务。公司已取得了陕西、吉林等地区的中国广电网络设计服务业务的入围资格，并将在广电网络的数据宽带业务、无线双向网业务及相关上下游产业开展业务。同时，随着国内通信网络技术服务市场竞争的加剧，发行人积极开拓海外合作市场。
随着公司业务和规模的不断发展和募集资金投资项目的顺利实施，公司将进一步拓展在全国的服务范围、提升公司的专业研发和创新能力、提高专业的服务质量，从而进一步提高公司的核心竞争力和盈利能力。谢谢！
"
7,请问公司目前开展业务的主要区域包括哪些区域？是否有继续拓展的计划？,您好，感谢您对公司的关注！公司主要在东北、华北地区开展通信网络技术服务业务，并通过多元化的客户结构和多地区的营销策略提升自身的市场份额。国内积极扩展西北、西南区域市场，国外积极扩展海外市场，如伊朗、菲律宾。
8,请问公司的研发投入为公司发展带来了什么影响？,"您好，感谢您对公司的关注！公司主营业务是通信网络技术服务。通信网络技术服务是一个以通信技术发展为导向的行业，对专业技术要求较高。为了满足客户的需要、提升市场竞争力，公司必须及时跟踪通信网络技术的最新发展情况、加强人员培训、加大研发投入和加快研发成果转化，以保证公司始终提供优秀的服务，满足客户的需求，保持公司的市场份额及利润水平稳步提高。
随着公司业务和规模的不断发展和募集资金投资项目的顺利实施，公司将进一步拓展在全国的服务范围、提升公司的专业研发和创新能力、提高专业的服务质量，从而进一步提高公司的核心竞争力和盈利能力。
"
9,公司所属行业为知识、技术密集型行业，请问公司如何保障员工技术水平能跟上行业要求？,您好，感谢您对公司的关注！公司通过全方位引进多层次人才、加强公司和部门内部培训、完善激励考核制度，加强与知名高校、科研院所、企业合作共同培养人才等方式推动公司技术团队、管理团队和员工整体素质和水平的提高。
