,Question,Answer
0,姚总，加油，我准备再持有吉艾科技五年，跟姚总一起见证吉艾之辉煌,好的，信任无价，我们一定全力以赴。
1,请简单介绍下对公司业绩贡献较大的业务板块？新的一年将会有何种针对性的战略调整和布局？,目前债务重整和资产包处置是公司主要的利润来源。随着各类投资机构更多的和我们合作，将来预计管理和服务收入的占比会越来越高。
2,姚总好，麻烦问一下您是否有将吉艾未来打造成千亿市值公司的规划。,梦想总要有吧？万一实现了呢？再说了，这应该也不是梦想。
3,姚总好，贵公司在您的带领下本年度一季度业绩就已经基本持平有证的海德2017全财年业绩，希望再接再厉，早日拿证，成为名副其实的行业老大。同时也能给我们投资者带来于业绩相对等的回报。谢谢。,好的，2018年底期待您和广大投资者再给我们的经营团队打个分。AMC行业容量实在太大，我们也期待百花齐放，百家争鸣，大家好相互学习，为国家和社会多解决点问题。谢谢。
4,安埔胜利已经充分剥离了吗？,您好，安埔胜利已充分剥离。目前还剩3亿元股权转让款于2019年底前收回。
5,AMC业务最近有又签什么大单不？,尊敬的投资者，能说的我们都会在公告里说的，不能说只要等点时间，你也会知道。谢谢。
6,今年公司在全国哪些城市地区铺点扩张业务？,尊敬的投资者，想引进我们团队去当地开展业务的相关部门和机构实在太多，一时还列不过来。但公司会综合考量，稳健发展，毕竟对公司和股东我们是要负责任的。谢谢。
7,公司还有其他待剥离的资产吗？,尊敬的投资者，大股东、董事长和总经理说了，只要是对公司和广大投资者有利的事情，我们都会去做的。谢谢。
8,请简单介绍下公司AMC业务，与传统业务有什么区别？,尊敬的投资者，传统的AMC业务主要是以不良资产的贸易（资本服务）和传统的清收处置为主。投资者要收回投资，一般都是要灭了债务人才行，就是说要拍卖掉抵押资产或破产掉债务人才行，做的是减法。公司当前的业务是“困境企业重组”和“债转股”服务，壁垒挺高，做加法，最终实现债权人少损失或者不损失，债务人也能“活着”，实现社会价值和经济效益的双丰收，当然的确也挺考验技能的。
9,公司如何建立自己推广销售网络？每年公司的公关和广告费用大概是多少？,尊敬的投资者您好！公司目前主营的困境企业重整和债转股业务，市场需求太大，我们每天在办公室的接待工作都忙不过来，没有时间去做市场推广，因此还未产生相关的费用，谢谢！
10,请问公司各位大佬，去年公司拿了很多amc的包，公司都及时相应的发了公告。但是今年三个月过去了，一个新拿到amc包的公告都没有，公司现在是拿不到包了还是怎么了？,尊敬的投资者，吉艾在AMC领域打造的是“服务为主，自营为辅”的经营策略。前面你看到资产包比较多，是因为我们刚开始，帐上躺着钱，不能拿银行利息吧？所以我们把好的资产包都自己收了，效果还不错对吧？现在不一样了，资产包都被我们管理的资金给收了，要么我们直接提供服务了，所以你就看到的少了。
11,预计第二季度公司经营业绩情况如何？,关于公司第二季度经营业绩情况，公司将会及时在巨潮资讯进行业绩预告的披露，请投资者关注。
12,预计今年AMC业务增长情况如何？,尊敬的投资者，这个真挺好的，您放心。我们经营团队大部分人跟您一样，也是投资者了。谢谢。
13,请问杨董秘，截止3/31日公司的股东人数是多少？谢谢,尊敬的投资者，您好！大家的其它提问很多，这个要查数据，请你结束后可以在互动平台再问一下，我们查好给您回复，谢谢。
14,为什么公司四季度的营业成本是负的1.25亿？,"公司在前三季度针对传统的收购处置类资产包采用的是谨慎的大包核算方式，按照全收入、全成本的方式通过营业收入和营业成本项目核算收益。即，收到处置回款后，按照收款金额计入营业收入和营业成本，只有收款金额超过大包采购金额的部分，才会产生收益。
报告期末，我公司按照最新修订的金融资产相关准则，参考公开市场上同行业的披露资料，同时和会计师沟通，结合公司AMC团队的综合能力，最终确定传统的收购处置类资产包按照单户债权资产核算，且指定单户为以公允价值计量且其变动计入当期损益的金融资产。
以公允价值计量且其变动计入当期损益的单户债权资产，只有处置回款超过单户收购本金的情况下，才会产生收益，收益计入营业收入；同时公允价值变动损益也计入营业收入。
"
15,请问截至3月底的股东人数，谢谢,尊敬的投资者，您好！大家的其它提问很多，这个要查数据，请你结束后可以在互动平台再问一下，我们查好给您回复，谢谢。
16,姚总好，公司员工持股计划已完成两期，前两期均加了2倍杠杆，后续的第3期持股计划一直未见动静，是否和政策在杠杆上有所限制有关，员工持股计划的资金落实是否出了问题？,尊敬的投资者，您好！资管新规对员工持股计划是有影响的，但最关键团队还在建设初期，更多的人才在不断加入，我们总得多留点给他们吧。
17,请问公司在海外的项目有哪些？,公司的海外项目主要包括炼油厂项目及测井服务项目。
18,AMC业务利润贡献大概能占多少？,2017年公司实现归母的净利润2.12亿元，其中AMC板块业务实现归母净利润3.19亿元，炼化板块实现归属于母公司的净利润为-66.81万元。
19,请问姚总，贵公司AMC的牌照申请情况如何，谢谢。,尊敬的投资者，虽然我们的核心服务对AMC牌照的依赖性基本没有，但基于大家对行业的了解程度不够，且为能有效延伸传统的通道和清收业务，我们会努力申请的，敬请关注相关进展公告。谢谢。
20,作为一家仪器设备制造商，我很好奇你们是如何介入到不良资产处置这么一个高端金融行业的？,尊敬的投资者，因为市场实在大，关键正巧我们也有人，有技术，有经验，有能力。这么好的机会，干嘛不做呢？
21,公司对AMC团队的激励机制是怎样的呢？,尊敬的投资者，您好！在人才的吸纳和储备上，我们跟做AMC一样的专业，请放心。另外，我的团队自己想按市场价格买10%的员工持股计划，而不是采取员工激励计划，大家跟您一样有信心。谢谢。
22,公司现在有没有尝试新的利润增长点？或新的盈利模式来增加收益呢？,尊敬的投资者，您好！您如果能再坚持一年，就能得到足够的答案了。谢谢。
23,请问姚总，塔吉克斯坦炼化项目1期7月点火后，后续2期的建设是否会提上工作日程，还是暂时不考虑启动2期建设，转而专注于AMC业务的发展？谢谢。,尊敬的投资者，您好！我们不仅专注，而且还有专业的重整能力。这样的特长一定会首先用在我们自己的公司身上。只要是对公司有利的，我们就会全力以赴，放心。
24,公司国外哪个项目是在习主席的见证下签订合约的？哪里能看到视频,"尊敬的投资者您好，感谢您的关注。
公司塔吉克炼油厂项目系习主席和塔吉克斯坦总统拉赫蒙见证签约的，只有图片资料。"
