,Question,Answer
0,公司的股价长期低迷，投资者互动几个月才有更新一次。年年提了年年如此。有无新举措改变这一措施呢？,"目前公司经营情况稳定，业绩良好，前两大股东基于对公司未来持续发展的信心、对公司投资价值的认同相继在2017年、2018年增持公司股票。
    公司今后一定会加强管理，认真对待投资者的诉求。非常感谢您对本公司的关注。"
1,公司今年利润会有哪些新的增长点?有新的利润增长线投产吗？,公司药品销售业务主要围绕着终端大品种和黄金单品为主线，实施三级控销管理，利用省级纯销商业公司平台搭建，逐步完善产品结构，2018年公司主要围绕着以羚贝止咳糖浆、小儿清热止咳口服液、热毒平颗粒、清热解毒颗粒为乐达非中药抗病毒终端销售产品线；以治疗风湿骨痛的全国独家药品通络止痛药酒为连锁渠道产品线；以全国独家药品参茸鹿胎丸（双剂型）、止痛化癥胶囊为妇科的院外销售与OTC营销产品线以脑中风预防与康复治疗产品脑塞通丸、益脑复健胶囊为主的心脑血管类终端社区医疗、终端诊所用药销售产品线等多渠道终端战略；2018年一季度公司的乐达非中药抗病毒药品生产基地生产量开始释放，终端产品生产量完全可以满足销售量的增长。除成品要外，2018年公司将增加中药饮片的生产和销售，计划再今年中期完成中药材、中药饮片的认证和生产，要打造最佳品种的高质量的中药饮片生产和销售，快速形成吉药集团的品牌中药。
2,公司的研发支出这么高，是否将有更多新的更有特色的新产品研制出来？,您好，感谢您对吉药控股的关注！我公司的研发费用在同行业的占比并不算高，公司的产品研发是企业内生和外延的发展动重要支撑，也是企业创新的实力，2017年公司与沈阳沃森药物研究所等科研机构签署的基于双方对抗癌、抗HIV人类免疫缺陷疾病的6个系列新药的研发达成新药研发合作协议是公司未来的创新药方向之一。在中药创新上公司也一直在努力进行科技含量的提升，尤其是单方制剂的研发，未来公司将以创新药、生物制药和创新中药等高附加药品为主导。感谢您的关注！祝您身体健康！
3,公司每年政府补贴占全年利润的一半以上怎么去改变这种现状。,您好，感谢您对吉药控股的关注！公司的政府补贴基本来源于项目扶持，公司在项目建成以后和产品结构不断增加和调整，项目建成后，会逐步改善这一问题给公司带来的影响。感谢您的关注！祝您身体健康！
4,公司目前研发实力如何？,公司药品销售现在以终端产品为主导，开展医药商业的收并购工作，并且与国内行业基金合作成专项产业投资基金，为吉药控股储备更好很多的优质项目，吉药将以医药大健康产业为主线，集医药工业、医药商业、医药零售、医疗医养等为主要经营业务。从资金使用到行业主业发展，公司将加快发展步伐，为企业为所有投资者创造最大的回报，为人民的身体健康和大健康产业发展做出自己的贡献。吉药控股将一如既往的严格要求自己，把吉药控股做大做强。感谢您的关注！祝您身体健康！ 
5,公司是如何降低渠道风险的？,您好，感谢您对吉药控股的关注！公司加大了药品销售渠道管控力度，逐步收紧信用政策，大幅度降低了渠道风险，控销产品进入良性循环，逐步淘汰低附加值产品，有效降低库存量。成品药业务继续以夯实高附加值产品为主，凸显产品价值为工作核心。公司持续关注渠道风险。感谢您的关注！祝您身体健康！
6,公司如何吸引并留住高精尖人才？,您好，感谢您对吉药控股的关注！吉药控股一直非常重视人才培养，对于高尖端人才我们实施的人才战略是请进来，送出去以及进行合作的方式，由于区域局限，我们在长春、北京、上海等人才聚集地已经设立办事或者工作机构，让有用人才通过较好的工作环境和待遇等培养人才、留住人才，为吉药控股提供更优质的人才培养计划。感谢您的关注！祝您身体健康！
7,公司如何控制原材料上涨等带来的成本因素的影响？,您好，感谢您对吉药控股的关注！公司在原材料控制方面一直采用的都是全年统一定价，集中招标，常年战略合作等多种方式进行原料采购，价格基本问题，受行业影响较小，短时间内不会影响产品成本的快速上升。感谢您的关注！祝您身体健康！
8,2018年公司药品销售业务有哪些？,2018年公司药品销售业务主要围绕着终端大品种和黄金单品为主线，实施三级控销管理，利用省级纯销商业公司平台搭建，逐步完善产品结构，2018年公司主要围绕着以羚贝止咳糖浆、小儿清热止咳口服液、热毒平颗粒、清热解毒颗粒为乐达非中药抗病毒终端销售产品线；以治疗风湿骨痛的全国独家药品通络止痛药酒为连锁渠道产品线；以全国独家药品参茸鹿胎丸（双剂型）、止痛化癥胶囊为妇科的院外销售与OTC营销产品线以脑中风预防与康复治疗产品脑塞通丸、益脑复健胶囊为主的心脑血管类终端社区医疗、终端诊所用药销售产品线等多渠道终端战略；2018年一季度公司的乐达非中药抗病毒药品生产基地生产量开始释放，终端产品生产量完全可以满足销售量的增长。除成品药外，2018年公司将增加中药饮片的生产和销售，计划在今年中期完成中药材、中药饮片的认证和生产，要打造最佳品种的高质量中药饮片生产和销售，快速形成吉药集团的品牌中药。
9,公司有无海外业务？贸易战对公司有无影响？,公司没有海外业务，贸易战对公司毫无影响。谢谢关注！
