,Question,Answer
0,公司去年财务费用和管理费用怎样？同财务费用相比呢？今年有没有折旧？请问管理费用今年会能稳定吗？,"尊敬的投资者您好，感谢您对公司的关注！公司2016年度的财务费用6,663.10万元，管理费用为11,040.29万元，与上年同期相比降低10.07%，管理费用中折旧及摊销金额为1,245.59万元，2017年度管理费用中仍然会发生折旧及摊销，发生具体金额请您关注公司定期报告的信息披露。谢谢！"
1,请问贵司今后有新增多少产能？下游客户能吸收的完吗？,尊敬的投资者，您好！ 公司已建设20余个现代化生产基地覆盖全国市场，陆续进入产能释放阶段。谢谢您的关注！ 
2,请问公司明年净利润能做到多少？,尊敬的投资者您好！公司将于规定期限发布年度业绩预告及快报，请您持续关注公司的信息披露，谢谢！
3,我对贵公司是长期投资的，请问预计今年上半年会盈利多少？,尊敬的投资者您好！公司将于7月15日之前发布半年度业绩预告，请您持续关注公司的信息披露，谢谢！
4,请问具体联系证券代表的电话是多少？,尊敬的投资者您好！公司证券部的电话：010－69415566。 请您持续关注公司的信息披露，谢谢。
5,投资者担心的心情更多，请问贵公司对此怎样给予更好的鼓励，加油,尊敬的投资者您好！公司在经营发展及信息披露、内部控制等方面，将严格遵守各项法律法规，增强抗风险能力。请您持续关注公司的信息披露，谢谢！
6,您认为目前公司面临的最大问题是什么？,"尊敬的投资者您好！公司因即将受到中国证监会的行政处罚，根据现行的法律法规，公司在三年内，无法发行新股融资，公司的融资渠道受到一定限制。谢谢您的关注。请您持续关注公司的信息披露。 
"
7,董事长，您好！作为股民，我支持公司尽量在不扩大股本的情况下做大做强！,尊敬的投资人你好，感谢您对我公司信赖，公司在发展过程中，需要遵循国家政策、法律法规和市场规律，才是对股民、对社会的负责。请您持续关注我公司，谢谢！
8,请问公司今年是否有对外扩张的打算？在环渤海地区是否有意向？今年公司在市场开拓方面有什么计划？能否详细谈谈？谢谢,尊敬的投资者您好！公司积极响应国务院“京当冀协同发展”战略，于2016年在河北省邢台市威县经济开发区巨腾商务中心北侧注册成立河北嘉寓门窗幕墙有限公司，布局河北威县生产基地。公司将依托在京津冀地区的节能门窗幕墙生产基地，拓展华北区域的市场。感谢您的关注，请持续关注公司的信息披露。
9,公司历次新增产能均能及时消化，公司一直保持了较高的产能利用率与产销率   这是过去，将来还会是这样吗？,尊敬的投资者，您好！ 公司在东北、华北、西南、华东、华中、华南、海南区域市场布局日臻完善，投资建设20余个现代化生产基地，覆盖全国市场，陆续进入产能释放阶段，服务半径缩短、运输成本降低等综合因素，与同类型企业相比，市场竞争优势明显。因此，公司将依然保持较高的产能利用率与产销率 。谢谢您的关注！
