,Question,Answer
0,公司今年的财务费用会有多少？,谢谢你的提问。公司的财务费用受国家货币政策、汇率影响较大，请您关注公司定期报告或临时公告。谢谢
1,公司未来五年的目标是多少？能够实现吗？,谢谢您的提问。公司近期实质控制人发生了变化，新的资产也将注入公司，但也确实存在不确定性。我们愿意与广大股东、投资者携手并进，创造辉煌。
2,作为独立董事，未来有何措施来更有效地帮助到公司,感谢您的提问。作为公司的独立董事，本人严格按照《公司法》、《关于加强社会公众股股东权益保护的若干规定》、《深圳证券交易所中小企业板块上市公司规范运作指引》、《关于在上市公司建立独立董事制度的指导意见》等有关法律、规范性文件的规定以及公司《章程》和《独立董事工作制度》的要求，忠实履行职责，积极出席相关会议，认真审议董事会各项议案，对公司重大事项发表了独立意见，为公司的科学决策和风险防范提供一些合理建议，维护包括中小股东在内的广大投资者的合法权益。谢谢！
3,请问2017年全年预计销售目标是多少？实现净利润的目标是多少？,谢谢您的提问。公司2017年的销售预计将受到资产重组的影响产生一定的不确定性。请您关注公司后续的公告。
4,公司管理层怎么看待去年的业绩，满意么？能说下今年有什么目标吗？,"谢谢您的提问。报告期内，公司主营产品所处的功能性运动面料细分市场受到世界经济增长乏力影响而加剧波动, 多个新建产能项目仍处于试生产和逐步完善阶段。但公司管理层在董事会的带领下，仍努力持续完善公司内部管理制度，坚持产业升级和主业平稳并重的原则，坚持在生产工艺升级和面料技术研发上的投入，同时逐步剥离了部分与主业关联性不强的项目，使管理层得以集中财力和人力深耕区域产能的合理化再配置，也取得了一定的成绩。2017年，公司不仅要做好存量业务，也将通过资产重组等形势开辟新的市场。"
5,公司刚上市时董事长持股占比是多少？现在持股占比是多少？从上市到现在有几次减持有几次增持？,谢谢您对公司董事长持股的关心。董事长持股变动情况公司的临时公告、定期报告均按照监管要求进行了详细说明，由于本次交流会时间较短，公司不单独进行梳理，请您参见公告。再次感谢您的支持和关注。
6,董事长持股占比历年的变化敢发出来吗？,谢谢您对公司董事长持股的关心。董事长持股变动情况公司的临时公告、定期报告均按照监管要求进行了详细说明，由于本次交流会时间较短，公司不单独进行梳理，请您参见公告。再次感谢您的支持和关注。
7,请问公司目前的研发机构有哪些？公司未来产品的研发与创新将如何进行？,谢谢，目前公司研究人员228人，将持续加大对科研的投入。具体情况请参见2016年年报“研发投入”章节。
8,请问公司的分配预案达到承诺的分红比例吗？,谢谢。公司分配预案符合公司章程及三年回报计划的要求，待股东大会审批后通过。
9,请问公司利润增长的原因是什么，今后业务增长点在哪里？,谢谢您的提问。公司本年利润增长的主要原因是处置部分非主业的子公司。今后将深耕纺织品主业，同时也积极发展绿色环保、循环经济产业。
10,你怎么看公司的业绩和公司的股价和市值的？,谢谢您的提问。公司的业绩与股价有一定的关联性，但是中国股市存在太多波动因素。请您谨慎投资。公司将努力提高业绩及治理水平获得市场的认可。感谢您的关注和支持。
11,今年会有新的服装品牌跟公司签约代加工业务吗?,谢谢您的提问。报告期内，公司相关市场和销售部门在稳定包括破冰船、Polartec、耐克在内的原有大客户的同时，还积极开发了包括优衣库、安莉芳、爱慕在内的多家新客户，为未来继续推进销售战略夯实了基础。同时，公司研发团队积极应对客户从销售终端传导来的更加挑剔的创新和交期要求，增加了新品开发强度，在产品开发、试样及大货等各方面精心组织并于包括纺织大专院校在内的业界权威独立机构通力合作，本年度共开发出初样900余个，展样 250 余组，并且在包括羊毛纬编面料 、阻燃面料、尼龙弹性面料、功能性面料、起绒类面料系列等大品类的开发过程中突破了诸多技术难题，为未来进一步的市场开拓积累了丰富的技术和产品储备。
12,公司为哪些国际高档运动品牌生产成衣呢？,谢谢您的提问。请您关注公司2016年度财务报告，有对客户的详细分析及说明。再次感谢您的支持。
13,请问未来公司对稳定股价会做出哪些举措？,谢谢。公司将深耕纺织业并寻找绿色环保、循环经济类资产，寻找新的利润增长点，为股东创造更大的价值。同时也会积极与监管部门配合，做好信息披露、股权管理等工作。
14,公司去年主打产品的销量是多少？,谢谢您的关注。公司去年产品的销量价格均在年报中体现，请您参见年报。感谢您的支持和理解。
