,Question,Answer
0,公司去年在人才人才引进上表现如何？今年会在这方面继续加大投入吗？谢谢！,您好！公司2017年引进优秀人才，包括国家千人计划专家、研发、营销、管理等高端人才，为公司快速发展提供保障；并强化多层级培训，提升员工工作技能和综合素质；加强企业文化建设，完善激励机制，提升员工满意度和凝聚力。2018年公司会继续加强人才基础建设，为公司持续健康发展奠定基础。
1,公司去年在人才人才引进上表现如何？今年会在这方面继续加大投入吗？谢谢！,您好！公司2017年引进优秀人才，包括国家千人计划专家、研发、营销、管理等高端人才，为公司快速发展提供保障；并强化多层级培训，提升员工工作技能和综合素质；加强企业文化建设，完善激励机制，提升员工满意度和凝聚力。2018年公司会继续加强人才基础建设，为公司持续健康发展奠定基础。
2,请问汽车制造行业用胶的行业规模有多大？公司在汽车用胶行业的市占率？,谢谢！汽车行业国内胶粘剂年度市场容量大约为25万吨，回天新材约占5%左右。
3,祝贺章总又一次当选任期五年的全国人大代表。章总可不可以展望下五年后的回天，比如营收，利润，行业话语权等,"谢谢！新的一年，公司资产外延将厚积薄发：结合前期蓄势积累，推动合作模式创新，强调中长资源整合，突破外延增长极，呼应、反哺内生增长。
2018年，公司经营团队将励精图治、再接再厉；不断总结经验，明确目标、强化管理、狠抓落实，确保以百倍信心和不懈努力，全面超额完成经营目标，向全体股东和社会投资者交上一份满意答卷。
"
4,王总你好，能否展望下2020年，那时的回天的营收，净利润会不会爆发性增长，与汉高等合资品牌竟争时平分秋色，不分伯仲,谢谢！2018年公司将继续学习贯彻“华为精神”，坚持以奋斗者为本；深挖内生能量，外延同步跨越；突破分配瓶颈，制定激励规则，助力关键标杆客户及产品突破，促进汽化、电子、工业、新能源业务达成40%以上增长 ；变革利益分配模式，激发战略业务快速发展，实现外贸、包装、建筑业务100%倍增，PUR、电站、电商、雄安项目十倍速增；同时，推进“高质量可持续”项目，突破顶级大客户数量与质量，巩固公司在新能源光伏、汽车、LED、电器、中空、包装等细分行业冠军地位。
5,近年来，国家重视军民融合，相关政策也不断出台，公司是否相应政策制定相应的发展路线？目前有没有具体实施项目？订单量如何？业绩预期如何？,谢谢！回天一直在军工领域提供有竞争力的产品，随着公司外延扩张的加速一定会在军工领域有更大的表现。
6,军工 这一块，据我所知上市初就有间接供货的。章董在两会中的提案网上我有看到。是不是意味着回天在军工领域将向直接供货迈进。,回天一直在军工领域提供有竞争力的产品，随着公司外延扩张的加速一定会在军工领域有更大的表现。
7,请介绍下PUR胶，它的应用领域都有哪些。回天在这一块的水平，市场地位，未来目标。,"PUR胶：全称为：反应型聚氨酯热熔胶，除具有通用热熔胶的绿色环境友好0排放外，还有可以湿气交联固化的不可逆特点；近年PUR应用领域发展很快，从传统的书本装订、木材加工、家俱及建材制造、纺织贴布到目前的家电组装、智能手机等手持设备的组装，充分体现了PUR的技术优势，由于应用领域宽广，行业发展很快。目前回天在木材加工、手持设备组装、家电组装上都有国内知名的企业使用：比如OPPO、华为、海尔等企业的应用。回天未来拟成为行业的技术领先、市场占有率进入前3的国内胶粘剂企业。
"
8,您好，听章锋董事长说，一季度业绩要比预报业绩要好很多是否属实？按目前二级市场股票价格，是严重低估了还是符合企业市场价值？能否给出董秘您个人见解？,谢谢！回天公司作为胶粘剂行业领军企业，连续多年经营持续稳定增长，技术不断优化创新，在市场困难形势下，创造多项“不可能”，但是，公司在精耕主业同时，相对于资本外延扩张略显滞后，所以，被资本市场关注少。随着新一轮“价值投资”兴起，相信会被智者发掘、追逐，其市场价值也会得到理性回归。
9,您好，公司在一带一路如何布局，目前进展如何？成效如何,谢谢！公司把握“一带一路”和雄安新区发展的历史性机遇，成立越南分公司，外贸业绩翻倍增长；雄安新区高端建筑用胶已批量应用于首都新机场、市政大楼等多个战略合作项目，启动指日可待 
10,您好，国产大飞机用胶何时才能实现批量供货，客户有没有指定用回天新材的产品,您好！公司胶粘剂产品有使用在国产飞机上，公司会继续提高产品技术水平、积极开拓市场，不断提高在该行业市场份额。
11,董事长章锋2018-03-13 13:33:47军工这一块，据我所知上市初就有间接供货的。章董在两会中的提案网上我有看到。是不是意味着回天在军工领域将向直接供货迈进。,"谢谢！回天一直在军工领域提供有竞争力的产品，随着公司外延扩张的加速一定会在军工领域有更大的表现。
"
12,您所持有的股份中有1875万股是可流通的？请问这些流通股中有多少股，占比多少是做了质押的？会有风险吗？,您好！具体数据可以查阅公司相关公告。
13,您好，公司与富士康和华为业务今年会不会爆发式增长？,谢谢！新一年公司这项客户业务一定会有较大增长！
14,董事长对今年回天新材营收增幅有什么目标？对今年业绩增长有什么目标？听说一季度业绩比预告要好很多是后属实？2018新增产能在哪一季度开始释放，能释放多少？,"2018年公司将继续学习贯彻“华为精神”，坚持以奋斗者为本；深挖内生能量，外延同步跨越；突破分配瓶颈，制定激励规则，助力关键标杆客户及产品突破，促进汽化、电子、工业、新能源业务达成40%以上增长 ；变革利益分配模式，激发战略业务快速发展，实现外贸、包装、建筑业务100%倍增，PUR、电站、电商、雄安项目十倍速增；同时，推进“高质量可持续”项目，突破顶级大客户数量与质量，巩固公司在新能源光伏、汽车、LED、电器、中空、包装等细分行业冠军地位。
新的一年，公司资产外延将厚积薄发：结合前期蓄势积累，推动合作模式创新，强调中长资源整合，突破外延增长极，呼应、反哺内生增长。
2018年，公司经营团队将励精图治、再接再厉；不断总结经验，明确目标、强化管理、狠抓落实，确保以百倍信心和不懈努力，全面超额完成经营目标，向全体股东和社会投资者交上一份满意答卷。
"
15,请问公司的主要合作客户分布在哪些行业？能否举例几家合作商？公司2018的业绩目标是怎样的？,谢谢！回天专注于胶粘剂等新材料的研发、生产逾40年，研发力量不断增强、生产规模逐步扩大，是国家认定的“高新技术企业”，被评为中国胶粘剂与胶粘带行业“典范企业”，公司技术中心为行业率先获得“国家企业技术中心”，公司在新产品开发、产品质量、技术服务等方面均处于国内行业领先水平，是中国汽车制造及维修、轨道交通、电子电器、新能源、高端建筑、软包装等领域工程胶粘剂和新材料最大供应商之一，2017年公司共获得发明专利授权11项、申请受理发明专利15项，取得实用新型专利4项。截至2017年12月31日，公司及子公司拥有149项授权专利权，申请受理发明专利83项。一年来，回天产品陆续在各行业顶尖评选中，荣获各种殊荣（TUV莱茵“质胜中国奖”、PVDF膜“吉瓦级金奖”等），回天的产品研发和技术实力在行业内已形成核心竞争优势，多项技术从国内领先向国际领先迈进。日前公司产品在与国外同类竞品的对比试验中多项技术指标已达到或超过对方产品，超过半数产品已在国内实现了进口替代，在多家合资汽车、高铁、电子及新能源等制造行业巨头被确定为A级供应商。
16,请问章锋董事长：我是一名价值投资者，我认为上市公司的二级市场市值中长期来看最终还是由上市公司长期经营所产生的内在价值所决定，您认可我这个观点吗?如果您认可，那么未来回天的经营如何通过内生外延提升自身的内在价值呢。能说详细的几点吗？另外，我之所以看好回天的未来，是从先看好以您为首的管理层开始的。加油，章董！加油，回天！,谢谢！回天新材内生式增长和外延式扩张是公司既定的战略方向，为了继续保持营业收入和净利润的大幅增长，公司对内将（1）持续引进优秀人才，为公司持续健康发展奠定基础；强化多层级培训，提升员工工作技能和综合素质；加强企业文化建设，提升员工满意度和凝聚力。（2）继续加强研发投入，提高研发投入占营业收入的比例，充分发挥产学研一体的优势作用，带动产品的基础、配方、应用、分析全面激活，实现研发技术和自主创新实力进一步提升，迈上新台阶。（3）在电子电器LED、汽车制造及维修、轨道交通、工业设备、新能源等优势细分市场应用加速增长，软包装胶、高端建筑胶、PUR热熔胶及光伏电站、雄安新区业务、外贸、电商业务实现跨越式发展。对外将寻求外延扩张新的突破，合理整合资源，围绕胶粘剂、新材料行业寻找年净利润在3000万元以上、产品技术品级较好的标的企业开展投资并购，完善公司市场战略布局，与已有业务协同发展。
17,去年的胶粘剂产量是5.3吨，今年如果满负荷生产，加上下半年新建产能释放，有没有突破10万的可能，谢谢,谢谢！公司经过2017年扩产，2018年公司产能完全能够达到10万吨，
18,去年胶粘剂行业整体利润率下滑，请问回天是如何做到营收和净利润逆势增长的？,"谢谢关注！去年胶粘剂行业整体利润率下滑，请问回天是如何做到营收和净利润逆势增长的？ 
去年由于国家环保督查等众所周知的原因，关停了部分不达标的小化工企业；导致基础化工材料整体上扬，有些涨幅翻位。胶粘剂行业是配方技术性行业，基础化工材料的上扬加大了胶粘剂企业的成本，而用户多数难于接受。导致多数胶粘剂企业利润下滑，这是行业系统性的问题，回天为应对这上局面，一方面加大集团采购力度，对供应商享有价格折价权，同时加大市场开拓力度，扩大销量、制造端进行挖潜降耗，销售端同样提高产品的售价。技术研发上不断推出高毛利润的产品。多方努力使回天在全行业得润下降情况下保持了营收和净利润的逆势增长。
"
19,事长章锋2018-03-13 12:59:34请问章锋董事长：我是一名价值投资者，我认为上市公司的二级市场市值中长期来看最终还是由上市公司长期经营所产生的内在价值所决定，您认可我这个观点吗?如果您认可，那么未来回天的经营如何通过内生外延提升自身的内在价值呢。能说详细的几点吗？另外，我之所以看好回天的未来，是从先看好以您为首的管理层开始的。加油，章董！加油，回天！,"生增长是通过公司现有资产和业务来取得业绩增长，其中，18年规划内生增长是汽化、电子、工业、新能源业务达成40%以上增长 ，实现外贸、包装、建筑业务100%倍增，PUR、电站、电商、雄安项目十倍速增。
"
20,请问下公司目前主要竞争对手是哪些品牌？（国内及国外的品牌）,"目前回天主要和国外品牌竞争，如汉高、西卡、富乐等。
"
21,你好，董秘！我听到有关回天新材参与雄安地标项目建设的说法，是否可详细介绍下？,谢谢您的问题！回天新材雄安项目按照既定战略计划正在有条不紊进行中，新机场建设已在进行中。2018年伴随新区规划实施，回天将持续跟进。
22,请问章锋董事长：我是一名价值投资者，我认为上市公司的二级市场市值中长期来看最终还是由上市公司长期经营所产生的内在价值所决定，您认可我这个观点吗?如果您认可，那么未来回天的经营如何通过内生外延提升自身的内在价值呢。能说详细的几点吗？另外，我之所以看好回天的未来，是从先看好以您为首的管理层开始的。加油，章董！加油，回天！,内生式增长和外延式扩张是回天新材既定的战略方向，为了继续保持营业收入和净利润的大幅增长，公司对内将（1）持续引进优秀人才，为公司持续健康发展奠定基础；强化多层级培训，提升员工工作技能和综合素质；加强企业文化建设，提升员工满意度和凝聚力。（2）继续加强研发投入，提高研发投入占营业收入的比例，充分发挥产学研一体的优势作用，带动产品的基础、配方、应用、分析全面激活，实现研发技术和自主创新实力进一步提升，迈上新台阶。（3）在电子电器LED、汽车制造及维修、轨道交通、工业设备、新能源等优势细分市场应用加速增长，软包装胶、高端建筑胶、PUR热熔胶及光伏电站、雄安新区业务、外贸、电商业务实现跨越式发展。对外将寻求外延扩张新的突破，合理整合资源，围绕胶粘剂、新材料行业寻找年净利润在3000万元以上、产品技术品级较好的标的企业开展投资并购，完善公司市场战略布局，与已有业务协同发展。
23,您好，董秘！公司的主要原材料有107硅橡胶、二乙二醇单甲醚、氟膜、二乙二醇、甲基丙烯酸，能列出来上述五个主要原材料去年市场最高点价格和目前市场最新价格吗？,"107硅橡胶、二乙二醇单甲醚、二乙二醇、甲基丙烯酸等产品基本都是大化工产品，价格透明，去年的价格高点分别为：2.9万/吨、1.3万/吨,0.8万/吨, 4.5万/吨;现在的价格与去年同比都有10%左右的回落; 氟膜价格稳定在4.5元左右/平方.
"
24,装配式建筑用胶未来几年绝对爆发式增长，公司有没有占住先机，产品在行业是否领先？有哪些典型成功案例？有没有大型房企和建筑商合作？万科和碧桂园是不是公司的客户？,"公司在装配式建筑已有三年以上的布局，目前处于行业第一梯队，同时拥有硅胶、MS胶、聚氨酯三套系统解决方案，在雄安、深圳、长沙、山东等地有大量成功案例。万科和碧桂园的众多项目中跟回天一直保持良好的合作关系。
"
25,胶粘剂被喻为工业味精，请问您认为这一行业在我国目前发展阶段如何？,"中国胶粘剂行业经过多年的积淀和发展，目前正处于应用升级、进口替代的黄金发展时期，作为该行业中的龙头企业，回天未来几年将会出现爆发式的发展机遇。
"
26,回天在2017年取得了不错的业绩，那么相较于同行业的其它公司，回天的优势在哪？,"回天秉承“以客户为中心，以奋斗者为本的”思想理念，相比同行我们有明显的技术优势（千人计划专家、博硕士团队）、管理优势、团队优势，并且长期艰苦奋斗，有极强的市场嗅觉和执行能力。
"
27,您好，电池用胶方面市场很大，公司在电池用胶有哪些客户？宁德时代是不是公司客户，公司跟宁德时代有没有业务往来？,"新能源汽车电池用胶是回天的战略新兴行业，目前我们已和比亚迪、亿纬锂能、南都电源等行业标杆客户有战略合作，宁德时代我们也进行了多轮业务交流，目前正处于合作的关键时刻，强强合作指日可待。
"
28,请问公司在资产外延并购方面有何计划？,"外延并购正在积极推动中，有进展会及时公告。
"
29,请问章总什么是内生增长？2018年公司在内生式增长上有何战略布局？,"内生增长是通过公司现有资产和业务来取得业绩增长，其中，18年规划内生增长是汽化、电子、工业、新能源业务达成40%以上增长 ，实现外贸、包装、建筑业务100%倍增，PUR、电站、电商、雄安项目十倍速增。
"
30,您好，原材料大涨，目前全球各大粘胶剂厂商宣布涨价，公司是否也合理涨价？,"谢谢关注！
去年，市场在上游原材料价格大幅上涨，同行业整体利润率下滑的形势下，回天新材通过以下措施实现了逆势上扬：1、实施“走出去”战略，强化与供应商战略合作、长期合作；创新采购模式，加大集团集中规模化采购比重，最终做到了抑制成本过快上涨，且能确保货源充足；2、加大公司预算管理力度和内部流程控制效率，在科研、生产、管理等各个环节开展降本增效工作，制定实施合理的分配奖惩机制，强化考核绩效管理办法，动员公司上下挖潜创新、厉行节约等，有效缓解成本压力；3、根据市场行情和供求状况，启动销售端对产品价格分步骤、分层级进行动态、合理的调整，并大幅度增加了高价值业务销售比重；4、多元化的业务布局，分散了经营风险，销售收入大幅增长，发挥规模效应，实现业绩逆势增长。"
31,公司在雄安新区建设都有哪些布局？,谢谢您的问题！回天新材雄安项目按照既定战略计划正在有条不紊进行中，新机场建设已在进行中。2018年伴随新区规划实施，回天将持续跟进。
32,董秘：您好，贵公司在雄安特区业务发展最新近况如何? 谢谢。,"谢谢关注回天！
公司在雄安新区建设项目上布局早，力度大，优势明显；已经参与的新机场建设顺利进行中，去年下旬，先后与中建5局、中建八局达成战略合作协议，保证今后工程项目上双方实现强强联合，已经申报和参与招标的若干标志性工程项目正在积极稳妥推进之中。"
33,章总您好，请问您认为贵公司应如何适应胶粘剂行业新的技术发展趋势,"在全球化背景下，胶粘剂行业的竞争与技术交流促进国内企业不断加大研发投入，提升生产技术水平，胶粘剂产品性能也在持续提升，国内企业竞争力显著增强。在部分中高端产品细分市场上，国内产品已经取得长足的进步，产品指标已接近或达到国际同类产品水平。原先主要依赖国外品牌，现今国产胶粘剂正以其显著的性价比优势在各个应用领域逐步替代进口产品。国内经济的持续增长、胶粘剂产品全球化产业转移，以及国内企业技术进步带来的进口替代，都给国内企业带来了良好的发展机遇，市场需求有持续增长的空间。
回天专注于胶粘剂等新材料的研发、生产逾40年，研发力量不断增强、生产规模逐步扩大，是国家认定的“高新技术企业”，被评为中国胶粘剂与胶粘带行业“典范企业”，公司技术中心为行业率先获得“国家企业技术中心”，公司在新产品开发、产品质量、技术服务等方面均处于国内行业领先水平，是中国汽车制造及维修、轨道交通、电子电器、新能源、高端建筑、软包装等领域工程胶粘剂和新材料最大供应商之一，2017年公司共获得发明专利授权11项、申请受理发明专利15项，取得实用新型专利4项。截至2017年12月31日，公司及子公司拥有149项授权专利权，申请受理发明专利83项。一年来，回天产品陆续在各行业顶尖评选中，荣获各种殊荣（TUV莱茵“质胜中国奖”、PVDF膜“吉瓦级金奖”等），回天的产品研发和技术实力在行业内已形成核心竞争优势，多项技术从国内领先向国际领先迈进。日前公司产品在与国外同类竞品的对比试验中多项技术指标已达到或超过对方产品，超过半数产品已在国内实现了进口替代，在多家合资汽车、高铁、电子及新能源等制造行业巨头被确定为A级供应商。
"
