,Question,Answer
0,公司是否会进军新的细分市场和领域，以及扩大市场占有率？如果会，请问新的领域现在占公司营业收入比重是多少？未来打算提升到多少？多长时间能实现？,您好，公司正努力寻找新的利润增长点，谢谢！
1,公司管理层怎么看待去年的业绩，满意么？能说下今年有什么目标吗？,您好，相关内容详见公司2016年度报告全文第四节，谢谢您的关注！
2,去年公司经营遇到的最大困难是什么?今年有望改善吗？,您好，相关内容详见公司2016年度报告全文第四节，谢谢！
3,公司未来发展前景如何?对目前这个行业的前途看好吗？,您好，相关内容请查看公司2016年度 报告第四节“经营情况讨论与分析”之“公司未来发展的展望”，谢谢！
4,公司今年有没有新产品和新业务拓展？,您好，感谢您的关心。公司将继续实施技术创新，加强新产品的研发和推广，优化公司的产品结构，增强公司核心竞争力。公司将加大彩色沥青、透水沥青、防水降噪沥青等小产品的推广。谢谢！
5,公司今年有没有新产品和新业务拓展？对城镇一体化带来大发展机遇，公司有没有具体的发展计划？,您好，感谢您的关心。公司将继续实施技术创新，加强新产品的研发和推广，优化公司的产品结构，增强公司核心竞争力。公司将加大彩色沥青、透水沥青、防水降噪沥青等小产品的推广，提高公司盈利水平。谢谢！
6,公司生产经营的季节性如何?哪个季节是旺季?,您好，因行业特点，公司的业绩有一定的季节性，一般上半年为淡季，谢谢！
7,今年如何分红，是否高送转，有计划吗？,您好，公司2016年度利润分配预案已披露，请关注相关公告，谢谢！
8,请介绍一下公司的行业地位？,您好，公司市场占有份额为国内前三甲，谢谢您的关注！
9,公司的主营业务是改性沥青，什么时候上市？,您好，公司已于2010年3月在深交所上市，谢谢您的关注！
10,做为高管你对公司的股价有何看法？股价的上扬能体现上市公司的潜质和气魄！希望管理层关心一下自己公司的股价！以提振二级市场的股东对公司的信心！！！谢谢,感谢您的建议！
11,请问公司公司的核心竞争力是什么？,您好，相关内容请查看公司2016年度报告第三节“公司业务概要”之“核心竞争力分析”，谢谢您的关注！
12,行业有没有周期性？,您好，沥青行业的行业周期性主要与交通道路建设和维护的周期性紧密度较高，因此公司业务的发展也在一定程度上依赖于政府对交通道路建设的规划及建设。谢谢您的关注！
13,去年的市场行情并不好，物价又涨，今年公司在市场开拓方面有什么计划？能否详细谈谈？,您好，相关内容详见公司2016年度报告第四节“经营情况讨论与分析”之“公司未来发展的展望”，谢谢您的关注！
14,请问公司里是否有专人负责回答全景网投资者关系互动平台里股民的问题？股民的问题是否会传到公司的高层？,您好，有专人回复相关问题，会及时将股民问题转达公司高层，谢谢！
15,去年监管层要求现金分红，各交易所也发布了现金分红指引，公司怎么看，有这个打算吗？,您好，公司2016年度拟进行现金分红，请您关注公司相关公告，谢谢！
16,请介绍一下公司所处行业和主要产品？,您好，相关内容详见公司2016年年度报告第三节“公司业务概要”，谢谢您的关注！
17,我是公司的一名小股东，请问我想现场参加股东大会，不知道应该怎么做？需要什么样的程序？,您好，欢迎您参加公司股东大会，相关程序请详细阅读股东大会通知，通知中有详细介绍，谢谢！
18,今年公司人力成本的大幅度上升？对公司产品价格影响有多大？,您好，今年公司人力成本并未大幅上升，谢谢您的关注！
19,请问贵公司对通过证监会融资审核有多大把握，如不能通过，有什么应对补救措施或办法。,暂时无法评估，公司力争做好主业，回馈广大股东。谢谢您的关注！
20,请问，今年会否考虑请问，今年会否考虑收购一些公司或者扩展新的领域?收购一些公司或者扩展新的领域?,您好，公司目前正在进行重大资产重组，标的公司是一家以O2O模式为核心的房地产中介服务提供商，请您关注相关公告，谢谢！
21,建议公司在做好业绩的同时也要积极邀请各家机构前来调研，让更多人关注。,感谢您的建议！！！
22,请问董事长目前市场上公司主要的竞争对手都有哪些公司？在细分行业公司处于行业处于什么排名？谢谢,目前的竞争对手主要有厦门华特、浙江宝盈、宝利国际等，谢谢您的关注！
23,我对贵公司是长期投资的，请问预计今年一季度会盈利多少？,公司已于3月29日发布了第一季度业绩预告，请关注相关公告，谢谢！
24,2017年有重组计划吗？,公司正在进行重大资产重组，请关注公司相关公告，谢谢！
