,Question,Answer
0,请问公司芯片自用和外销的比列是多少？,您好，国星半导体芯片自供及外销比例各占约50%，谢谢。
1,公司小间距产品市占率是多少？若mini led产品能推向市场，公司现有设备是否能满足需要，预计产能是多少？,您好！公司小间距产品技术及规模国际领先，市场订单饱满。mini  led技术路线与小间距相近，公司将根据市场需求确定产能。谢谢！
2,国星光电申请的政府科研补贴是否到账了？数额多少？,您好！公司申请的政府科研补贴根据相关政府批复文件和进度陆续到账并及时确认会计核算，详情请参见公司年报附注，谢谢！
3,2018年公司的费用管理是否还会下降？以此来控制成本。,您好！费用的增长幅度会与营业收入增幅相匹配，公司将做好成本管控工作，提升精细化管理水平，将费用控制在合理范围内。谢谢！
4,外延及芯片业务今年能不能扭亏为盈？给公司业绩带来新的增长点？,您好，公司芯片业务已在2017年度实现总体盈利，公司将进一步优化上游芯片业务，提升盈利水平，谢谢。
5,请问公司有没有Micro LED的产品或者技术储备呢？,您好，公司设立Micro&MiniLED研究中心，积极储备前瞻技术，深化Micro LED芯片及相关技术的开发，谢谢。
6,请问浙江海盐项目进展如何今年能贡献收益吗?,您好，海盐项目正在进行相关论证审批流程，有后续进展公司会在按照相关要求进行披露，谢谢！ 
7,公司拟10亿元投建华东生产基地，进展如何？该基地主要用途有哪些？,您好，海盐项目正在进行相关论证审批流程。项目计划引进先进的LED外延、芯片及封装应用生产线，提升公司现有产能，但视市场变化可能在公司主营产品范围内做适当调整。谢谢！
8,公司小间距著名客户有哪些？,您好，公司小间距客户涵盖国内外知名显示屏厂，谢谢。
9,公司的主要成本是哪些呢,您好，公司营业总成本包括产品成本、销售费用、管理费用、财务费用等，具体可关注公司年报，谢谢。
10,想了解下公司产品应用于哪些行业,您好，公司研发、设计、生产和销售中高端半导体发光二极管及其应用产品，产品广泛应用于消费类电子产品、家电产品、计算机、通信、显示及亮化工程、通用照明等领域，谢谢。
11,按目前的扩产计划到下半年或年底小间距的产能能达到多少?,您好，公司结合市场销售情况实施小间距产能扩张，幅度存在不确定性，请关注后续公告，谢谢。
12,请问王总，公司在以后会不会延伸向下游产业布局？有什么计划安排？谢谢。,您好，根据市场发展与战略布局，公司不排除向下游延伸产业布局，但公司本着宁缺毋滥的原则，严格筛选投资项目，谢谢。
13,请问王总，年报公示2016年LED封装扩产项目，已完工89.34%，实现收益为0. 该项目2018年几月份可以投产，谢谢。,您好！公司扩产项目收益未单独核算，已体现在公司合计收益中，请查阅公司相关年度报表，谢谢。
14,亚威朗科技今年能实现盈利吗?,您好，公司将会综合利用浙江海盐新项目投资落地机会，整合相关资产和资源，形成协同效益，有望扭转亚威朗科技目前的经营和财务状况。感谢您的关注。
15,从公司一季度预告来看，净利润环比上年四季度下降的幅度比往年要大，是什么原因造成的？公司封装产品价格情况怎么样？,您好，下降幅度较大主要受季节性影响，春节前后人员短缺较多对产能影响较大，随着人员节后到位，公司产能逐步恢复常态，目前公司封装产品价格相对稳定，感谢您的关注。
16,您好，您是行家，请您对LED封装行业今年和明年的景气度做个简单的分析和预测？另外国星光电有无动力继续延续高增长，谢谢！,您好，随着应用领域进一步渗透，国际产业向国内转移，公司看好LED行业维持稳定向好的发展趋势。公司将持续技术研发创新、产品精益制造，在行业竞争中保持自身竞争优势，不断巩固领先地位，有信心实现业绩的持续稳定增长。谢谢！
17,公司有产品能满足LED透明屏的显示要求吗？,您好，公司在透明显示领域已拥有相关产品，如FM3510侧发光器件，满足LED透明屏的显示要求，谢谢。
18,公司的VCSEL产品处于认证阶段，请问客户是国内的还是国内外都有？大概还要认证多长时间？,您好，客户属于公司商业保密资料，时间待定，谢谢！
