,Question,Answer
0,32131电池目前系统密度多少？预计系统密度160什么时候能达到？,您好！目前32131电池系统后能量密度超过120WH/KG。公司2018年底，三元622电池量产后系统能量密度比能达到160.谢谢！
1,请问：以您的视角看，锂电行业和国轩正在发生什么样的大变化？,大力发展新能源汽车产业是我国的战略选择，新能源汽车和动力锂电池需求较大，市场空间广阔。近年来国内新能源汽车市场发展迅猛，我国政府在保持财税补贴政策总体稳定的前提下正逐步下调新能源汽车补贴标准，并且随着动力电池产能的逐步扩大以及材料研发和生产工艺的进步，动力锂电池产品的售价有降低趋势。面对行业变化，国轩高科将进一步优化现有的电池，并开发制造新型锂离子动力电池，提高电池能量密度、安全性、一致性和寿命等关键的技术指标。
2,建议慎重对待报表。去年三季报中出现把元写成万元的情况，财报作为公司评估和决策的重要文件，公司编制的时候应该精益求精。,您好，感谢您的批评和指正，我们会更加认真细致，谢谢！
3,公司三元电池出货量一直很少，请问是产能问题还是因为去年供北汽三元电池一致性问题导致三元产品销售困难？,您好！公司一直坚持向客户提供物美价廉、品质优异的产品。三元电池产品受制于原材料上涨等因素影响，成本明显上升，在A00级与A0级车型上使用优势不够明显，也不符合公司产品发展战略。谢谢！
4,您好。公司一季度中一年以内的应收账款占比为多少？,嘉宾下午好！今年公司加大了对陈年帐款的回收，一年内应收帐款占比比去年底上升。
5,你好，请问公司2018年预计可以产销多少G的动力电池？,您好，请持续关注公司信息披露及官方网站信息，谢谢！
6,董事长您好！17年三元622和111的产出分别是多少？今年预计多少？合肥622产线有没有完成升级？谢谢,您好，公司目前三元电池产线全部为622产线，公司今年已开工新建两条三元电池产线以满足乘用车市场需求，请持续关注公司信息披露及官方网站新闻，谢谢！
7,公司今年2月份成立的10亿的产业基金和4月份5亿的绿色债，这么多的现金在手，公司有没有收购与公司有关的公司或技术或资源的计划？,您好！公司一直致力于研发技术及产品品质的提升，对于资源企业的参股和收购需求也很有兴趣，目前相关合作事项正在谈判中。谢谢！
8,2017相关新闻报导，北汽新能源ec180断电和江淮iev5自然事件是否与公司提供的三元电池品质有直接关系？希望公司尽可能给予解释！谢谢,嘉宾下午好！上述事件与国轩高科提供的三元电池品质没有直接关系。公司三元电池核心工序的粉尘控制和短路率控制指标居行业前列。公司将进一步致力提升产品质量，更好地回馈投资者。
9,请教马总，公司法规定的短线交易事项，是否适用于员工持股计划。参与员工持股计划的高管、大股东是否在持股计划后6个月不能进行股票卖出？参与员工持股计划的一致行动人是否也需要遵守短线交易限制？,您好！公司员工持股计划已经通过董事会审批，待股东会通过后实施。公司高管基于对公司未来发展经营的认可，积极参与员工持股计划，也会遵循相关法律规定，不会出现短线交易情形。谢谢！
10,请教江总关于公司产品的成本的问题，公司磷酸铁锂产品原材料与工、费占比的情况；三元电池中原材料与工费占比的情况？,嘉宾下午好！公司产品成本结构和行业基本一致。
11,你好，我想了解贵司的董秘电话是多少？为什么我一直没法与贵司交流！,您好！公司提供两部投资者联系电话。电话号码分别为：0551-62100175；0551-62100213.欢迎来电交流。谢谢！
12,请问王董，目前的董事会是否能保障知无不言、集思广益？国轩是否需要引进更多高级管理者？,您好！公司董事会能够严格按照《公司法》等法律法规及《公司章程》、《董事会议事规则》等内控制度的要求，召集、召开董事会。公司全体董事均能认真履行董事职责，诚实守信、勤勉尽责。公司独立董事独立履行职责，维护公司整体利益，尤其关注中小股东合法利益不受侵害，对重大及重要事项发表独立意见。谢谢！
13,2018年至今，公司的产线开工率是多少？之前网上有说是80-90%。最新磷酸铁锂电池单体能比达到178的，是不是供不应求？,您好！公司目前磷酸铁锂产线订单充足，开工率超过90%。磷酸铁锂单体能量密度预计年底能达到180WH/KG.谢谢！
14,你好，请问公司目前面临的最大的问题和挑战在哪里，您将如何应对？,您好，公司目前最大的挑战是优秀人才的不足，公司将积极培养人才队伍和挖掘行业内优秀人才，感谢你的关注，谢谢！
15,马总您好：我感觉市场有了国轩的32131和半固态电池，其他电池好像都是多余的。既便宜又能达到续航要求。国轩认为是这样的吗？,您好！新能源市场很广阔，产品应用非常广泛，客户需求多元化。考核电池的好坏，不能仅局限于能量密度和成本，还要关注循环寿命、安全性，功率特性等方面。总之，适应市场需求的就是最好的！谢谢！
16,你好，公司在2015年之前一直是国内动力电池龙头企业，请问，您认为公司还有机会挑战宁德时代，成为全球动力电池龙头霸主企业吗？如果有，您将通过什么样的方式去实现它？,宁德时代这几年发展很快，是值得尊重的同行企业。我公司面对未来市场的节奏，是有自己的长期规划和安排的。
17,2017年上半年相关新闻报导，北汽新能源EC180电池断电和江淮IEV5自燃事件和公司提供三元电池的品质是否有直接关系？所有投资者都在揪心公司的三元品质风险，请问公司在三元电池品质控制上是否存在不足？谢谢,您好！上述事件与国轩高科提供的三元电池品质没有直接关系。公司三元电池核心工序的粉尘控制和短路率控制指标居行业前列，国轩高科将进一步致力提升产品质量，更好地回馈投资者。
