,Question,Answer
0,公司的核心竞争优势体现在哪里？2018年客户的拓展有什么规划？,您好。公司优势主要体现在产业链优势、研发优势、品牌和质量优势、生产设备优势、管理团队优势、地理区位优势等。2018年公司将重点开发优质客户，进一步提高特种膜及新材料产品的市场份额，并为继续拓展海外市场奠定扎实的基础。谢谢！
1,贵公司在国内的市场占有率怎样？,您好。传统薄膜产品市场处于严重饱和，目前在国内市场占有率没有明确的数据。谢谢！
2,公司今年有何发展计划？,您好。公司在持续、稳健发展现有业务的基础上，深入研发传统塑料薄膜向高附加值差异化产品的延伸，推动实业与文化产业的双轮驱动，纵向积极延伸产业链条，横向努力拓展业务范围，培育公司新的业绩增长点和新的发展动力，提升公司市场竞争力和可持续发展能力。谢谢！
3,请问公司预备投入多少研发费用今年？,您好。公司每年投入研发费用将在2000万元左右。谢谢！
4,请问公司的副业网络游戏一季度的收入情况？,您好。上海游唐2018年第一季度实现收入863.54万元。谢谢！
5,请介绍和梳理公司2018年第一季度收入和利润情况？,您好。公司2018年第一季度实现营业收入2.91亿元，实现净利润-645.77万元，具体财务数据请查阅巨潮资讯网披露的2018年第一季度报告全文及正文。谢谢！
6,贵公司的主要竞争对手是哪些？,您好。公司主要竞争对手为塑料薄膜及新材料领域企业。谢谢！
7,请公司谈谈今年实验室的研发成果？,您好。2018年度将开展石墨烯项目研发活动；准备验收纳米纤维隔膜与动力电池两个项目；做好国家认可委员会对隔膜研究院设立的检测中心进行复评审工作；完成ISO9001质量管理体系的年度监督评审；继续以测试中心为平台，面向全国进行有关产品的质量数据检测。谢谢！
8,贵公司与同行业企业比有何优势？,您好。公司优势主要体现在产业链优势、研发优势、品牌和质量优势、生产设备优势、管理团队优势、地理区位优势等，具体内容请查阅公司2017年年度报告。谢谢！
9,请公司谈谈品牌形象树立情况？,您好。品牌形象是企业最宝贵的无形资产和经营资源，越来越多的企业加大了对品牌这一无形资产的投入，树立了自己良好的品牌形象和企业形象。公司将正视问题，后续加强品牌投入，树立良好形象。谢谢！
10,请问公司目前有多少职工？,您好。公司目前职工总数为900人左右。谢谢！
11,未来盈利增长点在哪里？,您好。未来盈利增长点将在新材料领域，如电容膜及光学膜产品。谢谢！
12,最近有开发出技术领先的新产品吗？,您好。如宁波公司研发出测试场强达67.5MV/m以上新型粗化膜，标志着特高压产品已经超出国内同行先进水平。谢谢！
13,之前公司谈转型，现在情况怎样？,您好。公司一直处于转型阶段，公司将充分利用公司现有的行业经验和客户资源，纵向积极延伸产业链条，横向努力拓展业务范围，不断丰富公司产品类型，持续完善公司产品结构，提升公司市场竞争力和可持续发展能力。谢谢！
14,请公司谈谈今年的理财规划？,您好。公司今年没有理财计划。谢谢！
15,你们的主要客户有哪些？有没有大客户依赖症？,您好。公司的主要客户为薄膜下游供应商，主要集中在江浙区域。公司目前不存在大客户依赖。谢谢！
16,请公司谈谈环保方面的贡献？,您好。公司不属于污染型企业，不会影响环境。谢谢！
17,请公司谈谈锂电池和光学膜行业的竞争优势？,您好。移动终端设备市场发展迅猛，产品更新加快，笔记本电脑、手机以及平板电脑三大电子产品的市场达到一定渗透率后逐渐趋于饱和，增长动力不足；中国产业调研网发布的2016-2022年中国光学薄膜市场现状调研分析及发展前景报告认为，我国正在成为全球最大的平板显示器生产大国。我国液晶显示行业的迅速崛起为光学薄膜企业发展提供了有利的条件，光学薄膜已成为光电产业链前端最为重要的战略原材料之一。谢谢！
18,最近股价是怎么回事？你们有做市值管理吗？,您好。公司于2018年2月26日以重大资产重组事项停牌，目前尚未复牌。市值管理不等于管理股价，请理解。谢谢！
19,超薄型电容膜还有领先优势吗？,您好。宁波公司研发产品M4.8μm和M2.8μm通过了日本松下公司测试，而M2.3μm正在测试中，超薄产品的研发成功填补了公司和国内的空白。谢谢！
