,Question,Answer
0,领导下午好！我想请公司介绍一下目前公司“纽仕兰”产品的现状？,尊敬的投资者您好！目前，公司“纽仕兰”品牌乳品依托产自新西兰原生态牧场的优势，通过线上电商自营、联营、电视购物以及线下入住小区、超市等多种方式推广产品，继而提高产品知名度抢占市场份额。遵循“与平台共成长”的营销战略，以用户体验为先，扎根社区、拓展社群、扩大用户，不断加强产品推广及品牌建设与维护，目前公司的乳制品品种有纯牛奶、成年奶粉、中老年奶粉，公司将根据发展战略逐步推出新品种。谢谢！
1,公司战略定位是“全球资源，中国市场”，请问这是否意味着公司未来还将继续加大对海外资产的收购？未来的收购方面主要哪方面？,尊敬的投资者，您好！公司目前的定位是通过全球资源来满足中国农业及食品市场需求，力求通过并购重组的方式获取具有独特资源禀赋的优质农业及食品行业上游资源，以满足国内市场需求。目前公司已并购巴西Fiagril、新西兰克拉法牧场等海外资源，未来公司还将继续通过寻求优质的海外资源，为公司战略提供支持，谢谢！
2,请问公司参与的海外重组会遇到哪些风险？,尊敬的投资者您好，海外并购风险包括五个方面：第一，在投资过程中对标的资产尽职调查不充足，对产品市场、前景、需求判断不准确产生的投资损失。第二，日常运营中的管理风险，包括因管理工作人员疏忽或内部控制不当带来的并购项目运作或管理风险。第三，国家宏观调控政策变化风险。譬如，国家未来对境外农业产业投资政策发生变化，可能会对公司海外并购项目运营产生障碍。第四，跨境并购整合风险，其中包括文化差异、人才和客户的流失、员工排斥等因素导致并购交易无法达到预期收益。第五，跨境并购审批风险，海外并购交易受各国法律、政治及经济环境等因素的影响，存在跨境审批困难、耗时较长等诸多不确定性因素，继而可能对投资时间、成本与费用等产生不利影响。谢谢！
3,请问公司有无通过发行公司债券等形式进行募资的计划？有无设立并购基金收购标的的计划？,尊敬的投资者您好！公司去年已通过公司发行债券的计划，现正在进行中。关于并购基金收购的计划请见相关公告。谢谢！
4,目前公司定位于农业，那么公司是以什么样的标准来寻找海外的优秀的农业资产？,尊敬的投资者您好！公司立足国际农业，在新西兰、巴西、澳大利亚等国家寻求符合公司“大农业、大食品、大健康”战略发展方向的优质农业资源项目，力求通过并购重组的方式，迅速获取具有独特资源禀赋的优质农业上游资源，以为国人的健康消费、快乐生活提供物美价廉的农产品和绿色健康消费品为目的来寻找合适的收购标的。譬如去年公司并购标的Fiagril公司所在地区麻省是巴西最大的大豆及玉米种植省份，产量约占巴西总产量的34%，其中大豆产量约占全球总产量的9%、排名全球第四位，且Fiagril公司为巴西最大的大豆、玉米贸易平台和农业生产资料经销商平台之一。同时新西兰被称为“世界上最后一片净土”，是世界黄金奶源的代名词，传承毛利文化的纽仕兰牧场只有1.2万公顷，因其不足1%所以珍稀罕至，出产的牛奶是“黄金奶源中的黄金奶源”。谢谢！
5,公司截止至今的产品有多少个种类？,"
在2016年年度报告第四节第二点中有披露。"
6,公司有没有股权激励计划？,尊敬的投资者您好！公司目前正处于业务转型期，同时高管也在换届选举过程中，暂无股权激励计划，谢谢！
7,公司去年主打产品的销量是多少？,在2016年度报告第四节第二点中对此有详细披露。
8,公司生猪业务占主营业务收入比例近几年逐渐降低，请问公司在生猪业务方面未来有什么打算？是否会剥离生猪业务？,尊敬的投资者您好！公司逐步从畜牧业转型至农业，随着公司战略方向的改变，公司在主营业务投入方面也做出调整，近几年公司逐渐增加大宗商品贸易及乳制品占比，降低生猪业务占比正表明公司战略调整已取得一定成效。而对于生猪业务，公司已与江苏银河面粉有限公司签订协议，由江苏银河对公司生猪业务进行管理，并由其承担损益，而公司每年则收取固定收益款，未来公司将加快寻找更具发展潜力或比较优势的适养区域，适时推进优质生猪养殖产业的发展，谢谢！
9,公司是否会计划多元化发展？,尊敬的投资资您好！依据公司发展战略，公司将始终围绕农业、食品两大核心主业，运用“产业加金融，投资加并购”的策略整合国内外相关资源，做大做强核心主业，力争为投资者提供良好的投资收益，谢谢！
10,公司预计2017年业绩较去年同期是上升还是下降？若上升，则增幅是多少？,"
公司2017年度业绩较2016年度肯定会有所上升。"
11,公司截至目前为止都有哪些子公司和参股公司？,请见2016年年度报告，有详细披露。参见第四节经营情况讨论与分析，第七点主要控股参股公司分析，谢谢！
12,公司去年财务费用和管理费用怎样？同财务费用相比呢？今年有没有折旧？请问管理费用今年会能稳定吗？,"
公司2016年度财务费用和管理费用在年报中有详细披露；2017年有折旧费用发生；随着2017年业务规模的扩大，管理费用会有一定幅度的增加。"
13,请问公司会进入新的细分领域吗？这一领域与公司现有业务的相关性？,尊敬的投资者您好！根据公司的发展战略，我们将始终聚焦于食品和农业两大核心主业，通过投资加并购，产业加金融，不断地做强做大。谢谢！
14,请问公司目前的研发机构有哪些？公司未来产品的研发与创新将如何进行？,我们已经拥有了涉及粮食、奶牛、肉羊的研发部门或团队，我们将根据业务发展的需要继续增加相关产业的研发力量。
15,请问老总， 2016年存货是多少，存货增加的内容是哪些？,"
2016年存货金额为552,777,648.08元，具体增加的内容在2016年年度报告中有详细披露。"
16,请问开完股东会后，如果送股通过几日内会送股？,目前公司暂未考虑送股事项，谢谢！
17,能简单的介绍下新项目的情况吗？,尊敬的投资者，您好！公司目前正积极推进重组事项，相关信息会根据监管要求进行披露，届时请关注公司相关公告，谢谢！
18,请问公司明年净利润能做到多少？,"
预计会比2016年度净利润有一定幅度的增长。"
