,Question,Answer
0,再融资政策收紧有无影响公司的资本运作？,尊敬的投资者您好，感谢您的提问。目前金融机构对公司日常经营的支持一如既往。再融资政策收紧对公司的日常经营暂无重大影响。谢谢！
1,贵公司所处行业与国家政策密切相关，请问最近在政策层面，有哪些利好或者利空的消息？,尊敬的投资者您好，感谢您的提问。电力行业是国家重要的基础能源产业，规模很大。近期，行业内未公开公布影响企业发展的重大利好或利空信息。谢谢。
2,亏损的原因是产品卖不动了么？,尊敬的投资者您好，感谢您的额提问。我理解您指的亏损是上年第四单季度，这个情况产生的原因前面已经回答，请您参阅。谢谢。
3,您好，石总。请问下，为何17年第四季度利润会因为并购重组失败而导致亏损，并购重组失败产生的需要支付的费用具体金额是多少？,尊敬的投资者您好，感谢您的提问。公司2017年四季度利润亏损的原因是1、报告期原材料采购成本上升。2、股份公司资产、业务下沉至子公司产生的相关交易税费支出。3、报告期美元兑人民币汇率下降产生的汇兑损失导致财务费用同比上升。4、公司印尼子公司经营未达预期，计提了坏账准备。谢谢！
4,请问公司在市场方面的开拓有什么计划？,"尊敬的投资者您好，感谢您的提问。此问题已在前面给予答复,请您参阅.谢谢!"
5,朱总您好，公司为啥去做理财，也不增持自家的股票。,尊敬的投资者您好，感谢您的提问。相关问题已经答复过，请参见其他问题回复。
6,贵公司尝试利用兼并、收购等方式实现规模扩张，那请问具体方向是哪里？整体的策略又是什么？,尊敬的投资者您好！感谢您的提问。规避风险是企业的经营原则、健康发展是公司的战略目标。未来，我们会坚持做好主业，坚持自己的原则，追逐企业的目标。 在风险可控的条件下，在保证投资者、公司利益的前提下，公司将本着精益求精的初衷，不妥协、不放弃，努力搭建更好的发展平台，在合适时机寻求优质资源，来增强公司的抗风险能力，提升核心竞争力，促进上市公司持续、健康发展，亦不排除继续重组其他优质标的可能。
7,您好，窦总。在一带一路战略上，公司有什么布局吗？,尊敬的投资者您好，感谢您的提问。公司加强与国内外主要一带一路关联公司重要客户的业务接洽。国际营销人员坚持走出去，进行驻扎，了解一带一路客户端最前沿信息，现已参与一些一带一路项目，今年将加大力度，提高覆盖广度和用户挖掘深度。谢谢.
8,2018年公司将在哪些高新技术领域取得突破？,尊敬的投资者您好，感谢您的提问。2018年，公司将紧跟国内外电力发展的需求，继续在特高压领域尝试突破和创新。谢谢。
9,你好，朱董事长。请问集团公司后续会利用大连电瓷这个平台，将集团资产注入到上市公司，整体上市吗？,尊敬的投资者您好，感谢您的提问。目前无任何计划利用大连电瓷的平台注入我个人持有的其他资产。
10,目前绝缘子行业竞争是越来越激烈了，大家都在打价格战，贵公司是如何应对这波冲击？,尊敬的投资者您好，感谢您的提问。除了保持原有市场份额外，公司还在不断开拓新市场，例如借助国家一带一路发展的契机加快步伐走出去，加大国际市场开拓力度，以科技创新开拓市场、引领市场，加强成本控制，提高产品质量。谢谢
11,请高管介绍下公司产品竞争力如何，谢谢,尊敬的投资者您好，感谢您的提问。当前，市场竞争日益激烈，公司必须不断进取，才能保持已有的竞争优势和市场地位。公司的核心竞争优势仍然在技术、品牌和生产能力几个方面，对此年报已经详细披露，请您参阅。谢谢。
12,上次停牌时大股东意隆磁材质押股份平仓线为8.02，请问这次复牌后平仓线为多少？,尊敬的投资者您好，感谢您的提问。截止目前，公司暂未收到来自控股股东关于股权质押情况的最新信息。谢谢！
13,目前贵公司所处行业的环境并不好，而贵公司提到“加强力度多举并施降本增效”，具体都有哪些措施？,"尊敬的投资者您好，感谢您的提问。成本费用的控制是企业发展的重点工作，以数据分析为基础,不断提升管理水平,措施主要涉及技术、采购、生产等全过程，其中：技术研发不断创新，发挥新材料替代效应，采购要多家比对，加强与供应商战略合作伙伴关系，提升物资性价比，同时严格进行价格审核；生产过程不断优化工艺，提高生产效率，提高制造合格率。采取能源技改措施，节约能源费用。运输采取汽运,铁路,海运相结合的方式等进行成本控制.谢谢!"
14,来自国网的销售比重每年大概是多少？,尊敬的投资者您好，感谢您的提问。近年，公司来自国网的销售比重占全部销售收入60%以上。谢谢！
15,中央文件大连上海联通，是否会提振公司业绩，公司有没有在上海布局,尊敬的投资者您好，感谢您的提问。就目前情况，公司暂未因此大幅提升经营业绩，目前公司已经在上海自贸区注册全资子公司。谢谢。
