,Question,Answer
0,公司的机场雷达系统和水下探测系统，一直没有订单，全是概念，请问，公司如何推广业务，现在是否有在手商谈业务？,您好，公司航管装备产品是公司防空技术在通用航空运行服务领域的转化和应用，“十二五”期间公司承担了国家重大科技支撑计划之通用航空运行服务系统关键装备研制任务，经过近7年的研发，目前已经形成了航管装备的系列化产品，产品的成熟度也在不断的提高，目前已有小批量交付用户，但受通用航空整体行业影响，批量生产和产业化还有待于整体行业市场环境的改善。另外，公司水下探测系统的部分主导产品已经小批量进入国内军方市场，民用市场和国际市场也已在积极推进之中，力争年内会形成一定的市场订单。谢谢！
1,国家层面去杠杆，挤泡沫，公司是否感受到压力？最近的金盾、盾安事件，公司是如何防范此类风险？,您好！公司2017年年报和2018年一季报已披露公司相关财务数据，截止2017年末和2018年3月末公司合并报表的资产负债率均低于24%；上述报告期内公司现金流量正常，亦不存在公司及子公司对外提供担保之情形，也不存在为公司控股股东及实际控制人及其控制的企业提供担保的情况。今后，公司严格遵守相关法律法规及业务规则、公司章程，积极控制和防范债务风险。谢谢！
2,公司未来几年有没有并购计划，使公司尽快做大做强？,您好！公司秉承深化军民融合、产业与资本双轮驱动的发展思路，结合国家创新驱动发展战略机遇，加大传统业务研发投入以保持技术优势，同时在技术规划引领下实施了并购与投资，完善了公司产业战略布局。如果有好的机会公司会按市场情况适时把握进行相关产业上的并购。谢谢！
3,感觉这次交流会的回复有点慢，而且大多是复制粘贴，没有实质内容！,您好，公司管理层注重与投资者的沟通交流，尽可能的对公司的相关情况多一些介绍，请谅解，谢谢您的关注。
4,天和防务这几年业绩实在不敢恭维，董事长对公司未来几年发展前景有何预估，能否给广大小股东吃颗定心丸,您好，过去几年因受军改以及公司转型升级和加大新产品开发力度，科研投入和管理费用较大，市场开发正在过程中，导致公司业绩压力比较大，短期业绩不佳，因公司业务所涉行业需求多为复杂系统的业务，业务的推动需要一定周期。随着国家军队体制改革步伐的加快，公司军品业务已经趋好、军民融合大数据感知系统业务经过几年的规划部署和准备，已与商洛市政府于2017年11月3日签署了《军民融合产业投资合作框架协议书》，该项目的推进实施将会带动公司转型升级和军民融合业务和产品的快速发展。 2018年公司制定了营业收入不低于6亿元的经营目标，为此，公司将通过以下措施，努力提升公司的盈利能力，确保公司经营目标的顺利实现：（1）充分利用军工行业回暖的良好局面，积极争取“十三五”军品采购订单，同时努力推进军工配套业务和竞争性项目，提升公司军品销售业绩；（2）在2015-2017年公司军贸、军援市场开拓取得的成果基础上，充分利用国家军贸、军援政策，加大对低空近程防空指挥系统、海防系统、要地安防及地面侦察指挥系统等主导产品的国际市场开拓力度，推进军贸、军援业务订单的较快落地；（3）加快推进“数字商洛”示范项目，推进公司军民融合数据产业尽快取得市场成果，同时加快实施智慧哨兵、太赫兹安检、空管空防一体化、军民融合感知系统等新产品在新疆等重点市场的推广和销售；（4）有效组织和合理安排军品订单的生产交付，确保年度生产任务的全面完成；持续推进关键技术研发，促进新的军用民用产品的定型和销售；（5）进一步优化公司管理流程，构建简约高效的管理体制，提高公司整体运营效率；严格预算管理，加快应收账款的回收，科学组织生产经营，提升财务管理水平。谢谢！
5,天和防务两年2.5亿收购增资5公司 两家微利两家未兑现业绩承诺，对未达到业绩承诺的采取什么措施？,您好！公司关于2.5亿元收购增资5公司的相关情况详见本次业绩说明会其他问题答复。因深圳华扬及长城数字未完成业绩承诺，依据相关《股权收购协议》，公司扣减了深圳华扬的股权支付对价款，同时进行了相应的商誉减值；依据相关《股权收购协议》公司同时也对长城数字的业绩承诺完成情况进行了商誉减值，按照《股权收购协议》长城数字补偿了公司相应的股权，股权比例由持股51%调整为67.14%。今后公司还将进一步加强对各子公司业务经营的管理与协同，积极防控市场风险和子公司经营风险，有效的提升了业务协同能力和盈利能力。谢谢！
6,天和防务两年2.5亿收购增资5公司 两家微利两家未兑现业绩承诺，是否有赔偿措施？,您好！因深圳华扬及长城数字未完成业绩承诺，依据相关《股权收购协议》，公司扣减了深圳华扬的股权支付对价款，同时进行了相应的商誉减值；依据相关《股权收购协议》公司同时也对长城数字的业绩承诺完成情况进行了商誉减值，按照《股权收购协议》长城数字补偿了公司相应的股权，股权比例由持股51%调整为67.14%。今后公司还将进一步加强对各子公司业务经营的管理与协同，积极防控市场风险和子公司经营风险，有效的提升了业务协同能力和盈利能力。谢谢！
7,天和防务两年2.5亿收购增资5公司 两家微利两家未兑现业绩承诺，来源：每日经济新闻 。对此公司有什么措施？,您好！公司关于2.5亿元收购增资5公司的相关情况详见本次业绩说明会其他问题答复。因深圳华扬及长城数字未完成业绩承诺，依据相关《股权收购协议》，公司扣减了深圳华扬的股权支付对价款，同时进行了相应的商誉减值；依据相关《股权收购协议》公司同时也对长城数字的业绩承诺完成情况进行了商誉减值，按照《股权收购协议》长城数字补偿了公司相应的股权，股权比例由持股51%调整为67.14%。今后公司还将进一步加强对各子公司业务经营的管理与协同，积极防控市场风险和子公司经营风险，有效的提升了业务协同能力和盈利能力。谢谢！
8,今年的已经快要一半了，公司的军品订单只有去年12月份签的一笔9000多万的，并没有出现公司宣称的“行业政策将逐步落地，军品市场将出现回暖，公司军民融合各业务板块预计将迎来新一轮的发展机遇”，如何理解？,您好，您关心的问题也是公司最关心的问题。就此问题，公司已制定了具体的解决措施，相关计划和工作正在积极推进和落实之中，第二季度和第三季度是各项目落实和取得市场订单的关键时期，公司管理层有信心能够落实整体计划。
9,是否使用芯片，芯片是向国外采购的还是自己研发的？,您好，公司的电子产品均使用芯片，大部分的芯片来自于市场采购和产业链配套，公司也在不断提升国产化芯片的使用。部分专用的核心芯片会来自于公司研发或者联合研发。谢谢！
10,两年2.5亿收购增资5公司，两家微利两家未兑现业绩承诺，那贵公司会退出这些公司么？,您好！公司关于2.5亿元收购增资5公司的相关情况详见本次业绩说明会其他问题答复。由于公司上述收购增资均系基于战略布局考虑，截止目前公司并未考虑退出上述公司。谢谢！
