,Question,Answer
0,按理京津冀废气治理业务量很大，但公司的全子公司天壕环保盈利能力一般，请问为什么？,您好，天壕环保具有独特的核心技术，业务处于快速发展期，但目前其经营规模偏小，在公司水电气一体化的业务布局中占比较小。
1,随着新的管理团队已经接手霸州正茂，对今年霸州正茂完成业绩承诺是否还有希望。若是霸州正茂今明两年仍完成不了业绩承诺，是不是还要进行业绩补偿。,根据对赌协议，霸州正茂49%股权将全部补偿给公司，完成工商变更后，霸州正茂将成为公司的全资子公司。
2,公司目前面临的最大问题是什么？,公司正在布局水电气三大业务板块，三大业务板块的协同性将逐步发挥。 
3,请问霸州正茂去年未按照业绩承诺，根据对赌协议，公司其余49%股份应无偿转让给公司，等于公司只花了2.04亿，就获得了霸州正茂100%的股权，并且3年内公司还可获得保底（456）*51%=7.65千万的收益？,您好，对赌协议约定已披露，公司正在办理股权变更手续。
4,请问开完股东会后，如果送股通过几日内会送股？,您好，按规定利润分配将在股东大会通过后两个月内执行。
5,截至目前，公司的同比销售额有增长吗？,您好，公司一季度营业收入同比增长。
6,完事了？怎么没更新了？,谢谢。
7,"陈董好，公司在同板块，无论是市净率还是总市值,都是长期非常低估值，通常市场普遍认同度景气度低，都会有这样那样的瑕疵存在，从目前公开的信息以及您真金白银的增持壮举来看，皆看不出公司有任何毛病，我们小散都非常不理解，为什么公司走势总是落后于其他公司！您是老大，能谈一谈公司目前到底有哪些不足吗？并且这些不足短期内能否质的改观。衷心希望老大把公司越办越好！",感谢您对公司的关注与信心，我们对公司未来发展充满信心。公司正在布局水电气三大业务板块，三大业务板块的协同性将逐步发挥。
8,陈董，您好！您在公司网站的致辞中说到：不久的将来，公司市值可以达到100亿美金以上，按目前9亿多股份，要达到如此市值，净利润需20亿以上，请问陈董为何有如此底气？,您好，市值百亿美元是公司一直以来追求的长远目标。
9,2017年公司是否考虑对高管实行股权激励，如果有的话大概什么时候实行？,您好，对高管及核心管理人员实行股权激励是公司的常态工作。
10,请问净利润的增长率和销售收入增长同步吗？,您好，2016年由于霸州正茂计提减值准备，造成净利润同销售收入相比，未能保持同步增长。
11,公司的发展战略是什么， 和公司现有的主营业态一致吗？  能否详细讲解一下？ 谢谢！,您好，公司业务涵盖水处理工程和膜产品销售、天然气供应及管输、余热发电等业务，已形成水电气一体化环境综合投资服务运营商，能够为客户提供环境整体解决方案。
12,李总，您好！ 前期投资的天壕环保废气治理和天壕惠普盈利情况怎样？,您好。公司环保业务及惠普金融业务是有盈利的，但对公司合并业绩并不构成重大影响。
13,你好，我看新闻，雄安新区三县去年就开始煤改气了，按说应该是霸州正茂一个绝好的发展机会，为何业绩会如此差，而且按对赌协议执行下去，霸州正茂的创始人团队估计得离场了。公司对该子公司后续业务有什么具体点的计划吗？,您好，不仅仅是雄安在煤改气，整个华北都在进行煤改气，公司有完整的燃气运营管理团队，有很强的业务运营优势，后续公司将加强霸州正茂的业务开拓、成本控制，有效改善经营业绩。
14,请问公司目前产能多少？,您好，公司业务涉及水处理工程和膜产品销售、天然气供应及管输、余热发电及其他。
15,请问公司今年营收的增长能超过行业的平均水平吗？,您好，依据监管规定，请关注公司的披露。
16,请描述一下公司未来的发展前景，谢谢！,您好，公司已成为水电气一体化环境综合服务运营商，未来发展前景广阔！
17,你好，陈董，估计今天陈董也进场增持了吧，对吗？,您好，请关注公司披露的公告。
18,请问老总公司今年净利润同比增长多少？,您好，依据监管规定，请关注公司的披露。
19,王总好，这次发的可转换债三个亿的用途是什么？,您好，三个亿是公司股东发行的可交换债。
20,公司截止目前的股东总人数是多少？,您好，股东情况详见公司定期报告。
21,董事长您好，您谈到目前公司在转型布局，业绩没有体现出来，很快就会有很大的提升，请问2017年能得到很大提升吗？,您好，公司水电气三大业务板块协同性将逐步显现，业绩也将逐步提升。
22,公司预计2017年业绩较去年同期是上升还是下降？若上升，则增幅是多少？,您好，根据监管规定，请关注公司的披露。
23,公司在税收方面有没有相关的优惠政策？具体税率是多少？,您好，公司享受高新技术企业所得税15%优惠，余热电站增值税即征即退政策。
24,公司今年的财务费用会有多少？,您好，根据监管规定，请关注公司披露。
25,请问公司建设的到原平的燃气管道建设进度如何，建设完成后供气量预计有多少？公司2016年对宝德及兴县供气量有多少，煤层气占比多大？未来两年煤层气占比是否有提升空间，预计比例可达到多少？,您好，公司按计划进行相关工作，在管道输通后，尽可能多的使用煤层气，未来煤层气占比预计达到80%以上。
26,对于霸州正茂，现在处理情况如何了？49%的股权过户了吗？现金补偿收到了没？能收到吗？霸州正茂承诺业绩4000多万，实际亏损，该子公司是不是空壳化了？,您好，公司正在按协议约定处理霸州正茂补偿事项，霸州正茂49%的股权已质押给本公司。霸州紧挨着雄安新区，是公司未来发展的重要布局之一。
27,公司是否可以率先公告一些在雄安新区的订单或者规划，协议之类的，以提升公司的整体形象，此举胜过央视的广告啊！您,您好，依据监管规定，请关注公司的披露。
