,Question,Answer
0,同属公司投资者，对公司股票连续投资几年，投资收益和公司股价每年下降，做为长期投资者，既失望也无奈。,您好，对您的感受我们深表理解，对于您的批评我们诚恳接受，我们也希望投资者买了我们公司的股票能够有好的收益，投资者不满意说明我们的工作确实有不足的地方，我们一方面还是要更加努力地搞好公司的经营，不断提高业绩，另一方面要积极主动地与市场和投资者沟通，把公司的经营情况及时全面地反馈给市场和投资者，还希望得到您的理解和支持，谢谢！
1,同属兵团上市公司，你们是否觉得比其他公司优秀？是否觉得浪费了兵团这个优质平台？,您好，每个公司都有优秀的地方，也有不足的地方，我们会向其他优秀的公司学习，弥补我们的不足。作为兵团的上市公司，兵团对公司的发展给予了很大的支持，我们对此很珍惜，也希望能通过我们的努力创造更好的业绩来汇报投资者，学习！
2,公司股价自2015年9月以来，没任何起色，甚或下跌，请问公司经营是否存在一些严重问题？,您好，公司2016、2017年分别实现净利润3.93亿元、4.07亿元，这应该是一个还算不错的业绩，说明公司经营是良好的，谢谢！
3,公司股价是见利好不涨，见利空大跌，近期也连创新低，是否可理解为投资者看空公司前景或存人为控制？,您好，任何一个行业都存在市场波动，近期股价下跌主要是受国内生猪价格下跌造成公司一季度同比业绩下滑所致，对公司的前景不同的投资者有不同的看法，有看空的，也有看好的，这却决于投资者的角度，谢谢！
4,为什么你们知道公司胶价下跌较大，不出公告提示？是否存懒政行为？,"您好，根据深圳证券交易所《交易规则》5.4.3条规定，
上市公司股票交易出现下列情形：（一）连续三个交易日内日收盘价涨跌幅偏离值累计达到±20%的；（二）ST 和*ST 股票连续三个交易日内日收盘价涨跌幅偏离值累计达到±12%的；（三）连续三个交易日内日均换手率与前五个交易日的日均换手率的比值达到30倍且该证券连续三个交易日内的累计换手率达到20%的，方属于异常波动情形，需要刊登股票交易异常波动公告，谢谢！
"
5,也知你们会说股价受二级市场走势影响，你们也知公司股价连续大跌，别的公司能及时发公告澄清，为什么你不能？,您好，公司严格按照交易所的要求履行了信息披露的义务，谢谢！
6,请问公司用什么措施来防范人为控制股价？,您好，股票市场是所有交易者共同作用的结果，股价的涨跌综合受到大盘、板块、心理、技术、流动性、业绩等等因素的影响，短期看人为有可能影响股价走势，但从中长期看人为是难以控制股价的，谢谢！
7,请问公司现阶段胶价已体现公司价值？,您好，二级市场股价走势受公司基本面以及宏观、行业、投资者预期等多方面因素影响，不同的投资者对股价有不同的判断，同一个投资者用不同的标准来评价一个公司股价也会得到不同的结论，谢谢！ 
8,和公司一起期待猪价回升，如同土地久旱期待甘霖，好渺茫，但也只能如此了。,感谢你对公司的关注和支持，我们会加倍努力，以优异的业绩回报广大投资者，谢谢。
9,食品养殖业务生猪市场行情波动对公司具体产生了哪些影响，对业绩影响多大？,您好，生猪价格下跌对公司一季度的业绩产生了较大影响，造成公司一季度业绩较去年同期下降了48%，谢谢！
10,对高管们提几点建议:一连续几次融资业绩、股价应有表现（这才能体现你们的管理能力），二加大现金分红，三谋求兵团扶持发展。,感谢你对公司的关注和支持，我们会加倍努力，以优异的业绩回报广大投资者，谢谢。
11,一轮猪价下跌的猪周期，公司一季度业绩指标惨淡，公司有否寻求其他经济增长点？,您好，公司今年在口蹄疫市场苗和猪瘟E2的产品销售方面有望实现较大的增长，谢谢！
12,2018年公司是否受到主要原材料价格波动的影响？公司有何应对措施？,您好，公司针对近期玉米、豆粕价格走高已经提前做好了应对措施，前期提前锁定了部分原料合同，力争将原料价格上涨对公司成本的影响降到最低，谢谢！
13,公司如何判断生猪价格2018年的走势？,从目前猪价来看已进入阶段性价格低点，公司期望2018年下半年猪价能有所回升，谢谢。
14,公司2017年制药业务毛利率为66.20%，今年能否维持这一毛利率？,公司产品毛利率取决于产品结构、市场售价及成本等多方面因素，公司将加大市场苗销售力度，以提高综合毛利率，谢谢。
15,请问公司有无措施防范在养殖方面可能出现的传染病等等情况？,您好，公司每年都要制定疫病防治计划并严格实施，同时公司本身也生产动物疫苗，疫病防治技术力量雄厚，能够有效地防范在养殖方面可能出现的传染病，谢谢！
16,公司去年在研发上的投入还是比较低的，今年的规划是怎样？,公司一直重视在研发方面的投入，2017年末，公司在上海张江高科技园投资近5000万设立了天康制药（上海）全球研发中心，公司将把其打造成为汲取全球最前沿产品、技术、工艺的平台。公司筑巢引凤，目前已经招募30余位硕博专业人才加入研发团队，与已经建成的国际一流的小试、中试车间和检验动物房互为一体，为制药技术研发创造最佳的条件和环境。未来，天康制药业务还将每年拿出不低于制药营收的10%投入研发工作，以确保该业务每年有2--3个新产品上市，力争实现年均20--30%的增长，实现天康动保成为全球一流动保企业的目标，谢谢。
17,请问公司自主研发的生猪、蛋鸡、奶牛专业养殖管理软件对养殖户而言有什么规范管理作用？,您好，通过养殖管理软件将养殖户纳入公司的养殖服务体系，通过大数据及时了解掌握养殖户的生产情况，为养殖户提供饲喂管理、疫病防疫、动物营养等方面的服务，从而进一步提高养殖户的管理和技术水平，并起到规范管理的作用，谢谢！
18,公司如何看待视频养殖行业接下来的发展？,畜产品养殖有一定周期性，是由市场供求关系决定，公司将围绕主业坚定不移的做好生猪养殖业务，保持公司稳健经营，谢谢。
19,扩大“公司+农户”的饲养模式是否能够保证饲养的规范呢？如何防范疫病风险？,您好，公司目前主要采取的是自繁自养的模式，今后也会部分采取“公司+农户”的方式，公司将加大养殖服务领域的建设力度，构造全新养殖服务体系，以保证饲养的规范和防范疫病风险，谢谢！
20,公司2018年上半年业绩是否有机会回升？,上半年业绩能否回升主要看市场畜产品价格能否有大的回升，公司将加强生猪饲养过程管理，努力降低养殖成本，提高各项生产指标，谢谢。
21,短短几年二次融资，对公司业绩是否有帮助？,您好，公司几年来通过再融资调整了财务结构、扩大了疫苗的生产，完善了公司产业链，对公司业绩是有帮助的，谢谢！
22,请问公司今年的经营目标及计划是什么？,2018年公司的经营计划和主要经营目标为饲料产销量102万吨，动物疫苗16亿头份（毫升）、生猪出栏70万头、植物蛋白原料加工量40万吨；营业收入51.28亿元，扣除非经常性损益的净利润3.65亿元，谢谢。
23,公司今年是否有新的盈利增长点？,今年公司将加大制药市场苗开拓及销售，争取有所突破，同时植物蛋白业务抓住有利时机提高产能利用率，提升效益，谢谢。
24,公司生猪养殖规模不断扩大，请问国内市场对这一块的需求目前是怎样的呢？,您好，根据统计数据2017年国内生猪出栏6.89亿头，因此国内市场对猪肉的需求巨大，近几年随着土地、环保的要求不断提高，大量散户退出生猪养殖市场，未来生猪养殖行业集中度不断提高将是行业发展的趋势，谢谢！
25,公司目前制药业务发展如何？,公司制药业务是农业部中监所指定口蹄疫疫苗监督检验和研发试验基地，目前已通过验收的GMP生产线17条，现有正式批准文号的产品22种，2010 年被评为国家认定企业技术中心，2015 年获批动物用生物制品技术国家地方联合工程实验室。公司的小反刍兽疫活疫苗、口蹄疫灭活疫苗、口蹄疫合成肽疫苗、蓝耳病活疫苗在全国均有销售，公司将继续加大研发投入，以丰富公司疫苗产品线，更好为养殖户提供优质服务，谢谢。
26,请问公司今年在疫苗生产和研发的规划？今年预计有哪些新品种的疫苗能够实现投产？,您好，在公司年报中披露了目前正在研发的13种疫苗产品的研发情况，今年已经有猪瘟E2、猪支原体肺炎灭活疫苗等产品投产上市，预计有猪萎缩性鼻炎灭活疫苗等疫苗投产，谢谢！
27,在本可转债存续期间，当公司股票在任意三十个连续交易日中至少十五个交易日的收盘价格低于当期转股价格 90%时触发转股价下调的预案，近期多家上市公司主动下调转股价 例如（江阴银行 无锡银行 骆驼股份等），请问公司考虑近期下调转股价吗,您好，公司股价最近下跌幅度较大，但是尚未达到转股价向下修正的条件，公司目前正在密切关注股价走势，并准备了相应的预案，谢谢！
28,贵公司发行的可转债已经触发了	在本可转债存续期间，当公司股票在任意三十个连续交易日中至少十五个交易日的收盘价格低于当期转股价格 90%时，董事会提议下调转股价来促使可转债的持有人转换成股票的议案，近期不少公司都主动下调了转股价 。比如骆驼股份 江阴银行 无锡银行等等，请问公司近期有下调转股价的预案没有,您好，公司股价最近下跌幅度较大，但是尚未达到转股价向下修正的条件，公司目前正在密切关注股价走势，并准备了相应的预案，谢谢！
29,请问目前公司的猪圆环病毒 2 型疫苗研发进展如何？,该疫苗是应用现代的分子生物学技术将猪圆环病毒2型Cap基因重组于杆状病毒内，在昆虫细胞上培养表达PCV2-rCap蛋白，和猪肺炎支原体CJ株接种适宜培养基培养收获培养物，而制成的二联灭活疫苗，目前该疫苗已申报新兽药注册，谢谢。
30,最近国内畜禽产品价格是怎样的情况？公司生猪养殖方面的毛利率是多少？,一季度全国生猪价格同比大幅下挫，公司生猪价格一季度较上年同期下降幅度24.89%， 导致毛利率大幅下降，对公司生猪养殖业务影响较大，谢谢。
31,注意到公司去年在植物蛋白及油脂加工业务这一块有不错的增长，今年在这一块的规划是怎样的？,公司将继续保持植物蛋白业务的稳健经营，加强对国际大宗商品价格的预判，抓住有利时机，降低采购成本，提升生产效率，继续采用以销定购、以销定产的经营方针，为公司提供优质蛋白原料，谢谢。
32,公司有无应对原材料价格波动导致对饲料业务产生不利影响的措施？,"公司在大宗原料主产区设立了专业的收储公司，在原材料价格相对低位时收储部分原材料，降低原材料价格波动的风险，同时公司将积极开辟新的原料供应渠道，努力降低原料成本,谢谢。"
33,公司2018年一季度净利下滑48.51%，主要原因是什么？,您好，公司2018年一季度净利下滑48.51%，主要原因是国内生猪价格今年一季度较上年同期大幅下跌，造成公司生猪养殖业务利润较上年同期下降所致，谢谢！
