,Question,Answer
0,您好，是李叔叔吧？公司的主营业务是高分子发泡材料，是一种什么材料？,年报或者百度，都可以看一下。谢谢！
1,吴叔叔好，公司的主营业务是什么？,请看一下年报。谢谢！
2,请问公司里是否有专人负责回答全景网投资者关系互动平台里股民的问题？股民的问题是否会传到公司的高层？,是高层在回答。谢谢！
3,请预估一下未来十年公司的市场规模多大？谢谢！,希望越做越好，稳定增长。谢谢！
4,能介绍一下公司现在各大区域的销售和占有率等基本情况吗?,请见年报相关数据。谢谢！
5,今年公司人力成本的大幅度上升？对公司产品价格影响有多大？,请见年报相关数据。谢谢！
6,行业有没有周期性？,市场竞争及周期，更取决于主观的决策和努力。谢谢！
7,公司生产经营的季节性如何?哪个季节是旺季?,无非常明显的季节性影响，谢谢！
8,请介绍一下公司的行业地位？,请见年报相关信息。谢谢！
9,请介绍一下公司所处行业和主要产品？,请见年报相关信息。谢谢！
10,请问公司股票上市时期价格多少，现在多少，还具有投资价值吗？,我们对企业未来看好。谢谢！
11,请问净利润的增长率和销售收入增长同步吗？,请见年报公告。谢谢！
12,请问公司今年营收的增长能超过行业的平均水平吗？,我们希望有好的表现。谢谢！
13,请问公司目前产能多少？,年报中有产能相关数据。请查阅，谢谢！
14,公司去年财务费用和管理费用怎样？同财务费用相比呢？今年有没有折旧？请问管理费用今年会能稳定吗？,年报中有详细描述，希望今年费用更合理，效率更好的提升，谢谢。
15,公司目前面临的最大问题是什么？,我们希望通过全员的努力，销售和利润更大幅增长，这是我们的压力也是动力。谢谢！
16,请描述一下公司未来的发展前景，谢谢！,请见年报中公司未来发展展望，谢谢！
17,如果我想对贵公司长期投资，能给我一个长期持有的理由吗？,希望通过我们的努力，企业发展越来越好。谢谢！
18,截至目前，公司的同比销售额有增长吗？,请关注近期一季度报告。谢谢！
19,公司有没有股权激励计划？,公司员工持股计划已实施中。谢谢
20,请问公司明年净利润能做到多少？,我们希望合理增长，谢谢！
21,请问老总公司今年净利润同比增长多少？,我们希望合理增长。谢谢！
22,请问开完股东会后，如果送股通过几日内会送股？,关于利润分配请见年报相关公告。谢谢！
23,请问公司会进入新的细分领域吗？这一领域与公司现有业务的相关性？,请关注年报中未来发展展望章节，谢谢！
24,公司未来五年的目标是多少？能够实现吗？,请关注年报相关信息，我希望未来发展看好。谢谢！
25,公司是否会计划多元化发展？,请见年报中公司未来发展展望章节。
26,能简单的介绍下新项目的情况吗？,请关注当前披露信息，及后续披露信息。谢谢！
27,公司的前5大客户是哪些？,因涉及商业机密，不便公开，谢谢！
28,公司去年主打产品的销量是多少？,已在年报中披露，请查阅，谢谢！
29,公司募投项目，预期如何？,公司本次非公开发行项目正按照正常流程推进，相关情况会在后期公告中陆续披露，请关注。谢谢！
30,请问2017年全年预计销售目标是多少？实现净利润的目标是多少？,我们希望2017年度有合理增长。谢谢
31,: 请问公司有无通过发行公司债券等形式进行募资的计划？有无设立并购基金收购标的的计划？,请关注公司相关公告。
