,Question,Answer
0,如若公司股价在走下坡路的情况下，是否会推出高股价股权激励计划？,尊敬的投资者，您好！公司目前未考虑股权激励计划。
1,新三板的扩容，带来了新的投资机会，你们公司在这方面有什么举措吗？,尊敬的投资者，您好！公司已控股新三板公司上海磐合科仪。
2,公司是否具备长期投资的价值？你是怎么看的？ 如果有机会，你会增持吗？,尊敬的投资者，您好！公司具备长期投资的价值，但股市有风险，请注意投资风险。公司目前没有收到相关人员的增持计划。	
3,独立董事对公司的内部控制有怎样的意见呢？,公司保持了较为有效的内部控制。
4,目前公司享有的国家优惠政策有哪些？,"你好，公司目前享有的国家优惠政策主要有软件产品增值税
实际税负超过3%实行即征即退和高新技术企业所得税减按15%的税率征收，谢谢。"
5,请站在独立董事的角度 评价一下这家公司。您的专业态度对我很重要！,本人认为公司是一家稳健经营型的公司。
6,请问具体联系证券代表的电话是多少？,尊敬的投资者，您好！公司的证券部电话是0512-57017339 。
7,贵公司是否会考虑实施股票期权等规范股权激励方式，惠及更多员工？,尊敬的投资者，您好！公司已于2016年实施了第一期员工持股计划。
8,新一届政府倡导全社会节约节俭，不知道贵公司是怎么做的？高管及员工薪酬、福利有影响吗？,尊敬的投资者，您好！公司一直厉行节约节俭，高管及员工薪酬、福利没有受到影响。
9,贵公司员工一个月能挣多少？,尊敬的投资者，您好！不同的岗位薪酬不一样。
10,募投项目资金使用情况如何？,你好，募投项目资金使用情况请参考公司年报，谢谢
11,在持续督导中，是否发现需要投资者特别关注的重大事项或风险？,尊敬的投资者，您好！在持续督导中，没有发现需要投资者特别关注的重大事项或风险。
12,作为上市公司，募集资金投资项目实施有风险吗？对经营业绩有影响吗？,尊敬的投资者，您好！募投项目实施有利于提升公司的经营业绩， 有着积极良好的影响，但项目也存在一定的风险，公司已在相关的公告中进行了充分地提示。
13,公司未来3年发展前景如何?,尊敬的投资者，您好！我们对公司未来发展充满信心。
14,公司是否在考虑开拓新的领域？取得初步进展没有？,尊敬的投资者，您好！公司会在环保、第三方检测、生命科学仪器等领域积极开展业务，2016年度公司已成功收购贝西生物、控股国测检测。
15,现在行业间的并购都比较频繁，导致上市公司并购的成本提高，你们今年有没有兼并收购计划？,尊敬的投资者，您好！兼并收购的相关工作公司会按照信息披露的相关要求及时披露，请关注公司公告。
16,近年来，频频发生高管在解禁期前放出利好消息，如高分红等炒高股价，解禁期后又出现业绩亏损等其它负面消息，更有甚者，有的公司早在解禁期前一两年就策划好了这些方案。试问一下，你们公司的高管股解禁期是什么时候？,尊敬的投资者，您好！高管锁定股每年年初有25%的流通比例。
17,公司的负债比率有多少？,你好，公司2016年资产负债率是26.75%，谢谢
18,董事长，您好！作为股民，我支持公司尽量在不扩大股本的情况下做大做强！,尊敬的投资者，您好！感谢您对公司的支持！
19,作为一家上市公司，为了更有利于与投资者交流，能不能在公司网站上设置交流互动功能？,尊敬的投资者，您好！公司在官网首页专门设置了“投资者关系”版块，用于与投资者进行沟通。
20,目前主要产品的生产成本是多少,你好，具体数据请参考公司年报，谢谢。
21,请问独立董事，您的履职情况如何，是否能真正保护了中小股东利益？,尊敬的投资者，您好！对于公司的重大事项，独立董事均勤勉尽责、审慎认真地审阅了相关议案并发表了意见和建议，保护了公司全体股东特别是中小股东的利益。
22,最近公司财务状况如何？,你好，公司最近财务状况正常，谢谢
23,你好，公司今年的盈利能力有所改善了吗？制定了什么目标，实现概率有多大？,你好，公司今年的盈利能力有所提高，目前的经营情况正常，不存在影响业绩的重大风险，谢谢。
24,贵公司的生产有无污染现象，安全和环保情况是如何做的？,尊敬的投资者，您好！我们公司的生产符合国家安全环保相关法律法规，不存在污染现象。
25,交流会本来应该是恳谈会，将企业目前的处境，面临的困难，预计的风险和相应应措施清晰告诉股东。,关于您提出的“公司面临的处境和目前的困难，预计的风险和相应应措施”公司在2016年度报告中进行了相关披露，请您查阅。
26,近几年的固定资产，技术改造的投资效果如何，是否达到了预期的目标，不考虑市场因素，简单考虑毛利情况是否合理呀。,"投资者你好，公司近几年的固定资产投资基本达到了预期的目标，暂无需重大技术改造的固定资产投资。
公司的产品毛利合理，具体数据请参考已公告的年报，谢谢。"
27,虽然说公司的股价由二级市场决定，但股价是公司经营的一个表象，请问管理层对回报投资者的态度？,尊敬的投资者，您好！公司管理层勤勉尽责做好经营工作，期望以良好的业绩来回报投资者。同时，也希望公司在二级市场上有良好的表现。
28,请问公司有无通过发行公司债券等形式进行募资的计划？有无设立并购基金收购标的的计划？,尊敬的投资者，您好！公司目前没有通过发行公司债券形式进行募资的计划。公司成立的产业并购基金已于2016年5月完成工商登记，如果并购基金收购标的达到公告标准，我们会及时披露。
29,公司每次投资项目的可行性报告是否有详细说明公告？,公司都按照信息披露的相关要求进行了公告。
30,近一年来，贵公司高管考虑增持吗？,公司目前没有收到高管增持股票的计划。
