,Question,Answer
0,今年公司人力成本的大幅度上升？人力成本上升后公司产品提价的能力有多大？,"尊敬的投资者：您好！随着轨道交通行业发展趋势以及公司产品的市场竞争能力。近年来，为了推动国民经济发展、缓解交通拥堵状况，各级政府出台了许多轨道交通建设的政策措施，大力扶持轨道交通行业的发展。整体而言，公司产品具有较强的市场竞争能力。谢谢！
"
1,为什么中铁会出现这么多的应收账款没有收回的情况？这是每年都这样还是今年是个例？,尊敬的投资者：您好！中国中铁与中国铁建为公司最主要客户，主要从事轨道交通的基建工程建设。一般而言，工程施工周期较长，资金压力较大。中国中铁与中国铁建报告期各期末均存在大量的应收账款，符合行业特征。谢谢关注！
2,请问今年公司的扩产计划和渠道计划？,尊敬的投资者：您好！公司按既定的规划及目标持续发展，根据自身的经营目标，结合市场环境，对产能产量及营销渠道进行合理的布局和规划。谢谢关注！
3,除了在巨潮网上查看公司公告，还可以在哪里了解公司的日常经营情况？中小投资者有哪些渠道可以客观的了解和跟踪公司服务在行业内的差异性和优异性？,尊敬的投资者：您好！公司会依据相关法律法规真实、准确、完整、及时地披露相关信息，此外公司也开通了投资者热线、互动易平台等相关方式，谢谢！
4,请问公司的企业文化是什么？请介绍公司的企业文化建设情况？,尊敬的投资者：您好！我们公司企业文化建设是企业生存发展的内在需要，是增强企业凝聚力的常用手段，也是实现管理现代化的重要方面。企业文化的创新是企业形象塑造的基础，企业形象的塑造又提升企业文化的境界。建立具有自身特色的企业文化，为企业快速发展提供动力和保证，加强民主管理，增强员工的责任感，实现员工与企业共同成长，塑造企业形象要巩固企业在行业的地位，积极争取企业更多荣誉，提升企业在行业的知名度和社会知名度。谢谢！
5,请问，未来十年预估市场规模多大。谢谢,尊敬的投资者：您好！公司会按既定的规划及目标持续发展，相关信息公司会及时披露，谢谢关注！
6,请问公司是品牌为先还是品质为先？谢谢！,尊敬的投资者：您好！品牌依托于产品品质，品质是产品品牌的保障。公司在注重产品品质的同时也重视产品品牌的建设。感谢您的关注！
7,公司今年有没有新产品和新业务拓展？,尊敬的投资者：您好！新产品开发与储备是公司发展的重中之重。未来三年，公司将在现有主导产品升级换代的基础上，加大对扣件类聚酯弹性垫板及结构新颖的轨下垫板、轨枕类合成轨枕、道床类橡胶弹簧减振器等在内的新产品的开发和储备。谢谢
8,能不介绍一下公司现在各大区域的销售和占有率等基本情况?,尊敬的投资者您好！公司销售区域分内销和外销，目前主要以内销为主。公司产品应用领域涵盖轨道交通、冶金和采矿等领域。从轨道交通领域来看，轨道交通往往布局在经济发达地区，尤其城市轨道交通，往往布局在大中型城市。谢谢关注！
9,针对公司近阶段股价的连续下跌，公司是否有增持计划？,尊敬的投资者：您好！如有相关事项，公司会根相关规定及时披露，请关注公司的相关公告，谢谢！ 
10,请问，针对近阶段公司股价连续下跌，广大中小损失惨重，公司是否有增持或者其他方面的股价提振措施？,尊敬的投资者：您好！如有相关事项，公司会根相关规定及时披露，请关注公司的相关公告，谢谢！ 
11,请问公司公司的核心竞争力是什么？对产品质量是怎么进行控制的，从采购到生产到存储运输等，有专门的检测环节吗？谢谢！,"您好，公司的优势有以下几个方面：（1）技术优势：公司将创新视为企业发展的源动力，紧密围绕轨道交通领域需求开展新工艺和新技术的研发与创新，不断推出新产品，持续的技术创新推动了公司的成长。为抓住市场机遇、快速确立公司在轨道结构减振领域的先发优势，公司采取内部自主研发与技术引进相结合的路线，掌握了产品配方设计和生产工艺等方面的多项核心技术，并跻身国内轨道结构减振领域技术领先企业行业。（2）核心产品竞争优势：公司的核心产品为隔离式橡胶减振垫，在减振性能、产品结构、适用范围、施工速度和养护维修等多方面具有优势（3）客户资源优势：自设立以来，公司始终致力于轨道工程橡胶制品研发、生产和销售，在长期业务发展过程中积累了大批优质的客户资源，并长期保持稳定的合作关系。目前，公司已经与中国中铁和中国铁建下属单位，以及北京、上海、重庆、深圳、杭州、西安、武汉、青岛、长春、哈尔滨、大连、无锡、南京、苏州、宁波、郑州、长沙、昆明、成都、南昌、福州、兰州等多家城市轨道交通建设或运营公司建立了良好的合作关系。凭借这种较为稳定的合作关系，公司可以有针对性地研发生产出符合客户需求的产品，既可在竞争中赢取先机，又可实现服务增值，提高产品利润。优质的客户资源为公司业绩的持续稳定增长提供了保障。（4）产品质量优势：公司产品主要运用于轨道交通领域，客户对相关产品的质量要求十分严格。完善的质量控制管理体系是公司产品能够快速获得客户认可的重要因素，公司从生产工艺和设备、检测程序和设备等方面严控产品质量。（5）丰富的创新成果；（6）综合成本优势：首先，公司作为创新型企业，在产品配方设计和工艺研发方面进行了大量的投入，虽然短期内形成较大的研发费用支出，对利润产生一定影响，但从长期看，公司取得的一系列核心技术，起到了降低料工成本、节能降耗以及提高优良品率的作用，降低了产品生产成本。其次，公司具备高效的运营管理能力，机构精简、管理精细、成本控制考核指标量化具体，且建立了一整套责任到岗、责任到人的成本控制核算制度。
公司建立了完善的品质管理制度体系，颁布了多项质量控制的内部管理制度和文件，并根据产品成熟度的不同，对生产工艺进行差异化管理，严控产品质量。公司拥有多台先进的检测设备，并配置了专业检验人员对每道工序产品质量进行检测，保证了产品质量的可靠性、稳定性。谢谢！
"
12,去年公司经营遇到的最大困难是什么?今年有望改善吗？,尊敬的投资者，您好！目前公司经营活动正常，未出现影响公司经营的重大问题。但是我们经营层深深地感受到来自证券市场投资者的期望，这是我们的压力也是前行的动力，相信通过团队的努力会对全体股东带来良好回报。谢谢！
13,请问公司有无通过发行公司债券等形式进行募资的计划？有无设立并购基金收购标的的计划？,尊敬的投资者：您好！如有相关事项，公司会根相关规定及时披露，请关注公司的相关公告，谢谢！
14,今年一定加大广告宣传，提高销售额度。继续争取好成绩,尊敬的投资者：您好！公司将继续坚持以市场为导向，以经济和社会效益最大化为目标，把主业做精、做专、做大、做强，感谢您的关注！
15,行业有没有周期性？,尊敬的投资者：您好！轨道结构减振与轨道交通行业密切相关，现阶段，我国轨道交通的投资资金绝大多数来自于政府预算。为此，轨道结构减振产品的生产周期受国内外宏观经济形势、国家宏观经济政策、国家产业政策以及政府固定资产投资规模影响较大。目前，受益于我国城市轨道交通大规模建设、客运铁路高速化、货运铁路重载化的影响，轨道结构减振行业处于上升周期。谢谢！
16,去年底公司其他流动资产较年初变化情况，原因是什么？,"尊敬的投资者您好！公司2015年度其他流动资产为预缴残疾人就业保障金，金额3,927.00元，其他年度均未发生。谢谢您的关注！祝投资愉快！"
17,近期有机构密集调研吗？,尊敬的投资者：您好。公司陆续接待相关人员调研，并进行良好的沟通，谢谢！
18,有些上市公司在信息披露方面做不好，还经常披露虚假信息欺骗投资者，希望贵公司在这方面能做的尽可能规范！,尊敬的投资者，您好！公司会依据相关法律法规真实、准确、完整、及时地披露相关信息，谢谢！
19,公司所处行业和主要产品？,尊敬的投资者：您好！根据《国民经济行业分类和代码表》（GB/T 4754-2011），公司所处行业为“橡胶和塑料制品业”中的“橡胶制品业”。公司主营轨道工程橡胶制品的研发、生产和销售，产品主要包括轨道结构减振产品、嵌丝橡胶道口板等，主要应用于轨道交通领域，涵盖城市轨道交通、高速铁路、重载铁路和普通铁路。同时，公司也从事输送带等其他橡胶制品的研发、生产和销售。报告期内，公司主导产品为轨道结构减振产品。
20,今年如何分红，是否高送转，有计划吗？,"尊敬的投资者：您好！经公司董事会审议通过的分红预案为：以2016年12月31日股本总数10,400万股为基数，每10股派发现金红利1.3元（含税）。此利润分配预案尚需经公司2016年年度股东大会审议批准。谢谢！"
21,请问，你们的分红有什么标准没有？,尊敬的投资者您好！公司重视对投资者的合理投资回报，每年按当年实现的可供分配利润的规定比例向股东分配股利，实行持续、稳定的股利分配政策，同时努力积极地履行现金分红政策，但利润分配不得超过累计可分配利润的范围，不得损害公司持续经营能力。谢谢！
22,公司生产经营的季节性如何?哪个季节是旺季?,尊敬的投资者，您好！轨道结构减振产品主要用于轨道交通领域，生产和销售与轨道交通建设项目施工进度紧密相关，而项目施工进度主要受土建工程进度、行业政策和项目资金状况等因素的影响。此外，北方地区的建设项目还受到气候的影响，北方地区冬季较为寒冷，冬季施工往往进展缓慢，甚至停工，从而影响轨道结构减振产品的销售。因此，该行业具有一定的季节性。谢谢！
23,随着公司规模的扩大，建议公司引入具有国际化快销品工作经历的高端人才。,尊敬的投资者：您好！非常感谢您的建议！
24,请问董事长，一季度由于季节因素，业绩略亏，进入4.5月份，回款和发货是否恢复正常，公司是否扭亏为盈？谢谢！,尊敬的投资者，您好！公司4.5月份回款和发货一切正常，相关信息请及时关注公司的相关公告，谢谢！
25,能否简单介绍下公司享有的哪些税收优惠政策,公司是浙江省科学技术厅、浙江省财政厅、浙江省国家税务局和浙江省地方税务局认定的高新技术企业，享受国家关于高新技术企业的相关税收优惠政策，按15%的税率征收企业所得税，感谢您对公司的关心，祝您投资愉快！
26,普通投资者投资一只股票不是来亏钱的，公司有能力、有条件推出高送转、适当派现，就应该公开、透明的发公告。,公司历年的分红政策已充分披露，未来也会充分考虑公司发展和投资者回报，结合公司的分红政策，推出合理的分红方案。
27,公司最近有重大事项吗？,尊敬的投资者，您好！如有相关事项，公司会根相关规定及时披露，请关注公司的相关公告，谢谢！
28,去年监管层要求现金分红，各交易所也发布了现金分红指引，公司怎么看，有这个打算吗？,"尊敬的投资者您好！在符合现金分红的条件下，公司优先采取现金分红的方式进行利润分配，2016年经公司董事会审议通过的分红预案为：以2016年12月31日股本总数10,400万股为基数，每10股派发现金红利1.3元（含税）。此利润分配预案尚需经公司2016年年度股东大会审议批准。谢谢关注！"
29,请介绍一下公司的行业地位？,"尊敬的投资者：您好！自成立以来，公司始终注重自主创新，密切跟踪轨道工程橡胶制品相关技术的最新发展方向，并逐步确定以轨道结构噪声与振动控制为公司技术发展方向。为抓住市场机遇、快速确立在轨道结构减振领域的先发优势，公司于2009年从德国引进橡胶减振垫生产和运营技术。在对引进技术消化、吸收的基础上，公司研发出适用于我国轨道交通的隔离式橡胶减振垫，丰富了我国道床减振产品的品种，并跻身国内轨道结构减振技术领先企业行列。
经过多年发展，通过自主研发与引进、消化、吸收相结合的方式，公司掌握了轨道结构噪声与振动控制相关的多项核心技术，研发出以隔离式橡胶减振垫为代表的多种轨道结构减振产品，涵盖道床、轨枕、扣件和钢轨等轨道结构的多个部位，是国内减振产品类型较为齐全的橡胶类轨道结构减振厂商之一。谢谢！
"
30,请问公司里是否有专人负责回答全景网投资者关系互动平台里股民的问题？股民的问题是否会传到公司的高层？,尊敬的投资者：公司会及时回复股民的问题，公司高层也在关注，谢谢！
31,贵司一季度由于季节性因素，略微亏损，请问4月份公司的收款和效益如何？,尊敬的投资者您好！公司半年度经营业绩将会依照法律法规及时公告披露，谢谢您的关注！祝投资愉快！
32,我是公司的一名小股东，请问我想现场参加股东大会，不知道应该怎么做？需要什么样的程序？,尊敬的投资者，您好！1、登记方式：现场登记、通过信函或传真方式 2、登记时间：2017年5月17日（星期三）上午8:30-12:00，下午13:00-17:00。 3、登记地点： 现场登记地点：浙江省天台县人民东路928号公司2楼会议室 信函或传真登记地点：浙江省天台县人民东路928号公司4楼证券法务部，邮编：317200，传真号码：0576-83990868 4、登记手续 （1）法人股东应由法定代表人或法定代表人委托的代理人出席会议。法定代表人出席会议的，应持法人股东证券账户卡、加盖公章的营业执照复印件、法定代表人资格证明及身份证办理登记手续；法定代表人委托代理人出席会议的，代理人应持代理人本人身份证、法人股东证券账户卡、加盖公章的营业执照复印件、授权委托书（附件一）、法定代表人身份证明办理登记手续； （2）自然人股东应持本人身份证、股东证券账户卡办理登记手续；自然人股东委托代理人的，应持代理人身份证、授权委托书（附件一）、委托人股东证券账户卡、委托人身份证办理登记手续；  （3）参会股东须仔细填写《参会股东登记表》（附件二），办理登记手续时一并提供，以便登记确认； （4）异地股东凭以上有关证件，以信函、传真方式办理登记，不接受电话登记。上述信函、传真须在2017年5月17日17:00前送达或传真至公司，并通过电话方式对所发信函或传真与本公司进行确认。 5、会议联系方式  联系人：范薇薇 联系电话：0576-81309219 联系传真：0576-83990868 (传真函上请注明“天铁股份股东大会”字样） 6、其他事项 （1）本次会议会期半天，出席会议人员交通、食宿等费用自理。  （2）出席现场会议的股东及股东代理人，请于会前半小时携带相关证件原件，到会场办理签到手续。
