,Question,Answer
0,请问贵公司的主营业务除了用到轨道交通方面还能用到哪些领域，能否介绍下？,您好，公司将继续努力发展轨道交通减振及相关业务的核心主业。感谢您的关注！
1,请问贵公司会通过什么手段来进一步扩大公司的业务规模?,您好，公司通过加大研发投入、加强技术创新、不断开发新产品、规范内部管理等进一步提升企业竞争力。感谢您的关注！
2,问下公司现在产能状况如何，今年订单与去年相比如何？,您好，公司的生产经营情况一切正常，暮投项目投产后，产能将会有较大的提高，感谢您的关注！
3,问一下天铁的竞争对手主要有哪些？,您好，公司的主要竞争对手请参照公司招股说明书披露的相关内容。感谢您的关注！
4,请问贵公司今年在研发方面的投入有新增吗？,您好，技术创新及研发是公司发展的重中之重，公司将会根据市场及公司实际情况加大研发投入。感谢您的关注！
5,请问贵公司的市场竞争力在行业中排名如何？,您好，公司的主营产品市场占有率在同行业企业中处于领先地位。感谢您的关注！
6,2018年一季度净利润65.1万元 同比增长115.64%，请问增长的主要原因是什么？,您好！公司2018年一季度业绩较上年增长，主要受部分项目施工进度加快的影响。感谢您的关注！
7,董秘您好，请问您对目前二级市场股价如何看待？能否反映贵公司的现有价值？,您好！二级市场股价受多方面因素影响，公司产品主要应用于轨道交通行业，目前国内该行业快速发展，我们对公司的成长非常有信心。感谢您的关注！
8,请问范总，公司上市以来股价就一直大幅下挫，直到现在也是没有太大起色，请问公司在行业中的地位是怎么样的？盈利水平与同行相比怎么样？是不是属于较下游的状况？,您好，公司经过多年的发展，掌握了轨道结构噪声与振动控制相关的多项核心技术，并跻身国内轨道结构减振技术领先企业行列。感谢您的关注！
9,橡胶减振垫的产品使用生命周期多长（也就是用在铁轨下能用多少年限）？,您好，橡胶减振垫设计使用寿命60年，满足标准规范中对不可更换部件使用寿命大于50年的要求，该产品经厂家委托第三方检测单位检测，结果显示其等效老化寿命大于60年。感谢您的关注！
10,贵公司产品主要包括轨道结构减振产品、嵌丝橡胶道口板等，请问公司会把主业拓展到其它领域吗？,您好！公司将继续坚持市场导向、技术驱动、质量取胜的原则，继续努力发展轨道交通减振及相关业务的核心主业。感谢您的关注！
11,你们公司的产品跟国内其他的减震材料公司，是否有优势？优势大嘛？,您好，公司的主营产品在减振性能、产品结构、适用范围、施工速度和养护维修等多方面具有优势。感谢您的关注！
12,贵公司一季度产能同比去年一季度是否有增长？,您好！公司一季度业绩较上年同期实现增长，具体的财务数据已在中国证监会指定的创业板信息披露网站进行披露，请关注相关公告，感谢您的关注！
