,Question,Answer
0,公司未来3年发展前景如何?,请您关注2016年年报，谢谢！
1,请问：公司产品的技术含量如何？专利多吗？行业垄断地位如何？ 那些项目能给公司带来利润增长点？预计是否能保持3年的增长？,请您关注2016年年报公司业务概要，谢谢！
2,"公司采取了具体怎样的应对措施,在同业中不断做大做强?",请您关注公司2016年年报，谢谢！
3,"同行业内有哪些主要竞争对手？公司采取了什么样的应对措施,在保持稳定增长的前提下不断做大做强?",请您关注公司2016年年报，谢谢！
4,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？公司有没有一个具体可行的持续增长计划？,您好！请您关注公司年报，谢谢！
5,在企业文化方面，公司有什么特色吗？,公司大力实施“人才兴企”战略，以人为本、关爱员工，把广纳人才并最大限度地发挥其才能、实现员工的全面发展，作为公司永恒的追求，致力于公司价值最大化与个人价值最大化的和谐统一，实现企业与员工的“双赢”。公司秉承 “诚、信、义”的精神，以树立企业品牌形象为支撑，通过服务内容的拓展和延伸，增加品牌的内涵和外延，致力于实现与客户及供应商的共赢。将环境保护作为企业可持续发展战略的重要内容，注重履行企业环境保护的职责。注重企业的社会价值体现，把为社会创造繁荣作为所应承担社会责任的一种承诺，以自身发展影响和带动地方经济振兴。
6,行业有没有周期性？,公司除澳洲牧场外，行业没有明显的周期性，谢谢！
7,在给用户提供增值服务方面，公司做了哪些工作以增强对原有客户的锁定、新客户的拓展？,公司积极开展客户管理，定期拜访公司客户，加强业务、技术等方面的信息共享，谢谢！
8,公司生产经营的季节性如何?哪个季节是旺季?,公司除澳大利亚牧场外，生产经营没有明显季节性变化，谢谢！
9,做大、做好市值管理是每个公司成长的必然追求，公司是如何进行市值管理的？,公司在做好原有轴承、数控机床业务的基础上，与此同时尽快开展互联网创业服务开放平台业务，综合运用云计算、大数据和人工智能技术，集成众多服务机构，向中小企业提供一站式、立体化、全过程的企业服务。公司在延续“一控三提升”的传统轴承制造业的生产管理模式的基础上，加快实施企业转型升级，形成公司新的主营业务和盈利增长点。同时公司积极提升管理水平、增强公司盈利能力，做好市值管理工作，谢谢！
10,请问公司公司的核心竞争力是什么？,公司在轴承、数控机床等领域具有技术和研发优势、产业链整合优势、管理优势、营销网络优势，具体请您关注公司公告，谢谢！
11,希望公司在本专业领域专注于做强做大做实，提升公司的行业地位，给投资者以回报！,谢谢您的关注！
12,请问公司的分配预案达到承诺的分红比例吗？,在公司无重大投资计划或重大现金支出等情况下，在满足相关分红条件的前提下，公司将采取现金、股票等多种方式分配股利。根据公司已经披露的公告，公司设立北京星河互联科技有限公司，该公司注册资本5亿元，为认缴出资；拟由全资孙公司北京星河之光投资者管理有限公司出资1亿元对上海峰之行汽车金融信息服务有限公司增资，参与设立天马诚合互联网产业投资中心（有限合伙）并购基金、设立星河恒天产业投资中心（有限合伙）并购基金、设立浙商产融投资基金。上述合计金额27亿元。鉴于此，公司2016年利润不分配，也不进行资本公积金转增股本，感谢您的关注！
13,请问公司目前的研发机构有哪些？公司未来产品的研发与创新将如何进行？,公司目前研发机构集中在机床和轴承业务线，目前相继研制出了高档立式铣车复合加工中心、数控双柱定梁立式车床及等一批达到国际先进水平的新产品。未来公司将进一步加大诸如一站式的企业SaaS 服务、大数据服务、人工智能等相关业务线的研发与创新投入，增加相关业务线持续盈利能力。谢谢！
14,新三板的扩容，带来了新的投资机会，你们公司在这方面有什么打算吗？,具体请您继续关注公司相关公告！谢谢！
15,请问公司会进入新的细分领域吗？这一领域与公司现有业务的相关性？,"鉴于公司原有的轴承业务和数控机床业务盈利乏力，公司正处于转型期，拟开展的互联网创业服务开放平台业务，是综合运用云计算、大数据和人工智能技术，集成众多服务机构，面向包括创业企业在内的中小企业提供一站式、立体化、全过程的企业服务。业务内容主要包括一站式的企业SaaS服务、大数据服务和基于人工智能的智能商业服务。感谢您的关注！
"
16,请问公司以后每年会用什么形式回馈股东？,在公司无重大投资计划或重大现金支出等情况下，在满足相关分红条件的前提下，公司应当采取现金、股票等多种方式分配股利，感谢您的关注！
17,"请问董事长,关于公司最新项目进展如何？达到预期了吗？","公司相关项目正常进展。关于投资万达财险项目，根据《保险公司股权管理办法》，持有保险公司股权15%以上，或者不足15%但直接或者间接控制该保险公司的主要股东，应当符合以下条件：“具有持续出资能力，最近三个会计年度连续盈利”，公司2016年归属于上市公司股东的净利润为负值，不符合上述规定。经公司研究，为保证万达财险顺利设立，公司决定不再参与发起设立万达财险。具体请您参照4月29日公司公告，感谢您的关注！
"
18,齐齐哈尔的欠款目前公司只计提了一部分，今明两年是否会继续计提从而导致上市公司业绩持续亏损？,在未来若实现土地收储余款的回收，将直接增加实现当期齐重数控公司账面净利润；若仍无法实现土地收储余款的回收，将按照账龄分析法继续计提坏账准备，直接减少齐重数控公司账面净利润。因存在重大不确定性，未来对事项发生当年公司净利润影响波动较大。
19,未来齐齐哈尔的款项如果收回，是否会相应增加上市公司净利润？,在未来若实现土地收储余款的回收，将直接增加实现当期齐重数控公司账面净利润；若仍无法实现土地收储余款的回收，将按照账龄分析法继续计提坏账准备，直接减少齐重数控公司账面净利润。因存在重大不确定性，未来对事项发生当年公司净利润影响波动较大。
20,请问2017年全年预计销售目标是多少？实现净利润的目标是多少？,请见上市公司2017年5月6日公告的《天马轴承集团股份有限公司2017年度财务预算报告》
21,齐齐哈尔政府欠的补偿款回收的可能性有多大？如果可以回收，大概在什么时候,我司正在积极与齐齐哈尔市政府沟通，如有实质性进展，将及时进行信息披露。
22,请问独立董事，您的履职情况如何，是否能真正保护了中小股东利益？,"本人作为审计委员会召集人，主持了审计委员会的日常工作，并就公司的内部审计、内部控制等事项进行了审阅。按照《独立董事制度》、《董事会审计委员会工作细则》等
相关制度的规定，仔细审阅相关资料，并在审计机构进场前、后加强了与注册会计师的沟通，督促其按计划进行审计工作。对审计机构出具的审计意见进行认真审阅，掌握 2016年审计工作安排及审计工作进展情况，维护审计的独立性。
本人作为薪酬与考核委员会委员，按照《独立董事制度》、《董事会薪酬与考核委员会工作细则》等相关制度的规定，对董事及高级管理人员的薪酬进行了审核，切实履行了薪酬与考核委员会委员的责任和义务。
本人恪尽职守，勤勉尽责履行独立董事的职责，发挥独立董事的作用，维护全体股东特别是中小股东的合法权益。"
23,公司在税收方面有没有相关的优惠政策？具体税率是多少？,公司2016年年报有详尽描述，请参阅，谢谢。
24,公司有没有股权激励计划？,您好！请您关注公司公告，感谢您的关注！
