,Question,Answer
0,构建全方位的健康人居体系，公司是怎样做的？,"尊敬的投资者您好！公司秉承绿色发展理念，回归装饰本质，以无醛装饰实践者为使命，充分发技术、材料、产品、施工、资本等方面的产业协同优势，构建完善的健康人居解决方案与产品体系，营造健康、极致、人本的美好空间，逐步由健康建筑解决方案商向健康社区、健康城市解决方案商推进。感谢您的关注，谢谢！
"
1,公司是如何加强自身的应收帐款回收的？,尊敬的投资者您好！公司成立了商务合约部，加大对应收账款的分析与催收工作，建立应收账款和工程管控台账系统，有效控制项目风险。感谢您的关注，谢谢！
2,公司全资子公司奇信铭筑给公司带来了怎样的贡献？,"尊敬的投资者您好！公司全资子公司奇信铭筑完成品牌建设与市场定位调整，致力于成为“健康人居环境综合解决方案商”，推出HDS-6健康装饰体系，从适当设计、环保材料、绿色施工、智能空间、称心交付、增值服务六大方面着手，营造健康、极致、人本的美好空间，为健康人居提供理论范式，已完成“智能家居·关爱老人解决方案”、“室内空气净化解决方案”、“燃气安全解决方案”等多个解决方案，并与国内外27家一线材料供应商达成战略合作，确保项目材料安全、可控。感谢您的关注，谢谢！
"
3,公司现今的在手订单总额多少？订单额饱满吗？,"尊敬的投资者您好！截止2018 年3月31日，公司未完工订单金额为人民币704,676.67 万元。具体内容详见巨潮资讯网（www.cninfo.com.cn）《2018年第一季度装修装饰业务主要经营情况简报》（公告编号：2018-062）。感谢您的关注，谢谢！ "
4,公司智能化业务板块目前发展如何？占比多少？,尊敬的投资者您好！公司在建筑装饰行业前瞻发布装饰物联网战略，在物联网技术和创新思维的支撑下，实现建筑内外部的“感知、互联、智慧”，为客户提供定制化方案、体验式服务和极致用户体验，提供系统、全面的“装饰物联网+”产品与服务解决方案。公司以“奇π装饰物联网云平台”及智能中控产品“小π”机器人作为承载，将进一步加大装饰物联网研发力度，在电化学传感器技术、共性软件平台、人机交互及人工智能领域展开深入研究，并逐步向智慧城市综合运营商拓展，致力于打造装饰物联网第一品牌。感谢您的关注，谢谢！
5,公司的经营活动现金流怎样？,尊敬的投资者您好！2017年度经营活动产生现金流量净额较上年同期增加73.46%，主要系业务扩大、项目资金管控和应收账款回收管理加强所致。感谢您的关注，谢谢！
6,公司目前股东人数是多少？,"尊敬的投资者您好！根据公司《2018年第一季度报告全文》，截至2018年3月31日，公司普通股股东总数为19,538名。感谢您的关注，谢谢！"
7,公司有无海外业务？贸易战对公司有无影响？,公司与印尼大型房地产开发商Best & Grow集团达成战略合作，共同探索市场机遇，加强产业对接与合作深入，与印尼PT PRIMATAMA KARYA SINERGI共同设立合资公司，探索与海外当地优势企业合资经营，共同拓展印尼市场，提高抗风险能力。公司对非洲、东南亚、中东、南美等地区的重点项目进行接洽和跟踪，先后承接了越中友谊宫、赤几体育学院、印度尼西亚棉兰公寓等海外项目，其中越中友谊宫已正式落成，该项目荣获住建部绿色施工示范工地，被商务部竣工验收专家组评定为优良工程。截止目前，公司海外业务分布在东南亚、非洲，不涉及美国地区，同时公司将紧抓“一带一路”契机积极稳健拓海外业务。感谢您的关注，谢谢！
8,公司都开拓了哪些大型的房地产商业务？,公司不断巩固与国内大型房地产商的合作优势，深入挖掘合作潜力。公司荣获万科集团“2017年度A级供应商”称号和厦门万科“2017年度最佳合作伙伴”。公司与星河地产合资成立控股子公司，约定成立初期合资公司将承接星河集团的精装修业务，并把奇信“进化”与“回归”战略植入星河地产。公司与北控集团、中国中铁、云南建投等大客户深入项目合作，有效推进“大客户”战略，推动公司业务规模快速扩张。公司与华体集团子公司成立合资公司，将负责提供专业的智慧体育、智慧旅游相关建筑装饰综合服务，打造智能与体育的完美结合。感谢您的关注，谢谢！
9,公司有哪些同业竞争对手？相比有何优势？,尊敬的投资者您好！公司拥有建筑装饰行业多项资质，是行业内资质种类最齐全、等级最高的企业之一。“奇信”品牌被认定为“深圳知名品牌”，“奇信集团”商标被认定为“广东省著名商标”，并荣获“深圳百强企业”荣誉。公司核心竞争力主要体现在品牌与资质优势、管理优势、人才优势、技术创新优势、营销网络优势等。具体内容请详见《2017年年度报告》第三节 公司业务概要之三、核心竞争力分析。感谢您的关注，谢谢！
