,Question,Answer
0,在产品质量的把控方面，公司做了哪些工作？,公司建立了军品民品质量管理体系，进行了产品全过程质量控制，加强了关键节点检验，着重提高了检验能力，确保产品的顾客满意度逐年提升。
1,国家扩大军费投入对公司是利好吗？,公司主要产品服务国家军工领域，国家对相关领域的持续投入将对公司提供更多的市场机遇。
2,公司的航空相机给天宫系列、嫦娥系列和神舟系列配套了吗？,公司凭借在光学与精密机械领域的技术优势，参与了包括神舟号载人飞船在内的许多国家重大工程任务。
3,请问公司在军工方面2017年的收入大概有多少？,公司2017年度军品销售收入1.71亿元。
4,国产大飞机上是否有公司的配套产品？,目前没有。感谢关注。
5,今年公司会有哪些重点项目？,公司新增光电测控类产品的制造、机场道面异物系统的民用市场推广及现有部分产品的改型升级。
6,医疗器械产品毛利率水平大概是多少？,医疗仪器类产品属于军队后勤装备，按照《国防科研项目计价管理办法》和《军品价格管理办法》定价及成本加行业毛利率确定。
7,公司是否具有军工产品方面的认证和资质？,公司具有武器装科研生产许可证，装备承制单位注册证书和二级保密资格单位许可证书。
8,今年公司有哪些新的利润增长点呢？,公司光电测控类新增业务。
9,目前公司盈利能力最强的是哪一块业务？,感谢您的关注，公司航空航天类产品具有较强的竞争能力。
10,公司的雷达天线座主要是用于军工方面吗？,感谢您的关注，雷达天线座项目应用背景属于涉密信息。
11,公司今年以来获得了多少政府补贴？,2017年公司及子公司共收到政府补助1049万元。
12,中美贸易摩擦对公司经营和出口有何影响？,公司主营业务主要面向军工市场，从近期看中美贸易摩擦对公司经营无影响。
13,公司哪些项目被列为国家级技术项目？,2017年度，公司联合其他单位共同申请了科技部专项《随机光学重建/结构光照明符合显微成像系统研制》项目，感谢关注。
14,在市场开拓这块，公司重点布局的是哪些地区？,公司产品主要面向军方市场。感谢关注。
15,深圳好像也有一家奥普光电，跟长春那家是什么关系？,谢谢您的关注，公司未在深圳成立公司，您提及的企业与公司无关联。
16,请问公司哪些产品的技术和水平在国内是领先的呢？,感谢您的关注，公司在光电测控领域技术水平位于国内领先地位。
