,Question,Answer
0,公司今年有没有新产品和新业务拓展？对城镇一体化带来大发展机遇，公司有没有具体的发展计划？,感谢您的关注，随着移动互联网时代的到来，公司秉承为运营商提供全新产品及相关综合配套服务的理念，针对铁塔公司业务逐步发展以及移动通信网络建设集约化程度不断加大的新形势，继续推进符合全业务、多系统共同发展的产品研发工作。同时，公司将抓住国防信息化建设的发展契机，加大对军品业务投入，实现军品业务的快速增长，成为公司新的利润增长点。公司将积极投入新技术发展和网络演进的探索，逐步开始5G预研工作并布局相关产业，从而保持公司在网络优化设备及无线通信网络建设领域的领先地位。
1,今年人工费用是否还会出现阶段性上涨？,感谢您的关注，公司2017年进一步完善薪酬管理制度，目前公司用工状况较为稳定。
2,自从微博出现后，对于舆情的关注和扩散在一定程度上都有所放大，关于舆情的监控，公司有些什么样的手段？而在应对负面舆情的时候，又有什么样的应急措施？,感谢您的关注，公司将强化证券管理部门对影响公司股价异动等舆情危机的辨识力，提高公司潜在舆情危机的监测与提前预警能力，严格按照相关法律法规要求，真实、准确、完整、及时地做好上市公司重大信息披露及发布工作。
3,公司现阶段发展过程中有何不足？面临的最大挑战是什么？如果新客户在磨合期放弃与公司合作，公司有无应对措施？,感谢您的关注，目前网优行业竞争激烈，行业毛利率不断压缩是公司面临的最大挑战。公司将充分利用长期积累的在品牌、技术、管理等方面的优势，加大市场开发力度，优化和调整市场策略及产品结构。在保持原有重点区域、优势区域的市场地位的基础上，积极拓展新的市场领域，提高公司传统主业的竞争力和市场占有率。
4,请问：公司产品的技术含量如何？专利多吗？行业垄断地位如何？ 那些项目能给公司带来利润增长点？预计是否能保持3年的增长？,感谢您的关注，公司所处网络优化覆盖行业市场竞争充分，目前公司出于行业前列，具有较强的技术能力。
5,公司是否会进军新的细分市场和领域，以及扩大市场占有率？如果会，请问新的领域现在占公司营业收入比重是多少？未来打算提升到多少？多长时间能实现？,感谢您的关注，公司面对国防信息化建设巨大的市场空间和广阔的市场前景，正逐步加大军品业务的市场投入，拓展行业用户市场，实现军品业务的快速发展，有效提升公司经营业绩，成为公司新的利润增长点。
6,"公司采取了具体怎样的应对措施,在同业中不断做大做强?",感谢您的关注，公司将充分利用在通信领域的品牌优势、技术优势，加大市场开发力度，积极拓展新的市场领域，提高公司主业的竞争力和市场占有率。同时，公司还将加快研发和技术创新的步伐，从机构建设、人才引进、激励机制等方面进一步完善研发技术创新机制，顺应通信行业发展的需求。
7,做为高管你对公司的股价有何看法？股价的上扬能体现上市公司的潜质和气魄！希望管理层关心一下自己公司的股价！以提振二级市场的股东对公司的信心！！！谢谢,感谢您的关注，我们将积极做好公司经营活动，以更好的业绩回馈广大投资者。
8,虽说股价波动是市场行为，但是，还是希望公司在提振股价、提升股东信心方面有所作为，不知公司有何想法举措？,感谢您的关注，公司将积极做好公司经营工作，回馈广大投资者。
9,请问公司上一季生产经营状况如何？与去年同期相比如何呢？,感谢您的关注，公司2016年4季度实现营业收入2.23亿，较2015年4季度增长10%左右。
10,请问公司在财务结构上有什么不足，打算采取哪些举措。,感谢您的关注，公司2016年资金结构合理，资产负债率处于较低水平，全年公司经营性现金流较为稳定。
11,公司的规模优势具体会体现在哪些方面？公司的品牌如何管理？互相间的市场是否有重合以及竞争关系？如何增强各品牌间的凝聚力？,感谢您的关注，目前公司在国内网优覆盖行业中处于中上水平，具备较强的自主研发能力和创新能力，为国家高新技术企业、省级企业技术中心、省级工程实验室和省级民营企业博士后科研工作站。公司只有奥维一个品牌，为奥维通信所有，不存在重合与竞争关系。
12,"公司的持续良性发展是投资者投资信心的有力保证,愿公司的发展能为投资者带来良好的回报!请问公司领导对今年有信心吗？",感谢您的关注，公司有信心利用自身在移动通信领域长期积累的技术经验和客户资源，抓住军队信息化发展契机，多点布局，创造盈利亮点。
13,你如何看待同行业其他公司的经营情况？在同行业竞争中，公司排名第几？你认为公司业绩增长的主要优势或障碍在哪里？,感谢您的关注，目前行业整体发展态势良好，但内部竞争激烈，行业利润空间缩小，公司在行业中排名靠前。
