,Question,Answer
0,请问：公司产品的技术含量如何？专利多吗？行业垄断地位如何？ 那些项目能给公司带来利润增长点？预计是否能保持3年的增长？,您好，2016年公司申请了22项专利，获得8项专利，截至2016年末，总申请了137项，获得了62项专利。在研发管控上严格、充分、有效，无重大遗漏。谢谢！
1,公司募集资金投向项目进展如何，是否顺利?预计多久可以收回投资?,您好，公司募投项目情况请参见公司2016年年度报告及会计师事务所出具的《关于公司2016年度募集资金存放与使用情况鉴证报告》，谢谢!
2,在给用户提供增值服务方面，公司做了哪些工作以增强对原有客户的锁定、新客户的拓展？,您好。公司努力做好生产经营，高品质的产品就是最有竞争力的服务。谢谢！
3,今年人工费用是否还会出现阶段性上涨？,您好，随着公司项目的进展，我公司对人才的需求会逐步加大，人工费用也会出现一定的上涨。谢谢。
4,自从微博出现后，对于舆情的关注和扩散在一定程度上都有所放大，关于舆情的监控，公司有些什么样的手段？而在应对负面舆情的时候，又有什么样的应急措施？,您好，公司认真对待有关公司的信息，积极处理各类情况，出现不真实的报道和信息，公司会积极地及时地将真实的情况告知投资者。感谢您的关注。谢谢！
5,"公司采取了具体怎样的应对措施,在同业中不断做大做强?",您好，公司一直致力于做好主业，利用公司的规模优势以及产业链优势，不断提升公司的研发能力，以实现公司的持续发展。谢谢！
6,请问公司上一季生产经营状况如何？与去年同期相比如何呢？,您好，公司2017年第一季度报告已于本月27日披露，敬请查阅。谢谢。
7,公司管理层应该用实际行动树立诚信！股市，社会对责任诚信的渴望，远远胜过了任何广告效应！全国3000千万股民都会记得你们。我会继续持有公司股票，希望持有一家受人尊敬的上市公司！,您好，公司高管将在守法的前提下，严格要求自己，做优秀职业经理人。感谢您的支持。谢谢！
8,去年的市场行情并不好，物价又涨，今年公司在市场开拓方面有什么计划？能否详细谈谈？,您好，公司对主营业务继续采取稳健经营策略，紧跟市场发展趋势，积极拓展新业务与新市场，寻求新的利润增长点，保证公司持续、健康、稳定发展的同时，加快实现跨越式的新发展。谢谢！
9,公司现阶段发展过程中有何不足？面临的最大挑战是什么？如果新客户在磨合期放弃与公司合作，公司有无应对措施？,您好，公司将通过技术、市场、人才资源的整合，加强公司团队建设，丰富公司业务领域，进一步提升经营管理水平，增强公司竞争优势，把握发展机遇，增强公司的持续发展能力和盈利能力，进一步提高公司核心竞争力。谢谢！
10,请问公司在财务结构上有什么不足，打算采取哪些举措。,您好，公司目前的资产负债表上的结构比较合理，感谢您对公司的关注。
11,你如何看待同行业其他公司的经营情况？在同行业竞争中，公司排名第几？你认为公司业绩增长的主要优势或障碍在哪里？,您好，行业的其他企业都有值得我们学习的地方。公司业务垂直覆盖全产业链，保障了公司业务的稳定性。谢谢！
12,"国家要求实行经济节约型政策,公司具体是怎么做的?",您好，公司一直响应国家的号召，开源节流，贯彻国家的经济节约型政策，谢谢。
13,"公司的持续良性发展是投资者投资信心的有力保证,愿公司的发展能为投资者带来良好的回报!请问公司领导对今年有信心吗？",您好，非常感谢您的关注，也非常感谢对公司的建议。我们非常认同您的价值观，公司会继续努力，促使公司持续健康的发展，以诚信的原则服务于客户回报股东。谢谢！
14,请教杨总监，商誉减值损失一般来说能否在下一会计年度冲回？谢谢。,您好，不能，谢谢。
15,在企业文化方面，公司有什么特色吗？,您好！公司坚持以人为本，注重员工的成长，努力为员工提供发展的平台，打造良好的企业文化，使员工与企业共同发展。公司建立了完善的人力资源管理制度，严格按照《劳动合同法》的规定为员工提供良好的工作环境。公司内部建立员工互助制度，为有经济困难的员工提供关怀与支持。公司注重对员工职业发展进行规划，为员工提供平等的发展机会，尊重和维护员工的个人利益。谢谢！
16,公司及管理层是否鼓励员工长期持股？会不会任由员工和大小非减持？,您好！公司及管理层当然鼓励员工长期持股，但合法合规减持股份是法律赋予持有人的法定权利。谢谢！
17,张总平时在深圳的时间是否多？希望有机会到公司登门拜访，洽谈合作机会。请问能否留下洽谈的联系预约方式？谢谢,您好！请拨打公司董事会办公室投资者热线，谢谢。
18,公司的规模优势具体会体现在哪些方面？公司的品牌如何管理？互相间的市场是否有重合以及竞争关系？如何增强各品牌间的凝聚力？,您好！公司的核心竞争力和未来发展规划等相关情况请查阅公司2016年年度报告，谢谢！
19,公司高管增持计划才几十万股，为什么久拖不决，一次次延期？何不直接取消？,您好，增持计划正在履行中，感谢您的关注。
20,公司现有产品最近价格是否稳定，最近公司产品出货量怎样？上游的企业是否大量备货？,您好！公司以销定产，按市场定价，正根据客户订单有序发货。谢谢关注！
21,注意到公司公告中植产投3月2日和9日分别公告增持，共计570多万股，而一季报显示中植产投持股已达740万股，即9日到31日中植产投又增持了约160多万股，该事项是否需要公告？谢谢,您好！公司严格按照相关法律法规的规定进行信息披露，谢谢。
22,"这几年社会道德严重滑坡,不讲诚信，为了个人利益突破道德底线的行为屡屡发生，你作为企业高管如何看待？",您好！公司高管将在守法的前提下，严格要求自己，做优秀职业经理人。谢谢！
23,看到张总在独战群雄。。。回答思路清晰干净利索，实在佩服！未来如有项目机会洽谈合作，通过何种渠道能和张总预约，登门拜访？谢谢。,感谢您的支持。
24,做大、做好市值管理是每个公司成长的必然追求，公司是如何进行市值管理的？,您好，公司将通过不断的努力赢取资本市场的认可和肯定。谢谢！
25,"同行业内有哪些主要竞争对手？面对国内和国际品牌的冲击,公司的品牌战略指导思想是什么?公司采取了什么样的应对措施,在保持稳定增长的前提下不断做大做强?",您好！公司将按照既定的发展战略，按照内生增长和外延扩展的思路，不断探索做大做强主营业务的方法。具体请关注公司后续公告。谢谢！
26,公司截止目前的股东总人数是多少,您好！截至2017年4月15日，公司股东总户数约19000户，谢谢。
27,请问中植融云未来可以在哪些方面给予公司支持？未来是否存在中植系在宇顺的持股集中到中植产投身上？即中植产投接过中植融云直接和间接所持股？谢谢！,您好！作为公司控股股东，中植融云将持续支持上市公司的发展，谢谢。
28,公司申请退市摘帽的进度怎么样了？,您好，正在进行中，感谢您的关注。
29,希望公司在适当的时侯推出激励计划来聚集和挽留人才，保持公司的竞争力！,感谢您的建议，谢谢。
30,首先感谢张总的到来让宇顺有了新气象（林萌的补偿款到位，一季报虽然亏损，但现金流的改善明显），但目前宇顺无论是二级市场的表现还是监管层对于重组的从严审核，都对公司造成明显的不利，能否有具体的解决办法？,您好！2017年公司在继续巩固现有主营业务的基础上，将重新打造公司产业结构，积极推动战略转型、实现多元化发展。增强公司的持续发展能力和盈利能力，为社会、为股东创造新价值。谢谢您的关注。
31,"去年有机构投资者去公司做调研吗,都是哪些？我们这些中小投资者在哪里能看到机构投资者的调研情况？",您好！2016年公司未发生接待调研、沟通等活动，谢谢。
