,Question,Answer
0,请问公司有什么好消息对我们广大小股东宣布的吗？,您好！有关公司相关信息请关注公司公告。谢谢！
1,您刚刚说2018年即使亏损也不会退市？那是不是要ST了？,您好！《创业板股票上市规则》规定，上市公司若出现最近三年连续亏损，交易所可决定暂停其股票上市。公司连续二年亏损的，应当在披露其后首个半年度报告时，发布公司股票可能被暂停上市的风险提示公告，以后每五个交易日发布一次，直至暂停上市风险消除或交易所作出公司股票暂停上市的决定。谢谢！
2,公司在越南和俄罗斯都有子公司，若公司能有盈利，上述地区有无外汇管制，对外国企业利润汇出有无限制？公司是否享受招商引资优惠政策？,您好，越南和俄罗斯都有一定的外汇管理措施，但合法经营的利润汇出没有问题。安利越南投资享受有关外国投资的所得税等优惠政策。谢谢！
3,公司营收还不错 但是毛利铝这么低 以至于亏损。公司有什么措施没有？,您好，公司亏损原因主要是原材料涨价太快太猛，美元贬值造成汇兑损失，以及环保费用、能源费用上升，公司正积极调价，加强管理。谢谢
4,公司现阶段经营状况如何?销售环比是否增长。,您好，公司一季度预计营收增长16%左右，公司目前订单较好。谢谢！
5,建议公司也进入超细纤维合成革领域，丰富产品的单一结构，创造更好效益。,您好，我们将关注超细纤维合成革领域的经营和发展。谢谢！
6,现在公司产品调价幅度是否与原材料涨价幅度持平或高于?今后不会再延续亏损销售的局面了吧?,您好，公司产品调价幅度与原材料调价幅度基本持平，但调价的速度具有滞后性，力度受市场因素影响，不尽一致。此外，人民币升值、美元贬值对公司影响较大。谢谢！
7,"安利宣传是全国专业研发生产生态功能性聚氨酯合成革最大的企业，连续4年位列“中国轻工业塑料行业（人造革合成革）十强企业”且综合排序第一。陆续摘得“全国工业品牌培育示范企业”等多项国字号桂冠。
但上市7年，安利市值无增长，位列倒数17名。安利股票，在各大券商不能作为担保品。姚董可说，市值是市场行为。但作为企业老总，如果市场不认可你的公司价值，那你办企业的理念是什么？是何缘故导致市值7年无增长？",您好，安利股份2017年亏损是安利股份成立24年以来首次出现亏损。经济是有周期的，行业是有波动的，没有任何企业敢保证、能实现永不亏损。公司的价值是由主要股东、董事会及经营管理层组织协调各方要素创造的，并不是由董事长或总经理一人能够决定的。公司市值受行业、企业业绩等多种因素影响，公司的理念是追求企业价值最大化，这是包括安利科技投资在内的全体股东及全体员工的共同目标，安利股份董事会及安利员工没有任何人希望安利股份亏损。谢谢！
8,"安利宣传是全国专业研发生产生态功能性聚氨酯合成革最大的企业，连续4年位列“中国轻工业塑料行业（人造革合成革）十强企业”且综合排序第一。陆续摘得“全国工业品牌培育示范企业”等多项国字号桂冠。
但上市7年，安利市值无增长，位列倒数17名。安利股票，在各大券商不能作为担保品。姚董可说，市值是市场行为。但作为企业老总，如果市场不认可你的公司价值，那你办企业的理念是什么？是何缘故导致市值7年无增长？",您好，安利股份2017年亏损是安利股份成立24年以来首次出现亏损。经济是有周期的，行业是有波动的，没有任何企业敢保证、能实现永不亏损。公司的价值是由主要股东、董事会及经营管理层组织协调各方要素创造的，并不是由董事长或总经理一人能够决定的。公司市值受行业、企业业绩等多种因素影响，公司的理念是追求企业价值最大化，这是包括安利科技投资在内的全体股东及全体员工的共同目标，安利股份董事会及安利员工没有任何人希望安利股份亏损。谢谢！
9,请问公司有信心在今年2季度扭亏为盈吗?实现同比环比正增长？,您好，目前行业竞争激烈，全球经济环境复杂多变，公司董事会将加强管理，努力在未来扭亏为盈。谢谢！
10,请问姚董，煤改气后公司相关产品的产能，相较煤改气前是否有受到影响？,您好！2017年煤改气对公司产能有较大影响，2018年对公司产能的不利影响基本消除。谢谢！
11,"华峰超纤,双象股份,同大股份如果产能继续跟上以目前的发展速度，是不是公司在鞋类和球类这两个细分市场以后会使用的越来越少？",您好！鞋类、球类市场在合成革领域有不同市场不同层次产品需求。目前生态功能性合成革在鞋类、球类合成革市场占比较大，公司产品市场前景广阔。谢谢！
12,安利公司当初推出第二期员工持股计划为了稳定队伍，稳定信心，并构建员工和企业的利益、命运共同体，其二期员工买入均价10.65元/股，现股价7.46元/股，亏损幅度达30%，按450人参与持股6000万元，人均持股13万元，现每位员工已大致亏损4万元，请问持股亏损的员工现在心态如何，会否影响工作的积极性，队伍还稳定吗？,您好，公司目前员工队伍稳定，积极性良好，公司员工对未来发展充满信心。人力资源是第一资源，创新是发展第一驱动力，公司员工及管理层是公司发展的十分重要因素。谢谢！
13,公司去年发布的外汇衍生品交易，今年执行情况咋样？,您好！针对汇率波动情况，公司一直积极开展外汇衍生品交易，减少汇率波动带来的损失。谢谢！
14,请问贵公司除了员工持股外，从董事长到管理人员有人有信心，并且从二级市场增持过自己公司的股票吗？,您好！公司高管及管理层对公司充满信心，已通过参与员工持股计划从二级市场增持公司股票，将员工利益和公司利益紧密结合在一起。谢谢！
15,公司主持制定的2项行业标准、参与制定的11项行业标准受到工信部确定，对公司未来有哪些优势影响？,您好，公司2017年制定的标准，进一步提高的公司的影响力和话语权，将引领行业的技术进步和规范发展。谢谢！
16,最近公司生产需要的原材料价格下趺对公司业绩提升帮助大吗？,您好，目前公司生产经营的原辅材料处于高位盘整阶段，总体基本稳定，谢谢！
17,公司2018年度利润再度亏损的话是不是意味着要退市了？,您好！根据《创业板股票上市规则》规定，即使公司2018年亏损，也没有退市风险。谢谢！
18,原材料价格上涨给公司造成一定压力，公司在做哪些努力呢？,您好，公司对原材料涨价的风险，正积极采取调整产品售价、优化产品配方、开发经营新产品、提高运营效率、降低成本费用等措施。谢谢！
19,24号将召开的股东大会，对老厂区的土地处置全权委托了董事长，相信董事长一定能办好 ，给我们广大小股东带来惊喜。,谢谢您！
20,公司产品2018年有没有调价计划呢？不然怎么弥补原材料涨价已经人民币升值带来的亏损呢,您好，公司2018年2月下旬起，对不同的客户已陆续实现调价。谢谢！
21,请问姚董过去的2017年，整个皮革行业经营生产情况如何？公司有无考虑对其他领域进行投资？,您好，2017年全国合成革行业总体竞争激烈，形势复杂多变；公司无对其他领域投资的计划。公司发展战略是“专业化、特色化、品牌化、规模化”。谢谢！
22,请问财务总监，贵公司17年度，18年1季度连续亏损，现金流情况如何？,您好！公司2017年虽利润亏损，但全年折旧达1.1亿，现金流较为充足，目前公司资金情况良好，经营正常。谢谢！
23,公司今年有哪些创新项目的方案？,您好，公司将围绕创新驱动、品牌引领、智能制造、绿色低碳等方面积极开展经营管理创新活动，将围绕观念、组织、技术、产品、管理、营销等方面，系统创新、综合创新、持续创新。谢谢！
