,Question,Answer
0,贵公司员工一个月能挣多少？,公司根据员工的岗位、学历、经验、贡献等因素，并结合市场薪酬水平确定员工的薪酬。
1,虽然说公司的股价由二级市场决定，但股价是公司经营的一个表象，请问管理层对回报投资者持有怎样的态度？,公司十分重视对投资者的回报，公司将全力提升业绩，回报投资者。
2,在给用户提供增值服务方面，公司做了哪些工作以增强对原有客户的锁定、新客户的拓展？,公司创新的提出了版权生态，以互联网思维解决了当前数字内容分发和版权服务中版权人名（确权）和利（结算）的痛点。公司为版权人提供一个可以信赖的，公开透明的版权交易环境，集成一个全面的版权集成库，更高效的完成版权交易，满足所有版权使用者的诉求。
3,"同行业内有哪些主要竞争对手？公司采取了什么样的应对措施,在保持稳定增长的前提下不断做大做强?","目前在版权服务领域尚无与公司业务模式完全相同的企业。在版权认证、监测和结算领域，中文在线、优酷土豆、百度文库等主流的内容平台为公司的下游客户，公司可为其提供正版数字内容源，也可为其平台中的文学、图片、视频、软著等作品提供版权认证管理、IP价值评估等服务。而在版权交易，内容分发等领域，上述企业与公司存在着一定的竞争关系。从品牌和渠道上来看，以中文在线、视觉中国、优酷土豆、QQ音乐等为代表的内容与交易平台有着先发优势，在数字内容资源和分销渠道上优势显著，拥有海量的内容注入和用户流量、B端客户合作，成熟的运营模式。
公司的优势在于：1、创新的提出了版权生态，以互联网思维解决了当前数字内容分发和版权服务中版权人名（确权）和利（结算）的痛点。2、涉及的数字版权互联网业务范围更加广阔。公司可版权人提供一个可以信赖的，公开透明的版权交易环境，集成一个全面的版权集成库，更高效的完成版权交易，满足所有版权使用者的诉求。"
4,公司募集资金投向项目进展如何，是否顺利?预计多久可以收回投资?,您好！请详见立信会计师事务所（特殊普通合伙）出具的厦门安妮股份有限公司募集资金年度存放与使用情况鉴证报告（信会师报字[2017]第ZI10312号），谢谢关注！
5,公司是否在考虑开拓新的领域？取得初步进展没有？,版权服务业务是公司未来发展的核心业务，公司通过收购畅元国讯100%股权，在数字版权服务领域的已建立了技术优势、服务平台优势、内容和渠道优势、版权大数据优势。版权服务技术方面，公司大量技术研发成果已被国家采纳为行业标准，并为国家级单位和项目提供技术支撑和运营服务；在综合服务平台方面，研发、设计、建设和上线运营的多个版权服务平台为版权人提供全产业链服务；在内容和渠道方面，公司已在阅读领域、游戏领域、音乐领域、视频领域、动漫领域与众多的内容聚合平台和渠道商建立了密切合作；在版权资源大数据方面，随着全国乃至全球版权作品数量的集聚，将形成版权资源大数据库，公司将构建版权大数据平台，充分发挥数据优势。
6,今年人工费用是否还会出现阶段性上涨？,公司人工费用上涨是经营实体普遍存在的事实，同时公司也会努力实现人均创造价值的增加。
7,自从微博出现后，对于舆情的关注和扩散在一定程度上都有所放大，关于舆情的监控，公司有些什么样的手段？而在应对负面舆情的时候，又有什么样的应急措施？,公司安排专人负责舆情监测，在发现对公司有重大影响的舆情时，及时依据相关信息披露的要求予以核查或澄清。
8,请问公司上一季生产经营状况如何？与去年同期相比如何呢？,公司2017年度第一季度报尚在编制过程中，预计在2017年4月24日披露，具体情况请关注公司公告。谢谢。
9,公司的负债比率有多少？,2016年12月31日公司的负债率是10.86%。
10,公司未来3年发展前景如何?,"1、版权服务将成为公司未来的核心业务。公司将全力提升版权服务能力，使公司成为版权人实现版权价值的综合服务平台，为创作人提供专业的版权价值链服务。
    公司认为随着国家规范版权市场，建设有序的知识产权生态的相关政策持续落地，数字文化产业正处于由从野蛮生长到规范运行，并将迎来爆发性增长的的历史机遇期。包括版权保护和增值服务在内的版权价值链服务对于数字文化产业繁荣发展有重要促进作用；公司将在畅元国讯已有的版权服务基础上，通过实施版权大数据平台建设项目，不断提升公司的版权服务技术能力、完善版权综合服务平台、拓展数字内容和渠道合作、聚集版权作品，构建版权大数据库。未来公司将成为版权服务领域的领先者。 
2、互联网营销业务将与版权服务业务协同发展，公司将持续优化管理团队，构建互联网原创内容的创作、交易和传播平台，聚合优质原创内容，吸引用户，提升业绩。
3、公司商务信息用纸业务将在平稳发展的基础上，持续进行业务和资产优化，提升盈利能力。
"
11,畅元净利率较高，请问如何实现的,畅元是从事互联网业务，属于服务性收入，具体情况详见公司披露的2016年年度报告，谢谢关注！
12,最近公司财务状况如何？,您好！公司最近业务开展良好，具体见公司公告的定期报告，谢谢！
13,公司现阶段发展过程中有何不足？面临的最大挑战是什么？如果新客户在磨合期放弃与公司合作，公司有无应对措施？,就目前来说，公司的版权服务业务尚处于起步阶段，在版权服务技术开发、平台建设 、内容和渠道开发等方面仍然需要持续发展。公司将全力以赴，争取早日将公司建设成版权人实现版权价值的平台。
14,请问16年畅元的收入是多少，按照四个版权业务划分分别是多少？同时对17年畅元预期或规划是多少,2016年畅元实现全年营业收入2.89亿元；根据2016年5月公告的发行股份及支付现金购买资产并募集配套资金暨关联交易报告书，畅元2017年度承诺业绩是扣非后净利润1亿元。
15,你如何看待同行业其他公司的经营情况？在同行业竞争中，公司排名第几？你认为公司业绩增长的主要优势或障碍在哪里？,"一、公司商务信息用纸业务经过十多年的发展，我们总结积累了客户的核心需求，并以此开展产品研发以及服务升级，为客户提供内部生产流程优化，信息采集，溯源管理等信息化专案，应用技术开发为客户提供整体解决方案，满足客户需求；
二、公司互联网营销业务存在优质内容创作能力不足，产品升级滞后等情况，营业收入和利润大幅下滑。未来公司将通过优化经营团队，提升优质内容生产能力；加强与公司版权服务平台的协同，提升优质内容策划能力，构建互联网原创内容的创作、交易和传播平台，聚合优质原创内容，吸引用户，提升业绩。
三、版权服务业务是公司未来发展的核心业务，公司通过收购畅元国讯100%股权，在数字版权服务领域的已建立了技术优势、服务平台优势、内容和渠道优势、版权大数据优势。版权服务技术方面，公司大量技术研发成果已被国家采纳为行业标准，并为国家级单位和项目提供技术支撑和运营服务；在综合服务平台方面，研发、设计、建设和上线运营的多个版权服务平台为版权人提供全产业链服务；在内容和渠道方面，公司已在阅读领域、游戏领域、音乐领域、视频领域、动漫领域与众多的内容聚合平台和渠道商建立了密切合作；在版权资源大数据方面，随着全国乃至全球版权作品数量的集聚，将形成版权资源大数据库，公司将构建版权大数据平台，充分发挥数据优势。
"
16,"国家要求实行经济节约型政策,公司具体是怎么做的?",公司将持续提升效率，降低消耗。
17,新三板的扩容，带来了新的投资机会，你们公司在这方面有什么打算吗？,公司目前尚无明确的针对新三板的投资计划。未来公司将积极寻找合适的投资并购标的。
18,请问公司在财务结构上有什么不足，打算采取哪些举措。,目前公司在财务结构上非常健康，谢谢关注！
19,"公司的持续良性发展是投资者投资信心的有力保证,愿公司的发展能为投资者带来良好的回报!请问公司领导对今年有信心吗？",公司有信心在版权服务领域取得优异成就，对公司的未来充满信心。
20,在企业文化方面，公司有什么特色吗？,“感谢、反省、责任、完成”作为公司的企业文化，提升了公司的核心竞争力和凝聚力。
21,希望公司在适当的时侯推出激励计划来聚集和挽留人才，保持公司的竞争力！,股权激励是一种有效的激励措施，公司不排除未来推出的可能性。公司将根据具体业务发展需要，在合适的时机采取合适的激励方式，促进公司业务的发展。 
22,股价升等于做免费广告，有助于公司产品销量升、业绩升，形成良性循环。建议公司配合将股价做上去。,谢谢您的建议。公司股价从长期来看，是公司价值的外在表现。公司全体员工将全力以赴，提升公司价值。
23,"这几年社会道德严重滑坡,不讲诚信，为了个人利益突破道德底线的行为屡屡发生，你作为企业高管如何看待？",我们强烈谴责这种行为，公司从事版权事业，提出人人都是版权人，提升大家的版权意识，为提升和净化社会风气贡献一份力量。
24,公司如何规避各种风险，如产品质量、资金、管理等，减少各种负面事件？,公司依法依规，诚信经营。并持续完善内部控制制度，建立规范运作的体系。
25,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？公司有没有一个具体可行的持续增长计划？,"1、公司版权服务业务快速发展，在版权服务技术开发、综合服务平台构建、内容和渠道合作等方面均获得长足进步。公司致力于构建版权大数据平台，聚集版权作品，形成版权大数据库，使公司成为版权人实现版权价值的综合服务平台，为创作人提供专业的版权价值链服务。
 2、公司已将互联网营销业务纳入到版权事业部统筹管理，优化管理团队，加强与版权业务的协同发展。未来互联网营销业务将通过构建互联网原创内容创作、交易和传播平台，聚合优质原创内容，吸引用户，提升业绩。
3、公司将持续优化商务信息用纸业务的业务结构和资产机构，保持商务信息用纸业务平稳发展。
"
26,募投项目资金使用情况如何？,"您好！请详见立信会计师事务所（特殊普通合伙）出具的厦门安妮股份有限公司募集资金年度存放与使用情况鉴证报告（信会师报字[2017]第ZI10312号），谢谢。
"
27,现在行业间的并购都比较频繁，你们今年有没有兼并收购计划？,"版权服务将成为公司未来的核心业务。公司将在现有业务基础上，通过实施版权大数据平台建设项目，不断提升公司的版权服务技术能力、完善版权综合服务平台、拓展数字内容和渠道合作、聚集版权作品，构建版权大数据库。
 公司将从内生和外延二个增长方向入手，推进公司战略实施。有符合公司战略推进的项目，公司将根据具体情况确定是否予以投资并购。谢谢。"
28,张总下午好！请问新设立的厦门知识产权服务公司业务与畅元的业务相重叠吗？,厦门安妮知识产权服务公司作为公司募集资金投资项目的实施主体，将全力以赴建设版权大数据项目。版权大数据项目与畅元的业务有协同效应，相互促进，但不会重叠。
29,近一年来，贵公司高管考虑增持吗？,公司董事长兼总经理张杰先生于2017年2月27日增持了公司股份3138104股。未来公司董事、监事、高管所持股份如有变动，公司将及时予以披露。谢谢。
30,业绩说明会本来应该是恳谈会，将企业目前的处境，面临的困难，预计的风险和相应应措施清晰告诉股东。,谢谢您的建议，公司真诚地希望与投资者建立顺畅的沟通渠道。在合法合规的前提下，将公司的经营情况全面展示给投资者。
31,贵公司是否会考虑实施股票期权等规范股权激励方式，惠及更多员工？,股权激励是一种有效的激励措施，公司不排除未来推出的可能性。公司将根据具体业务发展需要，在合适的时机采取合适的激励方式，促进公司业务的发展。
32,公司是否具备长期投资的价值？你是怎么看的？ 如果有机会，你会增持吗？,随着国家规范版权市场，建设有序的知识产权生态的相关政策持续落地，数字文化产业正处于由从野蛮生长到规范运行，并将迎来爆发性增长的的历史机遇期。包括版权保护和增值服务在内的版权价值链服务对于数字文化产业繁荣发展有重要促进作用；公司已将版权服务作为公司未来的核心业务，将在畅元国讯已有的版权服务基础上，通过实施版权大数据平台建设项目，不断提升公司的版权服务技术能力、完善版权综合服务平台、拓展数字内容和渠道合作、聚集版权作品，构建版权大数据库。未来公司将成为版权服务领域的领先者。
33,叶总，我想问一下微梦想16年为何业绩远低于预期。在16年中报时，微梦想还有600多万净利润，为何年报中微梦想的净利润有大幅下滑？,2016年微梦想的互联网营销业务存在优质内容创作能力不足，产品升级滞后等情况，营业收入和利润大幅下滑，未来公司将通过优化经营团队，提升优质内容生产能力；加强与公司版权服务平台的协同，提升优质内容策划能力，构建互联网原创内容的创作、交易和传播平台，聚合优质原创内容，吸引用户，提升业绩。
34,作为一家上市公司，为了更有利于与投资者交流，能不能在公司网站上设置交流互动功能？,谢谢您的建议，公司将不断扩大与投资者交流的途径。
35,如若公司股价在走下坡路的情况下，是否会推出高股价股权激励计划？,股权激励是一种有效的激励措施，公司不排除未来推出的可能性。公司将根据具体业务发展需要，在合适的时机采取合适的激励方式，促进公司业务的发展。
36,请问公司有无通过发行债券等形式进行募资的计划？有无设立并购基金收购标的的计划？,公司会根据业务发展实际需求及资本市场的具体情况，确定资本运作的具体方式。
