,Question,Answer
0,公司出口业务占比怎么样？,您好！您可查阅本公司年度报告，谢谢！
1,公司已统一整合了7家民爆生产企业，已基本完成了广东省内民爆生产企业的整合。那么对于2018年的利润会有很大的提高吗？,您好！相关项目及预测可见公司于2017年7月及11月披露的相关公告，谢谢！
2,2017年净利同比增长159.67%。对于2018年的净利会比2017要高吗？,您好！请您届时留意本公司公告，谢谢！
3,公司去年股价连续攀升，是什么因素促成的？,您好！我们也希望公司股价能够连续攀升，能够给广大股东带来良好的回报。
4,随着经济形势放缓，各国贸易战加剧，大宗商品市场会否未来几年走向下滑，从而对公司业务带来不利影响？,大宗商品市场的价格目前已经趋于平稳，2017年公司的矿服板块也因此有所好转；目前公司着力打造的军工板块对大宗商品价格的依赖程度不明显。
5,公司今年能否整合完成广东省所有民爆器材生产企业？,您好！如果有进展，公司将及时披露。
6,公司在军工市场领域会有哪些业务布局开展？预计会为业绩带来多大的提升？,您好，公司目前在谋求军工板块的转型升级，具体项目进度及对公司的影响，请您留意公司公告。
7,广东省内炸药生产在全国处于什么地位?竞争力怎么样？,您好！根据行业协会统计，2017年1-12月广东省的民爆生产总值全国排行11名，目前广东省的民爆生产处于供需平衡的状态，基本面较好。
8,公司子公司是广东省唯一的军方定制产品制造上，是不是代表一定程度上有垄断地位？,您好，公司子公司广东明华机械有限公司是全国十四家在地方保留军工能力的企业之一，所生产的产品供给军方；但公司不清楚军方在广东省是否有其他产品采购。
9,叙利亚战争对公司有所利好吗？,您好，目前没有影响。
10,对于安全生产规范和环保方面的要求，公司是怎样做到的？,"您好！在安全生产方面，公司严格执行国家相关法律法规，牢固树立“以人为本，安全发展”理念，坚持“安全第一、预防为主、综合治理”的安全生产方针，在公司领导的高度重视和全体员工的共同努力下，安全生产形势总体平稳。
在环保要求方面，针对国家对环保的日渐重视，积极响应国家政策，勇于创新，率先在大宝山推行绿色低成本智慧矿山试点，提升核心竞争力。"
11,公司子公司明华公司去年为业绩贡献了多少？,年报中已有披露。请您翻阅年报！
12,民爆领域的业务主要受哪些因素影响，可能会对业绩造成波动？,民爆业务一受原材料价格影响，二受市场竞争影响。
13,公司目前有几大战略版块？未来是否还会培育新的版块？,您好，根据公司目前的战略规划，公司主要战略板块为矿服、民爆和军工。未来将会重点发展军工板块业务。
14,公司今年是否有定增计划，主要是投向什么方面？,您好！若公司有定增计划，将会严格按照有关规定履行信息披露义务。谢谢！
15,今年军工业务是否有望转型升级，迈向高精尖？,您好，公司目前正在向高精尖军工产品转型升级，如有关键进展，公司会及时公告，谢谢您对公司发展的关注。
16,公司如何做好对环境的保护？,您好！当前国家对矿山绿色环保的要求越来越高，国家和地方政府先后出台了一系列加快建设绿色矿山的支持文件。为响应国家的政策要求，促进业务健康顺利发展，提升核心竞争力竞争力，公司在大宝山项目部进行低成本绿色矿山项目试点工作，爆破设计信息化用3Dmine软件，钻孔用无尘设备，混装炸药质量达标，运输设备大型化使用上宽体车，使用矿山GPS车辆调度系统、全方位视频监控系统，运输方式考虑皮带工艺和排土机，使用无人机三维扫描技术。目前绿色低成本矿山的相关合作及设备采购正在进行中，已取得阶段性进展。
17,对行业内的兼并进展如何？未来是否还会进一步整合相关业务？,您好，公司自上市以来一直有收购兼并的动作，只要围绕公司的业务板块展开的，未来还会有进一步整合的工作。
18,企业估值在同行业中处于一个什么样的水平？是否有偏高的情况？,我司业务分为矿服、民爆、军工三大板块，目前尚未有和我司业务相近的对标公司。
19,矿业价格如何影响公司业绩？,我司的上游是各大矿山企业，若矿业价格回升，业主会加大项目开工数量且资产质量向好，相应的对我司业绩有正向影响。
20,大股东和公司高管有没有增持股份的计划？,您好，公司暂时没有收到相关通知，谢谢！
21,近日股价连续飙升，是否还有什么新的利好尚未释放？,您好，感谢您的关注，相关事项若达到信息披露要求，我公司将会严格按照深交所有关规定进行信息披露。
22,一季度有收购炸药产能吗？,您好，没有。
