,Question,Answer
0,您好，董事长对公司的业务进行了回复，请问，你们公司今后的目标是什么？,"未来，公司通过产业资源整合、技术体系优化、服务能力提升、收购整合等战略手段的实施，力争实现“数字化、全球化”的战略目标，将公司打造为来自中国的、具有全球影响力的、行业领先的整合营销传播服务提供商。
"
1,宣亚国际有多少家子公司与关联公司？,截至2016年12月31日止，本公司合并财务报表范围内子公司有：北京品推宝移动科技有限公司；秦皇岛宣亚公共关系顾问有限公司；北京英帕沃数字技术有限公司 ；北京宣亚国际品牌咨询有限公司；宣亚国际品牌管理（湖南）有限公司；广州宣亚品牌管理有限公司；珠海宣亚互动数字营销有限公司；北京新兵连文化传媒有限公司；SHUNYA INTERNATIONAL INC宣亚国际有限公司。
2,请就报告期内，独立董事的履职情况和发挥作用进行下说明,报告期内，公司独董积极出席公司董事会会议，应参加董事会4次，实际参加4次，对会议议案进行认真研究审议，并积极与公司高管沟通，了解掌握公司各方面的经营信息，运用各自的专业知识就重大事项进行客观公正评价，及时发表独立意见，充分发挥独立董事的作用。有效地提高董事会决策的科学性和规范性，切实维护公司和全体股东的合法权益。
3,重组标的是什么？最长停牌时间是多久？能拖到8月份才复牌吗？现在市场环境不好！,停牌期间公司会按规定每5个交易日发布一次进程公告，请持续关注，谢谢！ 
4,公司数字化营销的研发投入短期对公司利润带来哪些影响,"由于公司在2015年10月启动募集资金投资项目的技术研发，2016年比2015年研发支出有较大增加，分别为1,186.32万元和143.00万元，在一定程度上影响了公司当期利润，由于募集资金投资项目需要一定的建设期，在项目未达产的短期内净资产收益率会因为财务摊薄而有一定程度的降低。
"
5,请介绍公司在营销领域的竞争优势和核心竞争力,"感谢关注！公司秉持“合适就是竞争力”的传播哲学，以打造“中国传播行业第一推动力”为使命，强调面向客户需求，打破沟壑分明的品牌传播专业壁垒，整合不同传播手段及传播专业平台，以全面营销解决方案满足客户多元化、多层次、多专业领域的需求，为客户提供一站式营销传播服务。
公司高度重视营销策略和创意内容策划等业务能力的培养和提高，通过设立专业团队，构建策略研究平台，实现从行业研究、数据调研、媒介研究、消费分析到企业发展及品牌生命力分析的整体把握。同时企业围绕客户产品、市场、目标消费者等信息，进行基础数据调研、策略规划、方案撰写和创意制作，在提供全套服务的同时培养创意人才、建立数据库资源，从而占据行业领先地位。谢谢！"
6,大数据、人工智能等等技术日新月异，营销领域也面临着变革，该如何看待数字营销的前景？,"互联网、移动互联网时代，大数据深刻影响行业变革，微博、微信、微视频等传播手段以及营销模式层出不穷。网上信息的精准抓取满足了客户个性化的需求，也让大数据开发和应用能够大展拳脚，随着程序化购买市场规模的不断加大，媒介中的优质资源接入程序化购买平台的增长速度之快前所未有，创意内容的类型也越来越多元化，这对公司来说既是挑战又是机遇。
"
7,可以简单下公司团队管理模式 和激励模式 以后的打算？,感谢关注！公司在未来两年中将建设和完善在业内具有领先竞争力的人才薪酬、福利、培训及职业规划体系。公司将具体做好以下工作：完善人力资源管理体系；制定科学合理的招聘选拔体系和完善的培训体系；建立切实有效的绩效考核制度和激励机制；加强核心人才队伍的建设；积极建设和培养后备团队；大力引进高端创意、营销、策划等专业人才。总之，公司把人力资源的开发和管理上升到企业战略层面予以考虑，以较大的投入来开发、获得、保持与激励企业战略实施所需的人才，实现企业价值共享。谢谢！
8,请就公司的现金流状况进行下说明,"2016年，随着重要客户大额应收账款的逐步回收以及公司业务规模的进一步增长，经营活动现金流量净额较2015年末大幅回升。2016年投资活动现金流入为处置固定资产、无形资产和长期股权投资收回的现金净额；2016年投资活动的现金流出为购置固定资产所支付的现金及增加投资；2016年筹资活动现金净流出主要系公司各期支付股利产生现金流出所致。
"
9,请介绍下公司未来的发展规划,"感谢关注！未来，在中国产业转型腾飞的发展大趋势下，公司将结合募集资金投资项目的实施，通过产业资源整合、技术体系优化、服务能力提升、收购整合等战略手段的实施，力争实现“数字化、全球化”的战略目标，将公司打造为来自中国的、具有全球影响力的、行业领先的整合营销传播服务提供商。
新形式下，公司顺势而为，主动参与国际化市场竞争，为了延承公司创新的发展理念，着眼国际，在全球布局公司营销业务，同时构建全球化的营销网络与内部资源实现共享，通过整合企业的内部资源并与公司旗下的SHUNYA INTERNATIONAL INC.实现“整体联动发展”，国际化的布局需要国际化的视野，我们要继续在2017年带着“走出去”的魄力与国际接轨。
"
