,Question,Answer
0,您好，请问贵公司选择在2017年年报期间扩股的原因是什么，我注意到股公司曾在2016年中报期进行过扩股，2016年末贵公司归属净利润1.74亿，比2015年末归属净利润9360万有大幅增长。这次扩股是否源于贵公司对未来发展的更好预期?,"公司净资产已经达到10亿元，其中资本公积金和未分配利润都超过了4亿元，而公司股本仅为1.12亿元，不能很好地反映公司的经营现状和资产现状，因此有进一步扩大股本的必要性。
我们认为公司进行股本扩大，有利于公司未来的运作。"
1,美国对华的新关税政策，对公司影响大吗？国内客户和国外客户在挑供应商的时候有哪些差异？,"公司密切美国新关税政策对行业的影响，截止目前暂未发现重大影响事项。
国外客户当中，规范市场客户对于供应商的要求严格，门槛很高。非规范市场大多应用规范市场的标准，但是准入门槛相对较低。
国内客户主要受国内政策的影响，未来有向规范市场模式靠近的趋势。
"
2,目前公司原料价格趋势如何？对公司业绩有何影响？,公司大多数的原材料价格已经大幅度上涨，现在保持高位企稳态势。
3,请问公司同业竞争对手都有哪些？公司现在有没有新的利润增长点？或新的盈利模式来增加收益呢？,"国内之前涉足酶抑制剂业务的企业很多，目前主要有江苏华旭和齐鲁天和惠世等。
公司目前主营业务增长较快，公司将会通过延展产业链的方式，来拓展原有业务的利润空间。同时，也在积极储备新的品种，准备在时机合适时上马推出。"
4,目前公司面临的重大问题有哪些？,公司面临的重大问题，即公司可能会面临的重大风险。主要有市场竞争风险、环保风险、汇率风险、以及研发风险。详见公司披露的2017年年报。
5,公司主导产品他唑巴坦系列销售量是多少？,公司的产品数据，请参见年报披露的相关内容。
6,2017年净利润1.78亿元 ，同比增长2.09%， 公司过去一年原地踏步，没有进步吗？公司在新的一年里有什么生产经营方面的战略布局和规划？,"相比于2015年的业绩水平，公司2016年迈上了一个新台阶。2017年虽然利润增速下降，但是公司业绩保持了稳定增长，这说明了公司运营持续向好，逐步走向壮大和成熟，并且也为未来业绩的进一步增长夯实基础。
公司未来还将立足主营业务，逐渐扩大在产业链横向和纵向的延展，并且还将在适当时机，加大制剂领域的投入。这些都将构成未来公司的业绩增长点。"
7,二甲双胍缓释片（II）的药学评价研究进展情况如何？,感谢您的对我们延伸到制剂领域的关注。公司在控股富祥（大连）之后，积极推进正在申报产品的注册工作，进行二甲双胍缓释片（II）的药学再评价研究，公司在收购的时候二甲双胍缓释片（II）已经取得了相关的临床批件，现在公司正在按照国家药监局新的要求进行临床前药学研究以及一致性评价研究，预计今年下半年进行生物等效性研究。公司将尽全公司之力，加大研发力度，推动二甲双胍缓释片(Ⅱ)和阿加曲班注射液的研究和开发。
8,请问公司有专人负责投资者关系管理吗？近期有机构去调研吗？机构对公司的发展持什么看法？,公司的证券部专职负责投资者关系管理。上半年有华鑫证券到公司调研。机构对于公司的业务和业绩持肯定态度。
9,预计第二季度公司经营业绩情况如何？,公司将按照规则进行半年度业绩预告。
10,公司对外延扩张的计划是怎样的？2016年8月收购的奥通，2017年7月收购的泛谷，都进入抗生素的生产体系了吗？有利润贡献吗？,公司正在积极推进对外合作。奥通目前已经开始为富祥以及其他子公司配套，今年力争实现盈利。富祥（大连）（原名泛谷）的主要产品和公司之前主营业务暂无关联，这是公司试水制剂业务的尝试。由于富祥（大连）正在进行几个品种的批件报批，并且正在进行相应的GMP改造，因此近期仍处于投入期，整体运行有序进行。因该子公司体量较小，亏损额可控。
11,"贵公司“2017年，实现营业收入95,815.05万元，同比增长25.46%”，我在年报中发现贵公司原料药收入相比2016年增加了1.54亿，请问营收增长是源于销量上升还是价格上升？还是其他原因",主要因公司主要产品的市场平稳增长，主要产品销量出现增长，部分产品销售价格出现增长，实现利润增长。
12,请问今年内公司有并购重组或者资产注入计划吗？有没有投资新建厂等计划？,"公司正在积极开展对外合作，如有进展将会按照规则及时公告。
对于公司目前已有的生产基地，公司也在积极进行项目新建、原有产能的技改提升等工作。"
13,一季度的毛利率同比下降，详细说明一下主要原因吧,影响公司2018年一季度的净利润的不利因素是原材料的大幅上涨和汇率损失。
14,目前公司正在研发投入的新产品有哪些？进展情况如何？,公司在研产品包括泰诺福韦酯、西他沙星、恩曲他滨、依法韦伦等。具体进展请参见公司年报相关内容。
