,Question,Answer
0,水溶性防结剂及营养型圆颗粒钾肥应用拓展情况如何？,尊敬的投资者您好！公司围绕智慧农业领域积极布局，积极推广植物营养助剂等产品与服务，向全球肥料企业输出产品品质提升、产品结构升级、新型肥料研发、智慧农业转型的“肥料供给侧改革”模式，符合农业绿色发展方向，有力推助肥料行业乃至农化服务行业创新。感谢您对公司的关心，祝您投资愉快！ 
1,"请问贵公司与湖北宜化的货款纠纷是否通过法院起诉？贵公司2014年年报中湖北宜化应收货款12,653,092.71元，截止2017年年报这个数字位居应收账款第一位且任然未发生变化。目前湖北宜化已资不抵债，货款回收可能性很小，是否应全额计提坏账？谢谢",尊敬的投资者您好！相关情况详见《2017年年度报告》与《2017年审计报告》相关章节。感谢您的关注，祝您投资愉快！
2,公司对上半年业绩预计如何?,尊敬的投资者您好！一季度业绩优于同期，且目前公司运营状况良好，感谢您对公司的关心，祝您投资愉快！
3,公司如何评价对诺凯威和PST的收购，目前运行如何?公司号称助剂全球领先者，但业绩并未体现出稳定增长，是行业太小的原因?,尊敬的投资者您好，公司通过内生发展、海外并购与全球资源整合后，已成为与美国Arr-Maz比肩的全球综合服务供应商，营业收入保持逐年增长态势；公司根据农业未来发展战略，正积极布局智慧农业，打造未来利润增长点。感谢您的关心，祝您投资愉快！
4,公司在智慧农业多点开花，但每个点都收效不大，进度缓慢，是布局太早，时机未到还是公司营销保守，市场拓展不利，公司有过思考吗,尊敬的投资者您好！公司智慧农业业务同比取得进展，在智能配肥机、智能配肥站等方面随着营销的加强，均取得不错的业绩。感谢您的关心，祝您投资愉快！
5,公司对配股时机如何考虑?熊市配股对股价伤害很大，但另一方面公司2017现金大幅减少，对资金肯定需求很大,根据深圳证券交易所的相关要求，公司将于2017年度利润分配实施完成后启动配股发行。公司本次配股发行符合国家“一带一路”重大决策，是公司布局未来智慧农业模式的重要举措。公司将利用本次配股募集资金满足公司未来的发展需求，一如既往的努力将公司做大做强，用实际行动回馈股东和社会。感谢您的关注。
6,公司2018年重点发展测土，并且取得资质，但公司只是小规模实验，未实现较大突破，请问2018测土有可能实现大的突破吗?另外国家第三次土壤调查有何新进展?,尊敬的投资者您好！测土是智慧农业的重要基础之一，在取得CMA资质后，公司现已与巴彦淖尔农牧局开展合作，其他业务正在逐步有序开展。第三次全国土地调查具体进度情况由国家相关部门统计发布。感谢您对公司的关心，祝您投资愉快！
7,请问贵公司商誉减值4000多万是否为收购境外项目计提减值，为何收购才不到2年就发生如此大的减值？有什么特殊意外情况发生吗？,尊敬的投资者您好！主要因欧洲地区对俄罗斯实行经济封锁， 荷兰 Novochem 报告期内在俄罗斯地区的产品销售有所下滑， 导致公司收购对价减少，公司少支付收购资金。 为反映公司的实际运营情况，从谨慎性原则出发，经第三方专业机构评估，公司计提当期资产减值。公司在2017年9月完成了对法国PST的收购，通过对以上两家海外公司的生产、采购、管理、销售等方面进行整合，在2018年将体现出协同效应，进而提高其市场竞争力与盈利水平。感谢您对公司的关心，祝您投资愉快！
8,与同行业其他企业相比，公司最大的劣势在哪里？,尊敬的投资者您好，公司通过内生发展、海外并购与全球资源整合后，已成为与美国Arr-Maz比肩的全球综合服务供应商。感谢您的关心，祝您投资愉快！
9,请问公司应收账款第一位的湖北宜化已多年未收回，是否应该全额计提坏账准备？公司与湖北宜化的货款是否通过法院起诉？结果如何？,尊敬的投资者您好！公司坏账计提政策严格按照企业会计准则执行，坏账计提比例及金额经第三方具有证券从业资格的会计师事务所审计，并出具标准无保留意见的审计报告。感谢您对公司的关心，祝您投资愉快！
