,Question,Answer
0,请介绍下公司董事履行职责的情况,您好！2017年，公司全体董事均能严格按照《公司法》、《证券法》、《深圳证券交易所股票上市规则》以及《深圳证券交易所中小企业板上市公司规范运作指引》等法律、法规及规章制度等规定和要求，诚实守信，积极参加董事会和股东大会会议，保证公司信息披露内容的真实、准确、完整，发挥各自的专业特长、技能和经验，切实维护公司及股东权益。谢谢！
1,请问董事长，公司能利用云南的基地拓展东南亚耗材市场吗？能在新疆见基地拓展一带一路市场吗？有没可能性？谢谢,您好，感谢您对公司的关注！对公司发展有利的事情，公司都会去考虑的，谢谢
2,同业竞争者众多，公司的独特竞争优势是什么？,您好！谢谢您对公司的关注！公司作为国内医院建设领域的优秀提供商，公司的竞争优势是多方面的，主要体现在长期以来公司为医院客户体提供的全产业链整体服务，包括医院的设计、建造、专业工程、设备配置、耗材与药品配送、后勤服务、医院投资运营等。公司将进一步的发挥各项优势，创造更多的效益。谢谢！
3,希望公司在提高毛利率方面开动脑筋，希望公司在董事长的带领下得到大力发展！,您好，感谢您对公司的发展提出您的建议，谢谢您！
4,请问今年内公司有并购重组或者资产注入计划吗？有没有投资新建厂等计划？,您好，感谢您对公司的关注！ 2018年，公司将充分利用医疗行业整合及医疗体系改革等机会，积极寻找新的并购发展目标，甄选优质项目，适时开展并购工作，围绕产业链的各个环节稳步推进外延式发展，不断提高企业规模效益以及核心竞争力；目前公司在建的有南昌产业园和合肥产业园，谢谢！
5,公司对外延扩张的计划？公司外延考虑独立研发还是购买团队？,您好，感谢您对公司的关注！2018年，公司将充分利用医疗行业整合及医疗体系改革等机会，积极寻找新的并购发展目标，甄选优质项目，适时开展并购工作，围绕产业链的各个环节稳步推进外延式发展，不断提高企业规模效益以及核心竞争力。谢谢！
6,请问公司有哪些高端医疗耗材产品？简单介绍下一次性使用手术包。该产品的核心竞争力在哪儿？,"您好！感谢您对公司的关注！公司目前生产的医疗耗材为一次性手术包及骨科耗材。公司本次拟进行的公开发行可转换债券其中高端医疗耗材产业化项目的一次性使用手术包其中包括一次性吻合器系列产品、医用水胶体敷料系列产品、医用无纺布等，该一次性手术包更好满足手术实际需求，有效保护患者和医务人员，提高医疗服务质量。
公司作为医疗现代化医院建设整体解决方案提供商的领军企业，在医院整体建设、医疗器械产销、医院后勤管理和医院投资管理四大业务板块上有深厚的积累和经验。近年来，公司通过PPP模式参与公立医院的建设管理，可以推动公司拓展医疗器械产销板块中高端医疗耗材的销售渠道，具有一定的协同效应。"
7,中美贸易战对公司出口影响大吗？,您好，感谢您对公司的关注！公司出口产品所用主要原料基本以进口材料为主，美国市场的需求量还在继续增长，公司作为其战略性供应商的地位目前是其他供应商无法替代的；公司的业务模式为进料加工，采用OEM的方式，产品到最终用户使用的是客户的品牌，并不是本公司的自有品牌。故影响很小，谢谢！
8,今年有员工持股计划吗？,您好，感谢您对公司的关注！对公司发展有利的事情公司都会去考虑的，谢谢！
9,请问董事长，公司的出口耗材主要对象是欧美，为什么没有向一带一路沿线国家，及周边一些东南亚国家？或许能大幅提高毛利率呢？公司调研过吗？,您好！谢谢您对公司的关注！公司目前已经开展了向向一带一路沿线国家的相关业务，请查阅公司的年报。公司将继续推进在海外的业务，为公司的可持续稳健发展提供更多的盈利点。谢谢！
10,请问董事长，南昌产业园；合肥产业园大概还需多久能投产？根据目前市场行情，年销售额大概能有多少？谢谢,您好，感谢您对公司的关注！南昌产业园一期已建成，即将投入使用；合肥产业园一期在建中，今年将投入使用。谢谢！
11,移动医疗服务的效果如何？用户多吗？,您好，感谢您对公司的关注！目前公司暂未开展移动医疗服务，但会根据公司战略发展进度适时开展移动医疗服务。谢谢！ 
12,请问你们目前的订单情况怎么样？,您好！谢谢您对公司的关注！公司目前已开工的订单超过50亿元，公司仍将不断的拓展新的订单，为解决老百姓看病难的问题作出贡献。谢谢！
13,公司的合作商主要有哪些？今年有新开拓的吗？,您好，感谢您对公司的关注！公司主要服务的客户系各综合医院及专科医院，如有新合作项目公司将按相关法律法规及时履行信息披露义务。谢谢!
14,出口产品的毛利率远低于国内，为何还要出口那么多呢？,您好！谢谢您对公司的关注！公司生产的耗材产品，其为公司带来的整体效益不仅仅局限于公司的出口收入。大额出口业务为公司带来了稳定的现金流，并通过出口融资进一步为公司提供充足的资金，用于公司的扩大再生产、进行产品研发等方面，为公司的可持续稳健发展提供帮助。谢谢！
15,请问董事长，公司曾经出过公告说与上海上海联影医疗科技有限公司进行战略合作事宜，但很久没有再公告说明进展，是否已不再合作了？请董事长说明有关情况,您好，感谢您对公司的关注！ 公司与上海联影还在合作中，谢谢！
16,公司江西 合肥的几个大产业园主要是用于什么的？如果投产了，预计年营收会有多大增长？谢谢,您好，感谢您对公司的关注！南昌产业园，公司拟利用自身技术优势，建设医疗健康产品、新型高端救护车、医院系统集成建设、医疗器材、医学生物工程系列产品，仪器、设备，保健用品及关联产业项目、手术部产品产业化项目等；合肥产业园，本项目依托公司现代化医院整体建设解决方案的业务模式，建设移动医疗系统产品产业化项目、急救救护系列配套产品产业化项目、智能化系列产品及医疗信息化软件开发和其关联产业、高端医疗耗材产业化项目等，谢谢！
17,线下医疗资源的整合做得咋样啦？,您好，感谢您对公司的关注！公司通过PPP模式进行医院投资，目前正在整合线下医疗资源。谢谢！
18,公司如何建立自己推广销售网络？每年公司的公关和广告费用大概是多少？,您好！谢谢您对公司的关注！公司已建立遍布全国的营销网络，并持续不断的为公司带来了新的订单。公司通过新老结合、以老带新的方式不断加强现有销售网络对公司的持续贡献。各年公司实际发生的公关和广告费用请参见公司已公布的2017年年报。谢谢！
19,移动医疗服务这一块很多公司在做，贵公司的有哪些优势，又有哪些不足呢？,您好，感谢您对公司的关注！目前公司暂未开展移动医疗服务，但会根据公司战略发展进度适时开展移动医疗服务。谢谢！
20,国家近期对医药 医疗  健康产业的政策很多，公司有针对这些新政做布局吗？比如说在海南的布局，医疗耗材进口替代的布局？,您好，感谢您对公司的关注！公司首先聚焦医院建设投资主业，项目选择公司按产业倾斜会根据地区的发展情况以及政策的导向决定，公司高度关注海南的政策优势，不排除未来适当时候会选择在该地区投资。谢谢！
21,请简要介绍下公司的商业模式和盈利模式，公司现金流情况如何？,您好！谢谢对公司的关注！尚荣肩负“关爱生命，造福人类”的企业使命，秉承“以德为尚，以质为荣”企业经营理念，公司将以医建为主导，构建医院整体建设、医疗物流、耗材产销、医疗器械及设备产销、医院投资与运营等产业平台，在此基础上借助互联网技术，整合线下医疗资源，适时开展移动医疗服务，力争将公司打造成国内大型的综合医疗服务提供商。目前公司现金流良好，具体数据请参见公司公布的2017年年报，谢谢！
22,请问董事长，公司参股的投资公司运营了吗？业务情况如何？,您好，感谢您对公司的关注！公司参股的投资公司正常运营中，业务情况请详见公司2017年度报告？
23,请问董事长，公司发行9亿可转债，如果股价长期走低，大家都转股了，公司股份数量将大增，将会严重稀释原有投资者利益，公司如何保护原有股东利益？,您好！感谢您对公司的关注！关于该事项详见公司已于2018年4月4日在公司指定信息披露报刊《中国证券报》、《上海证券报》、《证券时报》和《证券日报》及指定信息披露网站巨潮资讯网（www.cninfo.com.cn）上披露的《深圳市尚荣医疗股份有限公司关于公开发行可转换公司债券摊薄即期回报及填补措施的公告》，谢谢！
24,公司2013年提出，未来3至5年控股30家医院，时限已到，不知目前控股或拟控股多少家医院，这个战略今年年报没有再提了，放弃了吗？还是战略有所调整？公司总是很缺钱，是因为公司像个建筑公司一样不停的在搞建筑，这种模式的公司毛利率太低，希望公司改进一下发展思维。不能老是向市场要钱。,您好！感谢您对公司的关注！公司的战略会根据政策的大环境的变化及公司实际发展情况进行微调，但是不会影响公司总的战略发展规划，谢谢！
25,2017年，公司主营产品对公司的收入与利润分别有什么影响？,您好！谢谢对公司的关注。公司的主要业务包括医院设计与建造、医疗设备及医疗专业工程、医用耗材、医院运营等。各项业务对公司收入和利润的影响请参见公司已公布的2017年报。
26,近期公司有什么技术突破吗？能简要介绍吗？,您好，感谢您对公司的关注。公司一直持续不断加大对研发的投入，如有重大的技术突破，公司将及时披露。
