,Question,Answer
0,新能源汽车成为大势所趋，公司在新能源汽车产品方面有何预研计划或成果吗？,您好，新能源汽车通常所用的管件类别属于水管之列，无需有特别安排，目前有诸多如蔚来汽车、吉利汽车、长安汽车、众泰汽车、上海绿驰、威马汽车、恒忔汽车等等已经建立了合作关系。谢谢。
1,公司募投项目能否在今年完工？今年内能否产生部分收益？,您好，能够在今年完工，并能够产生部分收益。谢谢。
2,公司是技术密集型公司，所处行业又是日新月异，保持产品技术优势非常关键。请问，2018年公司的研发预算是多少？在研发工作上将如何做计划？,你好，2018年公司研发预算2500万元，根据企业发展需要，结合国家产业政策，已拟定了攻关研发项目，并按计划推行中。谢谢。
3,中美贸易战对公司有哪些影响？,您好，贸易战对我们胶管行业有一定的影响，但根据我们生产制作的活动中，有很大的调整空间，东方不亮西方亮，影响有限。谢谢。
4,能否介绍一下，川环科技上市以来的独董制度取得哪些成果？,"您好，自川环科技上市以来，严格按照国家的法律、法规以及监管要求，不断完善法人治理结构，建立健全了各项规章制度，有效保证了公司的重大决策科学合理。谢谢！
"
5,请问公司是否划归川陕革命老区综合改革试验区？,您好，是。谢谢。
6,请问公司有投资独角兽或独特优势的公司吗？,您好，这是我公司追求的投资对象。谢谢。
7,公司是奔驰汽车的供应商吗？,您好，是，有所供配。谢谢。
8,随着市场行情的变化，公司今年会对产品结构进行怎样的调整呢？,您好，川环对此有所准备，打造的胶管超市工厂，其类别应有尽有，市场需要什么，我们就配合做什么。谢谢。
9,近日博鳌论坛宣布，将加大汽车市场的开放。请问这对公司存在哪些机遇与挑战呢？,您好，中国经济发展的欣欣向荣，川环不会错失这个良机，将抓住机遇获得一杯羹。谢谢。
10,公司“牵手”哈工大，围绕新材料等领域共同发力，研发技术目前进展如何？,您好，目标乐观，正在进行之中。谢谢。
11,请问目前公司募投项目的进度有达到多少了？,您好，公司所有募投项目将在本年度8月份底完成，届时接受验收检查。谢谢。
12,监管层最近对并购重组有松口迹象，请问公司最近是否有并购重组计划？,您好，正在市场调研中，按相关的法律法规稳重进行。谢谢。
13,目前国家环保治理力度很大，橡胶行业也是一个重点关注的行业，请问环保治理对贵司影响大不大？,您好，讲环保，重视环保是全员之责，川环加大环保投入治理，取得成效，已经通过环保部的检查认定，谢谢关心。
14,公司产品国外有公司生产销售吗?,您好，庞大的世界市场，自然有他人进入。谢谢
15,近期特斯拉来华建厂的事被新闻报道的沸沸扬扬，公司作为汽车供应链的一环，其产品是否有供货给特斯拉？,您好，深信希望是属于有心人的。谢谢。
16,请问公司是否有产品用于军工领域？,您好，因保密需要，请理解。谢谢。
17,橡胶价格今年会继续上涨，会否对公司有所影响？,您好，公司早有准备，通过非期货市场的手段进行调节，避开本年度价格上涨的损失降到最低程度。谢谢。
18,请问贵公司上市后有了充裕的资金有没有拓展产业链的规划？,您好，本次上市所获得的资金，是在合理有效的使用中进行，川环要追求做强做大，仍需加大资金平台的优势运用，比如对一些优秀的企业仍会采取并购的方式来扩大川环的总体效应。谢谢
19,上游原材料因为环保涨价对贵司影响如何？,您好，这个市场经济的现实，名种原辅材料，因多种因素的影响起起落落，我们将管理创新，技术创新以及节能降耗的总驱动，能够克服涨价因素，维持基本效益。谢谢。
20,新能源汽车对传统的汽配行业的产品如油箱，油管之类产品的需要就没有了。请问该行业的发展对公司的主营业务有什么具体影响？,您好，无论燃油车，和新能源汽车，均要使用胶管，而新能源电动车使用胶管的单车总量比燃油车的胶管有所增加，所以胶管行业的总体生产，不会受影响，反而会受益多一点。谢谢。
21,如果特斯拉来华建厂，公司是否考虑成为特斯拉供应商？,您好，环境环保的进步，我们有责任，果真需要川环合作，川环持欢迎的态度，与之合作。谢谢。
22,如果如愿进入军工和高铁，是不是意味再造一个川环？,您好，对于军品生产，有着严格的保密制度，不宜在这种场合讨论，请理解。至于高铁产品的生产，我们正在紧密锣鼓的进行之中，川环的总体规划，会向着再造一个川环推进。谢谢。
