,Question,Answer
0,"公司采取了具体怎样的应对措施,在同业中不断做大做强?",加强自主技术研发、外延式并购、加强技术团队建设，积极布局海内外市场，进而提升公司在行业中的地位。
1,做大、做好市值管理是每个公司成长的必然追求，公司是如何进行市值管理的？,市值管理是公司重要的管理内容之一，但是，市值管理是以公司业绩为基础的。我们首先要做好公司的经营管理，完成公司年度业绩。感谢对公司的关注！
2,请问：公司产品的技术含量如何？专利多吗？行业垄断地位如何？ 那些项目能给公司带来利润增长点？预计是否能保持3年的增长？,公司将技术研发作为构建核心竞争力的关键，始终坚持并高度重视对技术创新的投入。截止2016年12月31日公司共获得专利68项。具体详见2016年度报告全文，此处不再赘述。谢谢！
3,希望公司在本专业领域专注于做强做大做实，提升公司的行业地位，给投资者以回报！,感谢您对公司的支持！
4,在给用户提供增值服务方面，公司做了哪些工作以增强对原有客户的锁定、新客户的拓展？,一方面是通过对已取得项目通过保质保量按时完成，提升服务水平，增加客户的满意度；一方面通过树立巴安品牌，加强技术研发，加大国内外市场开拓力度拓展新客户。
5,公司主要做什么业务？,主营业务涵盖市政水处理、工业水处理、固 体废弃物处理、天然气调压站与分布式能源、以及施工建设等五大板块。谢谢！
6,公司的水资源主要来源于哪？,请问您的具体问题是？
7,在企业文化方面，公司有什么特色吗？,公司定期举办读书分享、培训和体育活动。好读书，读好书，打造学习型企业，创造积极向上的创新型氛围；将“体育文化”融入到企业文化和员工活动中，组织如淀山湖帆船活动、赛艇活动等，展示团队坚毅、蓬勃的精神面貌，潜移默化中塑造“敬畏客户、拥抱变化、用于负责、团队精神、品质生活”的公司核心价值观。
8,公司对比同行业其他公司有何核心竞争优势？,1、较强的自主研发和技术创新能力；2、强大的环保水处理系统设计资料库；3、系统集成优势；4、品牌和经验优势；5、管理团队和人才储备优势。谢谢！
9,公司在上海有项目吗？具体能介绍一下吗？,您好，目前公司在上海有青浦城市污泥干化焚烧协同发电项目。本项目使用巴安水务自主研发的薄层干化技术，利用发电厂的蒸汽将80%含水率的湿污泥干化到含水率为30%以下的干污泥，然后运往发电厂进行燃烧发电，形成了一条完整的污泥资源综合利用处理系统，充分达到了循环经济的目的，为上海乃至全国城市污泥有效利用开辟了新出路。一期工程已于2014年10月建成，目前已进入商业运营。
10,公司拿定单的速度，今年相比去年，明显减慢了.是什么原因呢？,对比去年的拿单情况，今年的拿大单速度确实有所放缓。但是根据目前的在手订单，目前公司的生产经营良好。公司管理层会积极开展市场销售工作，为公司的今后发展提供后备动力。
11,能谈一下公司对未来的展望么,公司将继续秉承以市政板块为基础，以海水淡化和工业领域为两翼，以智慧海绵城市建设、能源为延伸，以天然气为补充的一体化发展战略方针，并通过加快技术储备、积极拓展市场、加强组织建设、加大投资并购和提升管理水平等方式苦练内功，努力构建一流的国际化综合性环保服务商。
12,"请问董事长,关于公司最新项目进展如何？达到预期了吗？",您好，公司目前在手订单已通过各种方式保证顺利开工、顺利建设及运营。感谢关注！
13,接下来几年如果业绩保持增长，公司是倾向于分红派现还是高送转？,公司的利润分配会尊重广大股东的合理投资回报，以可持续发展和维护股东权益为宗旨，保持利润分配政策的连续性和稳定性，并在符合法律、法规的相关规定前提下，采取现金、股票、现金和股票相结合或者法律许可的其他方式分配股利，来回报广大股东。谢谢！  
14,公司年年现金流为负数，这种情况还会持续下去几年？,公司经营活动产生的现金净流量净额为负数，主要系报告期内施工项目投资增加所致。公司当前正通过一定的项目、财务管控措施，稳步提升公司的经营状况。
15,请问2017年全年预计销售目标是多少？实现净利润的目标是多少？,您好，2017年公司管理层会加大技术研发、积极拓展市场份额、提升管理效率来提升公司业绩。
16,请问公司会进入新的细分领域吗？这一领域与公司现有业务的相关性？,巴安水务已通过并购形式，收购奥地利KWI、控股德国ItN，进而获取其在细分领域的关键技术，完善公司水处理相关的产业链。谢谢！
17,请问公司以后每年会用什么形式回馈股东？,"公司的利润分配会尊重广大股东的合理投资回报，以可持续发展和维护股东权益为宗旨，保持利润分配政策的连续性和稳定性，并在符合法律、法规的相关规定前提下，采取现金、股票、现金和股票相结合或者法律许可的其他方式分配股利，来回报广大股东。谢谢！
"
18,公司对未来几年行业发展趋势如何看待？,当前，我国节能环保产业将逐步从传统的水、大气相关产品和服务占绝对比重的结构，逐步发展为水、大气、土壤、固体废物等相关产品和服务全面发展的产业结构；环保服务业将从以往单一要素、单一环节的服务逐步发展为环保产业链上下游及横向整合，提供一站式服务的综合环保服务模式。谢谢！
19,请问公司目前的研发机构有哪些？公司未来产品的研发与创新将如何进行？,目前公司的研发机构主要包括化水室、电控部、给排水室、海水淡化研究院等。谢谢！
20,请问公司的分配预案达到承诺的分红比例吗？,您好，本次分配预案符合《公司章程》等要求。感谢关注！
21,公司2017年第一季度的业绩如何？,"您好，2017年一季度公司实现营业收入199,190,175.83元，同比增长52.59%；实现利润总额26,634,967.47元，同比增长59.43%；实现归属于上市公司的净利润23,577,687.19元，同比增长67.22%。具体详见公司2017年第一季度报告全文。谢谢！"
22,新三板的扩容，带来了新的投资机会，你们公司在这方面有什么打算吗？,公司暂无具体打算，但不排除根据新三板的最新发展情况相应作出投资安排。谢谢！
23,427股东大会已通过，公司是怎样来进行第一期员工持股计划的，以后会不会每个月来公布下购买情况不？,公司会严格按照《第一期员工持股计划（草案）》及相关规定，执行信息披露工作。
24,公司在税收方面有没有相关的优惠政策？具体税率是多少？,公司高新技术产品产值与技术性收入的总和如果达到公司当年总收入的60%以上，公司可以想享受所得税优惠政策。
25,请问独立董事，您的履职情况如何，是否能真正保护了中小股东利益？,2016年度，本人以认真负责的态度进行调查研究和审议各项议案，并对董事会相关事项发表独立意见，对董事会的科学决策和公司规范运作、良性发展起到积极的作用，切实维护了公司和股东特别是中小股东的合法权益。
26,公司有没有股权激励计划？,为了使大家撸起袖子加油干，使公司中高层与骨干员工能以股东的身份参与企业决策﹑分享利润﹑承担风险，从而勤勉尽责地为公司的长期发展服务，2016年公司推出了股权激励计划。2016年7月20日向4名激励对象授予限制性股票62.2万股，授予价格6.96元/股；向36名激励对象授予首期期权443.30万份，行权价格14.08元/股。
