,Question,Answer
0,无缝钢管2018年价格是否会大幅上涨？,尊敬的投资者，您好，感谢您对公司关注！钢管价格取决于市场因素。谢谢。
1,贵公司在阿曼开设的工厂目前运营还正常吗？,尊敬的投资者，您好，感谢您对公司关注！请参见相关问题回答。谢谢。
2,公司股价长期低迷，看得出公司也不愿如此。我想问的是，公司回购股份达到公告数量之后，是否考虑进一步增加回购额度？,尊敬的投资者，您好，感谢您对公司关注！公司目前尚处于回购期。谢谢。
3,看到公司刚刚公布的环保情况的说明，公司目前的废气排放量中的多个污染物指标用满了政府核定的指标，尽管未超标，但也无余量。我们知道，随着时间推移，环保指标会越收越紧，今年能达标，下一年可能就超标。公司如何面对环保风险？公司是否测算过，国家开征的环保税对公司业绩的影响有多大？,尊敬的投资者，您好，感谢您对公司关注！公司一直重视环保，到目前为止，所有炉子都进行了燃气改造。环保设施的运行符合环保部门的要求。谢谢。
4,电站锅炉管市场预期如何，能给公司业绩带来一定支撑吗？,尊敬的投资者，您好，感谢您对公司关注！公司锅炉管在行业处于领先地位，市场业绩比较稳定。谢谢。
5,请问什么时候将3家医院注入上市公司？,尊敬的投资者，您好，感谢您对公司关注！公司发行股份购买资产的3家医院，已经于2017年11月注入上市公司，详见有关公告。谢谢。
6,请问阿曼工厂何时生产?,尊敬的投资者，您好，感谢您对公司关注！阿曼工厂目前处于试生产阶段。谢谢。
7,油气管低迷是否导致公司业绩下滑的主要因素？,尊敬的投资者，您好，感谢您对公司的关注！油气管市场好转对公司业绩有较大支撑，公司2017年经营业绩较2016年有较大幅度增长。谢谢。
8,油气改革整体方案对公司业绩有何影响？,尊敬的投资者，您好，感谢您对公司的关注！公司在行业处于领先地位，油气领域的市场化改革对公司业务将产生有利影响。谢谢。
9,贵公司是否会在二级市场进行市值管理？,尊敬的投资者，您好，感谢您对公司的关注！公司将遵守相关规定，实现并提升公司价值。谢谢。
10,"目前公司所属行业处于什么阶段,是否属于低潮？",尊敬的投资者，您好，感谢您对公司的关注！公司能源管材板块处于回暖期，详见公司2017年年报。谢谢。
11,请问公司的回购操作已经在进行中了吗？如果没有，请问何时能正式开始回购？,尊敬的投资者，您好，感谢您对公司的关注！公司自2018年3月5日实施首次回购，目前尚处于回购期，详见公司在指定媒体的公告。谢谢。
12,请问贵公司管道产品是否涉及可燃冰？,尊敬的投资者，您好，感谢您对公司的关注！目前暂不涉及。谢谢。
13,你好公司产品在核电领域都有那些产品？,尊敬的投资者，您好，感谢您对公司的关注！公司产品在核电领域主要是碳管产品，更高钢级产品是未来拓展的目标。谢谢。
14,请问董事长，公司未来钢管业务占比是否会大幅降低？从微观层面来说，中美贸易战对公司有利还是有害？影响程度有多大？,尊敬的投资者，您好，感谢您对公司的关注！公司目前是双主业发展模式，钢管业务不会减少；公司在2008年美国双反后，已经成功在市场和产品结构上进行了转型，本次中美贸易战对公司不产生影响。谢谢。
15,贵公司阿曼一期项目投产预计给公司带来年收益多少？,尊敬的投资者，您好，感谢您对公司的关注！阿曼项目在正常推进中，收益情况取决于届时市场及产能的发挥。谢谢。
16,请问实际控制人近期是否有增持的意向？,尊敬的投资者，您好，感谢您对公司的关注！实际控制人暂无增持公司股份的意向。谢谢。
17,公司高管有增持股份的计划吗?,尊敬的投资者，您好，感谢您对公司的关注！暂无收到高管增持股份的计划。谢谢。
18,公司是跨行业发展，有没有设立医疗健康产业基金?,尊敬的投资者，您好，感谢您对公司的关注！公司目前为双主业发展，为了获取优质医疗资源，医疗健康产业基金正在积极筹划中，谢谢！
19,原材料价格波动对公司业务影响大不大？,"尊敬的投资者，您好，感谢您对公司关注！公司经销模式为以销定产，订单确定时会对原材料价格进行锁定，一般不会对生产经营产生大的影响，但是原材料价格的异常波动，仍会对公司业务产生一定影响。谢谢。
"
20,贵公司有没有考虑收购一些资产质量更好的医院？,"尊敬的投资者，您好，感谢您对公司关注！医疗服务是公司未来的主要投资方向，公司会在适当的时机积极寻求符合公司发展战略需求的、市场影响力大、专业技术强的优质医疗资源。谢谢！
"
21,贵公司除了进军医疗服务产业实现双主业轮动外，还会拓展其它领域吗？,尊敬的投资者，您好，感谢您对公司的关注！公司目前正在打造能源管材和医疗服务并举的双主业上市公司。暂不会拓展其他领域。谢谢。
