,Question,Answer
0,网络销售这块，公司目前业绩情况如何？,"您好，感谢您的提问。
您的问题请见问题17的相关回复。"
1,公司上市将近半年，请问上市给公司带来了什么样的变化？,"您好，感谢您的提问。
公司生产经营保持稳定，上市以来无重大变化。"
2,除了自产以外，公司有没有外购奶源？占到整体产量多少？,"您好，感谢您的关注。
为满足生产需要，在保证奶源质量可控的基础上，公司选择与部分养殖经验丰富、养殖设施先进、知名度较高的大型专业养殖企业合作，为公司提供原奶。目前，外部采购（不包括自有牧场签约奶牛）占比30%左右。
谢谢。"
3,公司是否考虑拓展西北地区以外的市场？,您好，感谢您的提问！公司子公司青海湖乳液 基于青海省独特的地理位置、浓郁的地方特色以及青海湖旅游景区的宣传效应及在青海市场良好的口碑的基础上，自2015年开始尝试省外市场开拓，并取得了较好的效果。 公司针对全国市场开拓制定了详细的市场开拓战略，并将角逐全国市场定为公司中远期目标：产品上，公司选择具有地方特色的单品，选择性进入部分二三线城市；渠道商，主要选择依托渠道商的经销模式，通过初期优惠的渠道扶持政策，选取适合公司的经销商，以省为单元派驻区域经理，进行客户助销、区域市场开拓指导等。
4,公司有没有酸奶产品？冷藏冷链是否完善？,感谢您关注庄园牧场，公司产品包括巴氏杀菌乳、灭菌乳、调制乳、发酵乳、含乳饮料等各类液态乳制品；发酵乳俗称“酸奶”从挤奶——运输——加工——销售，全过程冷链，保证了产品的新鲜和安全。谢谢！
5,您好，请问生鲜乳的来源中，自有奶牛、签约奶户以及外部采购，各有什么差异和优缺点？预计到2020年，3者的比例分别会是多少？以及为什么制定这样的目标比例？,"您好，感谢您的提问！
自有奶牛为公司生产性生物资产、签约奶牛为牧场周边地区养殖奶户将其奶牛通过入园协议而集中于公司养殖牧场统一管理、养殖，遵循公司严格的防疫和养殖流程，质量可控，外部采购主要为公司选择性的奶源供应商，一般为养殖规模较大、养殖经验丰富、养殖设施较为先进、知名度较高的养殖企业。未来，随着募投项目的逐步实施和投产，公司将结合实际需要和奶源行情适当调节三者比例，均衡成本。"
6,贵公司产品的毛利率处于行业中游，请问对于未来的产品结构有什么计划吗？是否有推出高端产品的计划？贵公司认为消费者对乳制品产品的,您好，感谢您的提问！通过对区域内乳制品消费者和消费行为的研究，以消费者为导向来优化产品结构。。
7,您好，贵公司提到将继续加大对网络销售渠道的投入以提高市场占有率，可是却从来没有注意到贵公司有打过广告，请问贵公司的网络销售主要是以什么形式，投入到哪里了？在京东做推广？还是别的植入什么的？,您好，感谢您的提问！公司自2014年开始，逐步与包括天猫商城及京东商城等在内的第三方电商平台合作，开设线上旗舰店进行网络销售。报告期内，公司“庄园牧场”和“圣湖”两大品牌在天猫商城及京东商城等平台经营商铺，主要销售浓缩酸奶、自然浓酸奶、庄园浓缩牛奶、圣湖牛奶、圣湖青海酸奶、圣湖青稞奶茶等产品。公司在京东商城开设有庄园牧场官方旗舰店，提供浓缩酸奶、自然浓酸奶、浓缩牛奶和特色酸奶。子公司青海湖乳业在京东商城开设有圣湖京东自营旗舰店，提供圣湖牛奶、圣湖青海酸奶、圣湖奶茶等。2014年、2015年、2016年、2017年1-6月电商渠道收入分别为2.27万元、30.61万元、237.04万元和127.41万元，占营业收入的比例分别为0.00%、0.05%、0.36%和0.41%。我公司网络销售目前占比较低，未来不排除和京东、天猫等电商平台的广告合作。
8,作为区域性品牌的城市型乳品企业，公司如何应对蒙牛乳业、伊利股份等全国性大品牌在公司优势区域扩张带来的压力？,感谢您的提问，伴随着城镇化的持续推进，城乡居民收入差距日趋缩小，三四线城市（包括发达地区县级市、欠发达地区地级市和县级市）市场的乳品消费能力大幅上升，乳品市场蕴含着新的消费增长机会，针对农村市场对乳制品的消费需求大幅提升，公司将加大销售渠道下沉力度，积极拓展三线城市和农村市场，大力推动渠道纵深发展，以巩固和提高市场份额。移动互联网在营销及经营领域风头正健，着眼未来，大数据、物联网等信息化新技术将更加影响到消费者的行为模式、消费需求变化。乳品行业主流购买者人群，从年龄结构上来看逐步向80后、90后转移，80/90后是受互联网影响成长起来的一代，对互联网、移动互联网的应用非常频繁且娴熟。公司将继续加大对网络销售渠道的投入，提高市场占有率。谢谢！
9,公司产品的销售半径大概是多远？,您好，感谢您的提问！公司注册地位于甘肃兰州，在兰州、西宁拥有2个生产基地和8个养殖牧场，销售收入集中于甘肃、青海地区。
10,公司去年业绩出现下降的主要原因是什么？公司将采取什么措施改善业绩？,"感谢您关注庄园牧场，2017年，面临竞争日益激烈的市场环境，公司采取积极的应对策略，着力巩固区域市场地位，保持竞争优势，加强营销推广，认真贯彻落实年度经营计划。截至2017年12月31日公司总资产 18. 04亿元，资产负债率37.48 %。2017年实现销售收入6.28亿元，较去年同期下降5.62 %。实现利润总额 0.71亿元，较去年同期下降 20.29%；实现净利润 0.68亿元，较去年同期下降9.96%，主要因素如下：
一是随着产品区域市场竞争的加剧，公司产品销售数量和收入受到一定的影响；
二是为顺应行业趋势，公司进行产品结构调整，毛利率较低的灭菌乳销量较上年增加；
三是综合成本的上升使得公司产品平均成本较上年有所增加；
四是电商渠道建设和新产品推广使得销售费用增加，2017年销售费用合计7,155.62万元，较上年同期增长34.76%。
报告期内，公司重点做了以下工作：
1、技术研发中心按照差异化为特点的研发思路，到年底共计完成了16个产品的成功上市。主要低温产品有原生优酪系列、大颗粒酸奶青稞紫米、燕麦仁酸奶、以及原生酸奶、常温奶有原生奶、麦香奶、牛奶豆浆等产品。
2、牧场事业部在牛群稳定增涨的同时，继续从澳大利亚引进纯种育成奶牛，进一步提升自有牧场奶源的生产量，保证生产供给，满足市场对优质奶源的需求。牧场加大力度改善基础设施，通过对牛只科学饲养、有效防疫和疾病治疗、合理日粮营养配方等全面管理和提升，自营牧场成牛头日产、头年产均比去年同期有所提高。
3、2017年，引进积分制管理模式，对员工的能力和综合表现，用奖分和扣分进行量化考核，并用软件记录和永久性使用，目的是全方位调动员工的积极性，引导公司的企业文化建设，从而培养员工好的行为习惯。
5、成功完成公开发行A股股票并在深交所上市的工作，新增股份4,684万股，募集资金净额3. 10亿元。本次发行完成后，公司的净资产及总资产规模均有一定幅度的提高，公司资产负债率有所下降，资产负债结构更趋稳健，财务状况将得到进一步的优化，有利于增强公司资产结构的稳定性和抗风险能力。"
