,Question,Answer
0,公司在2017年有哪些经营目标？,"您好，2017 年，公司将继续以创新驱动发展的理念，以810等代表产品为基础，推出更多差异化产品，扩大竞争优势；坚持精细化管理，全面提升生产自动化能力及管理效率；通过拓展销售渠道及销售力度，提升市场份额。积极寻求合作伙伴，拓展协同功能，提升公司整体竞争力。谢谢。
"
1,公司目前有哪些在建项目？建设进度如何？还需要多少资金？,您好，公司目前暂时没有大型的在建项目，募投项目已经结项，谢谢！
2,能介绍一下公司现在各大区域的销售和占有率等基本情况吗?,您好，公司分为国内销售和国外销售，2016年国外销售总额占营业收入近32%，谢谢！
3,贵公司是否会考虑实施股票期权等规范股权激励方式，惠及更多员工？,"您好，公司已于2016年实施了股权激励计划，未来公司将进一步通过多种方式激励员工，回报股东。谢谢！
"
4,虽然说公司的股价由二级市场决定，但股价是公司经营的一个表象，请问管理层对回报投资者持有怎样的态度？,您好，公司非常重视经营与创新能力环节，这能为企业带来长期、稳定的业绩增长。通过企业的经营与相应市值管理，形成良性互动循环，为广大投资者提供最佳的投资回报，谢谢。
5,如果公司进行定增，那大股东及高管们会考虑参与、进行增持吗？,您好，合规的前提下，我们一定会考虑参与的。
6,公司如何进行投资者关系管理，如何规划进行投资者回报的？,您好，公司会努力做好投资者关系管理工作，除深交所指定信息披露平台外，我们还通过官网、官方微博、微信公众号推送企业相关新闻及技术文章。在积极树立品牌形象同时，用更好的业绩回报广大投资者。谢谢。
7,截至4月30日，“国家队”即中金、证金、汇金合计持有贵司多大股份呢？,"你好，截止2017年3月31日，中央汇金持股数量为：248,400股，详见2017年第一季度报告，谢谢！"
8,公司的前三大客户是哪些公司？,公司客户比较分散，主要客户分布在石油、电力、计量等行业。谢谢！
9,2017年以来，有多少家投资机构到贵司调研呢？,您好，2016年公司共接待机构30余家。2017年以来陆续有机构投资者和证券公司要求到公司进行调研，但由于临期定期报告窗口期，因此公司会在近期统一安排时间进行接待。谢谢。
10,请问公司以后每年会用什么形式回馈股东？,您好，公司将努力提高公司经营业绩，并以现金分红的方式回馈股东，谢谢！
11,公司2016年度的业务经营情况符合公司预期吗？,您好，2016年公司销售业绩略低于预期，但研发投入力度大幅增加，具有显著技术特点的新产品上市，为公司带来了新的增长点，谢谢！
12,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？,您好，公司业绩情况是在稳步增长的。公司一直在积极的进行产品创新，如ConST810手持全自动压力校验仪在国际上竞争优势是非常显著的，客户认可度也较高。有关销售数据您可参考2016年度报告、董事会工作计划及相关报告，谢谢。
13,目前公司享有的国家优惠政策有哪些？,目前公司享有主要优惠政策包括：1、高新技术企业所得税优惠政策 2、研发费用加计扣除政策 3、软件产品增值税即征即退政策。详细情况请参阅2016年度财务报告。谢谢！
14,公司领导怎么看现在公司的股价，对我们小散有什么忠告？谢谢,您好，短期的股价并不能真实的反映一个公司的内在价值，公司的市值管理应符合中长期发展规划，以提升企业的竞争力与效益为目标的，是一项长期综合性的工作，股价的支撑最后靠的还是业绩。谢谢。
