,Question,Answer
0,对目前二级市场股价如何看待？能否反映贵公司的现有价值？,"您好！
公司具有良好的发展前景，公司将持续努力拓展业务，提升业绩，创造更好的长期价值。
谢谢！"
1,请问：公司如何看到Type-C 行业未来趋势，以及公司在此行业趋势下的有什么竞争力？,"您好！
新一代连接器USB接口Type C正在成为行业主流产品，公司产品在高速传输等技术方面具备较强的市场竞争优势，目前已经在手机与电脑领域进入全球各大主流客户，跻身于全球供应商前列。
谢谢！"
2,国内电动汽车销售规模较大的主要是比亚迪、吉利等厂商，不知公司的整车线束、车载充电机等产品是否进入这些厂商的配套？,"您好！
公司有为国内车厂提供相关产品配套服务。
谢谢！"
3,请问，铜在公司消费电子和汽车电子的成本中占比多少？公司是否有相关措施应对铜价的波动？比如期货对冲、厂家补贴等？,"您好！
铜在公司不同的细分产品中所占比例略有不同，整体所占比例约为50%；公司会采取相应的措施，来应对铜价的波动对于公司的影响。谢谢！"
4,汽车我们常说的四大喜，德系、日系、国产、美系，对于公司汽车业务的重要性排名是怎么样的？,"您好！
公司目前以德系和国产为主。
谢谢！"
5,贵司各智能产品及软件系统是否依赖外部企业提供?,"您好！
公司以自主开发为主。
谢谢！"
6,公司是否掌握了充电机的核心技术？,"您好！
公司车载充电机产品为控股子公司Meta在新能源汽车领域的核心产品，采用了全球领先的充电机技术和专有设计方案，相关技术均为其自主研究设计和开发。
谢谢！"
7,贵公司生产的充电机产品技术是否属于贵司自行设计研发？,"您好！
公司车载充电机产品为控股子公司Meta在新能源汽车领域的核心产品，采用了全球领先的充电机技术和专有设计方案，相关技术均为其自主研究设计和开发。
谢谢！"
8,我注意到贵公司在年报中，表示手机镜头业务开展得不错，能否介绍一下,"您好！
手机镜头的相关业务目前在拓展中。
谢谢！"
9,请问，合肥得润、青岛得润17年的净利润均低于16年，是什么原因？,"您好！
      合肥得润及青岛得润17年的净利润均低于16年，主要是受铜价大幅上涨影响所致。谢谢！"
10,董秘您好！2017年公司净利润1.8亿多；而股权激励计划2018年才2亿净利润？合理吗？,"您好。
公司2017年度实现归属于上市公司股东的净利润为1.74亿元，本次限制性股票计划的考核指标主要基于重点激励、有效激励的原则来确定，鉴于公司以营的实际状况以及新项目投入对总体业绩的影响，并综合考虑激励成本摊销因素，指标设置合理，有利于确保公司未来发展战略和经营目标的实现。
谢谢。"
11,请问，汽车进口关税下降，对科世得润和柳州双飞有什么影响？,"您好！
目前无影响。
谢谢！"
12,我注意到，公司有说，新能源电源管理系统处于全球领先地位，有哪些核心技术，如何领先请简单介绍一下,"您好！
车载充电机产品为Meta在新能源汽车领域的核心产品，产品采用了Meta全球领先的充电机技术，采用液体冷却并大量采用了IMS PCB（特殊预浸材料PCB）、Bottom Entry（底部插针过孔技术）等专有设计方案，可以极大的提高大功率器件的散热效果及效率，产品设计紧凑，充电效率高，与市场竞争对手相比较具有占用空间小、重量轻、制造工艺先进的特点和优势。
谢谢！"
13,请问保时捷新能源车上的800伏独有充电器是德润提供的吗？,"您好！
公司已被指定为保时捷全新一代电动汽车平台Mission E的22KW功率车载充电机的唯一供应商，本次定点供应的产品是公司专门针对保时捷汽车开发的拥有最新一代大功率直流快充技术的车载充电机，产品功率达到22KW，将装配于保时捷下一代全新的纯电动汽车平台 Mission E全系列汽车上，是保时捷下一代最重要电动汽车项目。
谢谢！"
14,请问，17年全年业绩预测是1.86亿，年报是1.75亿，出现这样的情况的主要原因是什么？,"您好！
公司17年全年业绩预测是1.86亿，年报是1.75亿，出现差异的主要原因是审计机构根据相关的准则并出于审慎的角度考虑将部分科目进行调整所影响。谢谢！"
15,董秘您好，贵公司生产的充电机产品技术是否属于贵司自行设计研发？是否依赖外资技术服务？,"您好！
公司车载充电机产品为控股子公司Meta在新能源汽车领域的核心产品，采用了全球领先的充电机技术和专有设计方案，相关技术均为其自行研究设计和开发。
谢谢！ "
16,贵公司新投产的充电机产线，生产量是按订单量组织生产吗？,"您好！
公司车载充电机产线根据客户计划组织生产和交付。
谢谢！ "
17,现在投产的都有哪几个生产基地？今年订单量是否充足？,"您好！
公司车载充电机目前投产的生产基地为意大利和中国重庆。公司已获得的订单非常充足。
谢谢！ "
18,董秘您好，贵公司新投产的充电机产线，生产量是按订单量组织生产吗？现在投产的都有哪几个生产基地？今年订单量是否充足？,"您好！
公司车载充电机产线根据客户计划组织生产，目前投产的基地为意大利和中国重庆。公司已获得的订单非常充足，公司仍将在新能源汽车全行业各个不同细分市场至上而下地深耕拓展，同步开拓欧洲和国内新能源汽车市场。 
谢谢！ "
19,公司是中兴的供应商之一，此次美国制裁中兴对公司业务有多大影响？,"您好！
目前尚无明显影响。公司将积极关注相关事态发展，降低可能对公司造成的不利影响。
谢谢！"
20,请问，深圳华麟18年一季度利润情况如何？,您好！深圳华麟2018年1季度略有盈利，业绩正在持续改善过程中。谢谢！
