,Question,Answer
0,公司应该回复怎么了的提问，,您好。他的问题太多，由于时间原因没有办法详细说明。只有会有电话沟通。谢谢。
1,你说大家是想发泄，可是你提供有用的价值了吗？我问，公司维护股价的措施在那里？你不回答？我说公司你们对重组的把握如何，你说7月26日前开股东大会。你光敷衍，反而说我们发泄？,您好。您今天的问题比较多，由于时间关系不能现场一一回复，您明天上午可以拨打公司对外的投资者电话，电话中再进行详细的解答和回复。感谢您的参与。谢谢。
2,刚才董秘和财务总监的回答为啥都是你？,您好。我们回复的登陆号是一个，回复的人员是发送后根据提问者的情况进行分配。谢谢。
3,呵呵，我的问题很多是提前问的，难道你们没有提前准备？到了现场发现不了，就让打电话？我又不是没有打过电话，根本打不通。你们可以发各公告把没有回答的问题都公告一下啊,您好。您今天的问题比较多，由于时间关系不能现场一一回复，您明天上午可以拨打公司对外的投资者电话，电话中再进行详细的解答和回复。感谢您的参与。谢谢。
4,请问，公司维护股价的措施在那里？是没有吗？,您好。您今天的问题比较多，由于时间关系不能现场一一回复，您明天上午可以拨打公司对外的投资者电话，电话中再进行详细的解答和回复。感谢您的参与。谢谢。
5,你看我好几个问题问的是董秘，结果你都回答了,您好。您今天的问题比较多，由于时间关系不能现场一一回复，您明天上午可以拨打公司对外的投资者电话，电话中再进行详细的解答和回复。感谢您的参与。谢谢。
6,看着你的这些敷衍的回答，看来明天还要跌停,您好。您今天的问题比较多，由于时间关系不能现场一一回复，您明天上午可以拨打公司对外的投资者电话，电话中再进行详细的解答和回复。感谢您的参与。谢谢。
7,0550-6678809，是这个电话吗,您好。是这个电话。谢谢。
8,去年玻璃期货是暴涨了至少50%，为什么你们还亏损,您好。您说的玻璃期货是建材玻璃，公司的主业是日用玻璃。谢谢。
9,在这里公布我的电话，我还担心你们打击报复那,您好。三点等说明会结束后我在电话机边等您电话。这样是否可以?谢谢。
10,“公司不存在信息虚假陈述和披露”，其实我到时希望证监会来调查确认你们违法，这样我的损失就有着落了,您好。您今天的问题比较多，由于时间关系不能现场一一回复，您明天上午可以拨打公司对外的投资者电话，电话中再进行详细的解答和回复。感谢您的参与。谢谢。
11,你说你们不希望看到这种局面，可事实是，你们没有任何维护股价的措施，也没有任何加快重组的措施,您好。您今天的问题比较多，由于时间关系不能现场一一回复，您明天上午可以拨打公司对外的投资者电话，电话中再进行详细的解答和回复。感谢您的参与。谢谢。
12,还发行公司债券？呵呵，你们符合条件吗？连续几年盈利才能发行,您好。您今天的问题比较多，由于时间关系不能现场一一回复，您明天上午可以拨打公司对外的投资者电话，电话中再进行详细的解答和回复。感谢您的参与。谢谢。
13,在2月份进行了盘点，当时已经知道了主营两年连续亏损，为什么当时审计没有提出来？是因为提出来就有很大可能ST，你们就无法砸股价？,您好。您今天的问题比较多，由于时间关系不能现场一一回复，您明天上午可以拨打公司对外的投资者电话，电话中再进行详细的解答和回复。感谢您的参与。谢谢。
14,“标的资产的补充审计是在公司复牌的时候就确定的”？这个当时公告了没有？,您好。公告中明确说明后续的审计和评估情况。谢谢。
15,一个月，那就是说，5月份你们也出不来重组的正式报告？所以股价还是要继续暴跌以便趣酷科技毁约,您好。您今天的问题比较多，由于时间关系不能现场一一回复，您明天上午可以拨打公司对外的投资者电话，电话中再进行详细的解答和回复。感谢您的参与。谢谢。
16,“去年转让的若森数字有近两倍的投资收益，这个是过桥资金的做法吗？”，然后随即若森数字20亿估值融资，这不是过桥资金吗？,您好。您今天的问题比较多，由于时间关系不能现场一一回复，您明天上午可以拨打公司对外的投资者电话，电话中再进行详细的解答和回复。感谢您的参与。谢谢。
17,年报审计，不应该是二月份开始了，然后当时就应该知道连续两年亏损，难道不应该在当时谨慎性提出要进行减值测试？结果等复牌一个月快要出年报了，说我们要谨慎？那么会计师的职业素养在那里？》,您好。您今天的问题比较多，由于时间关系不能现场一一回复，您明天上午可以拨打公司对外的投资者电话，电话中再进行详细的解答和回复。感谢您的参与。谢谢。
18,“公司这样做其实真的是为了更好的满足监管审核要求和一个严谨的态度”，但是在韭菜们看来，这就是为了拖延时间而进行的？为什么别的公司不需要，而你们公司需要？除了拖延时间，还有什么别的说法？,您好。说过了不同的标的情况不一样，娶媳妇有些要彩礼100万，有些要10万，难道要法律固定彩礼的统一标准吗？谢谢。
19,“明天上午可以拨打公司对外的投资者电话”，您太敷衍了，你以为我没有打过这个电话，根本没有人接,您好。您现在可以在这里告诉我您的的电话，我肯定会给您回复。谢谢。
20,请问当初定增新政之前，施总你还想几亿元14元认购新股，怎么现在股价到了9元，竟然都不愿增持？,您好。您今天的问题比较多，由于时间关系不能现场一一回复，您明天上午可以拨打公司对外的投资者电话，电话中再进行详细的解答和回复。感谢您的参与。谢谢。
21,公司参股的星艾网络年初分红3500万元，那么这是星艾网络2016年盈利的3500万元？星艾网络的主营是什么？该公司最近的估值是多少？,您好。您今天的问题比较多，由于时间关系不能现场一一回复，您明天上午可以拨打公司对外的投资者电话，电话中再进行详细的解答和回复。感谢您的参与。谢谢。
22,请详细介绍一下上海际创赢浩通过投资基金所投资的企业以及发展前途？国金天睿通过投资基金所投资的企业以及发展前途,您好。您今天的问题比较多，由于时间关系不能现场一一回复，您明天上午可以拨打公司对外的投资者电话，电话中再进行详细的解答和回复。感谢您的参与。谢谢。
23,请详细介绍一下趣乐多、鹿游科技，武汉唯道承诺完成情况以及发展前途,您好。您今天的问题比较多，由于时间关系不能现场一一回复，您明天上午可以拨打公司对外的投资者电话，电话中再进行详细的解答和回复。感谢您的参与。谢谢。
24,“因为标的资产在4月前有新的产品线上线，这个对于具体情况进行沟通的结果”是指神印王座吗？,您好。您今天的问题比较多，由于时间关系不能现场一一回复，您明天上午可以拨打公司对外的投资者电话，电话中再进行详细的解答和回复。感谢您的参与。谢谢。
25,失败总是有原因的！特别是您反思反思，综合能力不行就让贤大股东西,您好。感谢您的参与。谢谢。
26,现在每天跌停，基本失去了流动性，公司短期内怎么应对呢？是否也会象勤上光电一样先停牌,您好。公司会根据实际情况进行披露。谢谢。
27,你说我们问的问题涉及信披，那么你们不能通过公告来公布维护股价的措施以及重组的具体时间表？可是你们没有，你们就看着股价一直跌，15亿净资产的公司，跌的比净资产为负的还厉害,您好。您今天的问题比较多，由于时间关系不能现场一一回复，您明天上午可以拨打公司对外的投资者电话，电话中再进行详细的解答和回复。感谢您的参与。谢谢。
28,董秘还是顺利的重组吗？,您好。您今天的问题比较多，由于时间关系不能现场一一回复，您明天上午可以拨打公司对外的投资者电话，电话中再进行详细的解答和回复。感谢您的参与。谢谢。
29,“公司努力改善业绩其实是最好的一个方式”，维护股价的措施是这样，可是你们的业绩没有改善，那就别嘴上说,您好。您今天的问题比较多，由于时间关系不能现场一一回复，您明天上午可以拨打公司对外的投资者电话，电话中再进行详细的解答和回复。感谢您的参与。谢谢。
30,“系统会自动根据提问者选择的对象进行分配”那为啥都分配到你身上了，没有看到董秘和财务总监回答？,您好。您今天的问题比较多，由于时间关系不能现场一一回复，您明天上午可以拨打公司对外的投资者电话，电话中再进行详细的解答和回复。感谢您的参与。谢谢。
