,Question,Answer
0,增发股票5.43，能发出去吗？发不出去会不会又要降价了？,"公司的增发方案已经通过证监会的审核，今天已经拿到批文，按照有关的规定，不能在调整增发的价格。
谢谢你！"
1,这次增发只有5个月的时间了，增发有失败的可能吗？如果失败会自筹资金认购吗？,市场大的波动确实影响公司的增发工作，我们会努力沟通市场各级投资机构，力争尽快完场发行，按计划推进项目的进行。提升公司的竞争力！
2,请问独董苏先生，怎么看德豪润达这几年的发展，怎么看二级股价持续低迷的问题，对上市公司的发展有什么看法和意见？,本人从2016年4月担任公司的独立董事。公司最近两年经营情况不理想，所以公司的股份比较低迷，这也是可以理解的。股票市场是高风险投资市场，广大投资者应该控制风险、量力而行。谢谢！
3,套了300多万了，求王董给个解套的机会,公司和投资者共同努力，谢谢！
4,请问王总，吴长江法拍之后已经过去一月有余，为何还不出股权变动公告？是否接收方未办理变更手续？流程已经到了哪一步？,公司已经提醒过股权竞拍方的信息披露义务，截止目前，尚未收到对方的股权变动通知。谢谢！
5,王董，我还有几个提问你都没解答呢，大家都很忙，可以理解，但请你回答之前的几个问题，毕竟相论的机会不多，作为你们的投资者，我己经在你们股票里拿了快两年亏了一百多万了，就想如实地回答那几个问题，再次衷心的要求你，公司想发展做大做强，就不能在公司里打亲情牌，一来不好管理，二来对发展有阻碍，应该聘请一些有能力，有热情，有理想的人来管理公司，这样才能有前景！,外面的和尚好念经？我看也不一定哟。谢谢！
6,公司前几年增发的股票下月解禁，公司会减持吗？,"据向大股东了解，目前没有减持的计划。
谢谢！"
7,请问王董能不能来点干货啊，你就算增持一万股都是好的，市场真的太需要信心了。当然增持几百股的事不要做哈。,感谢您的建议。谢谢！
8,十大股东。社保基金还在吗,公司的股东情况请留意公司的定期报告。谢谢！
9,请问对于已经拿到批文的定增方案，还有可能再下调价格吗？如果下调又是按什么标准执行？,公司已经取得中国证监会的批文，发行价格不可能再下调了。谢谢！
10,公司董事会为什么还不换届，近几年公司会不会退市？,公司仍在积极推进董事会换届的相关工作，并将及时履行信息披露义务，请您留意公司后续的公告，谢谢！
11,请问王总，什么时候把雷士照明纳入德豪润达财报？,公司虽然是雷士照明的第一大股东，但对其还并不能实施完全的控制，所以未将其纳入合并报表。谢谢！
12,请问王总，是否还有国际并购计划,只要能够提升公司的业务、技术、品牌竞争力，我们一直在留意各种发展的机会。谢谢你！
13,王董能董秘和证券事务人员平进多关心一下中小投资者的疑问吗？不说每天有回复，至少定期一周应该在互动平台回复一下大家的疑问吧？目前可见的是半个月到一个月才有选择性的回复几条，这让人觉得上市公司太不关心市场了，你说呢？,感谢您对公司的建议。谢谢！
14,王董，在普通超市里有什么是德豪生产的，请举例？,公司的照明产品主要以雷士照明的品牌在国内销售，小家电产品的国内销售品牌是“ACA北美电器”。您逛超市的时候可以留意一下。谢谢！
15,我努力，我争取！不能喊喊口号，寒了大家的心,"你的话，对我和公司管理层真是诤言！
我们会以行动实现提升公司经营的目标。
谢谢你！"
16,为什么要收购大连公司？,"公司于2016年4月26日在指定信息披露媒体上披露了《关于股权收购暨关联交易的公告》（公告编号：2016-48），本次交易的目的是为了获得大连综德照明的土地及在建厂房，后续将用于本集团及雷士照明的LED照明产品的生产及物流基地建设。本次股权收购有利于德豪润达集团与雷士照明的产业整合，扩大公司及雷士照明产品在北方地区的影响力。
谢谢！"
17,我作为同花顺德豪润达论股堂堂主，在二级市场可以发现很多人其实都是支持你的，但可能因为你太忙，上市公司与二级市场的股民交流互动平台上互动也不积极，很容易让人感觉德豪润达这家上市公司大股东并不关心二级市场，从而导致你的很多运作被市场误解，加上股价长年低迷，二级市场7万多散户可以说是怨气很物重，希望你能百忙之中多关心一下这些从微薄收入中攒钱出来支持上市公司的中小投资者，至少应该让互动平台有更多交流。这是我的建议，谢谢。,感谢您对本人的理解与支持。作为两家上市公司德豪润达、雷士照明的董事长，日常事务确实是千头万绪，很少有时间能和中小投资者进行沟通。也希望大家能够谅解与支持。谢谢！
18,持有多久亏多久！媳妇要离婚，压力山大，我有点想骂娘。可惜不允许！求安慰！,"作为公司的工作人员，我们自己也是投资股市多年的投资者，能理解你！
多给媳妇和家人解释一下，家和万事兴，投资赚钱也是为了家人的幸福。
没有更多的语言.......   
谢谢你，祝你和家人身体健康、生活快乐！！"
19,其实今天很投资者都希望王董你增持百份之几的股份来提升信心，你自己对自己的公司都没有信心，我们这些小投资者的信心就更难竖立了，其它很多公司都已经在增持自家股份了，为什么你就不能效仿呢，我们期待你们管理层做点实事出来。,感谢您的建议。谢谢！
20,王董干货来点，,呵呵.......在生活中，多用点德豪润达、雷士照明的产品，支持公司的发展。谢谢您！
21,王董事长，公司股价创新低，你是否会增持，还是你感觉自己的公司是垃圾，随波逐流，随风飘，和尚敲木鱼，,感谢您对公司的关注。谢谢！
22,公司这两年经营情况不佳，股价比较低迷，未能给投资者带来好的回报。那未来公司有没有可行的办法提振股价呢？,公司生产经营的改善就是对股价的最好支持，公司管理层会持续努力，争取为股东带来好的回报。谢谢！
23,为什么要卖掉香港德豪？,"公司通过出售香港德豪光电股权的方式出售国际照明业务，是公司根据实际经营情况对照明业务进行的合理调整，有利于公司集中优势资源，更好地聚焦并做大做强国内照明业务。另外本次股权出售将为本公司带来较大的股权转让收益，有利于改善本公司财务状况。
谢谢！"
24,王董有增持计划吗？还是您不看好公司的未来！,"我本人对公司是有信心的。上市公司的经营与发展也倾注了大股东的大量心血，公司的多数银行融资都是由大股东提供担保的，我会继续支持公司的发展。
谢谢您！"
25,请王董事长披露贵公司管理层去年增持股票的细节，谢谢！,去年管理层增持公司股份有过公告，请参阅当时的公告。谢谢！
26,珠海厂房卖给大股东子公司，大股东的子公司是不是属于上市公司所有，还是大股东个人所有？,大股东的子公司当然是属于大股东所有，并非上市公司的子公司。谢谢！
27,作为董秘，你是否每时每刻关注过公司互动，为何互动有时候一个多月都没有回复过，还以为换董秘了,公司证券部工作人员是尽职的，互动平台上的问题我们也尽力快速地回复，有时候没能尽早回复，请您谅解。 谢谢你！
28,卖珠海厂房的意义何在？是经营需要吗？还是利益输送？,公司对控股股东的资产出售是为了盘活公司资产，使公司持续、稳健经营。相关交易均履行了董事会、股东大会审批程序，关联董事、股东均回避了表决，不存在利益输送的问题。谢谢！
29,请问互动平台你多久能回复一次大家的疑问？在我买过的股票中，德豪润达互动平台的更新真的是相当慢的一家。,"公司证券部工作人员是尽职的，互动平台上的问题我们也尽力快速地回复，有时候没能尽早回复，请您谅解。
谢谢你！"
30,很多公司股价跌到几年低点了大股东都会通过二级市场主动增持来提振信心，也算是对长期被套中小投资者的安抚，同样也表示大股东对公司发展的信心，王董有计划去组织董事会成员增持股票吗？,去年公司管理层有过一次股份增持，目前也是深套中。谢谢！
31,此次增发是否又是讲故事，忽悠中小股东。,公司本次非公开发行股票募集资金拟用于LED倒装芯片项目、LED芯片级封装项目，谢谢！
32,德豪润达将珠海厂房卖给大股东子公司珠海盈瑞节能科技有限公司后又签订了延期交付款项的协议，那么在未收到款项前厂房回租是付费还是免费的？,在未回收全部款项之前厂房回租是免费的。谢谢！
33,吴长江的股票拍卖有交割吗？对于新入二股东，大股东有什么想法？,请参看前面类似问题的回复。谢谢！
34,请问董事长，对于公司的小家电产业，有没有更长远的发展规划？,公司年报里有对未来的规划，请参阅。谢谢！
35,王董如果你在我面前我肯定骂你，你的大雷士呢？,感谢您对公司的关注。
36,公司能把我的股票回购吗？我不玩了，把钱还我！,股市有风险，投资要谨慎。谢谢！
37,王董事长，看过你做的节目，中国品牌，可贵公司这几年的股价表现说明你不努力，你不行了！有考虑顾专业团队管理公司，专业人士来当董事长吗，公司亲戚朋友都你不好管，,感谢您对公司的关注。
38,尊敬的王董事长，请您谈谈未来公司的发展规划,"我们不讲故事。。。。。呵呵！
谢谢你！"
39,股价连跌2年，今天还创了新低，增发价修改了三次，改一次跌破一次。问：公司有什么举措，维护股价，保护投资者的利益。,"近2年，受到市场剧烈波动的影响，公司募集资金投资项目的计划也受到较大的影响；但公司在此期间，以自有资金和地方政府的投资公司一道，对项目进行了前期的持续投资，目前项目的前期工作已经取得很大的进展。公司管理层努力经营，改善公司的经营状况，就是对公司和全体股东负责任的态度。
谢谢你！"
40,同行业上市公司中股价最低，跌得最多，别的公司做LED赚钱，你们亏钱。,感谢您对公司的关注与建议。谢谢！
41,今天股价又大跌了，最低到2009年9.30日的价格，王董事长看见了吗？我不明白这个说明会有什么意义，很闲吗？去关心下生产经营吧，LED行业的上市公司还有比你们差的吗？,感谢您对公司的建议与关注。谢谢！
42,今天股价突然大跌达到近8年来的低点，公司和大股东方面有没有计划增持股票提振人气。7万多中小投资者支持公司发展却长期被套，公司和大股东方面长期没有动作是不是不关心股价，不关心长期坚守的大批中小投资者？,请参看前面类似问题的回复。谢谢！
43,LED行业大多数公司普遍盈利，为何贵公司频频亏损？,公司管理层正在对公司的生产经营情况做出总结与检讨，采取措施扭转局面。谢谢！
44,请问王冬雷先生，公司质押的股票有爆仓风险吗?吴长江先生拍卖的股票，为何迟迟不做信息披露。,"1、公司控股股东会密切关注公司股价，留意股价波动可能带来的风险；
2、吴长江先生所持本公司的股票被司法拍卖后，公司已提示相关方有履行信息披露的义务。截止目前，公司尚未收到相关方的权益变动报告。公司将密切留意此次司法拍卖后续的进展，及时履行信息披露义务。
谢谢！"
45,请问贵公司定向增发会按如期方案进行嘛？,公司今天收到了中国证监会的批文并已作出了公告，公司后续会积极推进非公开发行股票事项。谢谢！
46,周大福成为股东后，是否与公司管理层接触？是打算长期持有还是减持或者有什么其他计划？,"拍卖过户之后，新世界将成为公司的第二大股东，我们与他们的工作人员有过联系，但鉴于股票尚未在他们的公司名下，他们对未来的计划没有回应。
我们的工作人员会留意并与他们保持接触和沟通。
谢谢你！"
47,如果定增失败，公司准备用自有资金投资倒装芯片项目规模有多大？预计多久能盈利？能给上市公司带来多少利润？有没有固定订单？,倒装芯片是LED芯片未来的发展方向，如果定增不成功，我们也会自筹资金进行投入，至于投入的规模就要看其他的融资渠道的支持力度了。公司自主研发的LED倒装芯片于2014年度开始投放市场，2015年和2016年实现小规模生产并销售，取得良好市场反应和客户认可。公司凭借倒装芯片的技术优势和价格优势，在手机闪光灯、汽车照明以及户外照明等领域储备了大量新的优质客户，包括魅族、联想和中兴等手机厂商或其方案商，雪莱特（002076）、佛山照明（000541）等汽车照明厂商。谢谢！
48,公司目前股价下跌严重，给投资者带来对公司信心失望？请王董事长回答如何来提高公司业绩？谢谢,"一段时期以来，本公司股价下跌，除了市场的原因，也有公司经营成果不够理想的原因；多年来公司一直默默坚守制造业，管理层和广大的基层员工努力经营，公司销售收入也达到了一定的规模，但行业竞争激烈，部分业务领域产能阶段性过剩，科技行业需要大量的持续性投入，多种因素的综合影响下，公司股价表现不佳。公司和管理层压力巨大，我们唯有竭尽所能，希望能带领公司突破经营压力，为股东和投资者带来回报。
谢谢你！"
49,董事长，今天收盘价创8年新低，是否意味着公司近8年来的经营状况都不被市场认可？不知道您对公司未来的股价有什么看法？,在中国证券市场严监管、实质上的注册制的背景下，股市出现了很大的分化，很多公司股价都创出了新低。公司最近几年的经营情况不太好是事实，市场先生给我们的定价我们也只能接受。公司管理层能做的只能是认真总结经验教训，搞好公司的经营。经营好了，股价也就上去了。谢谢！
50,公司股票现在都跌到最低点了 公司,感谢您对公司的关注，并注意投资风险，谢谢！
51,公司股价持续下跌，最近更是暴跌至4块7的最低的，为近8年来的最低点，公司是否有进行市值管理的打算？,我们始终相信，市值不是管理起来的。最近几年也爆出不少通过所谓的市值管理操纵股价的案例，值得我们警醒。没有基本面支撑的市值管理是空中楼阁，尽早会坍塌的。谢谢！
52,请问王董，公司已经通过发审的定增方案有进展吗？定增对象是否已经确定？收到证监会的定增批文后公司预计要多久才能完成定增并投入项目？,公司已于今日收到证监会的发行批文，也在今天做了公告。后续公司将积极筹备本次非公开发行工作，争取尽快完成增发。谢谢！
53,请问珠海厂房卖给大股东子公司但相应款项却不能交付，这个关联交易公平合理吗？,公司股东大会审议通过了交易款延期的补充协议，将在2018年6月底前支付剩余的交易款。这次关联交易履行了董事会、股东大会等内部审批程序，关联董事、股东都未参与表决，交易标的也经过第三方的评估，交易是合理、合法的。控股股东近年来为上市公司的持续、稳健经营作出了很大的努力，希望投资者能够理解与支持。谢谢！
