,Question,Answer
0,2017年六氟磷酸锂产品盈利能力下降，请问公司将采取哪些措施提高盈利能力,尊敬的投资者，您好！2017年度，受新能源汽车政策变动调整和行业新增产能释放、市场竞争加剧等因素影响，锂电材料六氟磷酸锂产品价格一直处于下调的状态，随着国产化竞争的加剧，高端紧缺、低端过剩仍然是目前主要的矛盾，预计未来几年六氟磷酸锂行业将迎来整合期。后续随着下游需求恢复增长，六氟磷酸锂的价格有望企稳。2018年，公司将继续提升产品质量，提升营销服务水平，抓抢市场整合机遇，实现业绩增长。谢谢您的关注！
1,嘉安健康必康大健康智慧体验培训中心项目、嘉安健康必康工业云数据中心项目、嘉安健康必康大健康彩印包装项目在财报中的在建工程项目中为什么没有体现呢？,尊敬的投资者，您好！根据信息披露规则和相关会计准则的要求，公司已在2017年年度报告中对在建工程进行了详尽披露，敬请查看。谢谢您对公司的关注！
2,陕西必康中药材提取车间扩建项目体现在财务报表中的在建工程吗？,尊敬的投资者，您好！公司为适应市场发展需求及政策的要求，在多个新建的产能中均配置中药材提取车间，由于其施工的进度的不同，在建工程、固定资产等科目下均有体现，详情请参阅公司2017年度审计报告。谢谢您的关注！
3,能说下公司的企业文化吗,尊敬的投资者，您好！企业文化是企业的灵魂和底蕴，必康股份坚持“整合、创新、升级”的战略方针，持续提升自身的核心竞争力，秉承“必以良药，康健天下”的企业理念指引公司经营发展，以“理解、协调、共赢、超越”的管理理念促进企业的凝聚力和员工的归属感。公司始终坚持“用文化管企业，以文化兴企业”的目标，对内增强企业凝聚力对外树立品牌形象，在文化的影响下努力挖掘中医药学宝库，实现技术创新和产业升级，立足国内走向海外，为我国医药健康产业发展贡献力量。谢谢您的关注！
4,如何找到公司各个产品的每年销售额呢？比如安胃胶囊、小儿化痰止咳颗粒等？,尊敬的投资者，您好！根据信息披露相关规则，公司在年报中分产品披露了报告期内的营业收入情况，其中产品按照针剂、颗粒剂、片剂等类别进行区分。此外，部分年份的产品销售情况可参考公司在2015年进行重大资产重组时所发布的财务报告，敬请查阅。感谢您的关注！
5,公司在进行全产业链布局方面都有哪些举措,尊敬的投资者，您好！公司将继续聚焦医药大健康领域，并通过内生式增长及外延式并购的方式不断增强公司在医药大健康产业链上的核心竞争力，着重在药品研发、先进制造、商业配送、零售终端、医养融合等方面进行深入布局，从而形成产业链的相对闭环，提升公司的竞争能力。谢谢您的关注！
6,公司在发展中影响公司业绩最主要的因素是什么？,"尊敬的投资者，您好！公司的发展受到宏观经济形势、国家政策、行业环境、技术和管理能力等多个因素的综合影响，在市场竞争日趋激烈的今天，任何一个维度能力的缺失都将限制公司的快速发展。目前公司在管理层的带领下，在研发、生产、营销及服务等多个方面均处于行业前列，经营状况一切正常。2018年，随着公司产能的逐步释放，“工商融合”、""商商融合”的进一步深化，公司盈利能力有望进一步提升。谢谢您的关注！"
7,公司发展今年有何有利因素，不利因素?,尊敬的投资者，您好！经过近二十年的发展，公司是目前国内制药行业的全剂型、品种数量最多的工业企业之一，2017年140个产品进入《国家基本医疗保险、工伤保险和生育保险药品目录（2017版）》，其中化学制剂104个，中成药36个。在”整合、创新、升级”的思想指导下，公司着力实现产品组合更加丰富、营销体系更加高效、内部管理更加有序，同时采用外延式发展打造“工商融合”、“商商融合”的全产业链布局，构建公司独特的核心竞争力。与此同时，宏观经济仍然错综复杂，市场环境不断变化，也为企业的发展提出了更大的挑战。谢谢您的关注！
8,公司是一家制药公司，竟然有新能源新材料业务,尊敬的投资者，您好！公司在2015年通过重大资产重组，借壳江苏九九久科技股份有限公司登陆中小板，新能源新材料业务为江苏九九久科技股份有限公司主营业务。在完成重大资产重组后，公司保持“医药+化工”双主业运行至今。2018年2月，公司公告出售江苏九九久科技股份有限公司100%股权，专注于医药大健康领域。谢谢您的关注！
9,就公司的产品而言，是化学制剂好卖还是中成药好卖？,尊敬的投资者，您好！公司医药板块主要以生产、销售中成药产品为主。谢谢！
10,在六氟磷酸锂制备中，碳酸锂、五氟化磷和氟化氢（作为溶剂使用）大约占成本比例多少？,尊敬的投资者，您好！各企业六氟磷酸锂生产工艺、生产流程不一样，且涉及商业核心机密，此问题无法回复。谢谢！
11,年前公告把九九久26亿卖给前海，但是前海看财务数据就是一个壳公司，没有营业甚至净资产为负，必康是作何考虑的？,尊敬的投资者，您好！您所指的交易目前尚处于框架协议阶段，具体交易情况请关注公司后续公告。出售江苏九九久科技有限公司（以下简称“九九久科技”）股权是上市公司为进一步集中力量做大做强医药产业的战略决定。九九久科技是一家以新能源、新材料、药物中间体等为主营业务的公司，与必康股份一直以来所坚持的医药大健康路线并不完全相符。由双主业并行向单一主业转变表明了公司坚持发展医药大健康产业的决心和信心。且通过出售资产可以进一步优化公司财务结构，为下一步发展提供资金基础。公司医药板块的内生式增长和“工商融合、商商融合”外延式并购战略将会产生更好的协同效应，增强公司的盈利能力。谢谢！
12,"佛塑科技公告称完成石墨烯锂电中试生产线，能源密度230WH/kg,对比贵司锂电，是否更有优势？",尊敬的投资者，您好！截至目前，公司新能源业务板块的主要产品为六氟磷酸锂，是锂电池电解液的溶质，公司并未开展锂电池的生产业务。谢谢您的关注！
13,前六氟磷酸锂的毛利率估计只有百分之二三十，公司如何判断今后六氟磷酸锂价格走势？,尊敬的投资者，您好！2017年度，受新能源汽车政策变动调整和行业新增产能释放、市场竞争加剧等因素影响，锂电材料六氟磷酸锂产品价格一直处于下调的状态，随着国产化竞争的加剧，高端紧缺、低端过剩仍然是目前主要的矛盾，预计未来几年六氟磷酸锂行业将迎来整合期。后续随着下游需求恢复增长，六氟磷酸锂的价格有望企稳。谢谢您的关注！
14,请问董秘：公司审计报告中的非重大股权投资项目与在建工程什么关系呢？,尊敬的投资者，您好！根据证监会相关规定，公司聘请了具有证券资格的会计师事务所对公司进行审计并发布了审计报告。在执行审计的基础上，会计师事务所对公司披露的财务报告发表了标准的无保留意见。感谢您的关注，谢谢！
15,公司2017年公司营收比上年同期增长44.15%；营业利润和利润都有所下降，请问主要原因是什么？,尊敬的投资者，您好！公司2017年营收增长的主要原因是公司2017年在医药板块增加了医药商业部分，通过推动医药、新能源新材料、药物中间体三大板块的发展，丰富商业渠道，从而实现公司经营业绩稳步增长。净利润下降的主要原因是受政策和市场等因素影响，公司新能源板块的主要产品六氟磷酸锂业务下滑幅度较大；同时，由于公司并购形成的医药商业板块，其行业利润率较低，且收购时间较短，从而导致净利润下降。公司在《2017年年度报告》中进行了详细阐述，请您查阅公司在巨潮资讯网披露的《2017年年度报告》。感谢您的关注，谢谢！
16,请问公司明年即将投入使用的智能化制药生产线与原生产线相比有何优势？,尊敬的投资者，您好！制药生产线技改搬迁项目建成后，一方面能较大幅度提升部分产品的产能，有助于公司根据市场需求及发展目标对产品结构进行调整和丰富，提升公司在医药领域中的整体竞争力；另一方面将有助于提高产品质量和技术水平，促进业务规模的扩张和整体盈利能力的提升，助力公司持续健康发展。本项目通过引进智能制造技术，利用MES信息化管理平台，实现数据驱动下的制药生产技术进步，打造符合“中国制造2025”规划的智慧工厂，进一步提升公司适应未来市场发展的综合竞争优势。感谢您的关注，谢谢！
17,公司有哪些新药品正在研发？作用是什么？预计什么时候开始量产,尊敬的投资者，您好！公司目前开展的研发项目主要有：（1）药品质量和疗效一致性评价；（2）新药研发：盐酸莫西沙星原料及滴眼液、盐酸普格瑞洛原料及片剂、益气明目颗粒、环孢素眼用乳剂；（3）保健产品研发：玉米低聚肽粉固体饮料、沙棘固体饮料、大麦苗粉固体饮料、虾青素片、石榴籽软胶囊。具体研发目的、进展情况请查阅公司2017年年度报告全文中经营情况讨论与分析章节相关陈述。感谢您的关注，谢谢！
