,Question,Answer
0,公司收购的5家资产，主要仍是内容制作或版权资产赚钱（即使拆分快乐阳光），单独看芒果TV视频业务，其实盈利情况一般，平台如想赚钱，未来如何提升付费率和ARPU？视频平台何时能够稳定盈利？,谢谢您的关注。一方面，快乐阳光以“芒果独播+优质精选+精品自制”内容策略，生产高品质、差异化内容促进平台运营与清晰化定位，提升平台竞争优势；另一方面，全平台运营模式将优化用户在各产品各层次的转化率，完善会员体系，提升内容整合营销价值。
1,IPO时，公司承诺控股股东及一致行动人解禁期2018年1月21日到期，请问近期有减持计划吗？,谢谢您关注，请以公告为准！
2,贵公司是否会将区块链技术嵌合移动传媒来提升公司广阔的前景？,您好，我们正在积极学习区块链技术，谢谢关注。
3,公司和爱奇艺有什么关系？属于独角兽？,谢谢您的关注和支持。
4,请问公司有没有走出去的战略？比如通过电视购物占领国外市场，把产品销出去。,您好，目前还没有开发海外电视购物市场的计划，但近几年我们通过“中国原产”和“一县一品”等活动帮助国内贫困山区打开农副产品的销售渠道，取得了很好的效果。谢谢关注。
5,公司股票市盈率这么高，股价是否在合理范围？下一步公司会采取哪些具体措施降低市盈率,您好，公司股价是市场选择的表现。公司将努力做好经营，期许未来为股东、投资者、社会创造更优价值。谢谢您的支持。
6,请问贵公司是否有意改名为芒果TV，以体现公司的价值？,您好，请关注公司公告，谢谢关注。
7,请问重组标的2017年业绩，会在重组后公布还是会在审计完成后公布？,您好，重组标的2017年业绩将在审计完成后，与反馈意见回复同步公布。
8,公司现在主营业务做得怎样？今年有什么新的发展？,您好，公司目前主营业务发展健康稳定，未来公司将主要通过三个方面来夯实主营业务，一是深耕家庭消费市场，积极开拓IPTV、OTT等新渠道市场；二是数据营销业务将进行外部数据库拓展和业务能力输出，切入到供应链上游定制商品，提升盈利水平；三是强化IP赋能，形成以“我是大美人”为龙头的内容电商矩阵，全力发展内容电商业务。
9,钟董，您担任快乐购的独立董事已经有一段时间，请你评价一下快乐购这个公司。,作为公司新一届董事会的独立董事，本人对公司的总体评价是，公司能够按照监管要求规范运作，管理层积极进取，公司保持良好发展势头。目前公司还在积极推动重大资产重组工作，以推动公司业务转型。我们希望在包括广大投资者在内的各方力量的支持下，持续提升公司规范运作水平和经营业绩，从而更好实现公司、股东等各方的利益。
10,公司有搞网络直播么,"您好，谢谢您的关注。2017年度公司以微信号、APP移动产品为突破口，运营以短视频生产及直播活动并举，累计生产3000条短视频，开展了60场网络直播。公司也与小米、花椒、网易直播达成内容合作，吸引近百万用户观看。
2017年，全资子公司快乐讯“我是大美人LIVE”节目成为淘宝直播年度最佳PGC栏目。"
11,希望公司这次能敦促中介机构认真负责，减少低级错误，上次证监会反馈重组方案连排版都有问题，让人无语。,谢谢您的关注与支持。
12,公司目前被纳入创业板50指数，对此有什么看法？,您好，公司很荣幸被纳入了创业板50指数，公司将付诸努力，以更好的业绩回馈市场，回馈投资者。
13,近期有机构去调研吗？机构对公司的发展持什么看法？机构对公司的资产注入芒果行为，怎么看？,您好。2017年12月7日，公司接受43家机构和投资者调研。机构基于公司未来稀缺的“优质渠道+独特内容”优势普遍看好。谢谢您的支持。
14,快乐购有没有更名的打算？更名后叫什么？,您好，请以公司公告为准，谢谢关注。
15,公司今年是否考虑运用区块链技术？区块链对公司有何影响？,您好，我们正在积极学习区块链技术，谢谢关注。
16,公司除了和湖南电视台搞过比较大型的活动，还有其他吗？,您好，公司每年在时令节气的节点都有大型的促销活动，去年双十一还与淘宝直播合作了除天猫双十一晚会外的唯一的官方活动“疯狂的BOSS”电视直播，同时快乐购作为商务部重点推荐的直播电商合作伙伴，与多个省份和城市合作了10多场“中国原产”直播，取得了很好的经济效益和社会效益。谢谢支持。
17,湖南快乐通宝小额贷款有限公司目前的运营情况如何？,您好，2017年11月快乐通宝获得网络小贷牌照，12月发放首家惠农贷款。目前，快乐通宝小贷切入公司上下游资源，以智能和科技切入消费用户信贷及汽车、保险分期，运营良性。谢谢您的关注。
18,公司注入芒果TV优质资产后，对公司业绩上最大的帮助是什么？未来将会有哪些配套政策和战略性合作？,"2017年1-6月的营业收入由交易前的131,238.70万元增加到358,160.71万元，增幅为172.91%。2017年1-6月归属于上市公司股东的净利润由交易前的1,984.98万元增加到33,201.72万元，增幅为1,572.65%。本次交易完成后，上市公司的销售规模、盈利能力都将有一定程度的提升，持续盈利能力增强。"
19,公司现在电视上的销量占比有多高？,您好，电视销售占比34.27%，公司年报有详细披露，谢谢关注。
20,垂直电商是否大势已去？公司有什么好的计划保持不被浪潮吞噬？,您好，垂直电商作为电商其中一种经营方式，目前仍然有很强的生命力，不管是在美妆、家居领域，还是在食品、生鲜领域都有很多不错的公司，快乐购旗下的上海快乐讯去年在美妆垂直类目领域取得了很好的成绩，我们将继续强化打造内容IP的能力，通过手机直播、短视频、图文等方式赋能红人经济，实现内容电商变现，未来将在更多的垂直类目强化我们的营销能力，实现为更多人创造美好生活的愿景，谢谢关注。
21,目前公司的实际控股人是哪位？,谢谢您的关注，公司的实际控制人和股权结构在年报中有详细披露，请参照年报。
22,目前电视购物的群体是否已经变成老龄化的一个群体了？,您好，公司电视购物业务目前的会员群体以40岁到60岁为主。从城镇分布来看，城市会员占比连续两年出现增长，服务的核心人群越来越趋于为“在消费升级过程中对生活品质有一定追求”的家庭女性，且实现电视、网络、内容电商等多渠道的互动。
