,Question,Answer
0,谢谢 董事长不厌其烦的解答。我们与思美同在，希望公司更好的发展！,感谢投资者对思美一如既往的支持！你们的认可是思美人前进的动力。
1,公司一季报虽然很喜人，但是基本是并表所致，请问对于内生性增长，公司自认为的增长点在哪里？,投资者您好，公司内生增长主要是内容营销和互联网营销。
2,请问：公司产品的技术含量如何？专利多吗？行业垄断地位如何？ 那些项目能给公司带来利润增长点？预计是否能保持3年的增长？,"尊敬的投资者你好！
公司已具备“电视广告营销+内容营销+数字营销”的整合营销服务能力，并积累了大量的优质客户，公司以“全景、精准、传播”为定位，能够向客户提供一站式整合营销服务，为客户提供合理传播方案、提升客户品牌价值。 该种能力是公司经过多年发展及外延并购建立的。
欢迎对公司持续关注！"
3,在企业文化方面，公司有什么特色吗？,投资者您好。以高潜人才开发为目标的“S计划”、旨在培养未来业务和管理人才的“思美青年会”都是思美企业文化的特色。
4,在给用户提供增值服务方面，公司做了哪些工作以增强对原有客户的锁定、新客户的拓展？,公司一直在寻求为客户提供专业与多元化的服务，以此形成差异化竞争力，从以前仅仅能为客户解决电视广告营销的需求发展到今天，能为客户提供电视、数字、内容深度植入、冠名、定制等一站式营销解决方案，直接提升了老客户的粘性和新客户的获取能力。
5,"公司采取了具体怎样的应对措施,在同业中不断做大做强?","尊敬投资者，公司在过去两年均在积极主动调整公司的业务结构，通过内生和外延在内容及内容营销与数字营销方面获得了很大的补足，形成了“以内容为核心,内容营销、电视媒介营销、数字营销三位一体”的一站式整合营销平台为目标，并通过对内容和渠道板块的完善和建设逐渐形成一家具备国际竞争力的传媒集团"
6,请问贵公司已经涉足了IP和影视加广告这些领域。对游戏行业有没有布局？如果有能简单阐述一下吗？,投资者您好。思美没有布局游戏行业。
7,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？公司有没有一个具体可行的持续增长计划？,"尊敬的投资者你好！
公司经过多年发展及外延并购，已经具备了积累了大量的优质客户，公司以“全景、精准、传播”为定位，能够向客户提供一站式整合营销服务，为客户提供合理传播方案、提升客户品牌价值。 
2016年归属于上市公司股东的扣除非经常性损益的净利润同比增长57.65%；2017年1季度归属于上市公司股东的扣除非经常性损益的净利润同比增长167.63%。
欢迎持续关注！"
8,做大、做好市值管理是每个公司成长的必然追求，公司是如何进行市值管理的？,抓住行业发展趋势积极做大做强，建立更宽的护城河，更高的行业壁垒，赚取更多的利润，做好充分的信息披露，积极与投资者进行沟通交流，抛开牛熊对市值短期的影响 ，市值中枢的上涨将是必然。
9,行业有没有周期性？,"尊敬的投资者你好！ 
公司具备“电视广告营销+内容营销+数字营销”的整合营销服务能力，通过多年发展与外延并购，积累了大量的优质客户，公司以“全景、精准、传播”为定位，能够向客户提供一站式整合营销服务，为客户提供合理传播方案、提升客户品牌价值。 公司紧跟广告行业的业态变化和发展趋势，着重增强了公司内容营销方面的综合实力，通过资源整合，能够使内容营销在公司的整合营销服务体系中发挥更大的作用，更好地为客户服务，使客户通过差异化营销，在竞争中脱颖而出。 欢迎对我公司持续关注！ "
10,希望公司在本专业领域专注于做强做大做实，提升公司的行业地位，给投资者以回报！,感谢感谢！公司成立17年来一直坚持在自己所擅长领域做大做强并及时跟上行业趋势变化，在变中求发展。
