,Question,Answer
0,公司去年新进入服装供应链和医疗器械类似380平台业务，请问这两块发展状况如何？谢谢,稳步推进
1,近期政府有没有对公司发展有利的政策？,近日，商务部、工业和信息化部、生态环境部、农业农村部、人民银行、国家市场监督管理总局、中国银行保险监督管理委员会和中国物流与采购联合会等8部门联合发布《关于开展供应链创新与应用试点的通知》(以下简称《通知》)，提出在全国范围内开展供应链创新与应用试点。 
2,公司会否考虑再收购一些公司或者扩展新的领域?,有可能。
3,夏总您好，请问互联网平台具体的服务对象是谁？服务内容是什么？,服务对象为中小零售商与个人创业者。服务内容为通过互联网平台，服务对象能够共享商品、共享分销、共享营销、共享流量。
4,公司未来发展有没有一个轻资本的模式，比如供应商垫款等方式？,公司一直有相关业务合作方式，谢谢。
5,公司与美国思科公司就合作智慧城产业项目签约，是否实属？,双方目前就智慧城产业项目达成合作意向，谢谢。
6,请问这次停牌引入战投能否在五个交易日内复牌，引入战投对象是否和上次相同,请关注公司公告，谢谢
7,请问公司以前跟深创投签订了一个80亿的供应链投资框架协议，为什么没有执行下去？目前在国家新政支持下，是否可以更方便的融到相关发展所需资金？谢谢,公司募集资金存在临时补流的情形，不能进行风险投资。
8,冯总您好，销售费用、管理费用长期相对其他供应链公司较高，是否有长期规划？另外，公司管理人员大幅降低的具体原因？,您好，管理费用略逊于收入的增长，相对合理。销售费用主要系营销业务增加，但同时其相应的收入于经营成本里扣除， 谢谢。
9,请问公司在整合终端商店这一块，经公司改造后对商店提升点在哪里？谢谢,统一的物流配送体系，商品类别更加丰富、共享公司的线上销售平台等。
10,请问公司计划如何改善自己的现金流？,推动业务转向非资金驱动，控制并清理库存，应收和代垫款项。
11,请问货币资金收益的比例大约范围?,您好，货币资金收益包含在财务费用里，未进行单独披露，谢谢。
12,请问冯总，公司面临的主要竞争对手有哪些？,您好， 公司打造一个供应链商业生态圈的平台，覆盖的商业领域较广，没有完全的竞争对手。谢谢。
13,公司有多少家控股子公司？,请参考2017年度报告，谢谢。
14,货币资金的收益？在报表中如何体现？,您好，在财务费用内。谢谢。
15,请问去年国家出台了供应链创新新政，这一政策目前对公司有哪些正面的积极影响？谢谢,公司的生产型供应链、消费型供应链服务、供应链金融等服务均属于重点支持的领域，随着供应链大试点政策出台，相信公司业务会获得更高的市场认可，对业务发展有积极影响
16,公司17牛按应收账款账期95%左右的都在一年内，但17年四季度计提升高，是因为公司战略加大应收账款的收而增加的前几年的坏账吗？谢谢,您好，公司没有在第一至三季度对个别可能存在回收风险的应收帐款及存货计提拨备。一般在第四季度年报编制时，进行计提，谢谢。
17,存货跌价准备约为1.5%，相对建发股份的3.6%是否较低？但2017年报中没有正面提及账龄分布情况，请说明一下？,行业不同，具体的存货性质不一样，不具有可比性，谢谢。
18,新政作为中国供应链大本营，这次国家供应链新政出台后，有没有具体扶持供应链发展的政策出台？谢谢,2018年4月，商务部等八部门发布了关于开展供应链创新和应用试点的通知
19,周董这次引入战投一定要成功，因为公司多次引入失败，现在大家对公司这一块诟病比较多，信心也不足了！谢谢！,谢谢您的关注和支持。
20,这几年机构对公司的发展信心可以说降到了低点，请问如何提高和改善与机构投资者的投资？谢谢,您好，公司将继续夯实业务的发展，提升公司的盈利能力，回报广大投资者。同时将加强与投资者之间的互动，谢谢关注。
21,前几年粗放式的发展，业绩没有跟上营业增长的速度，请问去年开始的精细化管理，对业绩的释放有什么影响？什么时候能再现公司业绩高增长状态？谢谢,公司持续在努力改善经营管理，业绩保持持续的增长趋势，公司对未来的发展和业绩增长也充满信息
22,请问供应链云板块的科研人员储备及投资计划？,公司一直有该计划，谢谢。
23,公司供应链金融板块中发放贷款的对象主要是什么群体？1.4%的减值准备合理性？,您好， 主要是供应链上下游的客户。谢谢。
