,Question,Answer
0,请问公司ipo时候的项目：盐酸埃他卡林产业化项目现在是什么情况了？为什么这么多年还不能上市，研发过程中出了什么问题了？谢谢,目前正积极准备相关资料，重新申报。研发处于正常状态，公司正加紧推进。谢谢！
1,请问公司ipo时候的项目：盐酸埃他卡林产业化项目现在是什么情况了？为什么这么多年还不能上市，研发过程中出了什么问题了？谢谢,目前正积极准备相关资料，重新申报。研发处于正常状态，公司正加紧推进。谢谢！
2,对于恩华的产品，市场上有这么的评价（可能比较苛刻）——“右美托咪定，七氟烷销售玩不过恒瑞医药，地佐辛玩不过扬子江药业，度洛西汀仿礼兰的，竞争压力大，咪达唑仑未来要受恒瑞医药新一代重磅级麻醉药M6G和瑞马唑仑的挤压，瑞芬太尼玩不过人福医药”。而且对手的销售渠道和份额目前还不是恩华所能比拟的。请问，公司有什么措施？这位朋友提问的也是我所担心的。希望恩华继续加强研发和销售，特别是要加强创新药研发。,感谢您对公司的关注和建议！公司会一如既往地重视且继续加强研发和销售，尤其是要加快创新药研发进度。力争有更完整的产品线，更广泛的市场覆盖率。
3,请问孙总，医药工业的净利率是多少？谢谢,医药工业的净利率在30%左右。谢谢！
4,公司的基因业务是什么？能否说说哈，17年收入到多少，前景如何？是什么团队再搞？,公司的基因业务涉及中枢神经领域的基因测序及基因测序辅助用药。目前业务收入基数较小，将来会快速增长。公司对此业务的前景很乐观。目前由公司专业销售团队负责。谢谢！
5,多花钱聘些研发牛人吧，靠这些产品，公司要做大非常难！！,答：谢谢你的建议！
6,"请问公司十三五规划中，到2021年医药工业收入可否达到30-35亿元, 谢谢！",力争达到30亿以上收入。谢谢！
7,对于恩华的产品，市场上有这么的评价（可能比较苛刻）——“右美托咪定，七氟烷销售玩不过恒瑞医药，地佐辛玩不过扬子江药业，度洛西汀仿礼兰的，竞争压力大，咪达唑仑未来要受恒瑞医药新一代重磅级麻醉药M6G和瑞马唑仑的挤压，瑞芬太尼玩不过人福医药”。而且对手的销售渠道和份额目前还不是恩华所能比拟的。请问，公司有什么措施？,答：公司会努力做得更好，谢谢！
8,您好，张叔叔，何家券商？恩赐中华，公司的药业产品全是精神药品吗？,答：海通证券，公司的药业产品不全是精神药品，还有麻醉类产品。谢谢！
9,"公司互动平台为什么自从2017年8月以来就没有回复过任何问题，直到召开业绩
说明会前三天才开始回复投资者的问题；请问公司今年是否会改善并及时回复投资者的提问，谢谢！",公司高度重视在深交所互动易平台上的提问，一直在积极及时进行答复，有些问题需要认真核实了解后，才能做出答复。公司会尽可能在最快的时间内回复提问。谢谢您对公司的关注和支持！
10,同时要调动一线销售人员积极性，加大对医院的学术推广。,答：是的，谢谢！
11,今年二线品种收入预计能够实现多少增长？,今年的公司产品销售收入会保持稳定增长，主力品种会保持较高增速，其他小品种也力争保持增长。谢谢！
12,你好，名字不错，请问，是叔叔吗？公司的业绩情况怎么样,答：是的，公司业绩稳定增长。
13,首先祝贺17 年恩华右美托咪定已经在 14 个左右的省份中标；度洛西汀和阿立哌唑也分别在 10 个和 6 个省中标/挂网。那么请问，到地方还需要二次议价，那么实际销售量和销售金额与中标金额相比，是不是会比较少？,谢谢您对公司的关注与支持！我们在中标省份会积极与当地部门沟通，保持实际销售价格的稳定，积极进行产品推广与销售！
14,2018年是公司上市10周年，应该加油干，净利润扣非干到30%以上才是对公司上市10周年最好的回报哈，哈哈哈,答：谢谢你对公司的关注，谢谢！
15,另外，与恩华产品有竞争关系的恒瑞医药，石药集团，齐鲁制药，扬子江，正大天晴，豪森药业都是业内著名的营销之王，要抢他们的份额很难的，恒瑞医药2个最新一代麻药已经在3期临床，2期临床。请问，公司怎么看？,答：公司按照自己的既定目标做好产品研发和销售工作，同时也在积极地向先进企业学习。谢谢！
16,公司在巨潮平台深交所互动易平台上为何答复的都是18年2月1日以后的提问？2月1日以前投资者的提问，公司都不回答。请问，这是什么原因？公司在巨潮上和投资者的互动也实在太差劲了吧？,公司高度重视在深交所互动易平台上的提问，一直在积极及时进行答复，有些问题需要认真核实了解后，才能做出答复。公司会尽可能在最快的时间内回复提问。谢谢您对公司的关注和支持！
17,请问公司会在今年上半年继续确认搬迁事项获得的相关补偿收益吗，谢谢！,您好，与资产相关的搬迁补偿将于年底确认其他收益。谢谢！
18,您好，公司的主营业务是什么？看到了，下面的介绍已经写了，请问，什么是精神类药品,答：精神药品是指由国际禁毒公约和我国法律法规所规定管制的、直接作用于人的中枢神经系统，使人兴奋或抑制，连续使用能产生依赖性的药品。谢谢！
19,精神类用药市场的金矿有待挖掘，公司在该市场有哪些主力品种？目前市场占有率情况如何？,在精神类用药市场，公司主力品种有利培酮，齐拉西酮，度洛西汀，丁螺环酮等。公司正积极扩大市场覆盖率，努力提升产品市场占有率。谢谢！
20,"叔叔好,公司于2008年7月23日在深圳证券交易所中小板挂牌上市,公司地处江苏,省内的医药产品需求量怎么样",答：需求量较大。谢谢！
21,建议恩华未来别分红，分红很少，建议每年向股东们分发贵公司诸如丁螺环酮 利培酮等，贵公司股价3年未涨，个中原因你懂得，建议向大股东分发贵公司高毛利率精神产品，大家心情好才是真的好。,谢谢您对公司的关注和建议！市场有风险，投资需谨慎！
22,"公司募投项目国际原料药出口基地建设已于2017年完成验收并正式投入生产，请问：
（1）今年国际原料药出口基地大概能释放多少产能?
（2）今年原料药营业收入相比去年能有明显的提升吗?
 (3) 预计达产后正常年营业收入到40181万元大概需要几年?",答：今年国际原料药出口基地大概能释放20%左右产能，今年原料药营业收入相比去年会有较好的增长，预计达产后正常年营业收入到40181万元大概需要5—6年时间。谢谢！
23,大股东和一致行动人2018年有无减持计划安排？如果有，提前公告，我好跑路哈,目前尚无相关减持计划，如有相关信息，公司会及时公告，请您关注公司公告。谢谢！
24,感觉恩华近些年越来越不透明了，呵呵,谢谢你对公司的关注和支持，建议您及时关注公司公告！
25,您好，公司的ICU药品是什么？ICU是重症监护室,答：主要为力月西、右美托咪定，谢谢！
26,公司在二级市场渐成鸡肋，建议恩华应加强市值管理，孙总，既然对公司有信心，能否在此位置象征性增持些股份呀？,公司一直以来非常重视市值管理，管理层对公司发展前景充满信心，孙总增持股份的信息已经披露。谢谢！
27,请问总经理。18年起，好欣晴是否不再并表？,是的。谢谢！
28,请问公司2017年第4季度毛利率大幅下降，是因为4季度商业收入占比高吗？,答：是的，谢谢！
29,贵公司信披是否有重大问题，恩华4650万近期竞争土地，干什么用的？再者公司新药报批 新药临床为何不见公告？,公司严格按照相关规则进行信息披露，未有应披露未披露的信息。公司近期4650万竞争土地，属于科技用地。谢谢！
30,恩华络康研发公司今年有无新药申报？研发进度如何？谢谢,答：恩华络康研发公司今年尚无新药申报，部分研发产品在做临床前研究。谢谢！
31,"2017 年 1 月 20 日，公司与徐州市土地储备中心签订了《徐州市工业企业关停转迁土地收储补偿合同》， 合同约定上述公司厂区搬迁土地收储补偿费总额为人民币 11,642.46 万元。 三季度公司确定了搬迁事项获得的相关补偿收益，冲减相关成本费用后，增厚公司利润 3,300 万元。请问是否已经一次性确认完搬迁事项获得的相关补偿收益？",您好，公司未一次性确认搬迁事项获得的相关补偿受益，按相关会计准则分步及时确认补偿收益。谢谢！
32,公司在医药产品研发上有哪些新进展？,公司一直聚焦中枢神经系列药物的研发，目前有多种产品处于CDE审核之中，公司会及时公告获批情况。谢谢！
33,"公司于2017年11月17日获得了国家级高新技术企业证书，有效期3年；是否是2017年、2018、2019年继续按15%的优惠税率缴纳企业所得税；到2020年需要再申请国家级高新技术企业证书并于2020年11月16日之前重新获得国家高新技术企业证书才能继续享受15%的企业所得税,谢谢！",您好，公司于2017年11月17日获得了国家级高新技术企业证书，有效期3年，2017年、2018年、2019年继续按百分之十五优惠税率，缴纳企业所得税，2020年11月16日后高新技术企业需要复认证通过才能继续享受百分之十五的所得税。谢谢！
34,研发创新依然是未来医药行业重头戏，牛逼领头人很重要，研发团队很重要，立项眼光更是决定性的，不知道恩华嘛，以仿养创，边仿边创，仿创结合更适合,答：公司目前是走仿创结合的路子。谢谢！
35,今年公司在研发方面准备投入多少资金？目前有哪些新药准备面世,公司的研发投入占公司收入的3%左右，占医药工业收入的5%以上，每年保持一定的增长。 公司的新药尚处于研发之中，力争尽快获批上市。 谢谢！
36,请问孙总，如何看待商业和互联网业务对工业这块业务的拖累？,答：商业对工业业务是互补关系不存在拖累工业业务问题，互联网业务目前尚处于市场推广阶段，未来对工业产品销售会有促进作用。谢谢！
