,Question,Answer
0,公司募集资金投向项目进展如何，是否顺利?预计多久可以收回投资?,您好，请查阅公司2017年一季度报告募集资金使用情况章节，谢谢！
1,公司现阶段发展过程中有何不足？面临的最大挑战是什么？如果新客户在磨合期放弃与公司合作，公司有无应对措施？,您好，公司将持续保持良好经营状态，继续加大研发投入，并做好已投项目的投后管理，保证公司核心竞争能力，谢谢！
2,今年人工费用是否还会出现阶段性上涨？,您好！公司制定了完善的薪酬管理制度，实施公平的绩效考核机制，为员工提供了广阔的发展平台，薪酬待遇稳步提高。谢谢！
3,贵公司员工一个月能挣多少？,"你好，鉴于工种及能力不同，薪酬标准亦不相同，谢谢。
"
4,"公司采取了具体怎样的应对措施,在同业中不断做大做强?",您好，公司通过稳定现有产品品质及不断研发新产品，并通过外延扩张让公司更具竞争力。谢谢！
5,近几年的固定资产，技术改造的投资效果如何，是否达到了预期的目标，不考虑市场因素，简单考虑毛利情况是否合理呀。,"您好，近几年公司的技术改造的投如较少，固定资产投资主要为募投项目的投入，毛利影响因素较多，存在一定波动性。 谢谢！

"
6,虽然说公司的股价由二级市场决定，但股价是公司经营的一个表象，请问管理层对回报投资者持有怎样的态度？,您好，公司管理层要做的是用心好经营企业，为股东创造价值，谢谢！
7,在给用户提供增值服务方面，公司做了哪些工作以增强对原有客户的锁定、新客户的拓展？,您好，公司一直提倡“产品+服务”的销售理念，注重产品质量，不仅为新客户提供教学培训服务，且在全国各地产业集群地都设有售后服务网点更好的服务客户。谢谢！
8,"同行业内有哪些主要竞争对手？公司采取了什么样的应对措施,在保持稳定增长的前提下不断做大做强?",您好，公司将不断提升公司产品质量、技术研发水平以及售后服务质量，谢谢！
9,在企业文化方面，公司有什么特色吗？,您好，公司秉承“慈爱善星、以人为本、创福于人”的经营理念，强调企业文化建设，致力于让良好的企业文化深入人心，为公司的健康发展提供持续的精神动力。 谢谢！
10,"国家要求实行经济节约型政策,公司具体是怎么做的?","您好！公司一直在响应国家的号召，推行绿色制造，通过持续不断的改进降本增效，以保持了公司良好的综合竞争力。谢谢！ 
"
11,一直指望公司会推出高送转方案，不知道今年是否有希望，什么时候能出预告？,您好，请关注公司公告，谢谢！
12,自从微博出现后，对于舆情的关注和扩散在一定程度上都有所放大，关于舆情的监控，公司有些什么样的手段？而在应对负面舆情的时候，又有什么样的应急措施？,您好，目前新的媒体平台及新的传播途径不断出现，公司积极关注舆情，同时公司通过较为健全的内控管理体系，严格自律，谢谢！
13,请问公司上一季生产经营状况如何？与去年同期相比如何呢？,"您好，公司一季度总体营业收入较去年同期大幅增长。报告期内，公司实现营业收入34,103.66万元，较上年同期增长56.20%，实现归属于上市公司股东的净利润6,950.28万元，较上年同期增长51.19%。谢谢！"
14,公司的负债比率有多少？,您好，公司一季度负债比在20%左右，谢谢！
15,你如何看待同行业其他公司的经营情况？在同行业竞争中，公司排名第几？你认为公司业绩增长的主要优势或障碍在哪里？,"您好，我们对其他公司的经营情况不予评价，公司在同行业中拥有优秀的核心技术及良好的品牌与客户优势。谢谢！
"
16,新三板的扩容，带来了新的投资机会，你们公司在这方面有什么打算吗？,您好，公司目前暂无考虑，谢谢！
17,公司未来3年发展前景如何?,您好，公司未来三年的发展规划可查阅公司年报第四章节第九部分公司未来发展的展望。谢谢！
18,请问公司在财务结构上有什么不足，打算采取哪些举措。,您好，目前公司财务结构尚未发现不足，谢谢！
19,最近公司财务状况如何？,您好，公司目前财务状况良好，谢谢！
20,"公司的持续良性发展是投资者投资信心的有力保证,愿公司的发展能为投资者带来良好的回报!请问公司领导对今年有信心吗？",您好，感谢您对公司的信任和支持！股东的信任是我们最大的发展动力，我们对公司未来的发展充满信心，谢谢！
21,公司如何规避各种风险，如产品质量、资金、管理等，减少各种负面事件？,"公司有较为健全的内控管理体系，同时，今后公司将根据中国证监会、深圳证券交易所的相关要求，结合公司发展战略及实际需要，在持续的公司治理过程中，继续不断完善公司内部控制体系。谢谢！
"
22,希望公司在适当的时侯推出激励计划来聚集和挽留人才，保持公司的竞争力！,您好，为激励员工，增强员工的凝聚力及积极性，公司今年3月份已推出第二期员工持股计划。谢谢！
23,股价升等于做免费广告，有助于公司产品销量升、业绩升，形成良性循环。建议公司配合将股价做上去。,您好，感谢您对公司的关注!
24,"这几年社会道德严重滑坡,不讲诚信，为了个人利益突破道德底线的行为屡屡发生，你作为企业高管如何看待？",您好，作为企业合法经营，合法守规是最基本的道德，公司作为上市公司，将严格按照各项规章制度履行。谢谢！
25,请问独立董事，您的履职情况如何，是否能真正保护了中小股东利益？,您好，作为公司独立董事，本人严格按照《深圳证券交易所创业板股票上市规则》、《深圳证券交易所创业板上市公司规范运作指引》等法律、法规的有关规定，独立、公正、审慎地的发表意见和行使表决权，切实维护全体股东特别是中小股东利益，谢谢！
26,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？公司有没有一个具体可行的持续增长计划？,您好，目前行业出现回暖现象，公司订单充足，唯一的障碍就是部分零部件匮乏。2017年公司的业绩目标为15亿。公司未来三年的发展规划可查阅公司年报第四章节第九部分公司未来发展的展望。谢谢！
27,"去年有机构投资者去公司做调研吗,都是哪些？我们这些中小投资者在哪里能看到机构投资者的调研情况？",您好，机构投资者调研情况请查阅巨潮资讯网“投资者关系信息”一栏，谢谢！
28,现在行业间的并购都比较频繁，你们今年有没有兼并收购计划？,您好，目前暂无合适的标的。谢谢！
29,公司2017年的业绩目标计划是多少？,您好，公司2017年的业绩目标是实现营业收入15亿，实现利润目标2.5亿，谢谢。
30,近一年来，贵公司高管考虑增持吗？,您好，公司高管上市时已通过宁波福裕投资有限合伙间接持有公司股票，截止目前尚未减持，谢谢！
