,Question,Answer
0,igbt的规划如何,"您好！
感谢您的关注。
公司的愿景是致力于成为全球杰出的半导体企业。随着公司规模不断扩大，公司将持续提升研发技术水平，IGBT也是重点规划推进的项目之一。
谢谢。"
1,上游原材料上涨主要是哪种原材料？公司会不会向下游提价,"您好！
感谢您的关注。
公司产品所需的原材料中主要有铜材和外延片存在价格上涨情况。公司内部持续实施降本增效项目，将积极应对原材料价格波动带来的影响。公司主要产品的价格目前尚未进行调整。
谢谢。"
2,请问公司未来几年的净利润率预计会如何变化？若预期上升或下降，则变化到多少是合理值？,您好！感谢您的关注，近几年公司净利润率均保持在16%以上，我们将不断投入新品增加利润点，保持一个良好的净利率水平。
3,吴叔叔好，公司的主营业务是什么？2014年1月上市的,您好！感谢您的关注。公司集研发、生产、销售于一体，专业致力于半导体器件制造、集成电路封装测试等高端领域的产业发展。公司主营产品为各类硅基分立器件芯片、功率二极管、整流桥、大功率模块、DFN/QFN产品及碳化硅SBD、碳化硅JBS等，产品广泛应用于汽车电子、LED照明、太阳能光伏、通讯电源、智能电网、白色家电、逆变器等诸多领域。
4,公司产品最大的三个下游行业是哪三个，占总营收比例各多少,您好！公司下游应用领域主要有电源、光伏、芯片客户、LED照明、汽车电子、工业用设备、智能电表等。其中，电源约占40%，光伏约占23%，芯片约占15%。感谢您的关注。
5,公司是否在考虑开拓新的领域？取得初步进展没有？,"您好！感谢您的关注。1、2017年，公司将紧跟市场需求，持续扩大微型贴片封装的研发投入，有针对性地开发大电流、大功率产品，丰富产品线；同时，公司将导入小信号、稳压管等新产品自动生产线，扩大公司主营产品版图，满足客户多元化需求。
2、发挥新投产的6英寸生产线的综效。逐步释放的两万片产能，保证了公司在芯片供应趋紧时的生产弹性。新产品、新技术的研发，特别是Trench肖特基产品的量产，有助于提高公司在细分市场的领先地位。3、参股设计公司，拓展本公司的产品市场，掌握高端节能芯片的核心。参股公司专业从事于多种半导体分立器件（如Split Trench-Gate MOSFET、SuperJunction MOSFET、Trench MOSFET、Low Vf trench schottky、SiC schottky）的技术研究、产品设计和市场开发。参股公司设计开发的先进半导体功率器件产品，广泛应用于节能、绿色照明、风力发电、光伏电站、电动汽车、仪器仪表、消费电子、家电等众多领域。4、公司将继续推进第三代宽禁带半导体项目的研发及产业化，加强碳化硅领域的专利布局，拥有自主知识产权的碳化硅芯片量产工艺；围绕器件高可靠性及大电流等方面，提升改善650V/1200V碳化硅JBS产品的工艺技术和器件性能；同时，针对电动汽车、充电桩、光伏逆变等领域，根据客户需求和市场反馈进行产品细分研发，提高公司产品与应用需求的匹配度。"
6,请问公司对于潜在收购标的业绩期望是多少？作为创业板公司，在并购新政下对于收购体量过大的标的是否存在顾虑？,"您好！
感谢您的关注。
公司将继续按照“每年成功1家，储备2~5家”的既定目标，不断完善和拓宽外延式增长路径，积极与半导体产业内具有技术或渠道优势、具有较强竞争实力及盈利能力的优质海外公司、本土公司深度交流合作，不断丰富公司的半导体产业质态，实现公司整体规模和综合实力的快速提升。
谢谢。"
7,贵司功率器件 涉及手机无线充电 芯片和组件？目前有没有量产,您好，感谢您的关注。手机快充行业是公司重点关注的行业之一，无线充电是靠电磁感应传输的，其电路原理还是整流滤波，未来我们将持续关注。目前没有量产。
8,请问公司以后能否增加分析师调研机会？,您好！您提出的宝贵建议，公司会积极采纳。公司热忱欢迎广大投资者和各位股东朋友通过多渠道和公司进行交流与沟通，并到公司现场进行实地调研。感谢。
9,你好能不能 具体下贵司功率半导体2017增长优势增长   主要哪方面的 应用   在 新能源汽车上？,"您好！
感谢您的关注。
公司将以消费类电子行业为市场发展基础，大力拓展工业变频、自动化、网通等工业电子领域，重点布局新能源汽车、充电站（桩）、光伏微型逆变器等高端市场，挖掘公司新的利润增长点。
谢谢。"
10,请问6寸线预计何时能够盈亏平衡？盈亏平衡前对业绩的负面影响有多大？若达到月产5万片，根据最新的成本和售价估测能实现多少利润？,"您好！
感谢您的关注。
根据目前的建设进度，预计6寸生产线将于今年年底前实现盈亏平衡。
2017年第一季度，预计6寸线对公司业绩的影响程度不超过1000万，随着新产品、新技术的研发及产能的逐步释放，未来将成为公司新的利润增长点。
谢谢。"
