,Question,Answer
0,虽然说公司的股价由二级市场决定，但股价是公司经营的一个表象，请问管理层对回报投资者持有怎样的态度？,股价是一定程度上反映部分外部投资者对公司经营的相对预期，并受总体市场情绪的影响而波动，并不能完全代表公司的实际情况和未来发展前景。公司管理层对回报投资者非常重视，致力于通过经营和发展公司扩大业务规模，提高盈利水平，并能够保持持续健康地增长，进而实现大部分投资者的合理持久的投资回报。同时公司尽可能在规则许可的情况下进行投资者沟通，帮助投资者清晰客观地了解公司情况，支持投资者的投资决策。谢谢关注。
1,公司目前有哪些在建项目？建设进度如何？还需要多少资金？,您好，公司目前暂没有在建项目，感谢您的关注。
2,请问公司以后每年会用什么形式回馈股东？,您好，公司一直以来每年均严格按照《公司章程》相关利润分配政策和审议程序实施利润分配方案，分红标准和分红比例明确清晰，相关的决策程序和机制完备。公司利润分配方案经由董事会、监事会审议过后提交股东大会审议，并由独立董事发表独立意见，审议通过后在规定时间内进行实施。公司通过上述现金分红和转增股本的方式来给予公司股东合理回报。感谢您的关注。
3,公司领导怎么看现在公司的股价，对我们小散有什么忠告？谢谢,您好，公司股价受到所处板块、公司业绩、整体市场走势等多种因素的影响，公司不方便直接对二级市场上的股价进行评价。公司会通过努力提升经营业绩来回报广大投资者，但请务必注意投资风险。谢谢。
4,公司在经营活动中主要对哪些环节进行质量控制？,"业务和财务层面、提升内部财务管理、项目管理和业绩考核水平，把销售额、回款率、应收账款规模和账期管理纳入定期考核指标，严格跟踪反馈，提高资金周转率和资产回报率，规避和控制财务风险；并基于数据化管理提升内部管理运营水平，有效考核和激励人才团队，进而控制管理效率，降低管理费用，提高盈利水平。在集团层面，依托集团管理架构，发挥上市母公司的资源平台优势，支撑各个子公司业务发展，进一步推动成员企业共同的战略管理与业务整合协作，加强财务和内控的管控，调动技术和市场资源的共享互补，以协同共赢促进各子公司业务发展， 提升公司整体核心竞争力。谢谢关注。
"
5,如果公司进行定增，那大股东及高管们会考虑参与、进行增持吗？,您好，截至目前公司暂没有定增的计划，公司信息请以公司公告为准，感谢您的关注。
6,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？,"公司目前核心重点行业市场政府、媒体、公安、金融、军工总体发展态势较好，大数据和互联网新技术新产品应用机会多，公司业务拓展趋势较好。在当前形势下，公司实现业务拓展和销售增长的目标策略详见2016年年度报告“未来发展与展望”内容。谢谢关注。
"
7,公司如何进行投资者关系管理，如何规划进行投资者回报的？,您好，公司自上市以来，建立了公司投资者关系管理制度，认真开展展投资者关系管理工作。通过多种方式与投资者进行沟通和交流，积极回复投资者咨询、接受投资者来访与调研等多种形式来构建与投资者的良好互动关系。未来公司仍将进一步加强投资者关系管理工作，保障全体股东的合法权益，树立公司在资本市场的良好形象。谢谢您的关注。 
8,李董事长您好！借助大数据的布局，公司在人工智能方面是否有明确的下一步规划？主要会应用在哪些方面？如何评估市场前景？,公司将在大数据挖掘分析技术、面向自然语言理解和非结构数据处理的人工智能技术、以及知识图谱、深度学习、数据可视化等前沿技术应用领域重点投入，应用于提升了公司产品和服务的技术先进性、实际效能及用户体验，利于公司行业应用的推广深化和服务业务的深度覆盖。将人工智能技术与大数据应用相融合，可以更好地释放人工智能技术的潜力和更好地开发大数据资源的深层价值，这方面的创新机会多，市场前景好。谢谢关注。
9,能介绍一下公司现在各大区域的销售和占有率等基本情况吗?,您好，公司2016年分地区收入占比情况为：北方地区占49.26%，华东地区占17.60%，华南/华中地区占21.20%，西部地区占11.94%，更多信息您可查阅公司年度报告，谢谢。
10,请问，贵司有没有参与雄安新区建设的计划？,雄安新区作为未来公司政府市场的重要机会，公司会随着政府相关规划的落实明确，积极跟进开展业务。谢谢关注。 
11,贵公司是否会考虑实施股票期权等规范股权激励方式，惠及更多员工？,您好，公司已于2016年6月经2016年第一次临时股东大会审议批准了《北京拓尔思信息技术股份有限公司限制性股票激励计划（草案》，向公司260名激励对象授予了575.05万股限制性股票，具体信息您可查阅公司年报及相关公告，感谢您的关注。
12,李董事长您好！我们公司一直在使用贵公司的TRS采编系统，另经过我们的使用体验，并向股转系统推荐使用并已上线正式应用。除采编系统外，公司还有很多针对政府和事业单位的政务软件，在雄安新区的建设中，习主席要求建设智能高效节能绿色的新区，我们是否有跟进相关业务的开展？,首先感谢您对我们产品的使用和推荐。政府行业一直是公司业务份额和客户最丰富的的行业市场，目前，公司已为80%的部委和60%的省级政府用户提供持续的技术和数据服务。公司在政府行业主要提供面向智慧城市、智慧政府、互联网政府和政务大数据相关应用所需要的技术、产品和服务。公司历来对包括智慧城市、国家大数据、新一代电子政务、政府一体化服务平台以及国家网络信息安全等方面的多个战略规划都积极响应，投入研发和营销力量，主动发现机遇、发掘客户需求，把握业务机会，实现业务目标。本次雄安新区，作为未来公司政府市场的重要机会，公司也会随着政府相关规划的落实明确，积极跟进开展业务。谢谢关注。
13,公司现在负债总额是多少？每年负债的利息是多少？谢谢。,"您好，公司2016年12月31日负债总额为375,449,436.78元，2016年度利息支出为1,812,000.84元，谢谢。"
14,公司的前三大客户是哪些公司？,您好，公司2016年度前三大客户为天地阳光通信科技（北京）有限公司、紫博蓝网络科技（北京）股份有限公司和北京爱德康赛广告有限公司，更多信息您可查阅公司年度报告，谢谢。
15,目前公司享有的国家优惠政策有哪些？,您好，公司根据《关于软件产品增值税政策的通知》，增值税一般纳税人销售其自行开发生产的软件产品，按17.00%税率征收增值税后，对其增值税实际税负超过3.00%的部分实行即征即退政策。根据北京市科学技术委员会等批准认定，2014年10月30日，本公司被认定为高新技术企业，2014年至2016年减按15%优惠税率计缴企业所得税。更多信息您可查阅公司2016年年度报告中相关内容，谢谢。
16,请问公司如何看待上市公司的并购和市值管理？,在对外并购和公司发展方面，公司坚持“大数据行业”和“大数据服务”双轮驱动、技术变现和数据变现两翼共展的发展战略，追求求内生发展与外延并购的有机结合和协同效应，巩固优势行业，布局新兴产业，积极把握外延跨越式行业拓展的业务机会，在公司业务健康和持续发展的前提下，力争速度和规模上的加速增长。相信随着公司业务和规模的成长，市值也会有相应的体现。谢谢关注。
17,公司是否在考虑开拓新的领域？取得初步进展没有？,报告期内，公司立足自身大数据智能技术和数据资源优势，积极巩固和拓展政府、传媒、安全、金融行业和大企业客户重点市场，布局大数据云服务、互联网营销等新型业务，持续加强技术研发、提高市场竞争力、推行行业应用落地。同时，公司追求求内生发展与外延并购的有机结合和协同效应，巩固优势行业，布局新兴产业，积极把握外延跨越式行业拓展的业务机会。谢谢关注。
18,公司2017年一季度经营业绩如何？,您好，公司已于2017年3月30日披露了第一季度业绩预告，预计2017年第一季度亏损：460.00万元– 520.00万元。第一季度业绩的具体数据将在本公司2017年第一季度报告中详细披露，请届时以该报告为准。感谢您的关注。
19,公司2016年度的业务经营情况符合公司预期吗？,2016年公司继续保持了营业收入和利润的持续健康增长，基本达成了董事会和经营管理层制定的年度计划目标，并达到了公司限制性股票股权激励计划第一期业绩考核指标的要求。谢谢关注。
20,请问如何看待加强党建有助于提升公司业绩的说法？,您好，党建工作的开展有助于公司建立一个良好的工作氛围，从而进一步推动公司各项业务的健康发展。谢谢！ 
21,现在行业间的并购都比较频繁，你们今年有没有兼并收购计划？,公司坚持“大数据行业”和“大数据服务”双轮驱动、技术变现和数据变现两翼共展的发展战略，追求求内生发展与外延并购的有机结合和协同效应，巩固优势行业，布局新兴产业，积极把握外延跨越式行业拓展的业务机会，在公司业务健康和持续发展的前提下，力争速度和规模上的加速增长。谢谢关注。
22,公司所处行业有没有周期性？,公司的研发的通用大数据相关技术和产品可以适用于各个行业和领域，不存在明显周期性。同时，公司坚定执行“大数据行业”的长期发展战略，积极推行大数据行业应用落地，目前在媒体融合、警务和网信大数据、金融大数据以及电子政务领域的重点发展，这些行业目前均属于大数据业务成长期，具有很好的发展前景。谢谢关注。
23,今年以来，原材料都迎来涨价潮，对公司会有什么影响？,您好，公司作为一家软件企业，人工成本的增长对公司影响相对较大，感谢您的关注。
24,公司每次投资项目的可行性报告是否有详细说明公告？,您好，按照创业板股票上市规则等相关规定，公司募集资金项目的可行性研究报告均进行了披露，感谢您的关注。
25,近几年的固定资产，技术改造的投资效果如何，是否达到了预期的目标，不考虑市场因素，简单考虑毛利情况是否合理？,"公司为软件技术研发型企业，固定资产投入主要用于办公场所扩大、增添或升级技术研发和运营相关的计算机和网络设备等方面。公司在报告期内持续保持较高的技术研发投入，研发支出总额为13,808.63万元，占营业收入比例为20.30%，同比增长48.27%，为公司进一步提高核心竞争力提供有力的保障。公司在大数据挖掘分析技术、面向自然语言理解和非结构数据处理的人工智能技术、以及知识图谱、深度学习、数据可视化等前沿技术应用领域重点投入，取得了良好的进展。新技术成果的应用提升了公司产品和服务的技术先进性、实际效能及用户体验，有助于公司行业应用的推广深化和服务业务的深度覆盖，达到了公司预期的目标。由于拥有自主核心技术产品，公司的主要业务软件和安全产品销售以及相关技术开发服务的毛利率一直保持行业较高水平，相对健康和合理。谢谢关注。"
26,请问李董事长，公司13年已申请到军工资质，17年底即将到期，是否有产品产出？是否贡献利润？在军民融合的国家大战略下，公司对未来军民融合如何参与有何规划?谢谢！,报告期内，公司在军工行业的业务拓展取得了较好的成果，相关收入规模比以往实现了较快较大的增长，公司面向军事应用的大数据融合与分析平台是针对情报、联战联训、反恐、后勤保障等应用的信息化指控与数据融合平台，平台采用大数据技术可实现对海量信息服务资源的横向关联、毫秒查询、信息挖掘、关联分析。未来，拓尔思将在国家相关标准、政策的引导下，积极探索自我发展与创新，深化安全可靠、自主可控的产品研发，推动大数据技术在信息化军事战略中的应用，为军民融合协同创新贡献更大的力量。谢谢关注！
27,您好！截至到2016年12月31日，“国家队”即中金、证金、汇金的持股比例有多大？,您好，截至2016年12月31日，根据中登公司提供的公司前100名股东名册的数据显示，中央汇金持有公司0.24%的股份，谢谢您的关注。
28,请问公司有无通过发行债券等形式进行募资的计划？有无设立并购基金收购标的的计划？,您好！谢谢关注！公司目前暂无上述两项计划。但公司将考虑采用包括上述方式在内的多种手段融资和投资，围绕公司主营业务在相关领域和产业积极进行布局和拓展。
