,Question,Answer
0,武董好。印度布局是好事。但公司有没有防范他们抄袭的备案。例如当地核心人员离职会不会另立山头？,公司会加强知识产权保护方面的工作。谢谢您的建议。
1,房地产调控周期对公司产品，比如控制器这一块影响有多大？,已有回复，请查阅。
2,您好，公司的锂电项目目前看来是比较失败的，后续是否有收回成本的可能？,目前锂电池业务正常开展，已跟公司智能控制器业务行程协同效应。
3,公司锂电池中标中移动项目后，在新能源汽车领域是否还继续拓展？,目前主要做小动力电池和储能。谢谢。
4,武总，公司主营业务跟同行业比较，目前处于什么位置？,公司处于行业领先地位。
5,文总，您好，想请教下17年四季度单季汇兑损益情况？,四季度单季度汇兑损失约700万。
6,现在智能家居的入口之争已经白热化，基本国内、国际的几大科技公司都在布局，例如Google、amazon，苹果，阿里、百度、京东。公司TSmart在衔接各入口方面是否能做到快速反应？有没有在布局,公司已与主要云服务公司展开合作，可以根据客户不同需求连接不同平台。
7,在物联网方面，公司有何产品布局？,智能控制器作为物联网入口，公司首先做好硬件布局，增加设备连接数量，并通过建立T-Smart平台，为整机厂提供一站式智能家居解决方案，同时与客户和其它产业链中优秀公司合作，共同打造开放式的物联网生态圈。
8,公司产品单价大概是多少？均价是在上涨吗？,2017年公司产品均价约30元，近几年产品均价一直在提升。
9,请问公司利润分派什么时候实施？,公司2017年年度利润分配方案需经股东大会审议通过，审议通过后，按规定在股东大会召开后的两个月内完成实施分派。
10,公司研发是否主要靠客户来推动？,"公司业务形态有三种，引导客户用我们的方案属于JDM，目前占比不大；ODM模式是客户提出需求，我们通过研发设计到生产交付,2017年占比52%左右；OEM则是客户已有设计方案，由公司生产交付。公司的发展战略是做精OEM，做强ODM。公司也会努力做一些发明创造和客户以JDM模式开发新产品。"
11,房地产周期对公司的控制器影响有多大？,公司业务与房地产周期相关性并不大。
12,公司产品出口主要在那些地区？各地区的份额如何？,公司产品主要出口地有欧洲、亚太和美洲等几十个国家和地区，相对比较分散。
13,请问文总，贵公司收购的合信达今年业绩大涨，净利润率接近20%，而公司本部同样是生产智能控制器，为什么净利润率只有不到8%？未来合信达能保持这样的净利润率水平吗？公司本部的净利润率未来的合理区间是多少？,合信达控制产品主要面向燃气控制领域，领域属性对产品的品质、稳定性等技术要求更高。整体上，智能控制器随着产品高端化、复杂化、智能化的推进，毛利率和净利润率存在提升的空间。
14,公司对2018年有进一步考虑融资的计划吗？,公司本周二已披露了公开发行可转换公司债券。
15,武总，请问对于研控的下一步发展有何计划，是否有进一步增资的打算？,暂时没有具体规划，有进一步增资或收购计划会及时告知投资者。
