,Question,Answer
0,随着市场行情的变化，公司今年将会如何调整产品结构、销售政策？,投资者您好！我国电线电缆行业发展前景仍然广阔。新农网改造、城镇化进程的加快、铁路轨道交通、新能源产业的发展及建筑安全要求的不断提高都给电线电缆行业提供了非常广阔的市场，使得电线电缆行业仍存在巨大的发展空间。公司在2018年会进一步加强超A类阻燃电缆、风力发电机耐扭曲电力电缆、轨道交通直流电缆、盾构机电缆、70年寿命布电线等特种电缆的研发和市场开拓，在销售政策上也会向特种电缆倾斜。谢谢！
1,公司对外延扩张的计划？公司外延考虑独立研发还是购买团队？,投资者您好！公司会综合考量独立研发和购买团队的成本与收益，选择符合投资者利益和公司长期发展利益的方向，谢谢！
2,请问公司面临的市场风险是什么？公司的业务模式和盈利模式是怎样的？,"投资者您好！
       公司面临的市场风险有利率风险和汇率风险，本公司面临的利率风险主要来源于银行借款。公司通过建立良好的银企关系，对授信额度、授信品种以及授信期限进行合理的设计，保障银行授信额度充足，满足公司各类短期融资需求。本公司面临的汇率风险主要来源于以美元计价的金融资产和金融负债，本报告期外币金融资产和外币金融负债对本公司影响很小。
       公司业务主要包括电线电缆生产销售、银行不良资产处置清收、融资租赁和商业保理业务。
谢谢！
 "
3,类金融业务今年会不会进一步扩大？,投资者您好！ 今年公司将会加大对类金融业务的资源投入，积极拓展相关业务，谢谢！
4,2017年的不良资产处置完毕了吗？ 2018年还会继续处理吗？ 折旧费用会降低吗？,投资者您好，不良资产处置业务的时间周期相对较长，正常情况下，完整的业务流程需要两年或以上的时间，公司有专业的不良资产处置团队，2018年将继续拓展相关业务。谢谢！
5,前四个月电缆订单情况如何？,"投资者您好！ 
       公司电线电缆板块，在18年度重整了经营管理团队，继续深耕特种电缆市场领域，订单会有一定程度增长，具体见定期报告披露。谢谢！"
6,公司获得过哪些重要的奖励和技术专利吗？近期公司有什么技术突破，将给公司带来什么影响？,您好，公司2017年发挥公司技术中心的研发力量，自主研发了承荷探测电缆、多芯整体式预制分支电缆、环保型高导电塑料护套综合贯通地线、环保型高阻燃聚氯乙烯绝缘电线、耐寒电缆、潜油泵电缆。公司研发的上述特种电缆的市场前景广阔，符合市场需求。谢谢！
7,摩恩电气预计2017年净利润5200.00万元至5600.00万元，同比增长497.54%至543.5%，主要原因有哪些？,投资人您好，上市公司下属子公司摩安投资积极拓展不良资产处置业务，因此对公司2017年度的利润增长产生了相对较大的影响。谢谢！
8,请解释一下公司净利润增长率大幅下滑的原因？,"投资者您好！
       公司2017年度归属于上市公司股东的净利润59,226,168.05元，较上年度增长580.57%。谢谢！"
9,停牌这么久，我们股民都很着急，希望最后是好消息！不白费我们这么长时间的等待！,您好！公司及重组有关各方正在积极推进本次重大资产重组的相关工作，如有新进展公司将及时对外披露，感谢您对公司的关注。谢谢！
