,Question,Answer
0,公司对同行竞争对手有怎样的考量？你们的成本、管理、市场等优势体现在哪些方面？,你好，定期报告中有详细描述。
1,公司目前面临的最大问题是什么？,你好，目前主要问题是市场拓展，人才稀缺等问题。
2,请问公司明年净利润能做到多少？,你好，我们尽全力争取好的业绩。
3,公司现在负债总额是多少？每年负债的利息是多少？谢谢。,你好，请查阅定期公告。
4,请问净利润的增长率和销售收入增长同步吗？,你好，同步。
5,公司今年有新投资的项目吗？如果有，当年能否为公司贡献利润？如有利润贡献，公司预计能实现多少利润？,你好，请关注公司公告。
6,将来公司的下属公司会有上市的打算吗?,你好，公司投资的参股公司未来有上市的可能，具体还要看自身经营状况。
7,请描述一下公司未来的发展前景，谢谢！,你好，2016年度报告中有详细描述，请查阅。
8,如果我想对贵公司长期投资，能给我一个长期持有的理由吗？,你好，注意投资风险。
9,公司有没有股权激励计划？,你好，请查阅公司公告。
10,公司每次投资项目的可行性报告是否有详细说明公告？,你好，请查阅公司公告。
11,请问公司股票上市时期价格多少，现在多少，还具有投资价值吗？,你好，是否有投资价值还请您个人谨慎判断。
12,公司目前有哪些在建项目？建设进度如何？还需要多少资金？,你好，2016年度报告中有详细描述，请查阅。
13,请问公司今年营收的增长能超过行业的平均水平吗？,你好，我们希望通过深耕细作、踏实经营能超过行业水平。
14,胡叔叔好，公司和三聚环保，当升科技，华平股份，数字政通于2010年4月27日在深交所创业板上市，目前公司的主营业务是什么？,你好，公司主营业务是智慧城市应用与信息服务等。
15,在做项目之前是否对项目进行严谨的可行性研究？,你好，可行性研究是投资决策前的关键程序，公司会严格遵守。
16,公司去年财务费用和管理费用怎样？同财务费用相比呢？今年有没有折旧？请问管理费用今年会能稳定吗？,你好，2016年度报告中已对该财务数据做了明确的分析，请您查阅。
17,目前公司享有的国家优惠政策有哪些？,你好，目前公司享有的国家优惠政策详情请查阅公司2016年度报告中财务附注一节的相关说明。谢谢！
18,请问公司以后每年会用什么形式回馈股东？,你好，公司章程中已经就利润分配做了明确规定，公司会严格执行。
19,请问具体联系证券代表的电话是多少？,你好，投资者热线010-56161618
20,截至目前，公司的同比销售额有增长吗？,你好，截止2017年3月31日，公司营业总收入同比增加66.85%，公司经营保持稳定增长。
21,公司领导怎么看现在公司的股价，对我们小散有什么忠告？谢谢,您好，二级市场波动较大，请注意投资风险。
22,请问公司今年是否有对外扩张的打算？今年公司在市场开拓方面有什么计划？能否详细谈谈？谢谢,您好，公司一直在寻求合适的投资标的，希望能通过外延并购增强公司核心竞争力，谢谢
