,Question,Answer
0,请问，近期股价一直下滑公司是否存在异常情况！,截至本业绩说明会日公司不存在应披露而未披露的事项。近期二级市场整体走势不理想，请您多关注财经媒体的相关报道。谢谢！
1,林总经理 您好 我想咨询一下一季度业绩同比下降和上半年业绩预减的主要因素和原因 对公司全年业绩和未来有哪些更多的期待？ 谢谢！,"您好！公司在一季度报告中披露了2017年1-6月经营业绩的预计，预计的变动区间是6,710.05--8,946.73元，变动原因是市场原料价格走高，采购成本上升，毛利率下降。根据金属包装行业发展趋势和竞争格局，2017年，公司将在“立足金属包装，突破金属包装，实现多角经营”的战略指导下，采取措施来保障年度经营目标的实现。"
2,在对原材料上升时 公司会对上游企业做些价格调整吗 或者还有其它方式来应对原材料上涨时带来的公司业绩下降呢 ？对完成全年业绩任务公司有信心吗 对公司未来还有哪些新期待呢？谢谢！,公司产品定价销售会参考原材料的市场变动，当原材料价格的出现较大波动时，公司产品销售价格通常也会随之同向调整。公司的业绩实现情况将在公司的定期报告中及时披露。谢谢！
3,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？公司有没有一个具体可行的持续增长计划？,您好！目前的经营情况请参见公司在巨潮资讯网等指定信息披露媒体刊登的2017年第一季度报告。2017年公司拟采取的主要管理措施请见2016年年度报告第四节之“公司未来发展的展望”的表述。
4,请问公司有无通过发行公司债券等形式进行募资的计划？有无设立并购基金收购标的的计划？,"一、公司目前尚无相关发债计划方面的时间表，若有上述计划，公司将在第一时间在指定信息披露媒体披露相关信息。
二、公司于2016年10月与福州源丰投资管理有限公司、福州瑞鼎紫荆投资合伙企业(有限合伙)共同设立和管理产业并购基金——“福州兴瑞丰投资合伙企业(有限合伙)”其中，公司作为该基金的有限合伙人，以自有资金认缴出资10,000万元。
2016年11月22日，福州兴瑞丰投资合伙企业(有限合伙）与Pacific Can Southeast Company Limited、太平洋制罐(香港)发展有限公司、太平洋制罐辽宁有限公司3个卖方及其共同的实际控制人等相关方签署了附生效条件的收购协议，产业并购基金拟按收购协议约定的条款及法律法规、各目标公司章程规定的程序向卖方收购太平洋制罐(漳州)有限公司、太平洋制罐(北京)有限公司、太平洋制罐(武汉)有限公司、太平洋制罐(肇庆)有限公司4家目标公司100%之股权，以及太平洋制罐(沈阳)有限公司和太平洋制罐(青岛)有限公司2家目标公司各65%之股权。谢谢！"
5,希望公司在本专业领域专注于做强做大做实，提升公司的行业地位，给投资者以回报！,您好！立足主业、壮大主业是我们的基本发展方针。公司管理层将会以做大做强，提升公司规模和市场占有率为目标，不断以优异的业绩回报广大投资者。谢谢支持！
6,请问贵公司今年会不会有新的业务？,您好！公司自2015年上市以来，充分利用上市公司的优势，秉着“立足金属包装，突破金属包装，实现多角经营”的战略，去年我们新增了氙气灯EMC合同能源业务，发行股份收购制造铝瓶的温州博德科技，设立产业并购基金收购太平洋制罐集团。今年，我们在上述战略指导下发展，如有新的重大业务变动，我们将会按规定及时披露。谢谢！
7,请问，昇兴股份(002752)1月18日在深交所披露的《投资者关系活动记录表》显示，公司与上市公司阳光城、泰禾集团、华映科技等本省几家企业共同参股的海峡人寿保险的设立的审查通过了吗？请按照实际情况回答！,海峡人寿保险的设立尚处在上报保监会审批之中.谢谢!
8,请问，贵公司两次筹募资金，虽构不成重组但具体筹募资金用在哪方面呢？,"一、公司首次公开发行股票募集资金于2015年4月到位，募集资金净额为31,414.78万元，该募集资金承诺项目如下：1、昇兴(山东)包装有限公司马口铁制罐和底盖生产线建设项目；2、昇兴集团马口铁涂印、制罐生产线升级改造项目；3昇兴（安徽）包装有限公司年产3.33万吨马口铁涂印生产线项目；4、昇兴（中山）包装有限公司年产灌装量1.21亿罐生产线项目。
二、公司发行股份及支付现金收购温州博德科技并募集配套资金于2017年3月到位，募集资金净,9,218万元，主要用于支付收购温州博德科技原股东股权款。
                               谢谢！
"
9,林总 您好 看了一季度业绩报告 估计上半年也是预减 可以咨询下是什么原因或者因素造成上半年业绩下降的呢？谢谢！,"您好，谢谢关注！公司在一季度报告中披露了2017年1-6月经营业绩的预计，预计的变动区间是6,710.05--8,946.73元，变动原因是市场原料价格走高，采购成本上升，毛利率下降。"
