,Question,Answer
0,你如何看待同行业其他公司的经营情况？在同行业竞争中，公司排名第几？你认为公司业绩增长的主要优势或障碍在哪里？,答：尊敬的投资者，您好！感谢您对昌红科技的关注！公司积极关注行业发展情况，并与同行优秀公司保持持续交流。
1,公司现阶段发展过程中有何不足？面临的最大挑战是什么？如果新客户在磨合期放弃与公司合作，公司有无应对措施？,答：尊敬的投资者，您好！感谢您对昌红科技的关注！公司现阶段积极拓展精准医疗和辅助生殖战略新兴产业，主要面临瓶颈为新产业人才团队建设有待加强。公司将加大人才引进力度，完善人才梯度建设机制与激励机制，构建新兴产业强有力的人才团队，为新兴产业发展提供人才保障。
2,请问：公司产品的技术含量如何？专利多吗？行业垄断地位如何？ 那些项目能给公司带来利润增长点？预计是否能保持3年的增长？,答：尊敬的投资者，您好！相关信息见公司2016年年度报告。谢谢！
3,"这几年社会道德严重滑坡,不讲诚信，为了个人利益突破道德底线的行为屡屡发生，你作为企业高管如何看待？",答：尊敬的投资者，您好！公司经营理念是“合法经营、合理利润、回报社会”；坚决杜绝不讲诚信等现象的发生，谢谢！
4,虽说股价波动是市场行为，但是，还是希望公司在提振股价、提升股东信心方面有所作为，不知公司有何想法举措？,答：尊敬的投资者，您好！公司致力于实体经济的发展，并不断寻求精准医疗及辅助生殖等领域的投资机会，积极创造更好的业绩为投资者带来长期稳定的回报。
5,"公司的持续良性发展是投资者投资信心的有力保证,愿公司的发展能为投资者带来良好的回报!请问公司领导对今年有信心吗？",答：尊敬的投资者，您好！感谢您的意见。公司也希望能为投资者带来良好的回报，实现双赢。
6,去年的市场行情并不好，物价又涨，今年公司在市场开拓方面有什么计划？能否详细谈谈？,答：尊敬的投资者，您好！公司将紧紧抓住医疗行业快速发展的机遇，以新技术、新产品推动新市场的开发及扩张，促进新市场的不断拓展。抓好现有产品的技术提升和应用开发，发挥公司竞争优势，以优质的服务挖掘老客户潜力，主攻行业知名客户，带动市场份额快速增长。随着募集资金项目的建设，在原有营销网络的基础上，提前加大市场投入，加快对国内外新兴市场的开发，为募集资金建设项目的顺利实施提供市场保障。
7,公司今年有没有新产品和新业务拓展？对城镇一体化带来大发展机遇，公司有没有具体的发展计划？,答：尊敬的投资者，您好！感谢您对昌红科技的关注！结合行业及公司发展情况，管理团队制定如下发展战略：“稳固发展基础产业，战略扩张新兴医疗器械产业，致力于成为全球顶尖精准医疗产品供应商和中国辅助生殖产品第一品牌。内延发展，外延并购，嫁接全球科技资源，把握中国市场机遇。”
8,公司是否会进军新的细分市场和领域，以及扩大市场占有率？如果会，请问新的领域现在占公司营业收入比重是多少？未来打算提升到多少？多长时间能实现？,答：尊敬的投资者，您好！感谢您对昌红科技的关注！结合行业及公司发展情况，管理团队制定如下发展战略：“稳固发展基础产业，战略扩张新兴医疗器械产业，致力于成为全球顶尖精准医疗产品供应商和中国辅助生殖产品第一品牌。内延发展，外延并购，嫁接全球科技资源，把握中国市场机遇。”
9,今年人工费用是否还会出现阶段性上涨？,你好，公司每年会根据公司内部评级进行合理的薪资调整，同时会执行深圳最低工资调整政策止调薪资，所以人工成本上升是必然的现状。谢谢
10,"国家要求实行经济节约型政策,公司具体是怎么做的?",答：尊敬的投资者，您好！公司将积极采用先进技术改造方式，淘汰高消耗技术、工艺和产品，降低能耗、污染物排放，大力推行清洁生产，努力实现废弃物的资源化、减量化、无害化。谢谢！
11,做为高管你对公司的股价有何看法？股价的上扬能体现上市公司的潜质和气魄！希望管理层关心一下自己公司的股价！以提振二级市场的股东对公司的信心！！！谢谢,答：尊敬的投资者，您好！股价受多重因素影响，请投资者谨慎判断。感谢您对公司的关注与支持。
12,希望公司在适当的时侯推出激励计划来聚集和挽留人才，保持公司的竞争力！,答：尊敬的投资者，您好！感谢您对昌红科技的关注以及提出的良好建议！公司一直重视人才的培养和储备，也注重人员，特别是核心人员的稳定，未来可能会采用包括股权激励计划在内的各种措施完善公司人才战略。
13,"公司采取了具体怎样的应对措施,在同业中不断做大做强?",答：尊敬的投资者，您好！感谢您对昌红科技的关注！结合行业及公司发展状况，管理层制定如下发展战略：“稳固发展基础产业，战略扩张新兴医疗器械产业，致力于成为全球顶尖精准医疗产品供应商和中国辅助生殖产品第一品牌。内延发展，外延并购，嫁接全球科技资源，把握中国市场机遇。”
14,自从微博出现后，对于舆情的关注和扩散在一定程度上都有所放大，关于舆情的监控，公司有些什么样的手段？而在应对负面舆情的时候，又有什么样的应急措施？,答：尊敬的投资者，您好！公司有专人负责舆情监控，公司与主要媒体保持良好合作和沟通关系，现正在逐步完善舆情危机应对方面的制度，以期建立起危机公关的快速响应机制；同时，公司关注微博等新兴媒体，出现负面舆情，将积极应对，以维护公司和投资者利益。谢谢！
15,请问公司在财务结构上有什么不足，打算采取哪些举措。,你好，公司财务机构稳健，财务会计运作规范，同时采取定时或不定时方式，组织财务会计人员的业务学习和培训，提升财务会计人员整体业务水平，确保财务核算和财务报告的质量。谢谢。
16,公司管理层应该用实际行动树立诚信！股市，社会对责任诚信的渴望，远远胜过了任何广告效应！全国3000千万股民都会记得你们。我会继续持有公司股票，希望持有一家受人尊敬的上市公司！,答：尊敬的投资者，您好！感谢您对昌红科技的长期信赖与支持。谢谢！
17,公司的规模优势具体会体现在哪些方面？公司的品牌如何管理？互相间的市场是否有重合以及竞争关系？如何增强各品牌间的凝聚力？,答：尊敬的投资者，您好！感谢您对昌红科技的关注！公司的规模优势体现在充裕的产能基础、完备的管理基础、健全的团队配置、丰沛的资金储备等方面；公司对总部及下属各子公司施行统一的市场营销及品牌管理战略，充分发挥彼此协同效益，力争整体收益最大化。
18,请问公司上一季生产经营状况如何？与去年同期相比如何呢？,答：尊敬的投资者，您好！公司2017年第一季度报告已于本月26日披露，敬请查阅。谢谢！
19,在企业文化方面，公司有什么特色吗？,答：尊敬的投资者，您好！公司一直奉行“合法经营、合理利润、回复社会”的核心宗旨，秉承“认同感、忠诚、服从”的企业文化，形成了具有一定特色的以“科技文化、制度文化等”为导向的企业文化氛围。
20,公司现有产品最近价格是否稳定，最近公司产品出货量怎样？上游的企业是否大量备货？,你好，公司主要产品价格比较稳定，产品出货量正常，上下游企业合作良好，公司原材料及产成品的备货量是根据销售订单量、生产和交货周期等因素来决定的。谢谢。
21,公司及管理层是否鼓励员工长期持股？会不会任由员工和大小非减持？,答：尊敬的投资者，您好！公司及管理层当然鼓励员工长期持股，但合法合规减持股份是法律赋予持有人的法定权利。谢谢！
22,做大、做好市值管理是每个公司成长的必然追求，公司是如何进行市值管理的？,答：尊敬的投资者，您好！感谢您对昌红科技的关注！昌红科技管理团队及全体员工将坚持稳健发展的理念，科学经营管理，创造良好业绩，以回馈投资者的信赖与支持。
23,能否告知一下新年第一季度的情况怎么样?,答：尊敬的投资者，您好！公司2017年第一季度报告已于本月26日披露，敬请查阅。谢谢！
24,一直指望公司会推出高送转方案，不知道今年是否有希望，什么时候能出预告？,答：尊敬的投资者，您好！公司2016年度分配预案已披露，详见年报及董事会决议内容。谢谢！
25,"去年有机构投资者去公司做调研吗,都是哪些？我们这些中小投资者在哪里能看到机构投资者的调研情况？",答：尊敬的投资者，您好！2016年公司暂未接待机构投资者现场来访调研；如发生前述事项，公司将根据相关要求披露调研纪要，供全体股东知悉。谢谢！
26,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？公司有没有一个具体可行的持续增长计划？,你好，公司经营业务和销售收入稳健、趋势向好，公司每年制订部署年度经营目标和经营计划，相关工作计划请详见2016年度公司董事会报告，谢谢。
27,公司未来发展前景如何?对目前这个行业的前途看好吗？,答：尊敬的投资者，您好！感谢您对昌红科技的关注！公司目前将持续稳固发展精密塑胶模具和注塑产业，并在此基础上，重点着力拓展精准医疗和辅助生殖产业。受益于中国居民医疗消费水平提高、需求提升、二胎政策放开等利好因素，未来精准医疗和辅助生殖产业将迎来战略发展机遇期。
28,公司如何规避各种风险，如产品质量、资金、管理等，减少各种负面事件？,答：尊敬的投资者，您好！公司具有强大的制造平台，完善的工艺及丰富的实践经验可确保公司产品质量良好及稳定，且资金、管理等方面均良好，目前不存在相关负面事项。感谢您的关心！
29,公司募投项目现在有效益发吗？效益如何？,你好，公司募投项目效益情况，请详见公司2016年年报第四节第五部分投资状况的分析。谢谢。
30,希望公司在本专业领域专注于做强做大做实，提升公司的行业地位，给投资者以回报！,答：尊敬的投资者，你好！感谢您对昌红科技的关注以及提出的宝贵建议。公司一直以来在制造业领域坚持实业兴邦，在精密塑胶模具与注塑行业已有扎实基础，未来公司仍将以制造能力为基础，着力拓展并深耕精准医疗和辅助生殖领域。
