,Question,Answer
0,公司的年报中，客户包括了蔚来汽车和奇点汽车，请问，销售情况如何？请问，双向直流充电机和现在市场上的别的同样产品比较有什么优势?,   感谢您对公司的关注！公司与蔚来汽车、奇点汽车的销售情况良好，蔚来汽车于2017年度形成销售，奇点汽车于2018年度形成销售。公司锂电池组充放电检测系统、锂电池组工况模拟检测系统具有精度高、响应速度快；直流母线式能量回馈设计，能量回馈效率高；系统多层自我保护功能；设备并联不影响响应速度和精度等优势。
1,请问贵公司最新动力电池pack自动化装备生产线每年能为公司带来多大营业收入及利润？,您好！公司锂电池组自动化组装设备（包含动力电池pack自动化装备生产线），2017年销售收入占营业收入27.59%，毛利占比19.09%；2016年销售收入占营业收入35.30%，毛利占比25.54%。
2,请问公司17年的研发投入多少？公司是否是高新技术企业？,"2017年度，公司研发投入的金额为4,119.11万元，较上年同期增长67.14%；公司被认定为“国家级高新技术企业”。"
3,请问各大客户对贵公司产品的依赖程度？能否介绍下？,"感谢您对公司的关注！经过10余年的发展，公司产品应用领域逐步从3C产品向电动工具、电动自行车、新能源汽车等领域发展，产品线由检测系统向锂电池组自动化制程及整体解决方案延伸，不断将在3C锂电池检测领域、电动工具锂电池检测系统领域、电动自行车锂电池检测系统领域形成的影响力向新能源汽车动力锂电池检测领域拓展，与国内外各领域主要的锂电池生产商建立起了长期稳定的合作关系。
"
4,请描绘一下公司的发展前景及远景规划？," 感谢您对公司的关注！经过十余年的发展，公司目前已形成以锂电池检测系统为核心，并辅以锂电池组自动化组装系统的业务结构。未来，公司将继续巩固3C产品、电动工具及电动自行车等锂电池检测领域的市场，大力拓展新能源汽车、储能等锂电池检测领域的市场；并进一步加大锂电池组自动化组装设备及检测系统的研发、生产与销售。
公司将以上市为契机，沿着新能源应用的发展道路，立足于公司战略定位，本着成就客户的理念，推进经营战略生态，力求多方共赢，实现“推动清洁能源应用，服务全球绿色未来”的星云梦！"
5,请问，公司的双向直流充电机和风光储充智能电站的销售情况如何？公司对于这两个项目今年的销售情况是怎么预计的？,您好！公司的锂电池组充放电检测系统及锂电池组工况模拟检测系统目前销售情况良好，风光储充一体化智能电站已逐步形成销售，今年销售情况预计将稳步增长。
6,请问公司目前专利有多少？有无专人或专业部门负责知识产权管理？,"公司截至本路演日已经获得44项专利。公司已经获得11项发明专利授权，22项实用新型专利授权、11项外观设计专利授权。公司设有知识产权管理项目组，由专人负责专利的申请及后续管理。
"
7,请问贵公司是否与宁德时代在储能方面有合作?,"感谢您对公司的关注！公司与时代新能源（CATL）在储能方面的合作已有良好的开端，后续双方将继续展开密切合作。
"
8,公司在江苏的奇点汽车的电池系统智能制造项目进行的测试结果如何？,"感谢您对公司的关注！该项目目前进展一切正常。
"
9,公司未来有何新的增长点？,"2018年度，公司新的业务增长点：
1、新产品化成分容将形成新的收入增长点；
2、扩展产品应用领域和产品线，向储能、充电桩等市场发展潜力巨大的领域延伸。
"
10,请问，贵公司募投项目进展如何？,"感谢您对公司的关注。目前，公司新能源汽车动力锂电池检测系统产业化项目已累计投入4,240.70万元，中小型锂电池检测系统产业化项目已累计投入4,205.73万元，研发中心项目累计投入1,954.75万元。新能源汽车动力锂电池检测系统产业化项目和中小型锂电池检测系统产业化项目已达到预定使用状态。"
11,请问李总，2017年报中设备制造业--检测系统 销售量 增长了250%多，而公司的营业收入中设备制造业又占到了99%，为什么营业收入才增长不到40%呢？,您好！公司的营业收入中设备制造业包含检测系统及自动化组装系统销售收入，营业收入低于检测系统销售量增长的主要原因是检测系统较自动化组装系统单价低。
12,请问李总，2017年报中设备制造业--检测系统 销售量 增长了250%多，而公司的营业收入中设备制造业占到了99%，为什么营业收入才增长不到40%？,您好！公司的营业收入中设备制造业包含检测系统及自动化组装系统销售收入，营业收入低于检测系统销售量增长的主要原因是检测系统较自动化组装系统单价低。
13,公司主要的竞争对手是谁,感谢您对公司的关注！公司技术、产品研发能力强，基于锂电池制造组装生产工艺，开发出了应用于3C产品、电动工具、电动自行车、新能源汽车、储能等主要领域的系列产品，涵盖充放电检测、BMS检测、锂电池组EOL检测及工况模拟检测等核心工序检测系统，产品精度、准确度、稳定性较高。公司在不同细分领域的主要竞争对手不同，详细情况请参阅《招股说明书》第六节.三.（三）.2。
