,Question,Answer
0,据《中国经营报》报道，晨化股份多个产品的产能利用率不足，产销率较低。其中，稀丙基聚醚产品的产销率仅在50%左右，最低出现在2015年度，为49.00%。而端氨基聚醚产品，虽然产销率平均能达到90%，但是产能利用率最低仅为31.54%，最高也只有68.00%。在产能利用率较低的情况下，晨化股份募资扩产其合理性和必要性值得关注。业内人士称，晨化股份在财务数据方面存在造假嫌疑。其产销数据出现了偏差导致计算出的新增库存商品数据偏大，毕竟通过虚增产销量可使得收入得以虚增，进而起到粉饰业绩的效果。这个怎么看？,您好！公司烯丙基聚醚产销率较低，主要系由于烯丙基聚醚中聚醚产品主要自用，用于生产端氨基聚醚。端氨基聚醚产能利用率较低，主要因为公司端氨基聚醚产品设计产能为0.5万吨/年，在实际生产过程中，受设备维修、保养等因素影响，实际产能利用率处于较高水平。谢谢您！
1,请问公司产品有什么特色？行业是否会收到经济周期性的影响？,"您好！公司专注于精细化工新材料领域，集中表现为小批量、高性能的特色产品。本公司的精细化工新材料主要作为助剂使用，可以改善产品加工性能、提高产品质量，或赋予产品某种特有的应用性能。由于其应用范围非常广泛，被誉为“工业味精”。公司所处精细化工是石油和化学工业的深加工产业，要求技术密集、资金密集，更要求人才、技术、资金和配套下游产品市场等许多条件。一句话：公司产品进入壁垒高，竞争优势明显。
同时，又因为公司产品涉及聚氨酯、塑料、纺织、印染、日化、农药、铁路、消防、石油页岩气开采、电子、汽车、电缆、建筑安装等国民经济的多个领域，与人们的生活息息相关，因此我们会受到行业周期的影响，并与国民经济景气度息息相关。
谢谢您！"
2,在人才引进方面，公司有什么打算？,"    您好！公司将不断完善优化用人机制，吸纳优秀经营管理人才、营销人才和科技人才，建立科学的人力资源管理体系，进一步增强公司持续发展能力。
    在人才储备方面，公司选择优秀的高校毕业生在公司工作，同时积极引进优秀的技术人员为公司服务。
    在人才培训方面，公司将有计划地建立营销、研发、生产人员专业培训体系，做到立足公司自身情况，营造企业与员工共同成长的文化氛围，充分发挥团队精神，规划公司的宏伟前景，让员工对未来充满信心和希望，为有远大志向的优秀人才提供其施展才华、实现自我超越的广阔空间。公司还将继续加强对公司员工入司后的后续培训工作，努力提高员工专业及文化素质。谢谢您！"
3,公司产品质量如何，科技含量高吗，和同行相比有竞争力吗？,"公司建立了科学、严格、完善的质量控制体系，于2009年通过ISO9001:2008及GB/T19001-2008质量体系认证。
公司为产品建立完整的质量检测档案，每批次的产品均需通过公司品技部检验并符合国家、行业、企业质量标准或客户的特殊要求才能出厂。通过这些措施，公司有力地保证了产品质量的稳定，提升了公司的品牌效应。公司自2006起即是高家高新技术企业，在精细化工业细分为很多领域，同行业公司在其优势领域都有良好发展，本公司一直尊重同行业并虚心学习其优点。
本公司拥有完善的生产设备和生产工艺，凭借技术优势和产品优势，能够在新材料开发、工艺改良、产品应用等方面为客户提供差异化产品、技术和服务支持，满足不同行业用户对产品具体应用上的不同需求。这是我们在同行业间引以为傲和保持持续竞争力的地方。
谢谢您！

"
4,近年来，频频发生高管在解禁期前放出利好消息，如高分红等炒高股价，解禁期后又出现业绩亏损等其它负面消息，更有甚者，有的公司早在解禁期前一两年就策划好了这些方案。试问一下，你们公司的高管股解禁期是什么时候？,您好！公司的高管自2017年2月13日股票上市之后高管股解禁期为三年，具体详见招股说明书和2016年年度报告。谢谢！
5,公司对今年的财务费用有预算吗？,根据公司2017年生产经营计划，公司对年度财务费用进行了规划，争取合理安排调度资金，提高资金使用效率，充分提高闲置募投资金和闲置自有资金的收益，努力降低财务费用。谢谢~
6,公司今年的业绩增长，请问领导层有没有目标,您好！对我们来讲2017年我们将采取各种措施保持增长。全力完成内生增长的年度目标是我们努力的方向。加大对战略性高毛利产品的持续投入，巩固公司在行业内已形成的规模优势，获得更丰厚的边际效益是我们不懈的追求。谢谢您！
7,作为一家上市公司，为了更有利于与投资者交流，能不能在公司网站上设置交流互动功能？,您好，非常感谢您对本公司的关注。公司投资者热线0514-82659030，邮箱为chzq@yzch.cc，欢迎您随时咨询。同时，在今后我们也将不断改进我们与投资者交流的方式。谢谢您！
8,公司每年都能获得政府补贴吗？这对公司的业绩贡献率有多大？,"在福利企业税收优惠方面，公司于2015年12月31日取得扬州市民政局核发的社会福利企业证书，证书编号为：福企证字第32001005017号，有效期为2016年1月至2018年12月。2016年1月至2016年4月，公司每年按每位残疾人员工35,000.00元的限额享受增值税即征即退的税收优惠，2016年5月起，公司每年按每位残疾人员工按照公司所在区县经省人民政府批准的最低工资标准的4倍享受增值税即征即退的税收优惠。其他政府补贴为非经常性补贴。谢谢~"
9,最近公司财务状况如何？,您好！目前财务状况良好，谢谢您！
