,Question,Answer
0,请问2月13号那批解禁股的机构是哪三家，他们的持股量、成本如何？,"尊敬的投资您好！
一、2月13号那批解禁股为12,241,565股，占公司总股本的8.16%，股份解除限售及上市流通具体情况如下：
中国-比利时直接股权投资基金,所持限售股份总数6,120,783股，本次解除限售数量6,120,783股，本次实际可上市流通数量6,120,783股；江苏高投鑫海创业投资有限公司，所持限售股份总数3,672,469股，本次解除限售数量3,672,469股，本次实际可上市流通数量3,672,469股；江苏高投润泰创业投资合伙企业（有限合伙），所持限售股份总数2,448,313股，本次解除限售数量2,448,313股，本次实际可上市流通数量2,448,313股。
其中：中国-比利时直接股权投资基金承诺：本基金在减持所持有的公司股份前，应提前三个交易日予以公告，自公告之日起6个月内完成，并按照证券交易所的规则及时、准确地履行信息披露义务。（以上内容以公司于2018年2月8 日在巨潮资讯网（www.cninfo.com.cn）披露的《扬州晨化新材料股份有限公司关于部分首次公开发行前已发行股份上市流通提示性公告 》为准。）
二、关于三个机构的成本价：
1、取得的成本：2013 年 1 月 20 日，经公司临时股东会决议通过，同意于子洲、江苏高投鑫海创业投资有限公司、江苏高投润泰创业投资合伙企业（有限合伙）、中国-比利时直接股权投资基金对公司增资413.2275 万元，增资价格为每股 11.52 元（系根据公司 2012 年未经审计的每股收益，经双方协商按照 8 倍市盈率确定），注册资本增至 3,191.2275 万元。（以上内容以公司于2017年1月17日在巨潮资讯网（www.cninfo.com.cn）披露的《扬州晨化新材料股份有限公司设立以来股本演变情况的说明及全体董事、监事、高级管理人员的确认意见》为准。）
2、历次演变：请参考公司在巨潮资讯网（www.cninfo.com.cn）披露的2017年1月17日《扬州晨化新材料股份有限公司设立以来股本演变情况的说明及全体董事、监事、高级管理人员的确认意见》、2017年1月24日《扬州晨化新材料股份有限公司首次公开发行股票并在创业板上市招股说明书》、2017年2月10日《扬州晨化新材料股份有限公司首次公开发行股票并在创业板上市之上市公告书（更新后）》、2017年6月23日《扬州晨化新材料股份有限公司2016年年度权益分派实施公告》。
 谢谢您的关心！
"
1,公司属于什么行业？公司的客户集中度高吗？,公司主要从事以氧化烯烃、脂肪醇、硅氧烷等为主要原料的精细化工新材料系列产品的研发、生产和销售。公司拥有完善的生产设备和生产工艺，凭借技术优势和产品优势，能够在新材料开发、工艺改良、产品应用等方面为客户提供差异化产品、技术和服务支持，满足不同行业用户对产品具体应用上的不同需求。公司客户较为分散。
2,公司采用直销模式来销售，是否取得国家认可的直销牌照？,尊敬的投资者，您好！销售模式是由公司经营管理层决定的。谢谢您的提问。
3,公司领导层年龄段主要集中在多少岁？,尊敬的投资者，您好！公司目前经营管理层共有高管8人，其中：50-60岁的高管3人，40-50岁的高管4人，30-40岁的高管1人。谢谢您的提问。
4,请问你们在细分行业坐到行业老大的位置了么？,尊敬的投资者，您好！公司三大系列产品都是精细化工细分行业产品，目前三大系列产品同行业上市公司较少，公司产品市场占有率目前无权威数据。感谢您对公司的关心！
5,今年一季度净利润下降的原因？,尊敬的投资者，您好！公司一季度净利润下降主要是公司一次性增加了端氨基聚醚等产品开拓欧盟市场的费用、全资子公司试产后首次计提固定成本、外汇汇兑损失及捐赠等因素的影响。感谢您对公司的关注！
6,今后利润增长面临比较大的风险来自哪里？,"您好，公司未来可能面对的风险主要有四个方面：一是行业竞争加剧；二是质量控制及产品责任风险；三是新产品研发和技术替代的风险；四是安全生产、环境保护风险和危险化学品运输风险。
对于行业竞争加剧这方面，因目前行业存在较高的技术壁垒、产品认证壁垒和市场渠道壁垒，短期内风险不会释放，但长远看应当受到我们重视；在质量控制及产品责任风险方面，现阶段公司非常注重产品质量控制，公司产品在中国境内已具行业领先地位，而端氨基聚醚、烷基糖苷和阻燃剂亦在海外获得欧盟REACH国际认证。随着这系列产品产量进一步扩大、海外销售量的激增，质量控制问题仍然是公司未来重点关注的问题；在新产品研发和技术替代的风险方面，我们相信公司利用募集资金投资改扩建技术研究开发中心，以加强产品研发和持续创新能力后，短期内也不会存在；在安全生产、环境保护风险和危险化学品运输风险方面，我们相信只要公司加强管理，则也会避免。
对于任何一个公司来讲，经营风险是无处不在的，我们相信只要本公司不断加强管理，这些风险则一定会有效避免。谢谢您！
"
7,公司17年净利大幅增长，请问18年能否继续保持增长？,您好，2018年我们将继续保持市场开拓力度，强化内部管理，持续加大研发投入，大力推进技改项目建设，积极培育新的经济增长点，力争保持利润持续增长。谢谢！
8,公司有何技术优势？,尊敬的投资者，您好！本公司拥有完善的生产设备和生产工艺，凭借技术优势和产品优势，能够在新材料开发、工艺改良、产品应用等方面为客户提供差异化产品、技术和服务支持，满足不同行业用户对产品具体应用上的不同需求。这是我们在同行业间引以为傲和保持持续竞争力的地方。谢谢您！
9,公司是否有扩大产能计划？,"您好，今年新增产能主要是我公司全资子公司淮安晨化新材料有限公司的年产1.32万吨特种聚醚（含烯丙基聚醚）、年产1.3万吨端氨基聚醚等项目。
谢谢！"
10,公司在研发上的投入如何？,"您好！近年来公司不断加大研发投入力度，报告期内2017年研发投入2165.95万元，占营业收入的3.08%。公司长期以来强化研发、品技和生产等职能部门建设，为研发项目的实施提供有力支撑与保障。报告期内共有专利31项，其中发明专利26项，实用新型专利4项，外观设计专利1项。
公司拥有先进的研发、生产、检测能力，报告期内新增新增国家专利4项，其中发明专利3项；公司“聚氨酯聚脲活性扩链剂端氨基聚醚D-2000”、“酚醛泡沫用低吸水率表面活性剂”2项产品被认定为江苏省高新技术产品。这些专利、高新技术产品覆盖了表面活性剂、阻燃剂、硅橡胶三大系列产品的工艺、生产、外观等多方面的内容。
报告期内，公司江苏省科技成果转化项目“绿色功能材料聚醚胺固化剂连续制备技术的研发与产业化”已通过中期验收，公司全年修订了企业标准2份，增加了新企业标准2份。公司还获得“中国科协第二届全国企业创新方法大赛”江苏省分赛区一等奖，全国赛区三等奖。
谢谢！
"
11,公司近期股东减持股份，是否不看好公司发展？,"尊敬的投资者，您好！
我能告诉您的是从2013年到2017年公司净利润一直呈上升状态。公司自上市以来运营良好，业绩稳定增长，公司经营层将继续努力经营，以更好地回报所有投资者。
在深圳证券交易所开户的境内自然人、法人等符合资格的投资者（国家法律、法规禁止购买者除外）。
公司股份近期部分小股东减持股份，是其自身经营需求，与公司发展无关。谢谢！"
12,在国内有没有相同领域的竞争对手？,"    您好！感谢您对公司的关注！在精细化工业细分为很多领域，同行业公司在其优势领域都有良好发展，本公司一直尊重同行业并虚心学习其优点。
    本公司拥有完善的生产设备和生产工艺，凭借技术优势和产品优势，能够在新材料开发、工艺改良、产品应用等方面为客户提供差异化产品、技术和服务支持，满足不同行业用户对产品具体应用上的不同需求。这是我们在同行业间引以为傲和保持持续竞争力的地方。谢谢您！"
13,原材料价格是否稳定？公司如何应对原材料价格上涨,你好，我公司主要原材料价格基本保持稳定，但也有少量原材料价格呈上涨状态，我公司应对原材料价格上涨的主要措施是：1、按订单需求确定采购量，2、采用现金付款方式采购，谢谢！
14,公司近期有没有并购计划？,"您好！感谢您对公司的关注。目前我们的主要工作是做好募集资金投入和使用工作。
当然，今后公司将会积极关注行业的发展，如果发现并购机会，我们也将会及时考虑和做提前布局。做大做强主业，快速提高营业规模和综合实力，为公司持续注入新鲜血液，积极回报股东和社会是我们不懈的追求。谢谢您！
"
15,公司的阻燃剂种类范围？,你好，我公司阻燃剂产品为磷系阻燃剂，包括有卤和无卤磷系阻燃剂，其中无卤磷系阻燃剂包括甲基膦酸二甲酯(DMMP)和乙基膦酸二乙酯(DEEP)，有卤磷系阻燃剂包括三（β—氯乙基）磷酸酯(TCEP)和三（β-氯丙基）磷酸酯 (TCPP)。谢谢！
16,公司下属工厂有没有受到环保政策影响关停或者减产？,投资者您好，公司及子公司目前运营正常，没有受到环保政策影响关停或者减产的情形，谢谢您的提问！
17,企业在行业中处于什么地位？,"您好！公司在国内精细化工新材料领域名列前茅。多年来，公司在为国内外知名企业提供优质服务的同时，不断加强研发投入，积极学习国内外先进经验，在新材料、新工艺、生产自动控制等方面具备了较为先进的技术优势，公司部分产品的核心技术已达到国际先进水平。
在销售上，近年来公司积极拓展国际市场2017年国际市场出口收入占主营业务收入的9.78%。截止目前，公司已完成对TCPP、DMMP、DEEP、烷基糖苷、端氨基聚醚等系列产品的REACH注册（欧盟认证），具备开展欧盟地区的TCPP、DMMP、DEEP、烷基糖苷和端氨基聚醚销售业务的资质，为公司国际业务的增长奠定了坚实的基础。，为公司国际业务的增长奠定了坚实的基础。
可以肯定地说，随着时间的推移，公司一定能够在精细化工新材料领域更上层楼.谢谢您的提问 。
"
18,公司新的利润增长点在哪里？,你好，我公司未来新的利润增长点将来源于刚刚投产的年产1.32万吨特种聚醚（含烯丙基聚醚）项目和正在建设中的年产1.3万吨端氨基聚醚等项目、年产1.5万吨烷基糖苷项目。谢谢！
19,贵公司营销模式如何？,您好，公司的营销模式是直销，谢谢！
20,公司限制性股票激励计划进展如何？,2018年4月23日，公司董事会、监事会审核通过股票激励计划，尚需股东大会审议通过方可执行。谢谢您的提问！
21,今年又没有新增产能？,你好，今年新增产能主要是我公司全资子公司淮安晨化新材料有限公司的年产1.32万吨特种聚醚（含烯丙基聚醚）、年产1.3万吨端氨基聚醚等项目。谢谢！
22,公司在环保上做的如何？,"公司始终将环境保护列为重点工作之一,设立了专门的环保部门,建立健全了环保制度,并采取了一系列的环境保护措施,不断减少生产对环境的不利影响。2013年8月23日，扬州市政府办公室《关于设立首批扬州市化工监测点企业的通知》将公司列为首批扬州市化工监测点企业。对照《扬州市化工监测点企业认定办法》和《第三轮化工生产企业专项整治方案》（苏政办发〔2012〕121号），公司满足以下条件：（1）厂址合理；（2）符合国家产业政策；（3）具有一定生产规模；（4）技术装备先进；（5）环保安全措施完善；（6）能耗水平先进。因此，被扬州市人民政府设立为首批化工监测点企业。
2017年公司未受过环保处罚。"
