,Question,Answer
0,第一季度业绩预增650%至680%，主要哪些项目盈利大幅增长？,您好，2018年一季度，公司所处行业3C消费电子产业，市场发展呈良好态势，得益于市场机遇、自身技术领先、优质客户资源，大宇精雕的经营业绩继续保持了平稳增长。同时，因2017年6月已完成了对所有亏损印机业务的剥离处置工作。 综合上述原因，公司2018年第一季度净利润相较去年同期有较大幅度上升。谢谢。
1,请预测下2018年的经营业务情况,您好。2018年，除公司现有业务预计会继续保持稳定增长，同时，将通过重组的方式，并购与公司现有业务有高度协同，与公司战略方向是聚焦的智能装备领域的企业。相信通过这些经营上的举措，将大幅提升公司的竞争力和盈利能力。谢谢！
2,公司复牌后，预计股价会涨还是会跌？,您好。公司目前拟重组的项目，与公司现有业务有高度协同，与公司战略方向是聚焦的，如果重组顺利完成，将会助力公司完善产品链，经营业绩也将大幅上升。我们会脚踏实地、持续努力的做好实业经营，但股价的波动，是市场行为，我们也无法精准预测。当然股价大涨是您我的共同心愿，感谢您的关注并期望您的持续支持。谢谢！
3,公司目前只有大宇精雕一个业务主体，请问公司未来发展方向、战略布局，怎么保证公司在二级市场的表现不会比现在更差！,您好！目前，公司只有大宇精雕一个主体，在产能、人才、精力、经验等方面受到一定限制，但公司的战略方向是聚焦智能装备为主业，力争为多层面、多行业的人工替代、智能制造、产业升级，以更完善的产品链提供高端智能装备系统解决方案。公司本次并购重组，是基于以上战略布局的重要举措之一。相信这一系列举措将大幅提升公司的竞争力和盈利能力。谢谢！
4,问董事长，各大股东都减持，是准备撤资吗,您好！2011年2月1日，公司在深交所创业板挂牌上市，上市时间已有7年。截止到回复您问题之时，公司大股东尚未进行任何减持行为。公司2018年2月13日发布的减持计划公告，涉及的股东郭景松、张晓玲夫妇（直接或间接合计持股比例为39.72%）；雷万春、肖代英夫妇（合计持股比例为17.39%）；向日葵投资、卫伟平（合计持股比例为8.68%）提出的减持计划，符合减持规定的要求。公司大股东郭景松先生本次的计划减持比例不超过7.53%，减持后，郭景松先生直接或间接的持股比例将不低于32.19%，仍然为公司第一大股东、实际控制人，不会发生公司实际控制人变更的风险，更不存在任何撤资的可能。谢谢！
5,请问公司是否是苹果供应商？贵公司的大客户都有哪些？,您好！公司目前还不是苹果的指定供应商，但是公司的下游客户有不少已经是苹果的直接和间接供应商。公司聚焦3C消费电子自动化设备领域，大客户主要有合力泰、信利光电、帝晶光电、元生智汇等优质企业。谢谢！
6,请问贵公司市场的主要竞争对手是谁？,您好。在我们心中没有竞争对手的概念，只有同行。谢谢！
7,请问郭董，公司重组进展如何了？怎么还没有复牌，预计什么时间复牌？,您好！公司本次重大资产重组拟以发行股份或支付现金的方式，收购深圳德森精密设备有限公司、北京华懋伟业精密电子有限公司、环昱自动化（深圳）有限公司的部分或全部股权。目前，公司与标的公司、各中介机构正在积极推进本次重组，公司预计在4月26日前披露本次重组预案并复牌。请您继续关注公司的相关公告，谢谢！
8,公司目前有哪些客户资源储备？有没有苹果、华为等大厂的供应商？,您好。国内外知名手机品牌几乎都是我们的直接或者间接客户。谢谢！
9,请问贵公司目前热弯机的月产能是多少了？,您好。大宇精雕受到场地制约，目前公司正在积极拓展场地规模，争取在今年六月份大幅提升产能。谢谢！
